trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,1672.1179181936627,194.1683983380151,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9567.0,9567.0,0.0,0.0,"6,0,6,1,10,6,11,6,8,0",0:1-6;1:1-0;2:0-6;3:8-1;4:0-10;5:1-6;6:9-11;7:4-6;8:0-8;9:2-0
0,proposed_c2f_full_pd,10,10,1.0,12,300,0.04,10,0,10,0.0,0.0,715.8043665383921,179.51787797304442,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,0,6,1,10,6,11,6,8,0",0:0-6;1:1-0;2:0-6;3:0-1;4:0-10;5:1-6;6:9-11;7:1-6;8:0-8;9:2-0
1,proposed_c2f_adaptive_pd,10,10,1.0,10,300,0.03333333333333333,10,0,10,0.0,0.0,25960.461773856896,171.32131364242258,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13599.0,13599.0,0.0,0.0,"5,4,8,9,13,2,11,11,7,2",0:1-5;1:0-4;2:0-8;3:0-9;4:2-13;5:0-2;6:0-11;7:0-11;8:1-7;9:3-2
1,proposed_c2f_full_pd,10,10,1.0,11,300,0.03666666666666667,10,0,10,0.0,0.0,25952.992017433935,155.4486715615845,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,4,8,9,13,2,11,11,7,2",0:1-5;1:0-4;2:0-8;3:0-9;4:1-13;5:0-2;6:0-11;7:0-11;8:1-7;9:1-2
2,proposed_c2f_adaptive_pd,10,10,1.0,21,300,0.07,11,0,11,0.0,0.0,2081.8095121979572,72.8308750428453,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11848.0,11848.0,0.0,0.0,"8,10,10,12,6,11,0,10,8,14","0:2-8;1:8-10;2:3-10;3:1-12;4:0-6;5:4-11;6:1-0;7:14-10;8:10-8,4-8;9:12-14"
2,proposed_c2f_full_pd,9,10,0.9,17,300,0.056666666666666664,11,0,11,0.0,0.0,2025.412163589733,35.716953016413356,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,10,10,12,6,11,0,10,8,14","0:1-8;1:3-10;2:0-10;3:1-12;4:0-6;5:4-11;6:1-0;7:14-10;8:10-8,2-8;9:8-14"
3,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,15,3,12,1920.0,3.2,1011.0885831446428,307.9488630338776,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12505.0,12505.0,0.0,0.0,"12,11,6,6,12,3,9,4,13,5","0:1-12;1:1-11;2:0-6,0-12,2-6,0-5,4-6,6-5;3:2-6;4:0-12;5:1-3;6:0-9;7:2-4;8:1-13;9:2-5"
3,proposed_c2f_full_pd,10,10,1.0,19,300,0.06333333333333334,15,2,13,1280.0,2.1333333333333333,1007.6697818623019,307.9488630338776,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,11,6,6,12,3,9,4,13,5","0:1-12;1:0-11;2:0-6,0-12,12-6,6-12,2-6,7-6;3:2-6;4:0-12;5:1-3;6:0-9;7:2-4;8:1-13;9:2-5"
4,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,910.5253151942854,215.45650390225734,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10659.0,10659.0,0.0,0.0,"8,7,7,9,4,1,13,1,1,10",0:0-8;1:2-7;2:1-7;3:3-9;4:0-4;5:2-1;6:0-13;7:2-1;8:6-1;9:0-10
4,proposed_c2f_full_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,922.1032462637652,273.346159249656,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,7,7,9,4,1,13,1,1,10",0:0-8;1:2-7;2:1-7;3:3-9;4:0-4;5:2-1;6:0-13;7:2-1;8:2-1;9:0-10
5,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,10,0,10,0.0,0.0,343.6813442595738,95.24911735422418,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8811.0,8811.0,0.0,0.0,"7,4,13,11,6,9,6,4,4,10",0:5-7;1:1-4;2:1-13;3:4-11;4:7-6;5:13-9;6:14-6;7:10-4;8:1-4;9:4-10
5,proposed_c2f_full_pd,9,10,0.9,14,300,0.04666666666666667,10,0,10,0.0,0.0,281.95008320946437,93.91627593399552,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,4,13,11,6,9,6,4,4,10",0:1-7;1:1-4;2:1-13;3:4-11;4:7-6;5:13-9;6:7-6;7:8-4;8:1-4;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,11,0,11,0.0,0.0,1363.235297291131,544.3598105672696,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10732.0,10732.0,0.0,0.0,"2,1,4,6,9,3,3,4,4,4","0:0-2;1:0-1;2:0-4;3:0-6;4:1-9;5:2-3;6:4-3;7:0-4;8:1-4;9:8-4,5-4"
6,proposed_c2f_full_pd,10,10,1.0,15,300,0.05,11,0,11,0.0,0.0,1268.6506990795292,261.4486973387223,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,1,4,6,9,3,3,4,4,4","0:0-2;1:0-1;2:0-4;3:0-6;4:1-9;5:0-3;6:0-3;7:0-4;8:0-4;9:8-4,5-4"
7,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,11,0,11,0.0,0.0,463.7973024248125,218.21874844786703,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11964.0,11964.0,0.0,0.0,"4,3,6,14,4,2,4,6,8,4","0:1-4;1:12-3;2:0-6;3:2-14;4:2-4;5:0-2;6:3-4,12-4;7:0-6;8:0-8;9:2-4"
7,proposed_c2f_full_pd,10,10,1.0,15,300,0.05,11,0,11,0.0,0.0,450.9723120822335,181.48335466861067,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,3,6,14,4,2,4,6,8,4","0:1-4;1:4-3;2:0-6;3:2-14;4:2-4;5:0-2;6:3-4,2-4;7:0-6;8:0-8;9:2-4"
8,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,12,0,12,0.0,0.0,1972.3843074963631,327.2090760698293,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13866.0,13866.0,0.0,0.0,"3,1,2,14,2,4,14,3,9,5","0:2-3,11-3,1-3;1:0-1;2:3-2;3:0-14;4:1-2;5:0-4;6:0-14;7:0-3;8:1-9;9:0-5"
8,proposed_c2f_full_pd,10,10,1.0,23,300,0.07666666666666666,12,0,12,0.0,0.0,1969.3558977373584,327.2090760698293,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,1,2,14,2,4,14,3,9,5","0:2-3,11-3,1-3;1:0-1;2:1-2;3:0-14;4:1-2;5:0-4;6:0-14;7:0-3;8:1-9;9:0-5"
9,proposed_c2f_adaptive_pd,9,10,0.9,14,270,0.05185185185185185,10,0,10,0.0,0.0,512.0398056704873,364.17034896633413,0.9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9581.0,9581.0,0.0,0.0,"14,6,6,1,14,11,10,13,0,8",0:7-14;1:0-6;2:0-6;3:3-1;4:0-14;5:3-11;6:0-10;7:1-13;8:1-0;9:0-8
9,proposed_c2f_full_pd,9,10,0.9,13,270,0.04814814814814815,10,0,10,0.0,0.0,475.5710809141121,264.9516114750951,0.9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"14,6,6,1,14,11,10,13,0,8",0:5-14;1:0-6;2:0-6;3:3-1;4:0-14;5:3-11;6:0-10;7:1-13;8:1-0;9:0-8
10,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,15,1,14,640.0,1.0666666666666667,1436.740508016771,198.20200502260485,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12043.0,12043.0,0.0,0.0,"13,7,14,4,1,5,7,12,0,3","0:0-13;1:0-7;2:7-14,14-7,3-14,4-14,5-14,12-14;3:1-4;4:0-1;5:0-5;6:11-7;7:2-12;8:1-0;9:4-3"
10,proposed_c2f_full_pd,10,10,1.0,12,300,0.04,15,1,14,640.0,1.0666666666666667,1425.8183885789408,198.20200502260485,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"13,7,14,4,1,5,7,12,0,3","0:0-13;1:0-7;2:7-14,14-7,3-14,4-14,5-14,12-14;3:0-4;4:0-1;5:0-5;6:3-7;7:2-12;8:1-0;9:4-3"
11,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,10,0,10,0.0,0.0,600.9792154390607,208.5815184855945,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11429.0,11429.0,0.0,0.0,"6,7,4,3,7,2,4,8,14,4",0:0-6;1:0-7;2:1-4;3:0-3;4:1-7;5:0-2;6:1-4;7:2-8;8:1-14;9:1-4
11,proposed_c2f_full_pd,10,10,1.0,17,300,0.056666666666666664,10,0,10,0.0,0.0,387.58069174220327,127.36557351089974,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,7,4,3,7,2,4,8,14,4",0:0-6;1:0-7;2:1-4;3:0-3;4:0-7;5:0-2;6:1-4;7:1-8;8:0-14;9:1-4
12,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,11,0,11,0.0,0.0,27322.296356511844,374.7124326094829,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12923.0,12923.0,0.0,0.0,"11,7,7,1,8,2,0,5,10,5","0:3-11;1:0-7;2:13-7,4-7;3:0-1;4:3-8;5:9-2;6:1-0;7:3-5;8:0-10;9:10-5"
