trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,10,0,10,0.0,0.0,1672.1179181936627,194.1683983380151,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9567.0,9567.0,0.0,0.0,"6,0,6,1,10,6,11,6,8,0",0:1-6;1:1-0;2:0-6;3:8-1;4:0-10;5:1-6;6:9-11;7:4-6;8:0-8;9:2-0
0,exact_marginal_greedy,10,10,1.0,16,300,0.05333333333333334,10,6,4,3840.0,6.400000000000001,1340.3421341294088,35.873688344744416,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,0,6,1,10,6,11,6,8,0",0:0-6;1:0-2;2:0-2;3:0-1;4:0-1;5:1-5;6:4-11;7:1-6;8:0-1;9:0-2
0,sense_sinr,10,10,1.0,16,300,0.05333333333333334,10,5,5,3200.0,5.333333333333334,53509.7038566925,291.2813904305158,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,0,6,1,10,6,11,6,8,0",0:10-2;1:0-13;2:7-6;3:1-12;4:12-10;5:7-6;6:4-11;7:4-6;8:1-10;9:0-2
1,proposed_c2f_adaptive_pd,10,10,1.0,10,300,0.03333333333333333,10,0,10,0.0,0.0,25960.461773856896,171.32131364242258,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13599.0,13599.0,0.0,0.0,"5,4,8,9,13,2,11,11,7,2",0:1-5;1:0-4;2:0-8;3:0-9;4:2-13;5:0-2;6:0-11;7:0-11;8:1-7;9:3-2
1,exact_marginal_greedy,9,10,0.9,13,300,0.043333333333333335,10,2,8,1280.0,2.1333333333333333,206.10708805154871,77.98088891700812,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,4,8,9,13,2,11,11,7,2",0:0-5;1:0-3;2:0-1;3:0-9;4:0-13;5:0-2;6:0-11;7:0-11;8:1-7;9:0-2
1,sense_sinr,10,10,1.0,13,300,0.043333333333333335,10,3,7,1920.0,3.2,357397.61370763136,3127.870417964221,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,4,8,9,13,2,11,11,7,2",0:12-5;1:3-4;2:1-8;3:14-9;4:13-10;5:5-2;6:14-11;7:11-0;8:7-13;9:7-2
2,proposed_c2f_adaptive_pd,10,10,1.0,21,300,0.07,11,0,11,0.0,0.0,2081.8095121979572,72.8308750428453,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11848.0,11848.0,0.0,0.0,"8,10,10,12,6,11,0,10,8,14","0:2-8;1:8-10;2:3-10;3:1-12;4:0-6;5:4-11;6:1-0;7:14-10;8:10-8,4-8;9:12-14"
2,exact_marginal_greedy,9,10,0.9,18,300,0.06,10,3,7,1920.0,3.2,303.7768897393226,32.95650287009035,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,10,10,12,6,11,0,10,8,14",0:1-8;1:3-10;2:0-10;3:1-9;4:0-6;5:1-4;6:0-1;7:8-10;8:4-8;9:5-14
2,sense_sinr,10,10,1.0,16,300,0.05333333333333334,11,2,9,1280.0,2.1333333333333333,14993.599802655002,2097.9956211322797,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,10,10,12,6,11,0,10,8,14","0:11-8;1:8-10;2:8-10;3:12-4;4:7-6;5:11-6;6:13-0;7:14-10;8:4-8,10-8;9:12-14"
3,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,15,3,12,1920.0,3.2,1011.0885831446428,307.9488630338776,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12505.0,12505.0,0.0,0.0,"12,11,6,6,12,3,9,4,13,5","0:1-12;1:1-11;2:0-6,0-12,2-6,0-5,4-6,6-5;3:2-6;4:0-12;5:1-3;6:0-9;7:2-4;8:1-13;9:2-5"
3,exact_marginal_greedy,10,10,1.0,14,300,0.04666666666666667,15,8,7,5120.0,8.533333333333335,273.11335305355044,33.063912465969906,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,11,6,6,12,3,9,4,13,5","0:1-12;1:0-10;2:0-6,12-5,0-5,0-12,5-12,9-6;3:2-5;4:0-12;5:1-3;6:0-1;7:2-4;8:1-8;9:0-5"
3,sense_sinr,10,10,1.0,16,300,0.05333333333333334,15,6,9,3840.0,6.400000000000001,28419.26905435496,1665.8973126356577,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,11,6,6,12,3,9,4,13,5","0:4-12;1:10-11;2:0-6,12-5,0-5,0-12,5-12,9-6;3:2-6;4:13-12;5:1-3;6:9-3;7:7-4;8:13-8;9:6-5"
4,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,910.5253151942854,215.45650390225734,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10659.0,10659.0,0.0,0.0,"8,7,7,9,4,1,13,1,1,10",0:0-8;1:2-7;2:1-7;3:3-9;4:0-4;5:2-1;6:0-13;7:2-1;8:6-1;9:0-10
4,exact_marginal_greedy,9,10,0.9,9,300,0.03,10,8,2,5120.0,8.533333333333335,180.0621148988975,110.57033190581005,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,7,7,9,4,1,13,1,1,10",0:0-5;1:2-7;2:0-7;3:3-4;4:0-3;5:1-2;6:0-6;7:1-2;8:1-6;9:0-8
4,sense_sinr,10,10,1.0,14,300,0.04666666666666667,10,4,6,2560.0,4.266666666666667,234805.5462569234,2947.6868446921453,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,7,7,9,4,1,13,1,1,10",0:8-12;1:2-7;2:13-7;3:9-3;4:4-3;5:6-1;6:12-13;7:2-1;8:6-1;9:10-0
5,proposed_c2f_adaptive_pd,9,10,0.9,13,300,0.043333333333333335,10,0,10,0.0,0.0,343.6813442595738,95.24911735422418,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8811.0,8811.0,0.0,0.0,"7,4,13,11,6,9,6,4,4,10",0:5-7;1:1-4;2:1-13;3:4-11;4:7-6;5:13-9;6:14-6;7:10-4;8:1-4;9:4-10
5,exact_marginal_greedy,10,10,1.0,14,300,0.04666666666666667,10,2,8,1280.0,2.1333333333333333,267.02782923865715,79.9655128609184,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,4,13,11,6,9,6,4,4,10",0:0-7;1:0-4;2:1-13;3:1-11;4:1-6;5:9-13;6:6-11;7:1-4;8:1-4;9:4-10
5,sense_sinr,9,10,0.9,12,300,0.04,10,4,6,2560.0,4.266666666666667,101031.85636734618,866.2387567081972,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,4,13,11,6,9,6,4,4,10",0:11-7;1:4-14;2:9-13;3:13-11;4:7-6;5:9-13;6:14-6;7:4-10;8:4-8;9:4-10
6,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,11,0,11,0.0,0.0,1363.235297291131,544.3598105672696,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10732.0,10732.0,0.0,0.0,"2,1,4,6,9,3,3,4,4,4","0:0-2;1:0-1;2:0-4;3:0-6;4:1-9;5:2-3;6:4-3;7:0-4;8:1-4;9:8-4,5-4"
6,exact_marginal_greedy,10,10,1.0,15,300,0.05,11,2,9,1280.0,2.1333333333333333,889.627135237018,183.4813420900474,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,1,4,6,9,3,3,4,4,4","0:0-2;1:0-1;2:0-3;3:0-2;4:1-9;5:0-3;6:0-3;7:0-4;8:0-4;9:8-4,1-4"
6,sense_sinr,10,10,1.0,24,300,0.08,11,2,9,1280.0,2.1333333333333333,12207841.762241712,3789.4058071352306,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,1,4,6,9,3,3,4,4,4","0:13-2;1:11-1;2:8-4;3:2-6;4:11-9;5:8-3;6:5-3;7:4-7;8:5-4;9:8-4,4-8"
7,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,11,0,11,0.0,0.0,463.7973024248125,218.21874844786703,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11964.0,11964.0,0.0,0.0,"4,3,6,14,4,2,4,6,8,4","0:1-4;1:12-3;2:0-6;3:2-14;4:2-4;5:0-2;6:3-4,12-4;7:0-6;8:0-8;9:2-4"
7,exact_marginal_greedy,10,10,1.0,13,300,0.043333333333333335,10,2,8,1280.0,2.1333333333333333,314.4836198303045,82.74923477909957,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,3,6,14,4,2,4,6,8,4",0:1-4;1:1-4;2:0-6;3:2-3;4:1-4;5:0-2;6:12-4;7:0-6;8:0-8;9:2-4
7,sense_sinr,10,10,1.0,11,300,0.03666666666666667,11,3,8,1920.0,3.2,7906.396178564568,788.7349416955349,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,3,6,14,4,2,4,6,8,4","0:3-4;1:3-4;2:6-0;3:12-14;4:12-4;5:12-2;6:12-4,4-12;7:10-6;8:2-8;9:2-4"
8,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,12,0,12,0.0,0.0,1972.3843074963631,327.2090760698293,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13866.0,13866.0,0.0,0.0,"3,1,2,14,2,4,14,3,9,5","0:2-3,11-3,1-3;1:0-1;2:3-2;3:0-14;4:1-2;5:0-4;6:0-14;7:0-3;8:1-9;9:0-5"
8,exact_marginal_greedy,10,10,1.0,18,300,0.06,11,4,7,2560.0,4.266666666666667,184.0394292341986,113.61184558885836,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,1,2,14,2,4,14,3,9,5","0:3-11,11-3;1:0-1;2:1-2;3:0-5;4:1-2;5:0-4;6:0-5;7:0-3;8:0-9;9:0-1"
8,sense_sinr,10,10,1.0,19,300,0.06333333333333334,12,6,6,3840.0,6.400000000000001,12435.480417500652,3841.82325164346,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,1,2,14,2,4,14,3,9,5","0:3-11,11-3,2-3;1:13-1;2:3-2;3:14-0;4:1-2;5:4-10;6:14-0;7:13-3;8:9-2;9:5-6"
9,proposed_c2f_adaptive_pd,9,10,0.9,14,270,0.05185185185185185,10,0,10,0.0,0.0,512.0398056704873,364.17034896633413,0.9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9581.0,9581.0,0.0,0.0,"14,6,6,1,14,11,10,13,0,8",0:7-14;1:0-6;2:0-6;3:3-1;4:0-14;5:3-11;6:0-10;7:1-13;8:1-0;9:0-8
9,exact_marginal_greedy,10,10,1.0,16,300,0.05333333333333334,10,7,3,4480.0,7.466666666666669,1072.2605143901615,130.96726567244022,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"14,6,6,1,14,11,10,13,0,8",0:0-14;1:0-6;2:0-4;3:1-3;4:0-7;5:3-11;6:0-2;7:0-6;8:0-2;9:0-4
9,sense_sinr,10,10,1.0,15,300,0.05,10,4,6,2560.0,4.266666666666667,319436.4695861716,4446.076454305731,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"14,6,6,1,14,11,10,13,0,8",0:14-7;1:6-13;2:4-6;3:3-1;4:14-7;5:13-11;6:10-2;7:6-13;8:5-0;9:10-8
