trial,arm,rho_grid_median,rho_grid_min,rho_manifold_median,rho_manifold_min,rho_manifold2_min,xi_rel_grid,xi_rel_manifold,n_templates,n_nuisance_grid,n_nuisance_manifold,ncp_grid,off_grid_min,off_grid_median,off_grid_max,off_+0.40_+0.00,off_-0.40_+0.00,off_+0.00_+0.40,off_+0.00_-0.40,off_+0.40_+0.40,off_-0.40_-0.40,off_+0.50_+0.50
0,no_ic,0.0007965387672642664,9.101803800759093e-09,4.355623143070749e-14,1.931978266010635e-23,1.931978266010635e-23,4.3636519172092914e-10,2.0994841861328968e-22,14,126,504,0.12748105195935494,8.166517111903578e-24,2.651771376839686e-15,7.079349136147731e-06,4.292709999611176e-17,5.4390692092474583e-11,5.598123794923917e-12,3.463716205644987e-16,1.623932864227414e-15,2.953936586084456e-12,2.651771376839686e-15
0,plain_ls,0.0005401583962483022,6.324860296461005e-09,3.586035365837286e-14,1.1350969959715756e-23,1.1350969959715756e-23,2.1327554526336318e-10,0.0,14,126,504,0.1095699310749936,5.74955928239409e-24,1.644134013659118e-15,5.325668572972705e-06,2.8548535497001225e-17,4.859366044239906e-11,4.450050780905031e-12,3.142222867929376e-16,1.1322887149340583e-15,2.612627280148438e-12,1.644134013659118e-15
0,tp_uic_full,0.0007280796577083718,8.443561577348423e-09,4.276136959374366e-14,1.8747034867660455e-23,1.8747034867660455e-23,3.5553548030886513e-10,0.0,14,126,504,0.12288514172623147,7.611405564853748e-24,2.588953586360604e-15,6.836779073102108e-06,4.262123544320214e-17,5.344901276180188e-11,5.471344027246594e-12,3.3396449503019413e-16,1.5924561679412996e-15,2.8767855399704474e-12,2.588953586360604e-15
0,perfect_channel,0.0008522053111003771,1.0868630056659725e-08,4.4138932989567363e-14,2.3507296931287136e-23,2.3507296931287136e-23,5.5187170465694e-10,0.0,14,126,504,0.13229113700816253,1.6156384806897495e-23,3.1516793601877766e-15,7.292512881854416e-06,4.662516809029052e-17,6.107326743965361e-11,5.6787368830718816e-12,3.623095568419812e-16,1.9985475843960648e-15,3.048861368597342e-12,3.1516793601877766e-15
1,no_ic,0.0012897121804666973,5.006239902455284e-06,3.2572880101642367e-14,3.895344114462369e-20,3.895344114462369e-20,5.292131768277652e-08,1.6803810234573639e-21,14,126,504,0.26325872506877623,2.4217611506379927e-20,3.0324109499484155e-13,0.00286337640816592,3.0324109499484155e-13,3.4875840494966487e-14,4.1722058266706904e-12,6.926891660591721e-15,2.971914725643695e-10,7.419787224189282e-16,3.137510895256805e-09
1,plain_ls,0.0012758273100886804,4.901022208804392e-06,1.7438181324073503e-14,2.4246437459761342e-20,2.4246437459761342e-20,5.1863068719028654e-08,6.627316849289461e-22,14,126,504,0.26245386363630824,1.758160504970146e-20,2.1372204778893647e-13,0.0026491664164474504,2.1372204778893647e-13,1.882118505062933e-14,2.601688112123267e-12,3.270070964736028e-15,1.8812715239214987e-10,3.370578256243988e-16,2.0392742803419835e-09
1,tp_uic_full,0.0012758387905410055,4.598778052513217e-06,2.680057433286309e-14,3.272128853912585e-20,3.272128853912585e-20,5.185653877283235e-08,9.561405630435559e-22,14,126,504,0.25696439846683283,2.2140843917053836e-20,2.512939425039887e-13,0.002786885385818293,2.512939425039887e-13,2.9688034962105405e-14,3.512682780498862e-12,6.276493912198385e-15,2.7918698515566283e-10,5.741975040732525e-16,2.9386533068471904e-09
1,perfect_channel,0.0015352210778652757,7.105314405259251e-06,4.899041610647381e-14,8.471846133655599e-20,8.471846133655599e-20,6.121173579752484e-08,2.774526075837379e-21,14,126,504,0.2787574312966074,2.6675043467834855e-20,3.3515790082013565e-13,0.0030649440912126867,3.3515790082013565e-13,4.745598485998901e-14,5.6151887622650146e-12,9.249326204219349e-15,3.976720391605023e-10,1.0328210187257633e-15,4.106199091159056e-09
2,no_ic,0.00018339438215153337,1.3400942266710302e-08,8.254677415384608e-18,1.1672864896904873e-23,1.1672864896904873e-23,5.496823891555705e-10,3.8980908782128105e-25,14,126,504,0.0492172415649316,3.206831516130318e-25,1.2411751273223156e-17,2.687607872896449e-06,2.5397222362721058e-18,1.2411751273223156e-17,4.132847902357153e-16,5.0071855360322626e-18,1.0181206115531534e-16,3.864744627386415e-18,6.516554994666299e-17
2,plain_ls,0.00016050273798308174,7.90533367360993e-09,5.378354877206244e-18,1.1333364004155596e-23,1.1333364004155596e-23,4.425889579156858e-10,6.422756963880199e-25,14,126,504,0.04587624225716988,8.365198138900358e-25,6.017028921569653e-18,2.012863951244625e-06,1.8806032056384804e-18,6.017028921569653e-18,3.1581120672256296e-16,2.825658067361852e-18,1.0153888847302374e-16,2.0067541801694375e-18,6.589047223615863e-17
2,tp_uic_full,0.00017111855662211255,9.598520713394562e-09,8.150062743002363e-18,1.1792502829248886e-23,1.1792502829248886e-23,4.799331882666102e-10,1.452167784413482e-24,14,126,504,0.04769369092218465,5.534581786886975e-25,1.2352093431954304e-17,2.7410973717240486e-06,2.5675086782128945e-18,1.2352093431954304e-17,4.170257456973062e-16,5.405021393865957e-18,1.019991137380979e-16,4.158248877385901e-18,6.881552316140991e-17
2,perfect_channel,0.00020492273230534618,1.6220001823301787e-08,8.404123555563342e-18,1.2014178041534867e-23,1.2014178041534867e-23,6.939918806806732e-10,1.3627401543568276e-24,14,126,504,0.0534773622293026,7.025257531358746e-25,1.2719721008345035e-17,2.82336703420322e-06,2.588081270220833e-18,1.2719721008345035e-17,4.317092427960305e-16,5.711651312114856e-18,1.022490877259675e-16,4.3399068364761054e-18,6.929786029331637e-17
