trial,arm,rho_grid_median,rho_grid_min,rho_manifold_median,rho_manifold_min,rho_manifold2_min,xi_rel_grid,xi_rel_manifold,n_templates,n_nuisance_grid,n_nuisance_manifold,ncp_grid,off_grid_min,off_grid_median,off_grid_max,off_+0.40_+0.00,off_-0.40_+0.00,off_+0.00_+0.40,off_+0.00_-0.40,off_+0.40_+0.40,off_-0.40_-0.40,off_+0.50_+0.50
0,no_ic,1.1512802244030061e-07,8.523799133545448e-12,6.84874489120154e-21,3.340895080560171e-24,3.340895080560171e-24,3.024614565379968e-13,2.9420123476307376e-25,14,126,504,7.065638320425618e-06,2.0354433953087606e-25,3.6469499275638135e-21,1.9191345426797044e-11,2.4304066432743585e-21,1.216690870693317e-21,1.0550637006143084e-16,3.6469499275638135e-21,6.49880169063337e-17,1.4130808540269867e-22,2.3588872438381355e-16
0,plain_ls,4.2350507764147324e-08,4.698853867304626e-12,6.696521734051337e-21,2.3733791753626125e-24,2.3733791753626125e-24,1.0256010155833894e-13,1.8810157915703527e-25,14,126,504,3.4351075220258696e-06,2.0200810551340238e-25,2.886007746712431e-21,1.3701194199363636e-11,2.886007746712431e-21,1.4350030985112549e-21,9.60771683564357e-17,2.7832196800337185e-21,5.230804718737914e-17,1.7610645612417779e-22,1.7579067600235153e-16
0,tp_uic_full,8.768076286812642e-08,7.293593433116856e-12,6.7109947244973694e-21,3.3063738592542337e-24,3.3063738592542337e-24,2.3732867173075377e-13,2.854276994782849e-25,14,126,504,5.378520226956001e-06,2.0130854254597389e-25,3.542823688197417e-21,1.8031106460656376e-11,2.400979748568359e-21,1.1874153752866923e-21,1.0533387712474342e-16,3.542823688197417e-21,6.478176769589082e-17,1.4207687402069465e-22,2.303821357752743e-16
0,perfect_channel,1.402964587542122e-07,9.426109971467518e-12,1.8907548140479077e-20,6.0693658768906365e-24,6.0693658768906365e-24,3.5648904625412066e-13,4.232627244700018e-25,14,126,504,8.586726102377875e-06,3.669369115276923e-25,7.724555973085776e-21,2.0740755387548926e-11,7.681355103890055e-21,1.8148173328206062e-21,1.6933157228009555e-16,7.724555973085776e-21,1.0361443473675555e-16,3.70589879706499e-22,3.7533596776337713e-16
1,no_ic,3.130102833491912e-06,9.260124060381066e-10,7.419291163473205e-18,8.163851443125212e-24,8.163851443125212e-24,7.168643701158339e-12,4.1148686271157097e-25,14,126,504,0.0032214810650628214,3.8240801264841506e-24,1.4647046753988345e-15,3.3750209000018943e-06,2.6013341566903728e-15,4.551753471822995e-21,1.4647046753988345e-15,1.5066756098568736e-16,1.1487781218344835e-14,8.337440965940269e-19,3.2586520238248696e-15
1,plain_ls,1.4417607065455916e-06,3.130731373929289e-10,4.344066509276645e-18,5.761175064092582e-24,5.761175064092582e-24,4.271389754665357e-12,5.997072088334872e-25,14,126,504,0.0024565156848423858,2.6872223618530058e-24,7.40312830130411e-16,2.0664373655412665e-06,1.1494146478185115e-15,2.3772789381447436e-21,7.40312830130411e-16,8.864380300560226e-17,4.0862665658438065e-15,6.490953028849877e-19,1.8119017616703236e-15
1,tp_uic_full,2.937070198140836e-06,7.579068318825411e-10,6.6307530529592856e-18,7.250873034617768e-24,7.250873034617768e-24,5.585350662916247e-12,8.513468327536131e-25,14,126,504,0.003004699459684035,3.201863300344339e-24,1.275441440026259e-15,2.6835090597564205e-06,2.4798519890310862e-15,3.827854851150764e-21,1.275441440026259e-15,1.4268138421320338e-16,1.065740973976938e-14,1.1554640172937107e-18,3.2490891724460998e-15
1,perfect_channel,8.882299376123186e-06,2.1441263589293223e-09,9.051602747935691e-18,9.959825203770828e-24,9.959825203770828e-24,1.1656271037327917e-11,1.056723143336978e-24,14,126,504,0.011346134403530673,4.354244284149369e-24,1.7518247062108112e-15,3.5799007013106744e-06,3.3440514429254253e-15,5.520410591205478e-21,1.7518247062108112e-15,1.7835090877106344e-16,1.2907895528267e-14,1.416081676732777e-18,3.905556969643217e-15
2,no_ic,9.01130154194954e-07,4.362968875820241e-09,1.3937038856620035e-20,1.7563902989063903e-23,1.7563902989063903e-23,9.460784029476918e-11,1.049060162118639e-24,14,126,504,0.00033070628380603873,5.2145663186146966e-24,8.462440481498066e-20,1.1308897598558793e-09,2.2505038890869705e-20,2.7979318718192834e-19,1.2964320172019161e-19,4.7912439554062804e-21,1.3036485657374909e-19,9.061759997185624e-21,8.462440481498066e-20
2,plain_ls,6.510887170482178e-07,3.2378225043887518e-09,7.889646924851813e-21,9.259449245884199e-24,9.259449245884199e-24,7.253178485571241e-11,6.38957332438032e-25,14,126,504,0.0003097720440845803,2.6636438112301038e-24,6.385350185947956e-20,1.0389819469973375e-09,1.973592594186454e-20,2.2058783155678842e-19,1.0658964397257255e-19,1.9453940399663192e-21,8.38092223792782e-20,7.449687185731959e-21,6.385350185947956e-20
2,tp_uic_full,7.596033301768123e-07,3.6190528863349543e-09,1.2963049292116065e-20,1.508529421756264e-23,1.508529421756264e-23,8.638787403969857e-11,9.992796522621178e-25,14,126,504,0.0002930366021088557,4.968725399009835e-24,8.057964153616815e-20,1.1010624502790259e-09,1.734469670950908e-20,2.3609077263042067e-19,1.1825152747012393e-19,4.643558161976935e-21,1.1700980042525396e-19,8.765158603020107e-21,8.057964153616815e-20
2,perfect_channel,1.315574758060877e-06,7.192298947181965e-09,1.3954425170720394e-20,1.8361729867873996e-23,1.8361729867873996e-23,1.240485973294393e-10,1.071155777016724e-24,14,126,504,0.00035113273468797163,5.644658953340231e-24,9.122606043438342e-20,1.145623507494748e-09,2.135024121872283e-20,2.9320810113843614e-19,1.3172849670467365e-19,4.9687355974176466e-21,1.2962147102886632e-19,9.688579424224002e-21,9.122606043438342e-20
3,no_ic,1.1646757219731395e-07,9.314773145836789e-12,1.1525360467564665e-19,4.179855062995824e-24,4.179855062995824e-24,8.178589663125865e-13,5.421455035030871e-25,14,126,504,0.0002752463970812585,3.9127272520250535e-25,5.184172931754185e-19,6.035005106676852e-10,5.184172931754185e-19,1.8445482575417518e-20,6.766369016255772e-18,4.912925171392478e-21,4.634887253138309e-17,6.289925372001782e-21,1.9869508901926697e-16
3,plain_ls,5.606138861513713e-08,1.7110688462326332e-12,1.2448638661388262e-19,4.555610780810413e-24,4.555610780810413e-24,1.8525490555831679e-13,7.075261612291891e-25,14,126,504,0.00018967516744134127,2.194148325345539e-25,5.145221189223634e-19,3.852055920440978e-10,5.145221189223634e-19,8.824605730202617e-21,4.771507023659887e-18,1.6444221768515483e-21,3.1376404120998324e-17,3.1522289167859495e-21,1.7593669194532661e-16
3,tp_uic_full,1.0822552366546248e-07,8.25773796863266e-12,1.141937368478315e-19,3.348870345109714e-24,3.348870345109714e-24,7.608437313810933e-13,4.784922663903234e-25,14,126,504,0.00026312221688352716,2.715495543219922e-25,5.128915248874673e-19,4.4621965657971097e-10,5.128915248874673e-19,1.47364117186777e-20,5.510914236574777e-18,2.8395713901961735e-21,4.269697570662124e-17,5.536606305102357e-21,2.320366344959303e-16
3,perfect_channel,1.354317968674333e-07,9.571284467054182e-12,1.1527028303252844e-19,3.524499021824735e-24,3.524499021824735e-24,8.677934631921991e-13,4.624932454015548e-25,14,126,504,0.0002953084811596319,3.612123450581744e-25,5.16874752244869e-19,6.054865972971995e-10,5.16874752244869e-19,1.7185681131084963e-20,6.87131994949701e-18,4.8174846880486006e-21,4.711447702685583e-17,6.133875793262706e-21,2.0254039358474573e-16
