trial,arm,t_h1,threshold,detected,dof,rho_weighted,ncp_unit,ncp_best,kappa_db,eta_survive
0,no_ic,19.228541090018638,20.66856907571369,0,28,1.0,2.441224024050174,0.6703189040089805,0.0,1.0
0,fixed_kappa,19.038407608419476,20.66856907571369,0,28,1.0,2.442876213413977,0.6713792998060119,40.00000000000001,1.0
0,plain_ls,19.397819219255666,20.66856907571369,0,28,1.0,2.441126395148947,0.6702496744089473,29.467359903792403,0.9828521940434195
0,ridge_ls,19.389790085336223,20.66856907571369,0,28,1.0,2.4411303813261327,0.6702524940330119,29.446583298466177,0.9828853752289746
0,protected_ls,19.306286607694943,20.66856907571369,0,28,1.0,2.4132818667884823,0.6573536049850154,19.957960943247798,0.9865900796015645
0,tp_uic_stage1,19.311905134923173,20.66856907571369,0,28,1.0,2.4133479322665385,0.6573981366441769,19.955082700962596,0.9866487952317811
0,tp_uic_full,19.29432119597086,20.66856907571369,0,28,1.0,2.4418780623063445,0.6708090067875127,29.40634615685005,0.9830725999809778
0,perfect_channel,19.086810328590836,20.66856907571369,0,28,1.0,2.4429265908102664,0.6713988153434172,inf,1.0
1,no_ic,14.69802851451081,20.66856907571369,0,28,1.0,8.107369364151742,1.9999748164832467,0.0,1.0
1,fixed_kappa,14.52476204645213,20.66856907571369,0,28,1.0,8.162470900984403,2.0036954098829076,39.99999999999999,1.0
1,plain_ls,14.696277954648991,20.66856907571369,0,28,1.0,8.107114277678809,1.9999447083822792,35.41198393068075,0.9738810577416525
1,ridge_ls,14.697034231909996,20.66856907571369,0,28,1.0,8.107116665231723,1.9999449233839157,35.39082722130395,0.973886657154479
1,protected_ls,14.941249491978539,20.66856907571369,0,28,1.0,7.747169298957402,1.9720621334061943,13.23940735631956,0.9699343520257332
1,tp_uic_stage1,14.943334453094344,20.66856907571369,0,28,1.0,7.747218633419937,1.972073508284295,13.239350219159036,0.9699395566778248
1,tp_uic_full,14.763454094174985,20.66856907571369,0,28,1.0,8.150967979548874,2.002168965676645,35.22477384843347,0.9743384410953542
1,perfect_channel,14.774505227735023,20.66856907571369,0,28,1.0,8.171141034005865,2.0038715254011676,inf,1.0
2,no_ic,18.959788644490608,20.66856907571369,0,28,1.0,2.9174822552073705,0.679269177405993,0.0,1.0
2,fixed_kappa,18.81280580612754,20.66856907571369,0,28,1.0,2.941880116722494,0.6853812974422873,39.99999999999999,1.0
2,plain_ls,19.041288353869493,20.66856907571369,0,28,1.0,2.917381320553989,0.6792428852900632,30.953093277107726,0.9856153156462502
2,ridge_ls,19.041655547030267,20.66856907571369,0,28,1.0,2.917382874742527,0.6792433227439949,30.991050875333435,0.985616006986824
2,protected_ls,14.301418880148876,20.66856907571369,0,28,1.0,2.7730592659288313,0.6628535228761371,10.989103978166062,0.9945652319343775
2,tp_uic_stage1,14.300911381143942,20.66856907571369,0,28,1.0,2.773103599451339,0.6628573780706319,10.989503350305297,0.9945690691402752
2,tp_uic_full,18.94953019009127,20.66856907571369,0,28,1.0,2.933191787841889,0.6853840050836232,31.00846510380468,0.9869547537704265
2,perfect_channel,19.470002344740106,20.66856907571369,0,28,1.0,2.944064930028543,0.6858946424174622,inf,1.0
3,no_ic,9.64164941652582,20.66856907571369,0,28,1.0,6.418942264733076,1.9574194065323243,0.0,1.0
3,fixed_kappa,10.338513820255763,20.66856907571369,0,28,1.0,6.523916759251605,1.981454920345366,40.0,1.0
3,plain_ls,9.655012335323343,20.66856907571369,0,28,1.0,6.418086423873971,1.9571748610561672,35.89520873931778,0.9517826477040783
3,ridge_ls,9.654562356925105,20.66856907571369,0,28,1.0,6.418099341633944,1.957180438030423,35.92753295944739,0.951790774328856
3,protected_ls,13.070844193015184,20.66856907571369,0,28,1.0,5.189342952570469,1.6976498474442427,12.296009591285502,0.9694509608123237
3,tp_uic_stage1,13.06783936228097,20.66856907571369,0,28,1.0,5.189821765186013,1.6977062120427235,12.296323723040627,0.9694748959960899
3,tp_uic_full,9.712127970868854,20.66856907571369,0,28,1.0,6.492379817601377,1.977399055034945,36.019449268736096,0.9650779517326129
3,perfect_channel,10.18851475301159,20.66856907571369,0,28,1.0,6.5334855040920194,1.9844575917987481,inf,1.0
4,no_ic,15.14228923936677,20.66856907571369,0,28,1.0,7.4384815569355816,2.2342467743286707,0.0,1.0
4,fixed_kappa,14.462092991086356,20.66856907571369,0,28,1.0,8.39746095912651,2.270362926001701,39.999999999999986,1.0
4,plain_ls,14.96345655372091,20.66856907571369,0,28,1.0,7.424787418031707,2.2341762410632455,33.3615159876325,0.9630456918716754
4,ridge_ls,14.968513060431393,20.66856907571369,0,28,1.0,7.425102549652519,2.2341767414625213,33.364898616499616,0.9630508507397499
4,protected_ls,16.598570206229233,20.66856907571369,0,28,1.0,6.51110196950123,2.122670610548079,5.4461410565412045,0.979194764281885
4,tp_uic_stage1,16.205862628475053,20.66856907571369,0,28,1.0,6.52236290294537,2.122684388138562,5.446277892816314,0.9813031531167378
4,tp_uic_full,16.18219878115414,20.66856907571369,0,28,1.0,8.01291909713844,2.2635761736300535,33.00219484552502,0.9760591227999471
4,perfect_channel,15.784704363779598,20.66856907571369,0,28,1.0,8.464047126803928,2.27656138497429,inf,1.0
5,no_ic,13.155380181503348,20.66856907571369,0,28,1.0,5.006924911547643,1.1049933975913875,0.0,1.0
5,fixed_kappa,12.536422759026777,20.66856907571369,0,28,1.0,5.075849413091182,1.1245038052351117,40.0,1.0
5,plain_ls,13.198373895147487,20.66856907571369,0,28,1.0,5.00679772269255,1.104956711070354,34.285560035739884,0.9613257459769811
5,ridge_ls,13.198270367329613,20.66856907571369,0,28,1.0,5.006797938481385,1.1049567554128086,34.29484923973876,0.9613258695488924
5,protected_ls,13.29022932089277,20.66856907571369,0,28,1.0,4.383759450898921,1.028849638291952,10.20542105431926,0.9955164349196656
5,tp_uic_stage1,13.290621652688962,20.66856907571369,0,28,1.0,4.383831691422964,1.0288716010419117,10.205451642401513,0.9955164964751164
5,tp_uic_full,13.277214166367123,20.66856907571369,0,28,1.0,5.05577568999936,1.1236413806547274,34.18362093800464,0.9736442709626034
5,perfect_channel,12.658012570966344,20.66856907571369,0,28,1.0,5.084413451171593,1.1258280988048859,inf,1.0
6,no_ic,14.415000712407046,20.66856907571369,0,28,1.0,11.549855969977832,3.486042173865533,0.0,1.0
6,fixed_kappa,13.799128543360887,20.66856907571369,0,28,1.0,11.628237805518756,3.521764233235488,39.999999999999986,1.0
6,plain_ls,14.42320453560328,20.66856907571369,0,28,1.0,11.549718668591725,3.4859725468766056,39.310449102532104,0.8550920571791264
6,ridge_ls,14.423187740417902,20.66856907571369,0,28,1.0,11.54971886452438,3.4859726482226403,39.31207413979847,0.8550923970218031
6,protected_ls,16.468504544067894,20.66856907571369,0,28,1.0,10.598983091571446,3.231901474576508,14.019721261036048,0.8464599985096253
6,tp_uic_stage1,16.468755568390385,20.66856907571369,0,28,1.0,10.599026233848555,3.2319040004477384,14.01972436025278,0.8464601301277711
6,tp_uic_full,14.428126827049699,20.66856907571369,0,28,1.0,11.627811794691944,3.5245353405192805,39.310576828522855,0.856238224479992
6,perfect_channel,13.784748774754144,20.66856907571369,0,28,1.0,11.646719260384074,3.528187260078425,inf,1.0
7,no_ic,19.536833617072563,20.66856907571369,0,28,1.0,7.871643493805278,3.543975224360191,0.0,1.0
7,fixed_kappa,18.73258465555088,20.66856907571369,0,28,1.0,7.933165455161435,3.560597367053009,39.99999999999999,1.0
7,plain_ls,19.363602102118733,20.66856907571369,0,28,1.0,7.862316206556367,3.5380206079070153,35.27509991235697,0.9850050564825635
7,ridge_ls,19.39936701815686,20.66856907571369,0,28,1.0,7.86396100563253,3.5390758378504077,35.376931937143546,0.9850369134401694
7,protected_ls,17.231107792072883,20.66856907571369,0,28,1.0,7.303629237261752,3.3085720721086163,12.851502456455147,0.9835667584963639
