trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
0,no_ic,5,8,2.573061743434258e-13,15.77989795875064,20.66856907571369,0,28,0.0,1.0,0.05222013658044144,9.101803800759093e-09,4.3636519172092914e-10,0.12748105195935494,0.12040680679971218,11.178789519848086,0,0,0,11.276084203611333,20.66856907571369,0,28
0,fixed_kappa,5,8,2.573061743434258e-13,16.485537071467032,20.66856907571369,0,28,40.00000000000001,1.0,0.05410622111267523,1.0852190759677382e-08,5.511579547977452e-10,0.13217480055387146,0.12456409286924541,1.0010178789519852,0,0,0,12.652320493789894,20.66856907571369,0,28
0,plain_ls,5,8,2.573061743434258e-13,17.180655810107133,20.66856907571369,0,28,29.4673599037924,0.47791968135833,0.0448849888693732,6.324860296461005e-09,2.1327554526336318e-10,0.1095699310749936,0.10403188364814028,0.9999999999999962,0,0,0,13.413696262392314,20.66856907571369,0,28
0,ridge_ls,5,8,2.573061743434258e-13,15.051503652691572,20.66856907571369,0,28,29.446583298466173,0.4781406602586826,0.049423015932466466,8.309208514387214e-09,3.307124475560838e-10,0.12064802572950939,0.11452342976542217,0.9999999999999973,0,0,0,13.869029889894778,20.66856907571369,0,28
0,protected_ls,5,8,2.573061743434258e-13,14.101408191358392,20.66856907571369,0,28,7.434292511641019,0.6512293391041892,0.036991663715747324,4.215671319231346e-09,4.240995285339356e-11,0.09018416958388079,0.0854588944246193,1.696479665563559,0,0,0,15.31219412991313,20.66856907571369,0,28
0,tp_uic_stage1,5,8,2.573061743434258e-13,15.34852760019391,20.66856907571369,0,28,7.435984638741747,0.6545926130527407,0.04109524765551185,4.57424793204307e-09,1.1338341968449333e-10,0.10019317207990439,0.09477413120714918,1.414128062468488,0,0,0,13.91187072296276,20.66856907571369,0,28
0,tp_uic_full,5,8,2.573061743434258e-13,13.990472734871382,20.66856907571369,0,28,21.588779828219998,0.6601733306471477,0.05029204645275332,8.43978213775624e-09,3.55402200522935e-10,0.1228935287267171,0.11612251555735115,1.0000084489610666,9,9,378,11.91190276993291,20.66856907571369,0,28
0,perfect_channel,5,8,2.573061743434258e-13,16.650714992406282,20.66856907571369,0,28,inf,1.0,0.054152727104372134,1.0868630056659725e-08,5.5187170465694e-10,0.13229113700816253,0.1246602522393771,1.0,0,0,0,12.402180708196823,20.66856907571369,0,28
1,no_ic,2,5,4.4082963744794335e-13,22.429189238141383,20.66856907571369,1,28,0.0,1.0,0.03247153463031106,5.006239902455284e-06,5.292131768277652e-08,0.26325872506877623,0.17214875707650562,13.754786443097856,0,0,0,16.774981783428657,20.66856907571369,0,28
1,fixed_kappa,2,5,4.4082963744794335e-13,37.50851289108837,20.66856907571369,1,28,39.99999999999999,1.0,0.033987218921541065,6.965761554047449e-06,6.04409601679907e-08,0.2774196854524654,0.17419964610808894,1.0012754786443105,0,0,0,25.69227036474269,20.66856907571369,1,28
1,plain_ls,2,5,4.4082963744794335e-13,21.210765360782556,20.66856907571369,1,28,35.411983930680734,0.6765238346373139,0.032373277919483426,4.901022208804392e-06,5.1863068719028654e-08,0.26245386363630824,0.17203648686925258,0.9999999999999979,0,0,0,17.186947938155264,20.66856907571369,0,28
1,ridge_ls,2,5,4.4082963744794335e-13,21.22511973708397,20.66856907571369,1,28,35.390827221303944,0.6765418297467968,0.032374058355767184,4.902047092466101e-06,5.187743116937256e-08,0.26246026801722444,0.17203884420954224,0.9999999999999972,0,0,0,17.175778075166956,20.66856907571369,0,28
1,protected_ls,2,5,4.4082963744794335e-13,20.315436577716742,20.66856907571369,0,28,6.6970170730410565,0.7273433570998241,0.021001422788422666,1.1782554791081616e-06,4.303799557490483e-08,0.16184899270306793,0.1256107533715554,1.9242267382646137,0,0,0,17.48263548162204,20.66856907571369,0,28
1,tp_uic_stage1,2,5,4.4082963744794335e-13,19.617223192215704,20.66856907571369,0,28,6.6968140870995105,0.7285393552156245,0.02105746216825285,1.1821788424399993e-06,4.317262494243289e-08,0.16229086040881002,0.12567443195903452,1.632220680057718,0,0,0,17.140023086231352,20.66856907571369,0,28
1,tp_uic_full,2,5,4.4082963744794335e-13,21.070066396530315,20.66856907571369,1,28,32.63485871030528,0.888180366862286,0.031550835255120306,4.595923322916439e-06,5.185134709529316e-08,0.25691735829660217,0.1696310155239453,1.000000113233143,6,6,252,15.763282860371083,20.66856907571369,0,28
1,perfect_channel,2,5,4.4082963744794335e-13,38.00224675563125,20.66856907571369,1,28,inf,1.0,0.03411487210127712,7.105314405259251e-06,6.121173579752484e-08,0.2787574312966074,0.1743273513839361,1.0,0,0,0,24.906033591954248,20.66856907571369,1,28
2,no_ic,10,8,1.9150047618675183e-13,16.54059548910554,20.66856907571369,0,28,0.0,1.0,0.016869765523709522,1.3400942266710302e-08,5.496823891555705e-10,0.0492172415649316,0.04278988585742042,12.695183361267283,0,0,0,18.780624846312936,20.66856907571369,0,28
2,fixed_kappa,10,8,1.9150047618675183e-13,19.403380085913245,20.66856907571369,0,28,39.99999999999999,1.0,0.01815359185343937,1.6151679224277978e-08,6.908185374919997e-10,0.05340569092072874,0.04554203095417829,1.0011695183361262,0,0,0,26.407390779881123,20.66856907571369,1,28
2,plain_ls,10,8,1.9150047618675183e-13,14.70936185248853,20.66856907571369,0,28,30.953093277107726,0.7232480670193107,0.015725144304570487,7.90533367360993e-09,4.425889579156858e-10,0.04587624225716988,0.04053151821246187,0.9999999999999976,0,0,0,15.427563594326504,20.66856907571369,0,28
2,ridge_ls,10,8,1.9150047618675183e-13,15.507162181796057,20.66856907571369,0,28,30.991050875333435,0.7232620715265778,0.01612186230517882,8.02194647066534e-09,4.762170012375857e-10,0.04703364499808577,0.041528117456393704,0.9999999999999977,0,0,0,14.859254762724227,20.66856907571369,0,28
2,protected_ls,10,8,1.9150047618675183e-13,14.999486119256698,20.66856907571369,0,28,7.2805200991472425,0.7381776199993196,0.014979083593338827,9.9667770543331e-09,3.87710808837511e-10,0.042840528814196574,0.0380806044989065,1.1253284112690622,0,0,0,14.85007501792477,20.66856907571369,0,28
2,tp_uic_stage1,10,8,1.9150047618675183e-13,14.99431777759122,20.66856907571369,0,28,7.28080970045735,0.7381969109042308,0.014980487222413753,9.978213353377646e-09,3.8782713570444945e-10,0.042844932090990204,0.038084030527323114,1.1128395230957413,0,0,0,14.860234371511226,20.66856907571369,0,28
2,tp_uic_full,10,8,1.9150047618675183e-13,15.08506360436193,20.66856907571369,0,28,22.989184020336005,0.8665951093283825,0.01622180113478994,9.605889310636343e-09,4.799064495942986e-10,0.047693997177198175,0.04182935082588485,1.0000036389535918,9,9,378,15.458479743503135,20.66856907571369,0,28
2,perfect_channel,10,8,1.9150047618675183e-13,19.11931826185817,20.66856907571369,0,28,inf,1.0,0.01816446426974154,1.6220001823301787e-08,6.939918806806732e-10,0.0534773622293026,0.04558717343642434,1.0,0,0,0,25.993361612063893,20.66856907571369,1,28
3,no_ic,5,8,4.660177990035197e-13,18.88194968967278,20.66856907571369,0,28,0.0,1.0,0.0050186790167788395,1.826069302607999e-12,1.7564604367284135e-13,0.03221461085393073,0.018330793291456825,20.486173705883406,0,0,0,17.880912147163745,20.66856907571369,0,28
3,fixed_kappa,5,8,4.660177990035197e-13,20.165585177125287,20.66856907571369,0,28,40.0,1.0,0.005190171970122551,2.040983010878344e-12,2.1707743860517124e-13,0.03386024989928044,0.018596994618668136,1.0019486173705892,0,0,0,17.13356890043592,20.66856907571369,0,28
3,plain_ls,5,8,4.660177990035197e-13,22.118042690486632,20.66856907571369,1,28,35.89520873931778,0.48947413501233955,0.0035322389864099976,2.9444234999436786e-13,5.345088508790108e-14,0.022670215084556362,0.012310863197819637,0.9999999999999976,0,0,0,24.79087602938253,20.66856907571369,1,28
3,ridge_ls,5,8,4.660177990035197e-13,18.56431368067475,20.66856907571369,0,28,35.92753295944739,0.48965281312456427,0.004853246626991407,1.3253393075720255e-12,1.078859423431515e-13,0.03114861898148071,0.01815450334500762,0.999999999999999,0,0,0,17.079288094271938,20.66856907571369,0,28
3,protected_ls,5,8,4.660177990035197e-13,18.610170865121184,20.66856907571369,0,28,4.813778712661995,0.8926922192726482,0.0020595881418180315,7.044252154776048e-13,9.26377086567412e-14,0.012752601912280438,0.008291656043474331,1.9999999999975955,0,0,0,15.095479502694971,20.66856907571369,0,28
3,tp_uic_stage1,5,8,4.660177990035197e-13,18.070428261011653,20.66856907571369,0,28,4.814666026418384,0.8935798508106516,0.0029420678530894546,1.2919157293163787e-12,9.65593299138582e-14,0.018223882152657214,0.011269559266238445,1.0359592767798382,0,0,0,21.49252886757199,20.66856907571369,1,28
3,tp_uic_full,5,8,4.660177990035197e-13,17.54591796560796,20.66856907571369,0,28,25.15950691434437,0.5849885233226895,0.004497899273419186,1.4013589855919601e-12,1.2022877692797609e-13,0.02911442907215233,0.01677374923764215,1.0000033255985221,10,10,420,16.952135557975463,20.66856907571369,0,28
3,perfect_channel,5,8,4.660177990035197e-13,20.05304589845114,20.66856907571369,0,28,inf,1.0,0.005195460188454532,2.0637429545304714e-12,2.1812810329260943e-13,0.03394446382835488,0.018629137760030192,1.0,0,0,0,17.275151298582568,20.66856907571369,0,28
4,no_ic,9,5,7.072396343192347e-13,15.931094923291834,20.66856907571369,0,28,0.0,1.0,0.0001240980069461259,1.7082948634196477e-07,3.416518514848981e-09,0.000923100735921221,0.0006202754441137402,19.294524867396646,0,0,0,15.376208530146819,20.66856907571369,0,28
4,fixed_kappa,9,5,7.072396343192347e-13,22.168604536719588,20.66856907571369,1,28,39.999999999999986,1.0,0.00022550733203445452,3.8666642319431947e-07,4.729211357540876e-09,0.0018936890167561109,0.0009333367922902717,1.0018294524867395,0,0,0,13.179544139326643,20.66856907571369,0,28
4,plain_ls,9,5,7.072396343192347e-13,16.043625556266512,20.66856907571369,0,28,33.3615159876325,0.7387583595673832,7.355825587162792e-05,8.873731037216674e-08,9.52237824192359e-10,0.00054615441268802,0.0003383183475072239,0.9999999999999973,0,0,0,13.31317437192184,20.66856907571369,0,28
4,ridge_ls,9,5,7.072396343192347e-13,16.920715155397,20.66856907571369,0,28,33.364898616499616,0.7389265628134565,8.317537712615198e-05,1.0334742164218557e-07,1.4571460682232185e-09,0.0006175857047677008,0.0003954322683546126,0.9999999999999979,0,0,0,12.837968431698567,20.66856907571369,0,28
4,protected_ls,9,5,7.072396343192347e-13,18.631107404278282,20.66856907571369,0,28,3.6580399668496644,0.8192533644632085,6.873059018589187e-05,8.02863781276957e-08,1.7481383860437548e-09,0.0004835852371252615,0.00033256957329143007,1.999999999998079,0,0,0,15.66184096129911,20.66856907571369,0,28
4,tp_uic_stage1,9,5,7.072396343192347e-13,18.565775548159888,20.66856907571369,0,28,3.6581161096126893,0.848136171860296,8.130414285742457e-05,9.612898259407651e-08,1.7788423105026867e-09,0.0005723661214453986,0.0003842356588357101,1.1480129106026502,0,0,0,14.615417681766115,20.66856907571369,0,28
4,tp_uic_full,9,5,7.072396343192347e-13,15.815378213900555,20.66856907571369,0,28,24.43952303517001,1.0764091390349415,0.00010881255608422553,1.3860091182388296e-07,2.773514822567413e-09,0.0008349984319709274,0.0005725144378802887,1.0000144545746426,9,9,378,14.185955061877134,20.66856907571369,0,28
4,perfect_channel,9,5,7.072396343192347e-13,23.44154129098457,20.66856907571369,1,28,inf,1.0,0.00023051663929055368,4.029114276682388e-07,4.7281540244331465e-09,0.0019511036984677084,0.0009766349316077626,1.0,0,0,0,13.75339373046318,20.66856907571369,0,28
5,no_ic,7,6,3.4505034993416354e-13,26.27919023434551,20.66856907571369,1,28,0.0,1.0,0.008770119335122752,1.11591462879606e-07,8.44928305616964e-10,0.043911328976271764,0.042535197793971226,114.68246975233554,0,0,0,21.722500280347575,20.66856907571369,1,28
5,fixed_kappa,7,6,3.4505034993416354e-13,35.1982852121465,20.66856907571369,1,28,40.0,1.0,0.015250870096640487,1.5002539302245637e-07,1.9346508645575065e-09,0.07741112002916248,0.07555083158735618,1.0113682469752334,0,0,0,32.281473625515865,20.66856907571369,1,28
5,plain_ls,7,6,3.4505034993416354e-13,28.881876958738413,20.66856907571369,1,28,34.28556003573987,0.5852308291245018,0.00847954874677246,1.0363764374251923e-07,7.742281589637022e-10,0.04245538535480082,0.04114176052219864,0.9999999999999983,0,0,0,19.758224212326056,20.66856907571369,0,28
5,ridge_ls,7,6,3.4505034993416354e-13,28.851675254570985,20.66856907571369,1,28,34.29484923973875,0.5852354396307972,0.008479949674745151,1.0365918977366761e-07,7.745939541727916e-10,0.04245739454993991,0.04114357041983041,0.9999999999999976,0,0,0,19.761248435316084,20.66856907571369,0,28
