trial,budget,method,pd,pfa,pfa_active,active_targets,reports,observations,selected,detected_per_target
0,0,proposed_c2f_adaptive_pd,1.0,0.04,0.04,10,0,10,"{""0"": [[1, 4]], ""1"": [[0, 1]], ""2"": [[6, 4]], ""3"": [[6, 7]], ""4"": [[0, 9]], ""5"": [[0, 12]], ""6"": [[12, 4]], ""7"": [[2, 0]], ""8"": [[0, 13]], ""9"": [[2, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,0,sense_sinr_budgeted,0.3,0.02,0.06666666666666667,3,0,12,"{""0"": [], ""1"": [], ""2"": [], ""3"": [], ""4"": [[13, 9], [1, 9]], ""5"": [[13, 12], [11, 12], [9, 12], [1, 12], [5, 12]], ""6"": [], ""7"": [], ""8"": [[12, 13], [1, 13], [5, 13], [9, 13], [11, 13]], ""9"": []}","[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
0,0,balanced_sinr,1.0,0.03333333333333333,0.03333333333333333,10,0,12,"{""0"": [[14, 4]], ""1"": [[9, 1]], ""2"": [[14, 4]], ""3"": [[6, 7]], ""4"": [[13, 9]], ""5"": [[13, 12], [11, 12]], ""6"": [[14, 4]], ""7"": [[8, 0]], ""8"": [[12, 13], [1, 13]], ""9"": [[2, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,0,proposed_c2f_adaptive_pd,1.0,0.06666666666666667,0.06666666666666667,10,0,10,"{""0"": [[0, 13]], ""1"": [[0, 9]], ""2"": [[4, 2]], ""3"": [[1, 10]], ""4"": [[3, 12]], ""5"": [[4, 12]], ""6"": [[0, 12]], ""7"": [[1, 11]], ""8"": [[1, 8]], ""9"": [[0, 13]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,0,sense_sinr_budgeted,0.6,0.03666666666666667,0.06111111111111111,6,0,12,"{""0"": [[0, 13], [6, 13]], ""1"": [[6, 9]], ""2"": [[8, 2]], ""3"": [], ""4"": [[14, 12]], ""5"": [], ""6"": [[4, 12], [8, 12], [7, 12], [5, 12], [14, 12], [2, 12]], ""7"": [[3, 11]], ""8"": [], ""9"": []}","[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]"
1,0,balanced_sinr,1.0,0.05333333333333334,0.05333333333333334,10,0,12,"{""0"": [[0, 13], [6, 13]], ""1"": [[6, 9]], ""2"": [[8, 2]], ""3"": [[6, 10]], ""4"": [[14, 12]], ""5"": [[8, 12]], ""6"": [[4, 12], [8, 12]], ""7"": [[3, 11]], ""8"": [[3, 8]], ""9"": [[0, 13]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,0,proposed_c2f_adaptive_pd,1.0,0.04,0.04,10,0,12,"{""0"": [[2, 0]], ""1"": [[13, 2], [1, 2], [8, 2]], ""2"": [[8, 10]], ""3"": [[2, 4]], ""4"": [[2, 1]], ""5"": [[0, 6]], ""6"": [[1, 13]], ""7"": [[1, 2]], ""8"": [[3, 11]], ""9"": [[4, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,0,sense_sinr_budgeted,0.5,0.03,0.06,5,0,12,"{""0"": [[7, 0], [6, 0]], ""1"": [], ""2"": [], ""3"": [], ""4"": [[8, 1], [13, 1]], ""5"": [[7, 6], [12, 6], [0, 6], [5, 6]], ""6"": [[2, 13], [14, 13]], ""7"": [], ""8"": [], ""9"": [[13, 1], [10, 1]]}","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
2,0,balanced_sinr,0.9,0.05333333333333334,0.05333333333333334,10,0,12,"{""0"": [[7, 0], [6, 0]], ""1"": [[13, 2]], ""2"": [[8, 10]], ""3"": [[7, 4]], ""4"": [[8, 1]], ""5"": [[7, 6], [12, 6]], ""6"": [[2, 13]], ""7"": [[13, 2]], ""8"": [[3, 11]], ""9"": [[13, 1]]}","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
3,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0.03666666666666667,10,0,10,"{""0"": [[5, 0]], ""1"": [[0, 6]], ""2"": [[1, 8]], ""3"": [[3, 4]], ""4"": [[12, 0]], ""5"": [[2, 8]], ""6"": [[0, 14]], ""7"": [[3, 4]], ""8"": [[1, 5]], ""9"": [[2, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
