model,comm_error_model,coarse_rounds,fine_rounds,utility_first,utility_final,rounds_to_99pct,rounds_to_999pct,rounds_to_90pct,score_evaluations,coordination_messages,fine_eval_full,fine_eval_c2f,select_seconds,dist_coarse_rounds,dist_bid_rounds,dist_rounds_to_99pct,dist_score_evaluations,dist_coordination_messages,dist_select_seconds,central_pd,central_mean_target_pd,central_reports,central_observations,central_delay_ms,central_bits,distributed_pd,distributed_mean_target_pd,distributed_reports,distributed_observations,distributed_delay_ms,distributed_bits,area_m,rcs_m2,trial
orthogonal,gaussian_replacement,51.0,47.0,-6.472232894171622,-3.18585493641936,37,46,13,31303.0,31303.0,1106.0,168.0,3.186339500010945,51.0,99.0,37,31303.0,769.0,3.113242099992931,0.5,0.5,7.0,47.0,7.466666666666669,4480.0,0.5,0.5,7.0,47.0,7.466666666666669,4480.0,400.0,0.05,0
active_set,gaussian_replacement,51.0,50.0,-6.472232894171622,-3.18585493641936,37,46,13,29832.0,29832.0,1106.0,168.0,3.0446844999678433,51.0,102.0,37,29832.0,798.0,3.0541634999681264,0.4,0.4,1.0,50.0,1.0666666666666667,640.0,0.4,0.4,1.0,50.0,1.0666666666666667,640.0,400.0,0.05,0
full_concurrent,gaussian_replacement,51.0,50.0,-6.472232894171622,-3.18585493641936,37,46,13,29832.0,29832.0,1106.0,168.0,3.0565300000598654,51.0,102.0,37,29832.0,798.0,3.15855890000239,0.4,0.4,1.0,50.0,1.0666666666666667,640.0,0.4,0.4,1.0,50.0,1.0666666666666667,640.0,400.0,0.05,0
orthogonal,gaussian_replacement,56.0,53.0,-6.472232894171622,-3.8131505711233498,42,50,21,32269.0,32269.0,966.0,190.0,3.1918367999605834,56.0,110.0,42,32269.0,805.0,3.2689562001032755,0.4,0.4,8.0,53.0,8.533333333333335,5120.0,0.4,0.4,8.0,53.0,8.533333333333335,5120.0,400.0,0.05,1
active_set,gaussian_replacement,56.0,55.0,-6.472232894171622,-3.8131505711233498,42,50,21,31099.0,31099.0,966.0,190.0,3.284338800003752,56.0,112.0,42,31099.0,825.0,3.3277199000585824,0.4,0.4,7.0,55.0,7.466666666666669,4480.0,0.4,0.4,7.0,55.0,7.466666666666669,4480.0,400.0,0.05,1
full_concurrent,gaussian_replacement,56.0,55.0,-6.472232894171622,-3.8131505711233498,42,50,21,31099.0,31099.0,966.0,190.0,3.300183199928142,56.0,112.0,42,31099.0,825.0,3.3600774001097307,0.4,0.4,7.0,55.0,7.466666666666669,4480.0,0.4,0.4,7.0,55.0,7.466666666666669,4480.0,400.0,0.05,1
orthogonal,gaussian_replacement,48.0,46.0,-6.472232894171622,-2.73130844453113,35,45,13,25759.0,25759.0,1120.0,165.0,2.8106744000688195,48.0,95.0,35,25759.0,753.0,2.698814900009893,0.6,0.6,8.0,46.0,8.533333333333335,5120.0,0.6,0.6,8.0,46.0,8.533333333333335,5120.0,400.0,0.05,2
active_set,gaussian_replacement,48.0,42.0,-6.472232894171622,-2.73130844453113,35,45,13,25242.0,25242.0,1120.0,165.0,2.8476321999914944,48.0,91.0,35,25242.0,749.0,2.7368326999712735,0.5,0.5,1.0,42.0,1.0666666666666667,640.0,0.5,0.5,1.0,42.0,1.0666666666666667,640.0,400.0,0.05,2
full_concurrent,gaussian_replacement,48.0,42.0,-6.472232894171622,-2.73130844453113,35,45,13,25242.0,25242.0,1120.0,165.0,2.9110385000240058,48.0,91.0,35,25242.0,749.0,2.7674005000153556,0.5,0.5,1.0,42.0,1.0666666666666667,640.0,0.5,0.5,1.0,42.0,1.0666666666666667,640.0,400.0,0.05,2
orthogonal,gaussian_replacement,54.0,48.0,-6.472232894171622,-2.431998398052269,39,47,20,41731.0,41731.0,1218.0,181.0,3.6094927000813186,54.0,103.0,39,41731.0,802.0,3.493712699972093,0.6,0.6,8.0,48.0,8.533333333333335,5120.0,0.6,0.6,8.0,48.0,8.533333333333335,5120.0,400.0,0.05,3
active_set,gaussian_replacement,54.0,52.0,-6.472232894171622,-2.431998398052269,39,47,20,40677.0,40677.0,1218.0,181.0,3.6210603000363335,54.0,107.0,39,40677.0,833.0,3.5521717000519857,0.6,0.6,2.0,52.0,2.1333333333333333,1280.0,0.6,0.6,2.0,52.0,2.1333333333333333,1280.0,400.0,0.05,3
full_concurrent,gaussian_replacement,54.0,52.0,-6.472232894171622,-2.431998398052269,39,47,20,40677.0,40677.0,1218.0,181.0,3.584685100009665,54.0,107.0,39,40677.0,833.0,3.6075529999798164,0.6,0.6,2.0,52.0,2.1333333333333333,1280.0,0.6,0.6,2.0,52.0,2.1333333333333333,1280.0,400.0,0.05,3
orthogonal,gaussian_replacement,52.0,50.0,-6.472232894171622,-2.3921911552035193,41,49,21,29869.0,29869.0,1064.0,177.0,3.040117700002156,52.0,103.0,41,29869.0,811.0,3.0488021000055596,0.6,0.6,8.0,50.0,8.533333333333335,5120.0,0.6,0.6,8.0,50.0,8.533333333333335,5120.0,400.0,0.05,4
