trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,3,10,0.3,14,300,0.04666666666666667,46,3,43,1920.0,3.2,37.46064939989386,0.028550464636953488,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33267.0,33267.0,0.0,0.0,"7,10,7,10,10,12,7,1,3,12","0:4-7;1:3-10;2:7-0,13-7;3:3-10,0-10,9-10,12-10,8-10,2-10;4:3-10,0-10,9-10,8-10,12-10,2-10;5:7-12,8-12,0-12,4-12,11-12,9-12;6:4-7,7-4,6-7,14-7,5-7,8-7;7:2-1,9-1,11-1,13-1,0-1,8-1;8:10-3,3-10,9-3,0-3,2-3,8-3;9:7-12,0-12,8-12,11-12,4-12,9-12"
1,proposed_c2f_adaptive_pd,4,10,0.4,15,300,0.05,55,11,44,7040.0,11.733333333333336,0.2779193705429478,0.11688594595801825,0.9818181818181818,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37014.0,37014.0,0.0,0.0,"7,8,5,12,3,6,14,4,2,1","0:5-7,7-5,8-7,10-7,13-7,6-7;1:8-7,7-8,5-8,6-8,4-8,8-5;2:5-7,7-5,10-5,8-5,5-10,13-5;3:3-12,12-3,11-12,1-12,2-12,0-12;4:11-3,3-11,2-3,3-2,12-3,7-3;5:8-6,4-6,13-6,10-6,5-6,7-6;6:0-14,1-14,9-14,12-14,4-14,11-14;7:8-4,1-4,5-4,4-1,9-4,7-4;8:11-2,2-11,3-2,12-2,7-2,8-2;9:12-5"
2,proposed_c2f_adaptive_pd,3,10,0.3,12,300,0.04,60,11,49,7040.0,11.733333333333336,0.8493487320414287,0.12196975019576406,1.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50101.0,50101.0,0.0,0.0,"12,14,12,11,13,14,6,4,8,14","0:7-12,12-7,2-12,10-12,0-12,6-12;1:2-14,10-14,8-14,3-14,14-8,0-14;2:7-12,12-7,2-12,0-12,10-12,6-12;3:11-8,8-11,1-11,4-11,14-11,3-11;4:3-13,13-3,14-13,5-13,1-13,11-13;5:3-14,14-3,1-14,11-14,13-14,8-14;6:0-6,9-6,10-6,2-6,8-6,14-6;7:11-4,8-4,4-8,4-11,1-4,9-4;8:9-8,4-8,8-9,8-4,11-8,10-8;9:3-14,14-3,13-14,11-14,5-14,8-14"
3,proposed_c2f_adaptive_pd,4,10,0.4,20,300,0.06666666666666667,46,15,31,9600.0,16.000000000000004,1.0972300130620565,0.29437093679664234,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48568.0,48568.0,0.0,0.0,"14,13,1,14,4,11,5,4,10,0","0:14-4;1:6-13,13-6,13-7,9-13,7-13,10-13;2:5-2;3:12-14,10-14;4:10-4,14-4,11-4,8-4,5-4,6-4;5:11-8,8-11,11-4,4-11,11-2,2-11;6:1-5,5-1,4-5,2-5,14-5,12-5;7:11-4,4-11,8-4,2-4,11-8,5-4;8:10-7,7-10,6-10,14-10,10-6,10-14;9:3-0,1-0,12-0,0-1,0-12,14-0"
4,proposed_c2f_adaptive_pd,2,10,0.2,14,300,0.04666666666666667,55,11,44,7040.0,11.733333333333336,13.005611407956204,0.4594639463942822,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42598.0,42598.0,0.0,0.0,"2,11,6,13,2,11,13,7,10,10","0:8-2,2-8,10-2,7-2,13-2,4-2;1:4-11,6-11,8-11,7-11,5-11,14-11;2:4-6,6-4,5-6,14-6,6-5,11-6;3:10-13,12-13,13-10,13-12,2-13,9-13;4:2-7;5:8-11,4-11,6-11,7-11,2-11,5-11;6:10-13,13-10,12-13,8-13,7-13,0-13;7:7-4,4-7,14-7,5-7,8-7,2-7;8:13-10,10-13,12-10,14-10,7-10,2-10;9:10-13,13-10,2-10,14-10,12-10,10-2"
5,proposed_c2f_adaptive_pd,2,10,0.2,10,300,0.03333333333333333,50,9,41,5760.0,9.600000000000003,1.607393325505288,0.008499793317804576,1.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49358.0,49358.0,0.0,0.0,"12,12,8,11,7,13,1,11,0,7","0:0-12,10-12,2-12,1-12,6-12,4-12;1:10-12,0-12,2-12,8-12,6-12,1-12;2:12-8,8-12,13-8,0-8,6-8,1-8;3:11-7;4:5-7,7-5,3-7,14-7,9-7,1-7;5:11-13,13-11,8-13,12-13,1-13,6-13;6:6-1,1-6,14-1,9-1,11-1,3-1;7:11-7;8:10-0,0-10,4-0,2-0,12-0,0-4;9:5-7,7-5,3-7,14-7,9-7,1-7"
6,proposed_c2f_adaptive_pd,1,10,0.1,20,300,0.06666666666666667,55,18,37,11520.0,19.200000000000006,0.6332649351564378,0.2755718282895885,1.0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51911.0,51911.0,0.0,0.0,"11,12,11,7,0,7,13,9,13,10","0:14-11,11-14,7-11,11-7,8-11,5-11;1:2-12,0-12,12-2,12-0,11-12,12-11;2:11-14,14-11,7-11,11-7,12-11,7-14;3:11-7,7-11,12-7,9-7,7-12,0-7;4:2-0,0-2,12-0,0-12,1-0,0-1;5:5-7,7-5,11-7,14-7,8-7,9-7;6:0-13,6-13,9-13,4-13,13-0,12-13;7:7-9,6-9,9-7,13-9,4-9,11-9;8:6-13,13-6,0-13,4-13,9-13,12-13;9:10-0"
7,proposed_c2f_adaptive_pd,4,10,0.4,15,300,0.05,60,16,44,10240.0,17.06666666666667,119.86124193311946,0.5101869921597053,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44274.0,44274.0,0.0,0.0,"10,4,2,8,6,11,9,1,0,7","0:3-10,10-3,11-10,8-10,13-10,1-10;1:1-4,4-1,11-4,4-11,8-4,0-4;2:14-2,2-14,6-2,12-2,5-2,0-2;3:8-13,13-8,11-8,10-8,8-11,10-13;4:13-6,6-13,7-6,2-6,12-6,8-6;5:11-10,6-11,0-11,14-11,5-11,7-11;6:0-9,9-0,12-9,4-9,14-9,1-9;7:1-4,4-1,1-8,8-1,1-11,11-1;8:0-9,9-0,12-0,0-12,4-0,8-0;9:2-7,6-7,7-2,13-7,12-7,3-7"
8,proposed_c2f_adaptive_pd,1,10,0.1,19,300,0.06333333333333334,50,18,32,11520.0,19.200000000000006,4.065591048817317,0.15282285774854407,1.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36767.0,36767.0,0.0,0.0,"12,14,13,13,11,4,8,3,10,12","0:9-12,12-9,5-12,12-5,9-5,3-12;1:10-14,14-10,13-14,13-10,2-14,7-14;2:13-7;3:13-7;4:0-11,11-0,4-11,8-11,7-11,9-11;5:4-6,6-4,7-4,4-7,0-4,11-4;6:8-0,0-8,3-8,8-3,9-8,8-9;7:3-0,4-3,11-3,1-3,13-3,6-3;8:14-10,10-14,13-10,3-10,2-10,8-10;9:9-12,5-12,12-9,12-5,3-12,12-3"
9,proposed_c2f_adaptive_pd,0,10,0.0,17,300,0.056666666666666664,55,6,49,3840.0,6.400000000000001,0.08767899227013785,0.026273511917965873,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49596.0,49596.0,0.0,0.0,"9,13,0,2,14,9,0,5,0,4","0:7-9,0-9,1-9,10-9,2-9,5-9;1:11-13,5-13,8-13,0-13,14-13,3-13;2:5-0,8-0,4-0,7-0,1-0,9-0;3:5-2,14-2,8-2,7-2,2-5,9-2;4:8-14,5-14,14-8,2-14,0-14,13-14;5:10-9,7-9,1-9,12-9,6-9,2-9;6:4-0,13-0,0-4,8-0,11-0,3-0;7:5-8,8-5,14-5,2-5,0-5,7-5;8:0-3;9:1-4,0-4,4-0,10-4,3-4,12-4"
10,proposed_c2f_adaptive_pd,0,10,0.0,18,300,0.06,55,9,46,5760.0,9.600000000000003,0.42142287918205196,0.02060053113648297,1.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51197.0,51197.0,0.0,0.0,"5,3,6,6,12,12,10,10,0,8","0:0-5,5-0,4-5,7-5,11-5,1-5;1:6-3,1-3,11-3,0-3,13-3,2-3;2:6-1;3:3-6,6-3,11-6,2-6,0-6,1-6;4:10-12,12-10,7-12,4-12,6-12,5-12;5:12-7,13-12,2-12,1-12,10-12,11-12;6:12-10,10-12,8-10,10-8,7-10,6-10;7:12-10,8-10,10-12,2-10,6-10,9-10;8:6-0,3-0,11-0,1-0,0-3,5-0;9:9-8,13-8,14-8,2-8,6-8,12-8"
11,proposed_c2f_adaptive_pd,4,10,0.4,19,300,0.06333333333333334,60,12,48,7680.0,12.800000000000004,6.337691345151715,0.5665754506912856,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49018.0,49018.0,0.0,0.0,"11,11,3,14,14,2,13,5,4,7","0:1-11,9-11,13-11,11-1,5-11,11-9;1:13-11,14-11,11-14,5-11,1-11,8-11;2:10-3,3-10,7-3,3-7,12-3,2-3;3:7-14,2-14,5-14,3-14,13-14,10-14;4:5-14,13-14,11-14,14-5,9-14,1-14;5:7-2,2-7,14-2,10-2,3-2,11-2;6:13-5,5-13,11-5,11-13,14-13,8-13;7:13-5,5-13,8-5,11-5,14-5,1-5;8:4-0,0-4,2-4,6-4,11-4,12-4;9:3-7,7-3,10-7,2-7,12-7,14-7"
