trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,weak_target_index,weak_target_detected,receiver_capacity_max_utilization,receiver_capacity_binding,fusion_capacity_max_utilization,fusion_capacity_binding,report_capacity_utilization,report_capacity_binding,assignment_capacity_max_utilization,assignment_capacity_binding,cpu_capacity_max_utilization,cpu_capacity_binding,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,10,0,10,0.0,0.0,60592.03210431262,1153.3123605021833,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10967.0,10967.0,0.0,0.0,"7,10,7,3,3,7,12,13,3,10",0:0-7;1:0-10;2:0-7;3:0-3;4:0-3;5:0-7;6:0-12;7:1-13;8:0-3;9:0-10
1,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,10,0,10,0.0,0.0,959.9787920318671,260.3080615062295,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10043.0,10043.0,0.0,0.0,"5,3,13,14,5,5,14,1,7,1",0:1-5;1:0-3;2:0-13;3:0-14;4:1-5;5:1-5;6:0-14;7:0-1;8:2-7;9:4-1
2,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,10,0,10,0.0,0.0,4075.305041673816,1096.8538731646472,1.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13123.0,13123.0,0.0,0.0,"6,6,6,11,1,13,0,6,10,8",0:0-6;1:0-6;2:0-6;3:0-11;4:0-1;5:0-13;6:2-0;7:0-6;8:0-10;9:0-8
3,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,12,0,12,0.0,0.0,5260.843358915355,114.13005870624811,1.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14932.0,14932.0,0.0,0.0,"5,12,3,7,4,10,5,14,12,0","0:0-5;1:0-12;2:0-3;3:0-7;4:0-4;5:14-10,6-10;6:0-5;7:0-14;8:0-12;9:12-0,9-0"
4,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,16,4,12,2560.0,4.266666666666667,1813.7686207622944,410.2645321184241,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20332.0,20332.0,0.0,0.0,"2,4,4,2,2,11,13,4,13,4","0:3-2;1:4-1,7-4;2:0-4;3:8-2;4:8-2,8-7,13-2,13-7,10-2,10-7;5:0-11;6:0-13;7:0-4;8:0-13;9:0-4"
5,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,10,0,10,0.0,0.0,7334.76847556791,2113.603572491868,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13095.0,13095.0,0.0,0.0,"8,2,8,11,5,13,10,11,2,5",0:1-8;1:0-2;2:0-8;3:0-11;4:1-5;5:0-13;6:0-10;7:7-11;8:0-2;9:1-5
6,proposed_c2f_adaptive_pd,9,10,0.9,14,270,0.05185185185185185,10,0,10,0.0,0.0,1837.2497494739378,225.39268616180706,0.9,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11751.0,11751.0,0.0,0.0,"8,10,5,6,3,9,13,6,6,10",0:0-8;1:0-10;2:0-5;3:0-6;4:6-3;5:0-9;6:4-13;7:0-6;8:0-6;9:2-10
7,proposed_c2f_adaptive_pd,9,10,0.9,18,270,0.06666666666666667,10,0,10,0.0,0.0,452830388.4260653,3793.6074631712418,0.9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13599.0,13599.0,0.0,0.0,"10,4,5,8,7,10,9,13,1,2",0:4-10;1:8-4;2:0-5;3:0-8;4:0-7;5:0-10;6:0-9;7:0-13;8:0-1;9:0-2
8,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,18,7,11,4480.0,7.466666666666669,5856.244564361454,257.6247275911286,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19674.0,19674.0,0.0,0.0,"5,2,10,2,6,13,7,9,10,5","0:0-5;1:0-2;2:2-10;3:1-0,14-0,8-2;4:0-6;5:0-13;6:0-7;7:8-9,10-9;8:10-13,10-14,14-13,14-10,8-13,0-13;9:9-5"
9,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,2718.5572626546104,488.4654416690556,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11275.0,11275.0,0.0,0.0,"0,11,4,2,8,6,0,14,0,11",0:1-0;1:0-11;2:0-4;3:0-2;4:2-8;5:0-6;6:4-0;7:0-14;8:1-0;9:0-11
