trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
0,0,proposed_c2f_adaptive_pd,1.0,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3253121000016108
0,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.3253323000390083
1,0,proposed_c2f_adaptive_pd,0.9,0.06333333333333334,0,30,0.0,0.0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1.0,2.749715599929914
1,0,sense_sinr_budgeted,0.9,0.04,0,60,0.0,0.0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1.0,2.7497362999711186
2,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3502208999125287
2,0,sense_sinr_budgeted,1.0,0.07,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.350241499952972
3,0,proposed_c2f_adaptive_pd,1.0,0.07666666666666666,0,23,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,2.072229199926369
3,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,2.0722502999706194
4,0,proposed_c2f_adaptive_pd,1.0,0.05,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1648219999624416
4,0,sense_sinr_budgeted,1.0,0.03666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.164842400001362
5,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,13,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.5494563999818638
5,0,sense_sinr_budgeted,1.0,0.05,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.549478599918075
6,0,proposed_c2f_adaptive_pd,1.0,0.06,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1776938999537379
6,0,sense_sinr_budgeted,1.0,0.056666666666666664,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.17771580000408
7,0,proposed_c2f_adaptive_pd,1.0,0.07666666666666666,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4432192000094801
7,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4432425999548286
8,0,proposed_c2f_adaptive_pd,0.9,0.06333333333333334,0,10,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2065073000267148
8,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2065296999644488
9,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,16,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.5865001999773085
9,0,sense_sinr_budgeted,1.0,0.06333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.586522200028412
10,0,proposed_c2f_adaptive_pd,1.0,0.06,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3869728000136092
10,0,sense_sinr_budgeted,1.0,0.03666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3869990999810398
