trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
0,0,proposed_c2f_adaptive_pd,1.0,0.04,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0621866000583395
0,0,sense_sinr_budgeted,0.3,0.02,0,12,0.0,0.0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",1.0,1.0622009000508115
1,0,proposed_c2f_adaptive_pd,1.0,0.06666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1491511000785977
1,0,sense_sinr_budgeted,0.6,0.03666666666666667,0,12,0.0,0.0,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1.0,1.149160800036043
2,0,proposed_c2f_adaptive_pd,1.0,0.04,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.134645099984482
2,0,sense_sinr_budgeted,0.5,0.03,0,12,0.0,0.0,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1]",1.0,1.1346551000606269
3,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.095104500069283
3,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",1.0,1.0951145000290126
4,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.218008799944073
4,0,sense_sinr_budgeted,0.3,0.006666666666666667,0,12,0.0,0.0,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1.0,1.2180189999053255
5,0,proposed_c2f_adaptive_pd,1.0,0.05,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1331111000617966
5,0,sense_sinr_budgeted,0.5,0.016666666666666666,0,12,0.0,0.0,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1]",1.0,1.1331214000238106
6,0,proposed_c2f_adaptive_pd,1.0,0.06,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.050929799908772
6,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",1.0,1.05093999998644
7,0,proposed_c2f_adaptive_pd,0.9,0.03333333333333333,0,12,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.064516399987042
7,0,sense_sinr_budgeted,0.6,0.043333333333333335,0,12,0.0,0.0,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1]",1.0,1.0645268000662327
8,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1020102000329643
8,0,sense_sinr_budgeted,0.4,0.023333333333333334,0,12,0.0,0.0,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]",1.0,1.1020223000086844
9,0,proposed_c2f_adaptive_pd,1.0,0.05,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1046938000945374
9,0,sense_sinr_budgeted,0.4,0.016666666666666666,0,12,0.0,0.0,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",1.0,1.1047137000132352
10,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2553309999639168
10,0,sense_sinr_budgeted,0.5,0.016666666666666666,0,12,0.0,0.0,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",1.0,1.2553432999411598
11,0,proposed_c2f_adaptive_pd,1.0,0.04,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.103296900051646
11,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]",1.0,1.1033095000311732
12,0,proposed_c2f_adaptive_pd,1.0,0.04,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.155610500019975
