condition,trial,seed,pd_before,pd_after,pfa_before,pfa_after,reports_before,reports_after,report_lower_bound,already_at_count_bound,changed_targets,candidate_pd_evaluations,min_predicted_pd_change,fine_evaluations_before,fine_evaluations_after
nominal,0,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,56.0,56.0
nominal,1,2026,1.0,1.0,0.03333333333333333,0.03333333333333333,0,0,0,1,0,0,0.0,56.0,56.0
nominal,2,2026,1.0,1.0,0.07,0.07,0,0,0,1,0,0,0.0,59.0,59.0
nominal,3,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,3,3,3,1,0,0,0.0,60.0,60.0
nominal,4,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,5,2026,0.9,0.9,0.043333333333333335,0.043333333333333335,0,0,0,1,0,0,0.0,55.0,55.0
nominal,6,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,57.0,57.0
nominal,7,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,8,2026,1.0,1.0,0.07333333333333333,0.07333333333333333,0,0,0,1,0,0,0.0,63.0,63.0
nominal,9,2026,0.9,0.9,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,10,2026,1.0,1.0,0.03666666666666667,0.03666666666666667,1,1,1,1,0,0,0.0,60.0,60.0
nominal,11,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,0,0,0,1,0,0,0.0,55.0,55.0
nominal,12,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,61.0,61.0
nominal,13,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,3,3,3,1,0,0,0.0,67.0,67.0
nominal,14,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,55.0,55.0
nominal,15,2026,1.0,1.0,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,55.0,55.0
nominal,16,2026,0.9,0.9,0.04,0.04,0,0,0,1,0,0,0.0,56.0,56.0
nominal,17,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,18,2026,0.9,0.9,0.07333333333333333,0.07333333333333333,1,1,1,1,0,0,0.0,61.0,61.0
nominal,19,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,3,3,3,1,0,0,0.0,67.0,67.0
nominal,20,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,1,1,1,1,0,0,0.0,60.0,60.0
nominal,21,2026,1.0,1.0,0.06,0.06,1,1,1,1,0,0,0.0,81.0,81.0
nominal,22,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,23,2026,0.9,0.9,0.04666666666666667,0.04666666666666667,1,1,1,1,0,0,0.0,64.0,64.0
nominal,24,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,93.0,93.0
nominal,25,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,67.0,67.0
nominal,26,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,2,2,2,1,0,0,0.0,74.0,74.0
nominal,27,2026,1.0,1.0,0.05,0.05,1,1,1,1,0,0,0.0,60.0,60.0
nominal,28,2026,1.0,1.0,0.07333333333333333,0.07333333333333333,0,0,0,1,0,0,0.0,56.0,56.0
nominal,29,2026,0.9,0.9,0.05,0.05,4,4,4,1,0,0,0.0,78.0,78.0
nominal,30,2026,1.0,1.0,0.07666666666666666,0.07666666666666666,0,0,0,1,0,0,0.0,55.0,55.0
nominal,31,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,55.0,55.0
nominal,32,2026,1.0,1.0,0.04,0.04,1,1,1,1,0,0,0.0,59.0,59.0
nominal,33,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,56.0,56.0
nominal,34,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,62.0,62.0
nominal,35,2026,1.0,1.0,0.08333333333333333,0.08333333333333333,4,2,2,0,1,1,0.0,60.0,60.0
nominal,36,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,56.0,56.0
nominal,37,2026,1.0,1.0,0.02666666666666667,0.02666666666666667,0,0,0,1,0,0,0.0,67.0,67.0
nominal,38,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,2,2,2,1,0,0,0.0,60.0,60.0
nominal,39,2026,0.9,0.9,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,40,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,59.0,59.0
nominal,41,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,55.0,55.0
nominal,42,2026,1.0,1.0,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,55.0,55.0
nominal,43,2026,0.9,0.9,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,44,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,56.0,56.0
nominal,45,2026,1.0,1.0,0.06666666666666667,0.06666666666666667,1,1,1,1,0,0,0.0,73.0,73.0
nominal,46,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,47,2026,1.0,1.0,0.04,0.04,0,0,0,1,0,0,0.0,56.0,56.0
nominal,48,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,57.0,57.0
nominal,49,2026,0.9,0.9,0.06,0.06,1,1,1,1,0,0,0.0,78.0,78.0
nominal,50,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,1,1,1,1,0,0,0.0,56.0,56.0
nominal,51,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,52,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,53,2026,1.0,1.0,0.03333333333333333,0.03333333333333333,0,0,0,1,0,0,0.0,55.0,55.0
nominal,54,2026,0.8,0.8,0.043333333333333335,0.043333333333333335,5,1,1,0,1,1,0.0,60.0,60.0
nominal,55,2026,1.0,1.0,0.03666666666666667,0.03666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,56,2026,1.0,1.0,0.07,0.07,2,2,2,1,0,0,0.0,60.0,60.0
nominal,57,2026,1.0,1.0,0.07,0.07,0,0,0,1,0,0,0.0,55.0,55.0
nominal,58,2026,0.9,0.9,0.06333333333333334,0.06333333333333334,1,1,1,1,0,0,0.0,61.0,61.0
nominal,59,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,0,0,0,1,0,0,0.0,55.0,55.0
nominal,60,2026,0.9,0.9,0.056666666666666664,0.056666666666666664,5,5,5,1,0,0,0.0,114.0,114.0
nominal,61,2026,0.9,0.9,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,57.0,57.0
nominal,62,2026,1.0,1.0,0.03,0.03,0,0,0,1,0,0,0.0,58.0,58.0
nominal,63,2026,0.8,0.8,0.04666666666666667,0.04666666666666667,5,5,5,1,0,0,0.0,86.0,86.0
nominal,64,2026,1.0,1.0,0.03,0.03,0,0,0,1,0,0,0.0,56.0,56.0
nominal,65,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,1,1,1,1,0,0,0.0,60.0,60.0
nominal,66,2026,1.0,1.0,0.06666666666666667,0.06666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,67,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,1,1,1,1,0,0,0.0,60.0,60.0
nominal,68,2026,0.9,0.9,0.04,0.04,0,0,0,1,0,0,0.0,56.0,56.0
