condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
rcs1_k0,0,v1,1.0,0.056666666666666664,0,15,10,1.0,0.0,0.0,1.0139856999740005,0.0,0,0
rcs1_k0,0,joint,1.0,0.056666666666666664,0,15,10,1.0,0.0,0.0,1.1046014999737963,0.0,297,0
rcs1_k0,0,balanced,1.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.6764961000299081,0.0,0,0
rcs1_k0,0,robust,1.0,0.06,0,51,10,1.0,0.0,0.0,4.201427099993452,0.0,0,0
rcs1_k0,1,v1,0.9,0.03333333333333333,0,22,10,1.0,0.0,0.0,1.3131393999792635,0.0,0,0
rcs1_k0,1,joint,0.9,0.03333333333333333,0,22,10,1.0,0.0,0.0,1.4022318000206724,0.0,297,0
rcs1_k0,1,balanced,1.0,0.023333333333333334,0,60,10,0.9833333333333333,0.0,0.0,0.6236833999864757,0.0,0,0
rcs1_k0,1,robust,1.0,0.016666666666666666,0,48,10,1.0,0.0,0.0,3.9604995000408962,0.0,0,0
rcs1_k0,2,v1,0.9,0.07333333333333333,0,11,10,1.0,0.0,0.0,0.7984513000119478,0.0,0,0
rcs1_k0,2,joint,0.9,0.07333333333333333,0,11,10,1.0,0.0,0.0,0.877725400030613,0.0,286,0
rcs1_k0,2,balanced,0.9,0.06,0,60,10,0.95,0.0,0.0,0.8381862000096589,0.0,0,0
rcs1_k0,2,robust,0.8,0.03666666666666667,0,42,10,0.9523809523809523,0.0,0.0,3.884280900005251,0.0,0,0
rcs1_k0,3,v1,0.7,0.05333333333333334,0,21,10,1.0,0.0,0.0,1.3581864999141544,0.0,0,0
rcs1_k0,3,joint,0.7,0.05333333333333334,0,21,10,1.0,0.0,0.0,1.451797099900432,0.0,311,0
rcs1_k0,3,balanced,0.9,0.05333333333333334,0,60,10,0.9833333333333333,0.0,0.0,0.7475036999676377,0.0,0,0
rcs1_k0,3,robust,0.9,0.04,0,48,10,0.9791666666666666,0.0,0.0,4.064905700040981,0.0,0,0
rcs1_k0,4,v1,1.0,0.03666666666666667,0,29,10,1.0,0.0,0.0,1.9172286000102758,0.0,0,0
rcs1_k0,4,joint,1.0,0.04666666666666667,0,20,10,1.0,0.0,0.0,2.0396848000818864,0.561059629544478,333,3
rcs1_k0,4,balanced,0.9,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.740720700006932,0.0,0,0
rcs1_k0,4,robust,1.0,0.05,0,53,10,1.0,0.0,0.0,4.714003499946557,0.0,0,0
rcs1_k0,5,v1,1.0,0.05333333333333334,0,32,10,1.0,0.0,0.0,2.433189300005324,0.0,0,0
