condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
k0,0,v1,1.0,0.03,0,11,10,1.0,0.0,0.0,0.32538940000813454,0.0,0,0
k0,0,joint,1.0,0.03,0,11,10,1.0,0.0,0.0,0.3735228000441566,0.0,274,0
k0,0,balanced,1.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.22719969996251166,0.0,0,0
k0,0,robust,1.0,0.03666666666666667,0,15,10,1.0,0.0,0.0,0.4340570999775082,0.0,0,0
k0,1,v1,0.9,0.013333333333333334,0,13,10,0.9230769230769231,0.0,0.0,0.3785839000483975,0.0,0,0
k0,1,joint,0.9,0.013333333333333334,0,13,10,0.9230769230769231,0.0,0.0,0.4238558999495581,0.0,286,0
k0,1,balanced,1.0,0.05333333333333334,0,60,10,0.9666666666666667,0.0,0.0,0.24655800010077655,0.0,0,0
k0,1,robust,0.9,0.013333333333333334,0,18,10,0.9444444444444444,0.0,0.0,0.673499499913305,0.0,0,0
k0,2,v1,1.0,0.06,0,15,10,1.0,0.0,0.0,0.4908683999674395,0.0,0,0
k0,2,joint,1.0,0.06,0,15,10,1.0,0.0,0.0,0.5366084000561386,0.0,277,0
k0,2,balanced,1.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.3533553999150172,0.0,0,0
k0,2,robust,1.0,0.056666666666666664,0,15,10,1.0,0.0,0.0,0.5325572000583634,0.0,0,0
k0,3,v1,0.9,0.07666666666666666,0,11,10,1.0,0.0,0.0,0.41373999998904765,0.0,0,0
k0,3,joint,0.9,0.07666666666666666,0,11,10,1.0,0.0,0.0,0.4638827999588102,0.0,276,0
k0,3,balanced,1.0,0.07,0,60,10,1.0,0.0,0.0,0.424265900044702,0.0,0,0
k0,3,robust,0.9,0.07666666666666666,0,13,10,1.0,0.0,0.0,0.5480726999230683,0.0,0,0
k0,4,v1,0.8,0.04,0,15,10,1.0,0.0,0.0,0.44930269999895245,0.0,0,0
k0,4,joint,0.8,0.04,0,15,10,1.0,0.0,0.0,0.5037113000871614,0.0,289,0
k0,4,balanced,0.9,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.345268200035207,0.0,0,0
k0,4,robust,0.9,0.04666666666666667,0,15,10,1.0,0.0,0.0,0.4745593999978155,0.0,0,0
k0,5,v1,1.0,0.03666666666666667,0,16,10,1.0,0.0,0.0,0.6786700999364257,0.0,0,0
k0,5,joint,1.0,0.03666666666666667,0,16,10,1.0,0.0,0.0,0.7304030999075621,0.0,282,0
k0,5,balanced,1.0,0.04,0,60,10,1.0,0.0,0.0,0.42850009992253035,0.0,0,0
k0,5,robust,1.0,0.03666666666666667,0,20,10,1.0,0.0,0.0,1.1243410999886692,0.0,0,0
k0,6,v1,1.0,0.04666666666666667,0,10,10,1.0,0.0,0.0,0.37391159997787327,0.0,0,0
k0,6,joint,1.0,0.04666666666666667,0,10,10,1.0,0.0,0.0,0.4232451000716537,0.0,262,0
k0,6,balanced,1.0,0.03333333333333333,0,60,10,1.0,0.0,0.0,0.41514340008143336,0.0,0,0
k0,6,robust,1.0,0.04,0,10,10,1.0,0.0,0.0,0.3942686999216676,0.0,0,0
k0,7,v1,0.9,0.043333333333333335,0,10,10,0.9,0.0,0.0,0.3349095999728888,0.0,0,0
k0,7,joint,0.9,0.043333333333333335,0,10,10,0.9,0.0,0.0,0.38507589988876134,0.0,262,0
k0,7,balanced,1.0,0.05,0,60,10,0.95,0.0,0.0,0.32822510006371886,0.0,0,0
k0,7,robust,0.9,0.04666666666666667,0,10,10,0.9,0.0,0.0,0.38866049994248897,0.0,0,0
k0,8,v1,1.0,0.06,0,20,10,1.0,0.0,0.0,0.6015282000880688,0.0,0,0
k0,8,joint,1.0,0.05333333333333334,0,16,10,1.0,0.0,0.0,0.6673675000201911,1.7141076763817331,278,2
k0,8,balanced,1.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.30035290005616844,0.0,0,0
k0,8,robust,1.0,0.04666666666666667,0,20,10,1.0,0.0,0.0,0.5969134999904782,0.0,0,0
k0,9,v1,1.0,0.05333333333333334,0,11,10,1.0,0.0,0.0,0.396173799992539,0.0,0,0
k0,9,joint,1.0,0.05333333333333334,0,11,10,1.0,0.0,0.0,0.44601799990050495,0.0,272,0
k0,9,balanced,1.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.4473473000107333,0.0,0,0
k0,9,robust,1.0,0.05,0,12,10,1.0,0.0,0.0,0.5416584999766201,0.0,0,0
k0,10,v1,1.0,0.07333333333333333,0,10,10,1.0,0.0,0.0,0.35554319992661476,0.0,0,0
k0,10,joint,1.0,0.07333333333333333,0,10,10,1.0,0.0,0.0,0.40410000004339963,0.0,262,0
k0,10,balanced,1.0,0.043333333333333335,0,60,10,1.0,0.0,0.0,0.37663259997498244,0.0,0,0
k0,10,robust,0.8,0.043333333333333335,0,11,10,1.0,0.0,0.0,0.44574969995301217,0.0,0,0
k0,11,v1,0.9,0.07,0,11,10,1.0,0.0,0.0,0.41675520001444966,0.0,0,0
k0,11,joint,0.9,0.07,0,11,10,1.0,0.0,0.0,0.4634101999690756,0.0,272,0
k0,11,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.37156490003690124,0.0,0,0
k0,11,robust,0.9,0.05,0,15,10,1.0,0.0,0.0,0.6009258999256417,0.0,0,0
k0,12,v1,1.0,0.06666666666666667,0,10,10,1.0,0.0,0.0,0.3567507000407204,0.0,0,0
k0,12,joint,1.0,0.06666666666666667,0,10,10,1.0,0.0,0.0,0.40501119988039136,0.0,262,0
k0,12,balanced,1.0,0.07,0,60,10,1.0,0.0,0.0,0.40255980007350445,0.0,0,0
k0,12,robust,1.0,0.08666666666666667,0,11,10,1.0,0.0,0.0,0.4944420999381691,0.0,0,0
k0,13,v1,1.0,0.04666666666666667,0,10,10,1.0,0.0,0.0,0.36335140001028776,0.0,0,0
k0,13,joint,1.0,0.04666666666666667,0,10,10,1.0,0.0,0.0,0.41465659998357296,0.0,260,0
k0,13,balanced,1.0,0.03333333333333333,0,60,10,1.0,0.0,0.0,0.44132490002084523,0.0,0,0
k0,13,robust,1.0,0.05333333333333334,0,13,10,1.0,0.0,0.0,0.5138522000052035,0.0,0,0
k0,14,v1,0.9,0.04666666666666667,0,25,10,1.0,0.0,0.0,0.814319199998863,0.0,0,0
k0,14,joint,0.9,0.04666666666666667,0,25,10,1.0,0.0,0.0,0.8743027000455186,0.0,295,0
k0,14,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.33553879999089986,0.0,0,0
k0,14,robust,0.9,0.04666666666666667,0,25,10,1.0,0.0,0.0,0.9346198999555781,0.0,0,0
k0,15,v1,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.30088390002492815,0.0,0,0
k0,15,joint,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.34697710000909865,0.0,266,0
k0,15,balanced,1.0,0.03333333333333333,0,60,10,1.0,0.0,0.0,0.30659370007924736,0.0,0,0
