trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets,M,polished_F,polished_gap,accepted
0,0,-0.26750676418364744,-0.26750676418364744,-0.26750676418364744,0.0,0.0,0.0,144,5184,0.42500184930632845,0.42500184930632845,0,0,"[1, 2]","[[[0, 1], [2, 1]], [[0, 2], [1, 2]]]","[1, 2]","[[[0, 1], [2, 1]], [[0, 2], [1, 2]]]",3,-0.26750676418364744,0.0,0
0,1,-0.2385733923387472,-0.2385733923387472,-0.2385733923387472,0.0,0.0,0.0,864,5184,0.430885099507267,0.430885099507267,1,1,"[0, 2]","[[[0, 1], [1, 0]], [[0, 2], [1, 2]]]","[1, 2]","[[[0, 1], [1, 0]], [[0, 2], [1, 2]]]",3,-0.2385733923387472,0.0,0
0,2,-0.23130029987517395,-0.23130029987517395,-0.23130029987517395,0.0,0.0,0.0,2048,5184,0.47647695450922145,0.47647695450922145,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 2], [2, 0]]]","[1, 2]","[[[0, 1], [1, 0]], [[0, 2], [2, 0]]]",3,-0.23130029987517395,0.0,0
0,4,-0.23130029987517395,-0.23130029987517395,-0.23130029987517395,0.0,0.0,0.0,2888,5184,0.47647695450922145,0.47647695450922145,2,2,"[0, 0]","[[[0, 1], [1, 0]], [[0, 2], [2, 0]]]","[1, 2]","[[[0, 1], [1, 0]], [[0, 2], [2, 0]]]",3,-0.23130029987517395,0.0,0
1,0,-0.24094884932564697,-0.24094884932564697,-0.24094884932564697,0.0,0.0,0.0,144,1156,0.24384819522011184,0.24384819522011184,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[0, 1], [2, 1]], [[2, 1], [0, 1]]]",3,-0.24094884932564697,0.0,0
1,1,-0.24094884932564697,-0.24094884932564697,-0.24094884932564697,0.0,0.0,0.0,504,1156,0.24384819522011184,0.24384819522011184,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[0, 1], [2, 1]], [[2, 1], [0, 1]]]",3,-0.24094884932564697,0.0,0
1,2,-0.24094884932564697,-0.24094884932564697,-0.24094884932564697,0.0,0.0,0.0,800,1156,0.24384819522011184,0.24384819522011184,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[0, 1], [2, 1]], [[2, 1], [0, 1]]]",3,-0.24094884932564697,0.0,0
1,4,-0.24094884932564697,-0.24094884932564697,-0.24094884932564697,0.0,0.0,0.0,884,1156,0.24384819522011184,0.24384819522011184,0,0,"[1, 1]","[[[0, 1], [2, 1]], [[0, 1], [2, 1]]]","[1, 1]","[[[0, 1], [2, 1]], [[2, 1], [0, 1]]]",3,-0.24094884932564697,0.0,0
2,0,-0.48909439636692115,-0.48909439636692115,-0.48909439636692115,0.0,0.0,0.0,144,5184,0.21999088304087133,0.21999088304087133,0,0,"[0, 2]","[[[1, 0], [2, 0]], [[0, 2], [1, 2]]]","[0, 2]","[[[1, 0], [2, 0]], [[1, 2], [0, 2]]]",3,-0.48909439636692115,0.0,0
2,1,-0.4257723502905961,-0.426046793947323,-0.426046793947323,0.00027444365672685267,0.0,0.00027444365672685267,864,5184,0.29156916869906957,0.2915223703281956,1,1,"[1, 2]","[[[0, 1]], [[0, 2], [1, 2], [2, 1]]]","[0, 2]","[[[1, 0]], [[1, 2], [2, 1], [0, 2]]]",3,-0.4257723502905961,0.0,1
2,2,-0.42499106338924253,-0.42499106338924253,-0.42499106338924253,0.0,0.0,0.0,2048,5184,0.27579334292827534,0.27579334292827534,2,2,"[0, 1]","[[[0, 1], [1, 0]], [[1, 2], [2, 1]]]","[0, 2]","[[[1, 0], [0, 1]], [[1, 2], [2, 1]]]",3,-0.42499106338924253,0.0,0
2,4,-0.42499106338924253,-0.42499106338924253,-0.42499106338924253,0.0,0.0,0.0,2888,5184,0.27579334292827534,0.27579334292827534,2,2,"[0, 1]","[[[0, 1], [1, 0]], [[1, 2], [2, 1]]]","[0, 2]","[[[1, 0], [0, 1]], [[1, 2], [2, 1]]]",3,-0.42499106338924253,0.0,0
3,0,0.735486537578907,0.735486537578907,0.735486537578907,0.0,0.0,0.0,144,15876,0.6682021187522966,0.6682021187522966,0,0,"[2, 2]","[[[0, 2], [1, 2]], [[0, 2], [1, 2]]]","[2, 2]","[[[1, 2], [0, 2]], [[1, 2], [0, 2]]]",3,0.735486537578907,0.0,0
3,1,1.0058060026410922,1.0058060026410922,1.0058060026410922,0.0,0.0,0.0,1224,15876,0.6766917285372802,0.6766917285372802,1,1,"[2, 2]","[[[0, 2], [1, 2], [2, 1]], [[1, 2]]]","[2, 2]","[[[1, 2], [2, 1], [0, 2]], [[1, 2]]]",3,1.0058060026410922,0.0,0
3,2,1.0058060026410922,1.0058060026410922,1.0058060026410922,0.0,0.0,0.0,3888,15876,0.6766917285372802,0.6766917285372802,1,1,"[2, 2]","[[[0, 2], [1, 2], [2, 1]], [[1, 2]]]","[2, 2]","[[[1, 2], [2, 1], [0, 2]], [[1, 2]]]",3,1.0058060026410922,0.0,0
3,4,1.0058060026410922,1.0058060026410922,1.0058060026410922,0.0,0.0,0.0,6876,15876,0.6766917285372802,0.6766917285372802,1,1,"[2, 2]","[[[0, 2], [1, 2], [2, 1]], [[1, 2]]]","[2, 2]","[[[1, 2], [2, 1], [0, 2]], [[1, 2]]]",3,1.0058060026410922,0.0,0
4,0,1.5390355395822584,1.5390355395822584,1.5390355395822584,0.0,0.0,0.0,144,1156,0.8974775298427403,0.8974768002529948,0,0,"[1, 0]","[[[0, 1], [2, 1]], [[2, 0]]]","[1, 2]","[[[0, 1], [2, 1]], [[0, 2]]]",3,1.5390355395822584,0.0,0
4,1,1.5390355395822584,1.5390355395822584,1.5390355395822584,0.0,0.0,0.0,504,1156,0.8974775298427403,0.8974768002529948,0,0,"[1, 0]","[[[0, 1], [2, 1]], [[2, 0]]]","[1, 2]","[[[0, 1], [2, 1]], [[0, 2]]]",3,1.5390355395822584,0.0,0
4,2,1.5390355395822584,1.5390355395822584,1.5390355395822584,0.0,0.0,0.0,800,1156,0.8974775298427403,0.8974768002529948,0,0,"[1, 0]","[[[0, 1], [2, 1]], [[2, 0]]]","[1, 2]","[[[0, 1], [2, 1]], [[0, 2]]]",3,1.5390355395822584,0.0,0
4,4,1.5390355395822584,1.5390355395822584,1.5390355395822584,0.0,0.0,0.0,884,1156,0.8974775298427403,0.8974768002529948,0,0,"[1, 0]","[[[0, 1], [2, 1]], [[2, 0]]]","[1, 2]","[[[0, 1], [2, 1]], [[0, 2]]]",3,1.5390355395822584,0.0,0
