area_m,rcs_m2,trial,n_looks,target,n_links,gamma_mean_db,gamma_min_db,d_prime,pd_pred,required_gain_db
400.0,0.05,0,128,0,5,-9.64940841148538,-11.594397986772977,1.2144720338098958,0.8877162385860535,0.0
400.0,0.05,0,128,1,6,-21.20648151124662,-23.274146430352417,-1.4117082043914482,0.07901794830766523,10.677093487256915
400.0,0.05,0,128,2,6,-13.236215278359932,-15.854902529324482,-0.2224922880651405,0.4119653380327548,2.626505069920278
400.0,0.05,0,128,3,1,4.932035838821412,4.932035838821412,8.163207728952422,0.9999999999999999,0.0
400.0,0.05,0,128,4,1,-4.57106879382591,-4.57106879382591,1.7080453789496957,0.9561860386623904,0.0
400.0,0.05,0,128,5,6,-17.7827865898987,-20.450381152825337,-1.1498488535510325,0.12510306487810174,7.339463488044475
400.0,0.05,0,128,6,1,-2.3276815557169455,-2.3276815557169455,3.138487445457571,0.9991508889515106,0.0
400.0,0.05,0,128,7,6,-21.029032597226287,-23.047807043598056,-1.4073229782892538,0.07966581932060224,10.577155866876467
400.0,0.05,0,128,8,1,1.8325244762936153,1.8325244762936153,6.181480529471466,0.999999999682484,0.0
400.0,0.05,0,128,9,6,-22.963844167327743,-24.950753126966184,-1.4835071979458776,0.06896985273766054,12.331105062053403
400.0,0.05,0,64,0,6,-9.163818730887941,-11.594397986772977,0.8343328215640171,0.7979532692805236,0.014911089306932638
400.0,0.05,0,64,1,6,-21.20648151124662,-23.274146430352417,-1.4756742287411315,0.07001568376861185,12.247030244646133
400.0,0.05,0,64,2,6,-13.110853703896588,-15.092807662823194,-0.5968560496949833,0.2753017463551883,4.12484854764431
400.0,0.05,0,64,3,1,4.932035838821412,4.932035838821412,5.6551319133051985,0.9999999922136689,0.0
400.0,0.05,0,64,4,2,-5.1601327002497746,-5.841823207311494,1.3971650319482156,0.9188180252830788,0.0
400.0,0.05,0,64,5,6,-17.7827865898987,-20.450381152825337,-1.2862349623150553,0.09918053635557716,8.904983314292476
400.0,0.05,0,64,6,1,-2.3276815557169455,-2.3276815557169455,1.915311771247532,0.9722736223504569,0.0
400.0,0.05,0,64,7,6,-21.38145445309581,-23.432992397273658,-1.482570675286117,0.06909425656978373,12.429201272539762
400.0,0.05,0,64,8,1,1.8325244762936153,1.8325244762936153,4.180163581032658,0.999985435026411,0.0
400.0,0.05,0,64,9,6,-22.963844167327743,-24.950753126966184,-1.527476130110906,0.06332132918091177,13.908052282457993
400.0,0.05,0,16,0,6,-9.163818730887941,-11.594397986772977,-0.28683720539342417,0.3871184868009009,3.283878074102425
400.0,0.05,0,16,1,6,-21.991854083153143,-24.576722859034668,-1.5657842568081297,0.05869956653286129,16.215963765799813
400.0,0.05,0,16,2,6,-13.110853703896588,-15.092807662823194,-1.0744431249352882,0.14131206146068043,7.368253329700856
400.0,0.05,0,16,3,1,4.932035838821412,4.932035838821412,2.6276165885074545,0.9957007314673747,0.0
400.0,0.05,0,16,4,6,-5.775577596502672,-8.685085862359811,0.8028204453087104,0.7889607384207329,0.08875968324439905
400.0,0.05,0,16,5,6,-17.7827865898987,-20.450381152825337,-1.4508675590637528,0.07340837142536462,12.127708964522405
400.0,0.05,0,16,6,3,-2.2797302082088726,-3.1962156842616594,1.5489937868749608,0.9393083931714495,0.0
400.0,0.05,0,16,7,6,-22.446576768748912,-27.276454320920497,-1.5740482793808386,0.05773814415419243,16.64335547288274
400.0,0.05,0,16,8,1,1.8325244762936153,1.8325244762936153,1.7643603212686048,0.9611643329546004,0.0
400.0,0.05,0,16,9,6,-22.963844167327743,-24.950753126966184,-1.580551326288843,0.056990331222302175,17.170174477982506
400.0,0.05,1,16,0,6,-25.018924938184078,-26.499607596196167,-1.6077239017789684,0.053947830677259244,19.375525322767
400.0,0.05,1,16,1,6,-18.31654632607759,-20.317067529775677,-1.4696197529652573,0.0708323837006435,12.629011184471857
400.0,0.05,1,16,2,4,-3.1245784701690704,-5.3118065931724425,1.5633496975976295,0.9410148175651822,0.0
