rcs_m2,trial,method,pd,pfa,reports,observations,seconds,objective,rho_vector,table_builds,fine_entry_updates,unique_refined_entries,full_entries,coarse_power_checks,fine_power_checks
0.05,2,cached_serial,0.6,0.03333333333333333,8,34,16.073745500063524,1.6695035602155808,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95]",94,198098,2100,2100,0,0
0.05,2,integrated_c2f,0.5,0.056666666666666664,8,37,30.840851700049825,1.6270240464381993,"[0.2, 0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2, 0.95]",94,6373,408,2100,90,59
0.05,0,cached_serial,0.6,0.04666666666666667,8,41,19.141494799987413,-0.6578736637546345,"[0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2]",94,198200,2100,2100,0,0
0.05,0,integrated_c2f,0.6,0.03666666666666667,8,41,31.39244269998744,-0.6241217358516186,"[0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2]",94,6898,464,2100,90,59
0.05,3,integrated_c2f,0.8,0.06,8,45,35.70899750001263,1.843981190797572,"[0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.5, 0.5, 0.2]",94,7508,441,2100,90,60
0.05,3,cached_serial,0.8,0.06333333333333334,8,45,20.77435990003869,2.0082600495686127,"[0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198293,2100,2100,0,0
0.05,1,integrated_c2f,0.4,0.03333333333333333,8,47,39.65261200000532,-1.4118242901805582,"[0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,7561,501,2100,90,60
0.05,1,cached_serial,0.3,0.03666666666666667,8,49,21.605435500037856,-1.5830453479965523,"[0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198287,2100,2100,0,0
0.05,4,cached_serial,0.6,0.04,8,43,22.312367300037295,-0.33014853998549226,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.8, 0.2, 0.2]",94,198320,2100,2100,0,0
0.05,4,integrated_c2f,0.6,0.03666666666666667,8,43,40.94176359998528,-0.2604518809205066,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2]",94,7471,442,2100,90,60
0.05,5,integrated_c2f,0.6,0.06666666666666667,8,57,52.35882710001897,-2.0470449274133347,"[0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",91,8419,499,2100,90,57
0.05,5,cached_serial,0.5,0.06333333333333334,8,58,32.026453000027686,-2.0080841947827897,"[0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198459,2100,2100,0,0
0.05,7,integrated_c2f,0.5,0.03,8,41,34.28812950011343,-1.7757752666735158,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95]",94,7142,501,2100,90,60
0.05,7,cached_serial,0.5,0.05,8,41,19.35844260000158,-1.7693502392574438,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198188,2100,2100,0,0
