condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
prior250_k0,0,v1,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.29681089997757226,0.0,0,0
prior250_k0,0,joint,1.0,0.03666666666666667,0,10,10,1.0,0.0,0.0,0.34367489989381284,0.0,266,0
prior250_k0,0,balanced,1.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.2449606000445783,0.0,0,0
prior250_k0,0,robust,1.0,0.03333333333333333,0,19,10,1.0,0.0,0.0,0.701976399985142,0.0,0,0
prior250_k0,1,v1,0.8,0.043333333333333335,0,11,10,0.9090909090909091,0.0,0.0,0.38488889997825027,0.0,0,0
prior250_k0,1,joint,0.8,0.043333333333333335,0,11,10,0.9090909090909091,0.0,0.0,0.4374904999276623,0.0,270,0
prior250_k0,1,balanced,0.9,0.043333333333333335,0,60,10,0.8833333333333333,0.0,0.0,0.2651796001009643,0.0,0,0
prior250_k0,1,robust,0.9,0.03,0,24,10,0.9583333333333334,0.0,0.0,1.009702300070785,0.0,0,0
prior250_k0,2,v1,0.9,0.05,0,15,10,1.0,0.0,0.0,0.5118558000540361,0.0,0,0
prior250_k0,2,joint,0.9,0.05,0,15,10,1.0,0.0,0.0,0.573707600007765,0.0,292,0
prior250_k0,2,balanced,1.0,0.05,0,60,10,1.0,0.0,0.0,0.3167267000535503,0.0,0,0
prior250_k0,2,robust,1.0,0.06666666666666667,0,20,10,1.0,0.0,0.0,0.7126259999349713,0.0,0,0
prior250_k0,3,v1,0.8,0.043333333333333335,0,11,10,1.0,0.0,0.0,0.4288350000279024,0.0,0,0
prior250_k0,3,joint,0.8,0.043333333333333335,0,11,10,1.0,0.0,0.0,0.48608159995637834,0.0,280,0
prior250_k0,3,balanced,1.0,0.07,0,60,10,0.9833333333333333,0.0,0.0,0.40981230000033975,0.0,0,0
prior250_k0,3,robust,1.0,0.07666666666666666,0,15,10,1.0,0.0,0.0,0.5838660000590608,0.0,0,0
prior250_k0,4,v1,0.9,0.04666666666666667,0,15,10,1.0,0.0,0.0,0.46889319992624223,0.0,0,0
