case,n,factor,old_pd,refined_pd,empirical_pd,mc_se,seconds,lower,upper,step,bins,omitted_mass,converged,floating_point_certified
0,2,9.0,0.1924871904722696,0.1672826774952586,0.166035,0.0008320678421108463,0.0108602000400424,0.16701963633188674,0.1675457186586305,0.0010860449396206757,28641,2.2998980497845878e-10,True,False
1,3,9.0,0.13007992342434,0.11704994469612583,0.11668,0.0007178641152753076,0.011722099967300892,0.11673905737257122,0.11736083201968044,0.0011506671335747094,27807,5.233902200529883e-10,True,False
2,6,9.0,0.31889038028037586,0.32276038622652325,0.324125,0.0010465848851741555,0.07195770007092506,0.3224668044841821,0.3230539679688645,0.0002906602108440327,145007,4.647883189434765e-10,True,False
3,2,9.0,0.45801109584587857,0.4464911873589351,0.446295,0.0011115659516533422,0.00844230002257973,0.44605947684796066,0.4469228978699095,0.002085149143409656,23685,2.6146762532874845e-10,True,False
4,3,9.0,0.4451434794124143,0.4447818218808426,0.443235,0.0011108054167472358,0.017865599947981536,0.4444450572491216,0.4451185865125636,0.0011914721028589252,45531,5.078786280421355e-10,True,False
5,6,9.0,0.5842451536440483,0.5862549772451309,0.583545,0.0011023162726164393,0.06474060006439686,0.5859368880302303,0.5865730664600316,0.0003232032644603807,137333,3.614325505552074e-10,True,False
6,2,0.0,0.4692105931507148,0.4369305257921865,0.435825,0.0011087866552565466,0.007416000007651746,0.43656083667087753,0.43730021491349547,0.0009236896990337433,16593,7.289128189924554e-10,True,False
7,3,0.0,0.7232044894360024,0.6959291128955362,0.695375,0.0010291467567237434,0.017689900007098913,0.6956356404693141,0.6962225853217582,0.0005553954885912883,42507,8.107502447174397e-10,True,False
8,6,0.0,0.8712441971561156,0.8751282889405201,0.87424,0.0007414324729872572,0.031576699926517904,0.8747520425827153,0.875504535298325,0.00045678993651655087,58501,6.720454193143155e-10,True,False
9,2,0.0,0.4679285060055059,0.4290660051860026,0.430285,0.001107112954433738,0.005930299987085164,0.428735629515732,0.4293963808562732,0.0010641307574706757,14824,5.516792578319496e-10,True,False
10,3,0.0,0.6284639991243587,0.5701292433421034,0.56784,0.0011076952071756923,0.01956010004505515,0.5698036801477265,0.5704548065364802,0.0004986027942462116,47792,5.866732655235296e-10,True,False
11,6,0.0,0.7136370825877938,0.6785421857558905,0.67792,0.001044855189966533,0.05879460007417947,0.6782567496188927,0.6788276218928884,0.00015580185895807422,119401,6.146791964312115e-10,True,False
