rcs_m2,report_budget,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms
0.05,0,v1,0.083,0.04769999999999999,0.0,59.53,10.0,0.9976666666666667,0.0,0.0
0.05,0,joint,0.087,0.04829999999999999,0.0,58.73,10.0,0.9976638418079097,0.0,0.0
0.05,0,balanced,0.084,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
0.05,0,robust,0.08399999999999999,0.047833333333333325,0.0,60.0,10.0,0.9976666666666667,0.0,0.0
0.05,2,v1,0.08599999999999998,0.04643333333333333,2.0,52.47,9.9,0.9971515151515152,1280.0,2.133333333333333
0.05,2,joint,0.091,0.04733333333333333,1.99,52.19,10.0,0.9972007622021141,1273.6,2.122666666666666
0.05,2,balanced,0.08800000000000001,0.0473,2.0,60.0,10.0,0.9978333333333333,1280.0,2.133333333333333
0.05,2,robust,0.085,0.04803333333333333,2.0,51.66,9.95,0.9975344294003868,1280.0,2.133333333333333
0.05,8,v1,0.09299999999999999,0.04709999999999999,7.0,48.38,10.0,0.9963820707070709,4480.0,7.466666666666668
0.05,8,joint,0.095,0.04833333333333334,7.06,46.28,10.0,0.9963315151002127,4518.4,7.530666666666667
0.05,8,balanced,0.096,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
0.05,8,robust,0.096,0.04819999999999999,5.6,45.02,10.0,0.9977617021276595,3584.0,5.9733333333333345
0.1,0,v1,0.113,0.047799999999999995,0.0,59.37,10.0,0.9976666666666667,0.0,0.0
0.1,0,joint,0.113,0.04853333333333334,0.0,58.39,10.0,0.9976547619047619,0.0,0.0
0.1,0,balanced,0.11,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
0.1,0,robust,0.114,0.047833333333333325,0.0,60.0,10.0,0.9976666666666667,0.0,0.0
0.1,2,v1,0.12399999999999999,0.047166666666666676,2.0,54.03,9.87,0.997266572274843,1280.0,2.133333333333333
0.1,2,joint,0.127,0.048533333333333324,1.99,54.16,10.0,0.997276116040822,1273.6,2.122666666666666
0.1,2,balanced,0.12599999999999997,0.0473,2.0,60.0,10.0,0.9978333333333333,1280.0,2.133333333333333
0.1,2,robust,0.11999999999999998,0.04646666666666668,1.99,52.31,9.92,0.997175,1273.6,2.122666666666666
0.1,8,v1,0.13599999999999998,0.04743333333333332,7.56,51.03,10.0,0.9968056774642982,4838.4,8.064
0.1,8,joint,0.13799999999999998,0.04733333333333333,7.43,50.37,10.0,0.9968358671159163,4755.2,7.925333333333332
0.1,8,balanced,0.13999999999999999,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
0.1,8,robust,0.14,0.0481,6.58,47.18,10.0,0.9960331306990882,4211.2,7.018666666666668
0.2,0,v1,0.16699999999999998,0.04786666666666666,0.0,58.31,10.0,0.9976515151515152,0.0,0.0
0.2,0,joint,0.16899999999999998,0.04823333333333332,0.0,57.12,10.0,0.9976396103896105,0.0,0.0
0.2,0,balanced,0.17,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
0.2,0,robust,0.172,0.047833333333333325,0.0,60.0,10.0,0.9976666666666667,0.0,0.0
0.2,2,v1,0.18,0.04793333333333334,1.98,54.94,9.89,0.9975239057239057,1267.2,2.111999999999999
0.2,2,joint,0.187,0.048566666666666675,1.98,54.95,10.0,0.997565664160401,1267.2,2.111999999999999
0.2,2,balanced,0.18200000000000002,0.0473,2.0,60.0,10.0,0.9978333333333333,1280.0,2.133333333333333
0.2,2,robust,0.175,0.04663333333333333,2.0,53.89,9.91,0.9973211177293885,1280.0,2.133333333333333
0.2,8,v1,0.20199999999999999,0.048366666666666676,7.71,52.85,10.0,0.9967919191919192,4934.4,8.223999999999998
0.2,8,joint,0.20300000000000004,0.048200000000000014,7.66,52.55,10.0,0.9968424472690429,4902.4,8.170666666666666
0.2,8,balanced,0.209,0.04806666666666667,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
0.2,8,robust,0.19600000000000006,0.04756666666666667,7.42,50.8,10.0,0.9965322700691123,4748.8,7.914666666666665
