condition,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,selector_seconds,objective_gain,extra_pd_evaluations,accepted_moves
rcs0.05_k0,0,v1,0.2,0.04666666666666667,0,55,10,1.0,0.0,0.0,2.692774700000882,0.0,0,0
rcs0.05_k0,0,joint,0.2,0.05333333333333334,0,54,10,1.0,0.0,0.0,2.7760735999327153,0.004285043307625358,317,3
rcs0.05_k0,0,balanced,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.242559100035578,0.0,0,0
rcs0.05_k0,0,robust,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,2.8128885000478476,0.0,0,0
rcs0.05_k0,1,v1,0.1,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,2.988428800017573,0.0,0,0
rcs0.05_k0,1,joint,0.1,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,3.0621277999598533,0.0,310,0
rcs0.05_k0,1,balanced,0.1,0.05333333333333334,0,60,10,0.9666666666666667,0.0,0.0,0.29746909998357296,0.0,0,0
rcs0.05_k0,1,robust,0.1,0.043333333333333335,0,60,10,0.9833333333333333,0.0,0.0,2.9880268999841064,0.0,0,0
rcs0.05_k0,2,v1,0.2,0.056666666666666664,0,60,10,1.0,0.0,0.0,3.3375783000374213,0.0,0,0
rcs0.05_k0,2,joint,0.2,0.056666666666666664,0,60,10,1.0,0.0,0.0,3.4337215999839827,0.0025710378302257197,340,1
rcs0.05_k0,2,balanced,0.1,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.34463519998826087,0.0,0,0
rcs0.05_k0,2,robust,0.2,0.056666666666666664,0,60,10,1.0,0.0,0.0,3.3811123999767005,0.0,0,0
rcs0.05_k0,3,v1,0.0,0.07333333333333333,0,60,10,1.0,0.0,0.0,3.1915615000762045,0.0,0,0
rcs0.05_k0,3,joint,0.0,0.06333333333333334,0,59,10,1.0,0.0,0.0,3.2832747000502422,0.0018472943578693446,343,2
rcs0.05_k0,3,balanced,0.1,0.07,0,60,10,1.0,0.0,0.0,0.3824523000512272,0.0,0,0
rcs0.05_k0,3,robust,0.0,0.07333333333333333,0,60,10,1.0,0.0,0.0,3.3705498999916017,0.0,0,0
rcs0.05_k0,4,v1,0.2,0.06,0,60,10,1.0,0.0,0.0,2.988323700032197,0.0,0,0
rcs0.05_k0,4,joint,0.2,0.06,0,60,10,1.0,0.0,0.0,3.066362800076604,0.0,341,0
rcs0.05_k0,4,balanced,0.2,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.3200529998866841,0.0,0,0
rcs0.05_k0,4,robust,0.2,0.06,0,60,10,1.0,0.0,0.0,3.0154416000004858,0.0,0,0
rcs0.05_k0,5,v1,0.1,0.023333333333333334,0,60,10,1.0,0.0,0.0,3.5919958000304177,0.0,0,0
rcs0.05_k0,5,joint,0.2,0.02666666666666667,0,59,10,1.0,0.0,0.0,3.6919200000120327,0.01190336391520308,348,4
rcs0.05_k0,5,balanced,0.1,0.04,0,60,10,1.0,0.0,0.0,0.46907089999876916,0.0,0,0
rcs0.05_k0,5,robust,0.1,0.023333333333333334,0,60,10,1.0,0.0,0.0,3.6446644000243396,0.0,0,0
rcs0.05_k0,6,v1,0.0,0.03666666666666667,0,60,10,1.0,0.0,0.0,3.188935299986042,0.0,0,0
rcs0.05_k0,6,joint,0.0,0.04,0,59,10,1.0,0.0,0.0,3.2864858999382704,0.0013164820866773397,333,2
rcs0.05_k0,6,balanced,0.0,0.03333333333333333,0,60,10,1.0,0.0,0.0,0.3948879000963643,0.0,0,0
rcs0.05_k0,6,robust,0.0,0.03666666666666667,0,60,10,1.0,0.0,0.0,3.3045753999613225,0.0,0,0
rcs0.05_k0,7,v1,0.2,0.05,0,60,10,0.95,0.0,0.0,2.9353645999217406,0.0,0,0
rcs0.05_k0,7,joint,0.2,0.05,0,60,10,0.95,0.0,0.0,3.013537099934183,0.0,316,0
rcs0.05_k0,7,balanced,0.2,0.05,0,60,10,0.95,0.0,0.0,0.3170581000158563,0.0,0,0
rcs0.05_k0,7,robust,0.2,0.05,0,60,10,0.95,0.0,0.0,3.000137499999255,0.0,0,0
rcs0.05_k0,8,v1,0.3,0.056666666666666664,0,60,10,1.0,0.0,0.0,2.809702099999413,0.0,0,0
rcs0.05_k0,8,joint,0.2,0.05333333333333334,0,53,10,1.0,0.0,0.0,2.892808299860917,0.07690012883950992,320,5
rcs0.05_k0,8,balanced,0.3,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.29374260001350194,0.0,0,0
rcs0.05_k0,8,robust,0.3,0.056666666666666664,0,60,10,1.0,0.0,0.0,2.938226000056602,0.0,0,0
rcs0.05_k0,9,v1,0.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,3.2621666999766603,0.0,0,0
rcs0.05_k0,9,joint,0.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,3.346064499928616,0.0,340,0
rcs0.05_k0,9,balanced,0.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,0.4034417000366375,0.0,0,0
rcs0.05_k0,9,robust,0.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,3.3574738999595866,0.0,0,0
rcs0.05_k0,10,v1,0.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,3.1580381999956444,0.0,0,0
rcs0.05_k0,10,joint,0.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,3.2544304998591542,0.006152452963525512,349,3
rcs0.05_k0,10,balanced,0.0,0.043333333333333335,0,60,10,1.0,0.0,0.0,0.3717031000414863,0.0,0,0
rcs0.05_k0,10,robust,0.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,3.3078575999243185,0.0,0,0
rcs0.05_k0,11,v1,0.0,0.06,0,60,10,1.0,0.0,0.0,3.1542976000346243,0.0,0,0
rcs0.05_k0,11,joint,0.0,0.06,0,60,10,1.0,0.0,0.0,3.22142750013154,0.0,304,0
rcs0.05_k0,11,balanced,0.0,0.05,0,60,10,1.0,0.0,0.0,0.4029853999381885,0.0,0,0
rcs0.05_k0,11,robust,0.0,0.06,0,60,10,1.0,0.0,0.0,3.291717700078152,0.0,0,0
rcs0.05_k0,12,v1,0.0,0.07666666666666666,0,60,10,1.0,0.0,0.0,3.5176330000394955,0.0,0,0
rcs0.05_k0,12,joint,0.0,0.06333333333333334,0,60,10,1.0,0.0,0.0,3.6113910999847576,0.0016995879127037483,349,2
rcs0.05_k0,12,balanced,0.0,0.07,0,60,10,1.0,0.0,0.0,0.38312140002381057,0.0,0,0
rcs0.05_k0,12,robust,0.0,0.07333333333333333,0,60,10,1.0,0.0,0.0,3.5263772999169305,0.0,0,0
rcs0.05_k0,13,v1,0.0,0.03666666666666667,0,60,10,1.0,0.0,0.0,3.417677600053139,0.0,0,0
rcs0.05_k0,13,joint,0.0,0.03666666666666667,0,59,10,1.0,0.0,0.0,3.5019116998882964,0.002155946688676025,303,1
rcs0.05_k0,13,balanced,0.0,0.03333333333333333,0,60,10,1.0,0.0,0.0,0.3921974999830127,0.0,0,0
rcs0.05_k0,13,robust,0.0,0.03666666666666667,0,60,10,1.0,0.0,0.0,3.4715110000688583,0.0,0,0
rcs0.05_k0,14,v1,0.0,0.043333333333333335,0,60,10,1.0,0.0,0.0,2.9665707000531256,0.0,0,0
rcs0.05_k0,14,joint,0.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,3.058808699948713,0.0003339369233543721,334,1
rcs0.05_k0,14,balanced,0.0,0.05,0,60,10,1.0,0.0,0.0,0.3378840000368655,0.0,0,0
rcs0.05_k0,14,robust,0.0,0.043333333333333335,0,60,10,1.0,0.0,0.0,3.0938051999546587,0.0,0,0
rcs0.05_k0,15,v1,0.1,0.03,0,60,10,1.0,0.0,0.0,2.927352500031702,0.0,0,0
rcs0.05_k0,15,joint,0.1,0.03666666666666667,0,55,10,1.0,0.0,0.0,3.017151999985799,0.016573073843259678,332,4
rcs0.05_k0,15,balanced,0.1,0.03333333333333333,0,60,10,1.0,0.0,0.0,0.3067033999832347,0.0,0,0
rcs0.05_k0,15,robust,0.1,0.03,0,60,10,1.0,0.0,0.0,3.0315819000825286,0.0,0,0
rcs0.05_k0,16,v1,0.0,0.05,0,60,10,1.0,0.0,0.0,3.437339899945073,0.0,0,0
rcs0.05_k0,16,joint,0.0,0.05,0,60,10,1.0,0.0,0.0,3.513050099951215,0.0,328,0
rcs0.05_k0,16,balanced,0.0,0.06,0,60,10,1.0,0.0,0.0,0.43024949997197837,0.0,0,0
rcs0.05_k0,16,robust,0.0,0.05,0,60,10,1.0,0.0,0.0,3.584908500080928,0.0,0,0
rcs0.05_k0,17,v1,0.1,0.03666666666666667,0,55,10,1.0,0.0,0.0,3.14480090001598,0.0,0,0
rcs0.05_k0,17,joint,0.1,0.043333333333333335,0,55,10,1.0,0.0,0.0,3.239261000067927,0.00011507200297700138,325,1
rcs0.05_k0,17,balanced,0.1,0.04,0,60,10,1.0,0.0,0.0,0.5080995999742299,0.0,0,0
rcs0.05_k0,17,robust,0.1,0.03666666666666667,0,60,10,1.0,0.0,0.0,3.6600609000306576,0.0,0,0
rcs0.05_k0,18,v1,0.2,0.043333333333333335,0,55,10,1.0,0.0,0.0,3.0209022000199184,0.0,0,0
rcs0.05_k0,18,joint,0.2,0.043333333333333335,0,55,10,1.0,0.0,0.0,3.1002217000350356,0.0,327,0
rcs0.05_k0,18,balanced,0.2,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.33682019996922463,0.0,0,0
rcs0.05_k0,18,robust,0.2,0.04,0,60,10,1.0,0.0,0.0,3.2227639999473467,0.0,0,0
rcs0.05_k0,19,v1,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,3.039200500003062,0.0,0,0
rcs0.05_k0,19,joint,0.2,0.03666666666666667,0,60,10,1.0,0.0,0.0,3.135252499836497,0.0022550545897779273,328,1
rcs0.05_k0,19,balanced,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,0.35290640010498464,0.0,0,0
rcs0.05_k0,19,robust,0.2,0.04666666666666667,0,60,10,1.0,0.0,0.0,3.2560615999391302,0.0,0,0
rcs0.05_k0,20,v1,0.1,0.05,0,60,10,1.0,0.0,0.0,2.874547000043094,0.0,0,0
rcs0.05_k0,20,joint,0.1,0.04666666666666667,0,59,10,1.0,0.0,0.0,2.959168400033377,0.004078881986204763,328,1
rcs0.05_k0,20,balanced,0.1,0.04,0,60,10,1.0,0.0,0.0,0.2398471999913454,0.0,0,0
rcs0.05_k0,20,robust,0.1,0.05,0,60,10,1.0,0.0,0.0,2.945644299965352,0.0,0,0
rcs0.05_k0,21,v1,0.1,0.05333333333333334,0,55,10,1.0,0.0,0.0,2.4949053999735042,0.0,0,0
rcs0.05_k0,21,joint,0.1,0.05333333333333334,0,55,10,1.0,0.0,0.0,2.5725138001143932,0.0,314,0
rcs0.05_k0,21,balanced,0.1,0.05,0,60,10,1.0,0.0,0.0,0.3030151999555528,0.0,0,0
rcs0.05_k0,21,robust,0.1,0.05333333333333334,0,60,10,1.0,0.0,0.0,2.978973799967207,0.0,0,0
rcs0.05_k0,22,v1,0.1,0.06333333333333334,0,55,10,1.0,0.0,0.0,2.821125700022094,0.0,0,0
rcs0.05_k0,22,joint,0.1,0.06333333333333334,0,55,10,1.0,0.0,0.0,2.896474599954672,0.0,326,0
rcs0.05_k0,22,balanced,0.1,0.05333333333333334,0,60,10,1.0,0.0,0.0,0.36282610008493066,0.0,0,0
rcs0.05_k0,22,robust,0.1,0.06333333333333334,0,60,10,1.0,0.0,0.0,3.0032907999120653,0.0,0,0
rcs0.05_k0,23,v1,0.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,2.6525404999265447,0.0,0,0
rcs0.05_k0,23,joint,0.0,0.05333333333333334,0,60,10,1.0,0.0,0.0,2.7429354999912903,0.00027728080029376656,338,1
rcs0.05_k0,23,balanced,0.0,0.056666666666666664,0,60,10,1.0,0.0,0.0,0.2772746999980882,0.0,0,0
rcs0.05_k0,23,robust,0.0,0.04666666666666667,0,60,10,1.0,0.0,0.0,2.7234514999436215,0.0,0,0
rcs0.05_k0,24,v1,0.0,0.06666666666666667,0,60,10,1.0,0.0,0.0,2.906914599938318,0.0,0,0
rcs0.05_k0,24,joint,0.0,0.06666666666666667,0,60,10,1.0,0.0,0.0,2.9926652000285685,0.002725463978389797,315,1
