block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,0,active_set,False,0.2,1.0,1.0,-21.487970467737533,-143.19682895498656,-82.81122833016923,60.38560062481733,-122.72904354487862
A,400.0,0.05,0,active_set,False,0.4,1.0,1.0,-18.477670511097724,-140.18652899834674,-82.81122833016923,57.375300668177516,-122.72904354487862
A,400.0,0.05,0,active_set,False,0.6,1.0,1.0,-16.71675792054091,-138.42561640778993,-82.81122833016923,55.61438807762072,-122.72904354487862
A,400.0,0.05,0,active_set,False,0.8,1.0,1.0,-15.467370554457911,-137.17622904170693,-82.81122833016923,54.365000711537704,-122.72904354487862
A,400.0,0.05,0,active_set,False,0.95,1.0,1.0,-14.72103437148887,-136.4298928587379,-82.81122833016923,53.618664528568665,-122.72904354487862
A,400.0,0.05,0,active_set,False,0.2,2.0,1.0,-21.32437687830358,-140.18652899834674,-79.80092837352942,60.38560062481733,-119.71874358823881
A,400.0,0.05,0,active_set,False,0.4,2.0,1.0,-18.314076921663766,-137.17622904170693,-79.80092837352942,57.375300668177516,-119.71874358823881
A,400.0,0.05,0,active_set,False,0.6,2.0,1.0,-16.553164331106952,-135.41531645115012,-79.80092837352942,55.61438807762072,-119.71874358823881
A,400.0,0.05,0,active_set,False,0.8,2.0,1.0,-15.303776965023953,-134.16592908506712,-79.80092837352942,54.365000711537704,-119.71874358823881
A,400.0,0.05,0,active_set,False,0.95,2.0,1.0,-14.557440782054913,-133.4195929020981,-79.80092837352942,53.618664528568665,-119.71874358823881
A,400.0,0.05,0,orthogonal,False,0.2,1.0,1.0,-15.639268047011512,-143.19682895498656,-89.80092837352942,53.39590058145714,-129.40472655561808
A,400.0,0.05,0,orthogonal,False,0.4,1.0,1.0,-14.988343465178344,-140.18652899834674,-86.7906284168896,53.39590058145714,-126.58801094482796
A,400.0,0.05,0,orthogonal,False,0.6,1.0,1.0,-14.712824190401125,-138.42561640778993,-85.02971582633279,53.39590058145714,-124.89359268598945
A,400.0,0.05,0,orthogonal,False,0.8,1.0,1.0,-14.579441459574058,-137.17622904170693,-83.78032846024979,53.39590058145714,-123.67783820686904
A,400.0,0.05,0,orthogonal,False,0.95,1.0,1.0,-14.519868343638926,-136.4298928587379,-83.03399227728076,53.39590058145714,-122.94752475987005
A,400.0,0.05,0,orthogonal,False,0.2,2.0,1.0,-15.110419054845645,-140.18652899834674,-86.7906284168896,53.39590058145714,-126.39442659897826
A,400.0,0.05,0,orthogonal,False,0.4,2.0,1.0,-14.666542075411204,-137.17622904170693,-83.78032846024979,53.39590058145714,-123.57771098818814
A,400.0,0.05,0,orthogonal,False,0.6,2.0,1.0,-14.500617889175608,-135.41531645115012,-82.01941586969298,53.39590058145714,-121.88329272934963
A,400.0,0.05,0,orthogonal,False,0.8,2.0,1.0,-14.395779873202219,-134.16592908506712,-80.77002850360998,53.39590058145714,-120.66753825022923
A,400.0,0.05,0,orthogonal,False,0.95,2.0,1.0,-14.345423415825245,-133.4195929020981,-80.02369232064095,53.39590058145714,-119.93722480323024
B,400.0,0.05,0,active_set,False,0.8,1.0,1.0,-15.467370554457911,-137.17622904170693,-82.81122833016923,54.365000711537704,-122.72904354487862
B,400.0,0.05,0,active_set,True,0.8,1.0,1.0,-15.467370554457911,-137.17622904170693,-82.81122833016923,54.365000711537704,-122.72904354487862
B,400.0,0.05,0,active_set,True,0.8,1.0,0.5,-12.97839731463826,-137.17622904170693,-85.58309530832534,51.593133733381585,-125.42879877290352
A,400.0,0.05,1,active_set,False,0.2,1.0,1.0,-24.57208876095791,-144.32824019367072,-80.09709783706397,64.23114235660678,-120.05291201586631
A,400.0,0.05,1,active_set,False,0.4,1.0,1.0,-21.5617888043181,-141.31794023703094,-80.09709783706397,61.22084239996696,-120.05291201586631
A,400.0,0.05,1,active_set,False,0.6,1.0,1.0,-19.80087621376129,-139.55702764647413,-80.09709783706397,59.45992980941015,-120.05291201586631
A,400.0,0.05,1,active_set,False,0.8,1.0,1.0,-18.55148884767829,-138.30764028039113,-80.09709783706397,58.21054244332715,-120.05291201586631
A,400.0,0.05,1,active_set,False,0.95,1.0,1.0,-17.805152664709244,-137.56130409742207,-80.09709783706397,57.46420626035811,-120.05291201586631
A,400.0,0.05,1,active_set,False,0.2,2.0,1.0,-24.475621252853305,-141.31794023703094,-77.08679788042416,64.23114235660678,-117.0426120592265
A,400.0,0.05,1,active_set,False,0.4,2.0,1.0,-21.465321296213492,-138.30764028039113,-77.08679788042416,61.22084239996696,-117.0426120592265
A,400.0,0.05,1,active_set,False,0.6,2.0,1.0,-19.704408705656682,-136.5467276898343,-77.08679788042416,59.45992980941015,-117.0426120592265
A,400.0,0.05,1,active_set,False,0.8,2.0,1.0,-18.45502133957368,-135.2973403237513,-77.08679788042416,58.21054244332715,-117.0426120592265
A,400.0,0.05,1,active_set,False,0.95,2.0,1.0,-17.70868515660464,-134.55100414078225,-77.08679788042416,57.46420626035811,-117.0426120592265
A,400.0,0.05,1,orthogonal,False,0.2,1.0,1.0,-18.410791026005093,-144.32824019367072,-87.08679788042416,57.24144231324659,-126.87023162359222
A,400.0,0.05,1,orthogonal,False,0.4,1.0,1.0,-17.925311295016087,-141.31794023703094,-84.07649792378434,57.24144231324659,-123.96686501754047
A,400.0,0.05,1,orthogonal,False,0.6,1.0,1.0,-17.72105203622006,-139.55702764647413,-82.31558533322753,57.24144231324659,-122.24219008996342
A,400.0,0.05,1,orthogonal,False,0.8,1.0,1.0,-17.643365205040627,-138.30764028039113,-81.06619796714453,57.24144231324659,-121.01103557781157
A,400.0,0.05,1,orthogonal,False,0.95,1.0,1.0,-17.59323956424554,-137.56130409742207,-80.31986178417549,57.24144231324659,-120.27336279991562
A,400.0,0.05,1,orthogonal,False,0.2,2.0,1.0,-18.032654624126977,-141.31794023703094,-84.07649792378434,57.24144231324659,-123.8599316669524
A,400.0,0.05,1,orthogonal,False,0.4,2.0,1.0,-17.688564161639814,-138.30764028039113,-81.06619796714453,57.24144231324659,-120.95656506090066
A,400.0,0.05,1,orthogonal,False,0.6,2.0,1.0,-17.584707250466387,-136.5467276898343,-79.30528537658772,57.24144231324659,-119.2318901333236
A,400.0,0.05,1,orthogonal,False,0.8,2.0,1.0,-17.519738183637767,-135.2973403237513,-78.05589801050472,57.24144231324659,-118.00073562117176
A,400.0,0.05,1,orthogonal,False,0.95,2.0,1.0,-17.495096541929815,-134.55100414078225,-77.30956182753567,57.24144231324659,-117.2630628432758
B,400.0,0.05,1,active_set,False,0.8,1.0,1.0,-18.55148884767829,-138.30764028039113,-80.09709783706397,58.21054244332715,-120.05291201586631
B,400.0,0.05,1,active_set,True,0.8,1.0,1.0,-18.55148884767829,-138.30764028039113,-80.09709783706397,58.21054244332715,-120.05291201586631
B,400.0,0.05,1,active_set,True,0.8,1.0,0.5,-14.438061723883624,-138.30764028039113,-85.26462665134665,53.04301362904447,-125.12106152875617
A,400.0,0.05,2,active_set,False,0.2,1.0,1.0,-20.017081324671647,-141.88192390122572,-82.52414286770372,59.35778103352202,-122.44716883993549
A,400.0,0.05,2,active_set,False,0.4,1.0,1.0,-17.006781368031834,-138.8716239445859,-82.52414286770372,56.34748107688221,-122.44716883993549
A,400.0,0.05,2,active_set,False,0.6,1.0,1.0,-15.245868777475023,-137.1107113540291,-82.52414286770372,54.5865684863254,-122.44716883993549
A,400.0,0.05,2,active_set,False,0.8,1.0,1.0,-13.996481411392024,-135.8613239879461,-82.52414286770372,53.3371811202424,-122.44716883993549
A,400.0,0.05,2,active_set,False,0.95,1.0,1.0,-13.25014522842298,-135.11498780497706,-82.52414286770372,52.59084493727336,-122.44716883993549
A,400.0,0.05,2,active_set,False,0.2,2.0,1.0,-19.814877846949873,-138.8716239445859,-79.5138429110639,59.35778103352202,-119.43686888329567
