area_m,rcs_m2,trial,label,family,pd,worst_pd,weak_pd,pfa,reports,observations,bits,delay_ms,n_looks,rho_mean,rho_std,sensing_w,power_seconds,per_target
400.0,0.05,0,orth_rho80,rho,0.5,0.0,1.0,0.06666666666666667,7.0,47.0,4480.0,7.466666666666669,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,as_rho41,rho,0.4,0.0,1.0,0.056666666666666664,4.0,46.0,2560.0,4.266666666666667,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,1;0;1;0;1;0;0;0;1;0
400.0,0.05,0,as_rho80,rho,0.4,0.0,1.0,0.056666666666666664,1.0,50.0,640.0,1.0666666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;1;0;0;0;1;0
400.0,0.05,0,as_rho95,rho,0.5,0.0,1.0,0.056666666666666664,1.0,50.0,640.0,1.0666666666666667,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;1;0;0;0;1;0
400.0,0.05,0,as_rho95_looks64,rho,0.6,0.0,1.0,0.05,2.0,41.0,1280.0,2.1333333333333333,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;1;0;0;1;1;0
400.0,0.05,0,as_rho95_maxmin,rho,0.6,0.0,1.0,0.04666666666666667,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;1;0;0;0;1;1
400.0,0.05,6,orth_rho80,rho,0.4,0.0,0.0,0.05,8.0,48.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,as_rho41,rho,0.4,0.0,0.0,0.03666666666666667,6.0,55.0,3840.0,6.400000000000001,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,as_rho80,rho,0.4,0.0,0.0,0.05333333333333334,8.0,49.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,as_rho95,rho,0.4,0.0,0.0,0.06,5.0,49.0,3200.0,5.333333333333334,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,as_rho95_looks64,rho,0.5,0.0,0.0,0.07,7.0,40.0,4480.0,7.466666666666669,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;0;1;1;1;0;0;1;1
400.0,0.05,6,as_rho95_maxmin,rho,0.4,0.0,0.0,0.06,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;0;1;0;0;1;0;1;1
400.0,0.05,2,orth_rho80,rho,0.6,0.0,0.0,0.04,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;1;1;1;0;0;1;0
400.0,0.05,2,as_rho41,rho,0.3,0.0,0.0,0.05333333333333334,2.0,45.0,1280.0,2.1333333333333333,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,0;1;1;0;0;1;0;0;0;0
400.0,0.05,2,as_rho80,rho,0.6,0.0,0.0,0.043333333333333335,1.0,42.0,640.0,1.0666666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;1;1;1;1;0;0;0
400.0,0.05,2,as_rho95,rho,0.5,0.0,0.0,0.04666666666666667,0.0,46.0,0.0,0.0,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;1;1;1;1;1;0;0;0;0
400.0,0.05,2,as_rho95_looks64,rho,0.6,0.0,0.0,0.04666666666666667,0.0,38.0,0.0,0.0,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;1;1;1;1;1;1;0;0;0
400.0,0.05,2,as_rho95_maxmin,rho,0.5,0.0,0.0,0.056666666666666664,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;1;1;1;1;1;0;0;0;0
400.0,0.05,7,orth_rho80,rho,0.5,0.0,1.0,0.056666666666666664,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;0;1;0;1;1
400.0,0.05,7,as_rho41,rho,0.3,0.0,1.0,0.05333333333333334,1.0,47.0,640.0,1.0666666666666667,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,1;0;0;0;0;0;1;0;1;0
400.0,0.05,7,as_rho80,rho,0.6,0.0,1.0,0.056666666666666664,1.0,44.0,640.0,1.0666666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;0;0;1;1;0;1;1
400.0,0.05,7,as_rho95,rho,0.7,0.0,1.0,0.05333333333333334,0.0,43.0,0.0,0.0,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;0;1;1;0;1;1
400.0,0.05,7,as_rho95_looks64,rho,0.8,0.0,1.0,0.056666666666666664,0.0,45.0,0.0,0.0,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;1;1;1;0;1;1
400.0,0.05,7,as_rho95_maxmin,rho,0.7,0.0,1.0,0.05333333333333334,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;0;1;1;0;1;1
400.0,0.05,4,orth_rho80,rho,0.6,0.0,1.0,0.06,8.0,50.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;0;1;1;1;0
400.0,0.05,4,as_rho41,rho,0.4,0.0,0.0,0.05333333333333334,8.0,54.0,5120.0,8.533333333333335,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,0;0;0;0;1;0;1;1;1;0
400.0,0.05,4,as_rho80,rho,0.7,0.0,1.0,0.05333333333333334,5.0,51.0,3200.0,5.333333333333334,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;0;1;1;1;1;1;0
400.0,0.05,4,as_rho95,rho,0.6,0.0,1.0,0.05333333333333334,1.0,50.0,640.0,1.0666666666666667,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;0;1;0;1;1;1;0
400.0,0.05,4,as_rho95_looks64,rho,0.7,0.0,1.0,0.04,0.0,42.0,0.0,0.0,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;0;1;1;1;1;1;0
400.0,0.05,4,as_rho95_maxmin,rho,0.7,0.0,1.0,0.04,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;0;1;1;1;1;1;0
400.0,0.05,1,orth_rho80,rho,0.4,0.0,0.0,0.04666666666666667,8.0,53.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;0;1;0;0;0;0;1
400.0,0.05,1,as_rho41,rho,0.3,0.0,0.0,0.03333333333333333,6.0,55.0,3840.0,6.400000000000001,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,0;0;1;0;1;0;0;0;0;1
400.0,0.05,1,as_rho80,rho,0.4,0.0,0.0,0.03333333333333333,7.0,55.0,4480.0,7.466666666666669,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;1;0;1;0;0;0;0;1
400.0,0.05,1,as_rho95,rho,0.5,0.0,0.0,0.03,0.0,55.0,0.0,0.0,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;1;1;0;1;0;1;0;0;1
400.0,0.05,1,as_rho95_looks64,rho,0.5,0.0,0.0,0.03,0.0,48.0,0.0,0.0,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;1;1;0;1;0;1;0;0;1
400.0,0.05,1,as_rho95_maxmin,rho,0.5,0.0,0.0,0.04666666666666667,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;1;1;0;1;0;0;1;0;1
400.0,0.05,3,orth_rho80,rho,0.5,0.0,1.0,0.03666666666666667,8.0,48.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;0;1;0;0
400.0,0.05,3,as_rho41,rho,0.5,0.0,1.0,0.03,6.0,50.0,3840.0,6.400000000000001,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,1;1;0;1;0;1;0;1;0;0
400.0,0.05,3,as_rho80,rho,0.5,0.0,1.0,0.03333333333333333,2.0,52.0,1280.0,2.1333333333333333,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;0;1;0;0
400.0,0.05,3,as_rho95,rho,0.5,0.0,1.0,0.03333333333333333,1.0,52.0,640.0,1.0666666666666667,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;1;0;1;0;1;0;0
400.0,0.05,3,as_rho95_looks64,rho,0.6,0.0,1.0,0.043333333333333335,1.0,41.0,640.0,1.0666666666666667,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;1;1;1;0;1;0;0
400.0,0.05,3,as_rho95_maxmin,rho,0.5,0.0,1.0,0.043333333333333335,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;1;0;1;0;1;0;0
400.0,0.05,5,orth_rho80,rho,0.1,0.0,0.0,0.05333333333333334,8.0,55.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;0;0;1;0;0;0;0
400.0,0.05,5,as_rho41,rho,0.0,0.0,0.0,0.05333333333333334,7.0,55.0,4480.0,7.466666666666669,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,0;0;0;0;0;0;0;0;0;0
400.0,0.05,5,as_rho80,rho,0.1,0.0,0.0,0.05,8.0,55.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;0;0;1;0;0;0;0
400.0,0.05,5,as_rho95,rho,0.2,0.0,0.0,0.05333333333333334,6.0,55.0,3840.0,6.400000000000001,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;0;0;0;1;0;0;1;0
400.0,0.05,5,as_rho95_looks64,rho,0.2,0.0,0.0,0.05,6.0,55.0,3840.0,6.400000000000001,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;0;0;0;1;0;0;1;0
400.0,0.05,5,as_rho95_maxmin,rho,0.4,0.0,0.0,0.06333333333333334,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;1;0;0;1;0;0;1;1
400.0,0.05,8,orth_rho80,rho,0.7,0.0,1.0,0.03666666666666667,5.0,32.0,3200.0,5.333333333333334,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;0;1;1;1
400.0,0.05,8,as_rho41,rho,0.7,0.0,1.0,0.04,0.0,44.0,0.0,0.0,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,1;1;0;1;0;1;0;1;1;1
400.0,0.05,8,as_rho80,rho,0.8,0.0,1.0,0.04,0.0,32.0,0.0,0.0,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;1;1;1;1
400.0,0.05,8,as_rho95,rho,0.8,0.0,1.0,0.04,0.0,32.0,0.0,0.0,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;1;0;1;1;1;1;1
400.0,0.05,8,as_rho95_looks64,rho,0.9,0.0,1.0,0.043333333333333335,0.0,25.0,0.0,0.0,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;1;1;0;1;1;1;1;1
400.0,0.05,8,as_rho95_maxmin,rho,0.8,0.0,1.0,0.056666666666666664,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;0;1;0;1;1;1;1;1
400.0,0.05,9,orth_rho80,rho,0.7,0.0,1.0,0.04666666666666667,8.0,49.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;0;1;1;1;0;1
400.0,0.05,9,as_rho41,rho,0.5,0.0,1.0,0.06,4.0,50.0,2560.0,4.266666666666667,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,1;0;1;1;0;1;1;0;0;0
400.0,0.05,9,as_rho80,rho,0.7,0.0,1.0,0.04666666666666667,3.0,48.0,1920.0,3.2,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;0;1;1;1;0;1
400.0,0.05,9,as_rho95,rho,0.7,0.0,1.0,0.04666666666666667,0.0,49.0,0.0,0.0,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;0;1;1;0;1;1;1;0;1
400.0,0.05,9,as_rho95_looks64,rho,0.8,0.0,1.0,0.06,0.0,42.0,0.0,0.0,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;1;1;0;1;1;1;0;1
400.0,0.05,9,as_rho95_maxmin,rho,0.8,0.0,1.0,0.04666666666666667,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,1;1;1;1;0;1;1;1;0;1
400.0,0.05,10,orth_rho80,rho,0.4,0.0,0.0,0.05,8.0,40.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;1;1;0;0;0;1;1;0
400.0,0.05,10,as_rho41,rho,0.4,0.0,0.0,0.06,3.0,48.0,1920.0,3.2,16,0.41000000000000003,5.551115123125783e-17,6.15,0.0,0;0;1;1;0;0;0;1;1;0
400.0,0.05,10,as_rho80,rho,0.4,0.0,0.0,0.04666666666666667,2.0,43.0,1280.0,2.1333333333333333,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;1;1;0;0;0;1;1;0
400.0,0.05,10,as_rho95,rho,0.4,0.0,0.0,0.04666666666666667,1.0,42.0,640.0,1.0666666666666667,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;1;1;0;0;0;1;1;0
400.0,0.05,10,as_rho95_looks64,rho,0.6,0.0,0.0,0.06,3.0,41.0,1920.0,3.2,64,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;1;1;1;1;0;1;1;0
400.0,0.05,10,as_rho95_maxmin,rho,0.5,0.0,0.0,0.07333333333333333,8.0,60.0,5120.0,8.533333333333335,16,0.9499999999999996,3.3306690738754696e-16,14.249999999999995,0.0,0;0;1;1;1;0;0;1;1;0
