trial,delta,numerator,p_d,p_fa,n_selected,kappa_db,eta_median
0,0.0,fixed,1.0,0.044444444444444446,3,66.12974217403357,0.9998895848969584
0,0.0,own,1.0,0.044444444444444446,3,66.12974217403357,0.9974770810305338
0,0.001,fixed,1.0,0.044444444444444446,3,55.68166939819341,0.9998895848969584
0,0.001,own,1.0,0.044444444444444446,3,55.68166939819341,0.9989465860081508
0,0.00189,fixed,1.0,0.07777777777777778,4,49.445699632171625,0.9998895848969584
0,0.00189,own,1.0,0.05555555555555555,3,49.445699632171625,0.9998469704303408
0,0.003,fixed,1.0,0.07777777777777778,4,49.594785462800296,0.9998895848969584
0,0.003,own,1.0,0.05555555555555555,3,49.594785462800296,0.9956080513870316
1,0.0,fixed,0.6666666666666666,0.03333333333333333,13,75.89517591582121,0.9997800745158996
1,0.0,own,0.6666666666666666,0.03333333333333333,13,75.89517591582121,0.999817449675138
1,0.001,fixed,0.3333333333333333,0.03333333333333333,13,57.620306002368,0.9997800745158996
1,0.001,own,0.3333333333333333,0.03333333333333333,13,57.620306002368,0.999734345064737
1,0.00189,fixed,0.3333333333333333,0.05555555555555555,13,51.56649494655307,0.9997800745158996
1,0.00189,own,0.3333333333333333,0.05555555555555555,13,51.56649494655307,0.9999411398070155
1,0.003,fixed,0.6666666666666666,0.044444444444444446,13,44.62492829675932,0.9997800745158996
1,0.003,own,0.6666666666666666,0.044444444444444446,13,44.62492829675932,0.999893749785552
2,0.0,fixed,0.3333333333333333,0.08888888888888889,9,67.2302392383231,0.9999343909796894
2,0.0,own,0.3333333333333333,0.08888888888888889,9,67.2302392383231,0.9999776231790327
2,0.001,fixed,0.6666666666666666,0.044444444444444446,10,53.2197550367372,0.9999343909796894
2,0.001,own,0.6666666666666666,0.044444444444444446,10,53.2197550367372,0.999866696498376
2,0.00189,fixed,0.3333333333333333,0.044444444444444446,10,53.14450315499684,0.9999343909796894
2,0.00189,own,0.3333333333333333,0.044444444444444446,10,53.14450315499684,0.9999002934389687
2,0.003,fixed,0.6666666666666666,0.07777777777777778,11,47.10399162582682,0.9999343909796894
2,0.003,own,0.6666666666666666,0.07777777777777778,11,47.10399162582682,0.999836172607475
3,0.0,fixed,1.0,0.022222222222222223,4,66.23202638592768,0.9950016204539156
3,0.0,own,1.0,0.022222222222222223,4,66.23202638592768,0.9977272304634197
3,0.001,fixed,1.0,0.03333333333333333,4,58.33104004480286,0.9950016204539156
3,0.001,own,1.0,0.03333333333333333,4,58.33104004480286,0.9966438503136485
3,0.00189,fixed,1.0,0.03333333333333333,8,47.23388080076088,0.9950016204539156
3,0.00189,own,1.0,0.03333333333333333,8,47.23388080076088,0.9989036241508333
3,0.003,fixed,1.0,0.03333333333333333,8,43.346534096269146,0.9950016204539156
3,0.003,own,1.0,0.03333333333333333,8,43.346534096269146,0.996733760374344
4,0.0,fixed,1.0,0.044444444444444446,8,66.40281624446413,0.9992191218994784
4,0.0,own,1.0,0.044444444444444446,8,66.40281624446413,0.9995013226527516
4,0.001,fixed,1.0,0.03333333333333333,8,57.92731948108937,0.9992191218994784
4,0.001,own,1.0,0.03333333333333333,8,57.92731948108937,0.9998840206324792
4,0.00189,fixed,0.6666666666666666,0.011111111111111112,8,50.13191530883194,0.9992191218994784
4,0.00189,own,0.6666666666666666,0.011111111111111112,8,50.13191530883194,0.9998537405925099
4,0.003,fixed,0.6666666666666666,0.044444444444444446,9,46.080165392549084,0.9992191218994784
4,0.003,own,0.6666666666666666,0.044444444444444446,9,46.080165392549084,0.9995751874103955
5,0.0,fixed,1.0,0.044444444444444446,13,76.11364636213497,0.9998229101474023
5,0.0,own,1.0,0.044444444444444446,13,76.11364636213497,0.9998900246886092
5,0.001,fixed,1.0,0.044444444444444446,14,56.72499482563947,0.9998229101474023
5,0.001,own,1.0,0.044444444444444446,14,56.72499482563947,0.999810923526897
5,0.00189,fixed,1.0,0.05555555555555555,14,52.26580517289255,0.9998229101474023
5,0.00189,own,1.0,0.05555555555555555,14,52.26580517289255,0.9999165908937795
5,0.003,fixed,1.0,0.05555555555555555,15,46.93477810126228,0.9998229101474023
5,0.003,own,1.0,0.05555555555555555,15,46.93477810126228,0.9999103904220649
6,0.0,fixed,1.0,0.05555555555555555,8,70.09059581574098,0.9993520121522601
6,0.0,own,1.0,0.05555555555555555,8,70.09059581574098,0.9998737863210552
6,0.001,fixed,0.6666666666666666,0.05555555555555555,8,55.96418302310733,0.9993520121522601
6,0.001,own,0.6666666666666666,0.05555555555555555,8,55.96418302310733,0.998663395749084
6,0.00189,fixed,0.6666666666666666,0.05555555555555555,8,49.57181134851719,0.9993520121522601
6,0.00189,own,0.6666666666666666,0.05555555555555555,8,49.57181134851719,0.9997595661301186
6,0.003,fixed,0.6666666666666666,0.06666666666666667,8,46.95657991853763,0.9993520121522601
6,0.003,own,0.6666666666666666,0.06666666666666667,8,46.95657991853763,0.9991350285777596
7,0.0,fixed,1.0,0.044444444444444446,8,66.34535421068847,0.9957349390540489
7,0.0,own,1.0,0.044444444444444446,8,66.34535421068847,0.9987800112264118
7,0.001,fixed,1.0,0.044444444444444446,8,55.01499332028959,0.9957349390540489
7,0.001,own,1.0,0.044444444444444446,8,55.01499332028959,0.9990222249177934
7,0.00189,fixed,1.0,0.05555555555555555,8,51.08266473585756,0.9957349390540489
7,0.00189,own,1.0,0.05555555555555555,8,51.08266473585756,0.9946556389902649
7,0.003,fixed,0.6666666666666666,0.044444444444444446,8,48.86393451253032,0.9957349390540489
7,0.003,own,0.6666666666666666,0.044444444444444446,8,48.86393451253032,0.9988178868614224
8,0.0,fixed,1.0,0.03333333333333333,3,70.70688410544328,0.9996016497577496
8,0.0,own,1.0,0.03333333333333333,3,70.70688410544328,0.9998327782290606
8,0.001,fixed,1.0,0.03333333333333333,3,54.751156994254316,0.9996016497577496
8,0.001,own,1.0,0.03333333333333333,3,54.751156994254316,0.999564991627893
8,0.00189,fixed,1.0,0.03333333333333333,3,49.39627170941525,0.9996016497577496
8,0.00189,own,1.0,0.03333333333333333,3,49.39627170941525,0.9996425206263237
8,0.003,fixed,1.0,0.03333333333333333,4,46.38745520195659,0.9996016497577496
8,0.003,own,1.0,0.03333333333333333,4,46.38745520195659,0.9998983203788268
9,0.0,fixed,1.0,0.06666666666666667,8,67.65000361570151,0.9999887831964318
9,0.0,own,1.0,0.06666666666666667,8,67.65000361570151,0.9999572577664253
9,0.001,fixed,0.6666666666666666,0.06666666666666667,8,56.70194407196289,0.9999887831964318
9,0.001,own,0.6666666666666666,0.06666666666666667,8,56.70194407196289,0.9999569564179589
9,0.00189,fixed,0.6666666666666666,0.044444444444444446,8,51.01079444390681,0.9999887831964318
9,0.00189,own,0.6666666666666666,0.044444444444444446,8,51.01079444390681,0.999972337610911
9,0.003,fixed,0.6666666666666666,0.07777777777777778,8,46.97718333030819,0.9999887831964318
9,0.003,own,0.6666666666666666,0.07777777777777778,8,46.97718333030819,1.0
10,0.0,fixed,1.0,0.022222222222222223,7,74.24841017811337,0.9975335876420985
10,0.0,own,1.0,0.022222222222222223,7,74.24841017811337,0.9998732901329719
10,0.001,fixed,1.0,0.011111111111111112,8,59.62910164244727,0.9975335876420985
10,0.001,own,1.0,0.011111111111111112,8,59.62910164244727,0.9998814889170926
10,0.00189,fixed,0.6666666666666666,0.011111111111111112,12,48.35749607306103,0.9975335876420985
10,0.00189,own,0.6666666666666666,0.011111111111111112,12,48.35749607306103,0.9999554127702839
10,0.003,fixed,0.6666666666666666,0.03333333333333333,9,47.77944162589501,0.9975335876420985
10,0.003,own,0.6666666666666666,0.03333333333333333,9,47.77944162589501,0.9987921390968206
11,0.0,fixed,0.6666666666666666,0.044444444444444446,13,68.12802860586567,0.9687240448280785
11,0.0,own,0.6666666666666666,0.044444444444444446,13,68.12802860586567,0.9651821612103277
11,0.001,fixed,0.6666666666666666,0.03333333333333333,13,58.78994786289395,0.9687240448280785
11,0.001,own,0.6666666666666666,0.044444444444444446,13,58.78994786289395,0.9769874128004183
11,0.00189,fixed,0.3333333333333333,0.044444444444444446,13,50.72328595874838,0.9687240448280785
11,0.00189,own,0.3333333333333333,0.044444444444444446,13,50.72328595874838,0.9778967489728043
11,0.003,fixed,0.6666666666666666,0.044444444444444446,13,48.20382178905738,0.9687240448280785
11,0.003,own,0.6666666666666666,0.044444444444444446,13,48.20382178905738,0.9776146578797337
12,0.0,fixed,1.0,0.07777777777777778,3,66.10331426036834,0.9716981296539242
12,0.0,own,1.0,0.07777777777777778,3,66.10331426036834,0.9877115786718154
