trial,kappa_db,label,p_d,p_fa,n_selected,rinr_db_median
0,0.0,0.00,0.0,0.0,0,43.82223703100182
0,20.0,20.00,0.3333333333333333,0.05555555555555555,8,23.826889904547293
0,36.5,36.50,1.0,0.07777777777777778,9,7.527308541657268
0,45.0,45.00,1.0,0.06666666666666667,4,0.10070344875188941
0,52.25,52.25,1.0,0.044444444444444446,3,-3.930804269105524
0,60.0,60.00,1.0,0.044444444444444446,3,-5.4529144037509845
0,68.0,68.00,1.0,0.044444444444444446,3,-5.7741032681896005
0,90.0,perfect,1.0,0.044444444444444446,3,-5.837353061828696
1,0.0,0.00,0.0,0.0,0,46.022912583702364
1,20.0,20.00,0.0,0.03333333333333333,4,26.0257365206944
1,36.5,36.50,0.3333333333333333,0.044444444444444446,9,9.64847820513649
1,45.0,45.00,0.3333333333333333,0.05555555555555555,13,1.8416663757353815
1,52.25,52.25,0.3333333333333333,0.06666666666666667,13,-3.0085488723163167
1,60.0,60.00,0.3333333333333333,0.03333333333333333,13,-5.213117393937895
1,68.0,68.00,0.3333333333333333,0.03333333333333333,13,-5.732143083930061
1,90.0,perfect,0.6666666666666666,0.03333333333333333,13,-5.837353061828696
2,0.0,0.00,0.0,0.0,0,42.973976900001624
2,20.0,20.00,0.0,0.03333333333333333,1,22.97962636065983
2,36.5,36.50,0.0,0.011111111111111112,15,6.721780607998743
2,45.0,45.00,0.3333333333333333,0.05555555555555555,12,-0.5160894968852336
2,52.25,52.25,0.3333333333333333,0.05555555555555555,10,-4.21459983389744
2,60.0,60.00,0.6666666666666666,0.06666666666666667,9,-5.519006744472021
2,68.0,68.00,0.6666666666666666,0.06666666666666667,9,-5.7853163179903
2,90.0,perfect,0.6666666666666666,0.06666666666666667,9,-5.837353061828696
3,0.0,0.00,0.0,0.0,0,42.44473771839412
3,20.0,20.00,0.0,0.07777777777777778,5,22.451253311875348
3,36.5,36.50,0.6666666666666666,0.011111111111111112,9,6.228991244142074
3,45.0,45.00,1.0,0.03333333333333333,8,-0.8632473266192218
3,52.25,52.25,1.0,0.022222222222222223,5,-4.354132868704674
3,60.0,60.00,1.0,0.03333333333333333,4,-5.548951726463944
3,68.0,68.00,1.0,0.022222222222222223,4,-5.790296635840301
3,90.0,perfect,1.0,0.022222222222222223,4,-5.837353061828696
4,0.0,0.00,0.0,0.0,0,43.02773252153595
4,20.0,20.00,0.0,0.016666666666666666,5,23.033315769802662
4,36.5,36.50,0.6666666666666666,0.011111111111111112,13,6.772703095779866
4,45.0,45.00,0.6666666666666666,0.044444444444444446,9,-0.4775302479805459
4,52.25,52.25,1.0,0.03333333333333333,8,-4.197223526170685
4,60.0,60.00,1.0,0.044444444444444446,8,-5.515017643954678
4,68.0,68.00,1.0,0.044444444444444446,8,-5.784642038461728
4,90.0,perfect,1.0,0.044444444444444446,8,-5.837353061828696
5,0.0,0.00,0.0,0.0,0,46.11643266763558
5,20.0,20.00,0.0,0.03333333333333333,1,26.119452230320302
5,36.5,36.50,0.3333333333333333,0.06666666666666667,10,9.75025103033952
5,45.0,45.00,0.6666666666666666,0.07777777777777778,16,1.9750759566106182
5,52.25,52.25,1.0,0.044444444444444446,14,-2.865021700223762
5,60.0,60.00,1.0,0.044444444444444446,14,-5.153559456893883
5,68.0,68.00,1.0,0.044444444444444446,13,-5.720307525304209
5,90.0,perfect,1.0,0.044444444444444446,13,-5.837353061828696
6,0.0,0.00,0.0,0.0,0,42.34973556482683
6,20.0,20.00,0.0,0.05,2,22.356284779833217
6,36.5,36.50,0.6666666666666666,0.03333333333333333,10,6.135689488649392
6,45.0,45.00,0.6666666666666666,0.0,8,-0.9435614128699001
6,52.25,52.25,0.6666666666666666,0.05555555555555555,8,-4.396122792107677
6,60.0,60.00,0.6666666666666666,0.05555555555555555,8,-5.5592509122876645
6,68.0,68.00,1.0,0.05555555555555555,8,-5.792062236878383
6,90.0,perfect,1.0,0.05555555555555555,8,-5.837353061828696
7,0.0,0.00,0.0,0.0,0,42.918622763389905
7,20.0,20.00,0.0,0.1,4,22.924839901141972
7,36.5,36.50,0.0,0.044444444444444446,10,6.689381746574594
7,45.0,45.00,0.6666666666666666,0.1111111111111111,8,-0.47795577260071653
7,52.25,52.25,0.3333333333333333,0.06666666666666667,8,-4.152797809302644
7,60.0,60.00,1.0,0.044444444444444446,8,-5.498559689491955
7,68.0,68.00,1.0,0.044444444444444446,8,-5.78159756175983
7,90.0,perfect,1.0,0.044444444444444446,8,-5.837353061828696
8,0.0,0.00,0.0,0.0,0,42.891503951898386
8,20.0,20.00,0.0,0.044444444444444446,5,22.897300596830824
8,36.5,36.50,0.3333333333333333,0.044444444444444446,13,6.645490671849267
8,45.0,45.00,1.0,0.011111111111111112,4,-0.5680349158001939
8,52.25,52.25,1.0,0.03333333333333333,3,-4.233884503728897
8,60.0,60.00,1.0,0.03333333333333333,3,-5.52288348208377
8,68.0,68.00,1.0,0.03333333333333333,3,-5.785949425916445
8,90.0,perfect,1.0,0.03333333333333333,3,-5.837353061828696
9,0.0,0.00,0.0,0.0,0,42.54868889461655
9,20.0,20.00,0.3333333333333333,0.016666666666666666,3,22.554935201329585
9,36.5,36.50,0.6666666666666666,0.044444444444444446,9,6.321842745538364
9,45.0,45.00,0.6666666666666666,0.044444444444444446,8,-0.8096923139301953
9,52.25,52.25,0.6666666666666666,0.06666666666666667,8,-4.340475923292681
9,60.0,60.00,1.0,0.06666666666666667,8,-5.547060225813645
9,68.0,68.00,1.0,0.06666666666666667,8,-5.79002448189353
9,90.0,perfect,1.0,0.06666666666666667,8,-5.837353061828696
10,0.0,0.00,0.0,0.0,0,49.34866545430549
10,20.0,20.00,0.0,0.0,0,29.349967883094855
10,36.5,36.50,0.0,0.03333333333333333,10,12.907032143202391
10,45.0,45.00,0.3333333333333333,0.03333333333333333,14,4.745996105897906
10,52.25,52.25,1.0,0.011111111111111112,10,-1.1155255069930097
10,60.0,60.00,1.0,0.011111111111111112,8,-4.598619056096451
10,68.0,68.00,1.0,0.011111111111111112,8,-5.615907536801137
10,90.0,perfect,1.0,0.022222222222222223,7,-5.837353061828696
11,0.0,0.00,0.0,0.0,0,43.627748677105885
11,20.0,20.00,0.0,0.06666666666666667,2,23.632613361411455
11,36.5,36.50,0.3333333333333333,0.06666666666666667,7,7.341936036115213
11,45.0,45.00,0.3333333333333333,0.044444444444444446,13,-0.04357096116584512
11,52.25,52.25,0.3333333333333333,0.03333333333333333,13,-3.9991370209413644
11,60.0,60.00,0.6666666666666666,0.03333333333333333,13,-5.469134239534054
11,68.0,68.00,0.6666666666666666,0.03333333333333333,13,-5.776868369060107
11,90.0,perfect,0.6666666666666666,0.044444444444444446,13,-5.837353061828696
12,0.0,0.00,0.0,0.0,0,43.865780989397024
12,20.0,20.00,0.0,0.044444444444444446,8,23.87039190101907
12,36.5,36.50,1.0,0.022222222222222223,5,7.569036285238006
12,45.0,45.00,1.0,0.07777777777777778,3,0.1339784573524817
12,52.25,52.25,1.0,0.07777777777777778,3,-3.9143245737828645
12,60.0,60.00,1.0,0.07777777777777778,3,-5.448881664949539
12,68.0,68.00,1.0,0.07777777777777778,3,-5.773410366007454
12,90.0,perfect,1.0,0.07777777777777778,3,-5.837353061828696
13,0.0,0.00,0.0,0.0,0,44.18723311814618
13,20.0,20.00,0.0,0.0,1,24.191508136482263
13,36.5,36.50,0.0,0.05555555555555555,14,7.876005551229041
13,45.0,45.00,1.0,0.044444444444444446,9,0.3749642739679511
13,52.25,52.25,0.6666666666666666,0.05555555555555555,7,-3.798317842141902
13,60.0,60.00,0.6666666666666666,0.05555555555555555,6,-5.421030634057322
13,68.0,68.00,0.6666666666666666,0.05555555555555555,5,-5.76864829052694
13,90.0,perfect,0.6666666666666666,0.044444444444444446,5,-5.837353061828696
14,0.0,0.00,0.0,0.0,0,43.759931313969034
14,20.0,20.00,0.3333333333333333,0.03333333333333333,2,23.76465558190887
14,36.5,36.50,0.6666666666666666,0.03333333333333333,13,7.468068522170581
14,45.0,45.00,0.6666666666666666,0.011111111111111112,12,0.05510783682328828
14,52.25,52.25,0.6666666666666666,0.03333333333333333,10,-3.9519522965743317
14,60.0,60.00,0.6666666666666666,0.03333333333333333,10,-5.457861316539421
14,68.0,68.00,0.6666666666666666,0.03333333333333333,10,-5.774943393266602
14,90.0,perfect,0.6666666666666666,0.03333333333333333,10,-5.837353061828696
15,0.0,0.00,0.0,0.0,0,40.35846617150559
15,20.0,20.00,0.0,0.0,3,20.368791427176568
15,36.5,36.50,0.6666666666666666,0.044444444444444446,13,4.3013574467660005
15,45.0,45.00,0.6666666666666666,0.03333333333333333,13,-2.1867481601863927
15,52.25,52.25,0.6666666666666666,0.03333333333333333,13,-4.8740434163218485
15,60.0,60.00,0.6666666666666666,0.03333333333333333,13,-5.659929142119756
15,68.0,68.00,0.6666666666666666,0.03333333333333333,13,-5.808744122736197
15,90.0,perfect,0.6666666666666666,0.03333333333333333,13,-5.837353061828696
16,0.0,0.00,0.0,0.0,0,42.136827362033074
16,20.0,20.00,0.0,0.044444444444444446,4,22.143779712562342
16,36.5,36.50,0.3333333333333333,0.03333333333333333,13,5.939588450823354
16,45.0,45.00,0.6666666666666666,0.1,8,-1.0757153096229843
16,52.25,52.25,0.3333333333333333,0.08888888888888889,8,-4.445833439043641
16,60.0,60.00,0.6666666666666666,0.07777777777777778,8,-5.5695342503142165
16,68.0,68.00,0.6666666666666666,0.07777777777777778,8,-5.793757911752939
16,90.0,perfect,0.6666666666666666,0.07777777777777778,8,-5.837353061828696
17,0.0,0.00,0.0,0.0,0,43.10729340819911
17,20.0,20.00,0.3333333333333333,0.03333333333333333,4,23.11278594525688
17,36.5,36.50,0.6666666666666666,0.022222222222222223,12,6.8483662333102515
17,45.0,45.00,1.0,0.011111111111111112,8,-0.4192653999813973
17,52.25,52.25,1.0,0.0,8,-4.170222777847618
17,60.0,60.00,1.0,0.011111111111111112,8,-5.508711601975133
17,68.0,68.00,1.0,0.011111111111111112,8,-5.783571634130009
17,90.0,perfect,1.0,0.011111111111111112,8,-5.837353061828696
18,0.0,0.00,0.0,0.0,0,46.53640578607188
18,20.0,20.00,0.0,0.016666666666666666,2,26.538902859212357
18,36.5,36.50,0.3333333333333333,0.05555555555555555,18,10.147633538592236
18,45.0,45.00,1.0,0.011111111111111112,7,2.2684816417947067
18,52.25,52.25,1.0,0.05555555555555555,4,-2.76095966007329
18,60.0,60.00,1.0,0.03333333333333333,3,-5.143461245848981
18,68.0,68.00,1.0,0.03333333333333333,3,-5.719664830972911
18,90.0,perfect,1.0,0.03333333333333333,3,-5.837353061828696
19,0.0,0.00,0.0,0.0,0,43.46365911694488
19,20.0,20.00,0.0,0.0,0,23.46873473626814
19,36.5,36.50,0.6666666666666666,0.08888888888888889,18,7.186854247487906
19,45.0,45.00,0.6666666666666666,0.07777777777777778,10,-0.15978076210506423
19,52.25,52.25,1.0,0.05555555555555555,9,-4.05049615691284
19,60.0,60.00,1.0,0.03333333333333333,8,-5.480765597194878
19,68.0,68.00,1.0,0.05555555555555555,8,-5.778827451236206
19,90.0,perfect,1.0,0.05555555555555555,8,-5.837353061828696
