trial,arm,p_d,p_fa,n_selected
0,baseline,0.6666666666666666,0.05555555555555555,9
0,links3,0.6666666666666666,0.06666666666666667,6
0,links2,0.6666666666666666,0.05555555555555555,5
0,links1,0.6666666666666666,0.03333333333333333,3
0,score_first_order,0.6666666666666666,0.05555555555555555,9
0,rcs_iid,0.6666666666666666,0.05555555555555555,9
0,soft_gaussian,0.6666666666666666,0.044444444444444446,9
0,no_target_priority,0.6666666666666666,0.05555555555555555,18
0,corr_on,0.6666666666666666,0.06666666666666667,9
1,baseline,0.3333333333333333,0.03333333333333333,13
1,links3,0.3333333333333333,0.05555555555555555,7
1,links2,0.3333333333333333,0.06666666666666667,5
1,links1,0.3333333333333333,0.044444444444444446,3
1,score_first_order,0.3333333333333333,0.022222222222222223,13
1,rcs_iid,0.3333333333333333,0.03333333333333333,13
1,soft_gaussian,0.3333333333333333,0.03333333333333333,13
1,no_target_priority,0.3333333333333333,0.011111111111111112,18
1,corr_on,0.6666666666666666,0.05555555555555555,9
2,baseline,0.3333333333333333,0.044444444444444446,18
2,links3,0.0,0.022222222222222223,9
2,links2,0.0,0.044444444444444446,6
2,links1,0.0,0.08888888888888889,3
2,score_first_order,0.3333333333333333,0.044444444444444446,18
2,rcs_iid,0.3333333333333333,0.044444444444444446,18
2,soft_gaussian,0.6666666666666666,0.06666666666666667,13
2,no_target_priority,0.3333333333333333,0.044444444444444446,18
2,corr_on,0.3333333333333333,0.05555555555555555,10
3,baseline,0.3333333333333333,0.011111111111111112,13
3,links3,0.3333333333333333,0.022222222222222223,7
3,links2,0.3333333333333333,0.011111111111111112,5
3,links1,0.3333333333333333,0.022222222222222223,3
3,score_first_order,0.3333333333333333,0.022222222222222223,13
3,rcs_iid,0.3333333333333333,0.011111111111111112,13
3,soft_gaussian,0.3333333333333333,0.011111111111111112,12
3,no_target_priority,0.3333333333333333,0.03333333333333333,18
3,corr_on,1.0,0.03333333333333333,11
4,baseline,0.6666666666666666,0.03333333333333333,13
4,links3,0.6666666666666666,0.03333333333333333,7
4,links2,0.6666666666666666,0.044444444444444446,5
4,links1,0.3333333333333333,0.03333333333333333,3
4,score_first_order,0.6666666666666666,0.022222222222222223,13
4,rcs_iid,0.6666666666666666,0.03333333333333333,13
4,soft_gaussian,0.6666666666666666,0.05555555555555555,11
4,no_target_priority,0.6666666666666666,0.022222222222222223,18
4,corr_on,0.6666666666666666,0.03333333333333333,10
5,baseline,0.3333333333333333,0.044444444444444446,16
5,links3,0.3333333333333333,0.044444444444444446,9
5,links2,0.3333333333333333,0.03333333333333333,6
5,links1,0.3333333333333333,0.03333333333333333,3
5,score_first_order,0.3333333333333333,0.044444444444444446,16
5,rcs_iid,0.3333333333333333,0.044444444444444446,16
5,soft_gaussian,0.3333333333333333,0.044444444444444446,17
5,no_target_priority,0.3333333333333333,0.05555555555555555,18
5,corr_on,0.0,0.03333333333333333,11
6,baseline,0.6666666666666666,0.03333333333333333,8
6,links3,0.6666666666666666,0.03333333333333333,5
6,links2,0.6666666666666666,0.022222222222222223,4
6,links1,0.6666666666666666,0.022222222222222223,3
6,score_first_order,0.6666666666666666,0.03333333333333333,8
6,rcs_iid,0.6666666666666666,0.03333333333333333,8
6,soft_gaussian,0.6666666666666666,0.03333333333333333,8
6,no_target_priority,0.6666666666666666,0.05555555555555555,18
6,corr_on,0.6666666666666666,0.022222222222222223,4
7,baseline,0.6666666666666666,0.07777777777777778,13
7,links3,0.3333333333333333,0.06666666666666667,7
7,links2,0.3333333333333333,0.03333333333333333,5
7,links1,0.3333333333333333,0.044444444444444446,3
7,score_first_order,0.6666666666666666,0.07777777777777778,13
7,rcs_iid,0.6666666666666666,0.07777777777777778,13
7,soft_gaussian,0.6666666666666666,0.07777777777777778,13
7,no_target_priority,0.6666666666666666,0.08888888888888889,18
7,corr_on,0.6666666666666666,0.022222222222222223,11
8,baseline,0.6666666666666666,0.044444444444444446,13
8,links3,0.6666666666666666,0.03333333333333333,7
8,links2,0.6666666666666666,0.022222222222222223,5
8,links1,0.3333333333333333,0.022222222222222223,3
8,score_first_order,0.6666666666666666,0.044444444444444446,13
8,rcs_iid,0.6666666666666666,0.044444444444444446,13
8,soft_gaussian,0.6666666666666666,0.044444444444444446,12
8,no_target_priority,0.6666666666666666,0.044444444444444446,18
8,corr_on,0.6666666666666666,0.05555555555555555,12
9,baseline,0.6666666666666666,0.06666666666666667,10
9,links3,0.6666666666666666,0.07777777777777778,7
9,links2,0.6666666666666666,0.08888888888888889,5
9,links1,0.6666666666666666,0.044444444444444446,3
9,score_first_order,0.6666666666666666,0.06666666666666667,10
9,rcs_iid,0.6666666666666666,0.06666666666666667,10
9,soft_gaussian,0.6666666666666666,0.06666666666666667,10
9,no_target_priority,0.6666666666666666,0.044444444444444446,18
9,corr_on,0.3333333333333333,0.06666666666666667,7
10,baseline,0.3333333333333333,0.03333333333333333,15
10,links3,0.3333333333333333,0.03333333333333333,9
10,links2,0.0,0.011111111111111112,6
10,links1,0.0,0.022222222222222223,3
10,score_first_order,0.3333333333333333,0.03333333333333333,15
10,rcs_iid,0.3333333333333333,0.03333333333333333,15
10,soft_gaussian,0.6666666666666666,0.03333333333333333,16
10,no_target_priority,0.3333333333333333,0.03333333333333333,15
10,corr_on,0.3333333333333333,0.03333333333333333,13
11,baseline,0.0,0.044444444444444446,11
11,links3,0.0,0.03333333333333333,7
11,links2,0.0,0.03333333333333333,5
11,links1,0.3333333333333333,0.044444444444444446,3
11,score_first_order,0.3333333333333333,0.03333333333333333,12
11,rcs_iid,0.0,0.044444444444444446,11
11,soft_gaussian,0.3333333333333333,0.03333333333333333,13
11,no_target_priority,0.3333333333333333,0.05555555555555555,18
11,corr_on,0.3333333333333333,0.05555555555555555,6
12,baseline,1.0,0.03333333333333333,3
12,links3,1.0,0.03333333333333333,3
12,links2,1.0,0.03333333333333333,3
12,links1,1.0,0.03333333333333333,3
12,score_first_order,1.0,0.03333333333333333,3
12,rcs_iid,1.0,0.03333333333333333,3
12,soft_gaussian,1.0,0.07777777777777778,3
12,no_target_priority,1.0,0.06666666666666667,18
12,corr_on,1.0,0.03333333333333333,3
13,baseline,0.0,0.03333333333333333,15
13,links3,0.0,0.03333333333333333,9
13,links2,0.0,0.044444444444444446,6
13,links1,0.0,0.022222222222222223,3
13,score_first_order,0.0,0.03333333333333333,15
13,rcs_iid,0.0,0.03333333333333333,15
13,soft_gaussian,0.3333333333333333,0.05555555555555555,12
13,no_target_priority,0.0,0.03333333333333333,18
13,corr_on,0.6666666666666666,0.07777777777777778,13
14,baseline,0.6666666666666666,0.03333333333333333,14
14,links3,0.6666666666666666,0.011111111111111112,8
14,links2,0.3333333333333333,0.03333333333333333,6
14,links1,0.6666666666666666,0.022222222222222223,3
14,score_first_order,0.6666666666666666,0.03333333333333333,14
14,rcs_iid,0.6666666666666666,0.03333333333333333,14
14,soft_gaussian,1.0,0.05555555555555555,13
14,no_target_priority,0.6666666666666666,0.044444444444444446,18
14,corr_on,0.3333333333333333,0.08888888888888889,11
15,baseline,0.6666666666666666,0.011111111111111112,10
15,links3,0.6666666666666666,0.022222222222222223,7
15,links2,0.6666666666666666,0.06666666666666667,5
15,links1,0.3333333333333333,0.03333333333333333,3
15,score_first_order,0.6666666666666666,0.011111111111111112,10
15,rcs_iid,0.6666666666666666,0.011111111111111112,10
15,soft_gaussian,0.6666666666666666,0.0,13
15,no_target_priority,0.6666666666666666,0.022222222222222223,16
15,corr_on,0.3333333333333333,0.022222222222222223,5
16,baseline,0.3333333333333333,0.044444444444444446,13
16,links3,0.3333333333333333,0.044444444444444446,7
16,links2,0.3333333333333333,0.044444444444444446,5
16,links1,0.0,0.03333333333333333,3
16,score_first_order,0.6666666666666666,0.05555555555555555,13
16,rcs_iid,0.3333333333333333,0.044444444444444446,13
16,soft_gaussian,0.6666666666666666,0.044444444444444446,10
16,no_target_priority,0.6666666666666666,0.044444444444444446,18
16,corr_on,0.3333333333333333,0.05555555555555555,11
17,baseline,0.6666666666666666,0.022222222222222223,13
17,links3,0.6666666666666666,0.022222222222222223,7
17,links2,0.6666666666666666,0.044444444444444446,5
17,links1,0.6666666666666666,0.03333333333333333,3
17,score_first_order,0.6666666666666666,0.022222222222222223,13
17,rcs_iid,0.6666666666666666,0.022222222222222223,13
17,soft_gaussian,0.6666666666666666,0.03333333333333333,13
17,no_target_priority,0.6666666666666666,0.044444444444444446,15
17,corr_on,0.3333333333333333,0.03333333333333333,8
18,baseline,0.6666666666666666,0.06666666666666667,15
18,links3,0.6666666666666666,0.05555555555555555,9
18,links2,0.3333333333333333,0.05555555555555555,6
18,links1,0.0,0.07777777777777778,3
