trial,arm,p_d,p_fa,n_selected,n_captured,belief_capture_rate
0,baseline,0.3333333333333333,0.05,13,12,0.9230769230769231
0,links12,0.3333333333333333,0.06666666666666667,20,19,0.95
0,links9,0.3333333333333333,0.06666666666666667,17,16,0.9411764705882353
0,links3,0.3333333333333333,0.05,7,6,0.8571428571428571
0,robust,0.6666666666666666,0.1,18,14,0.7777777777777778
0,robust_links12,0.6666666666666666,0.1,27,23,0.8518518518518519
1,baseline,0.0,0.05,13,12,0.9230769230769231
1,links12,0.0,0.05,22,21,0.9545454545454546
1,links9,0.0,0.05,19,18,0.9473684210526315
1,links3,0.0,0.03333333333333333,7,6,0.8571428571428571
1,robust,0.3333333333333333,0.044444444444444446,18,17,0.9444444444444444
1,robust_links12,0.3333333333333333,0.05555555555555555,31,28,0.9032258064516129
2,baseline,0.0,0.044444444444444446,17,17,1.0
2,links12,0.0,0.044444444444444446,26,26,1.0
2,links9,0.0,0.044444444444444446,23,23,1.0
2,links3,0.0,0.044444444444444446,9,9,1.0
2,robust,0.0,0.05555555555555555,17,17,1.0
2,robust_links12,0.0,0.05555555555555555,17,17,1.0
3,baseline,0.3333333333333333,0.03333333333333333,17,17,1.0
3,links12,0.3333333333333333,0.044444444444444446,19,19,1.0
3,links9,0.3333333333333333,0.044444444444444446,19,19,1.0
3,links3,0.3333333333333333,0.022222222222222223,9,9,1.0
3,robust,0.3333333333333333,0.0,15,15,1.0
3,robust_links12,0.3333333333333333,0.0,15,15,1.0
4,baseline,0.6666666666666666,0.03333333333333333,18,16,0.8888888888888888
4,links12,0.6666666666666666,0.044444444444444446,25,23,0.92
4,links9,0.6666666666666666,0.03333333333333333,22,20,0.9090909090909091
4,links3,0.3333333333333333,0.011111111111111112,9,7,0.7777777777777778
4,robust,0.6666666666666666,0.022222222222222223,17,15,0.8823529411764706
4,robust_links12,0.6666666666666666,0.022222222222222223,18,16,0.8888888888888888
5,baseline,0.6666666666666666,0.03333333333333333,18,18,1.0
5,links12,0.6666666666666666,0.03333333333333333,26,26,1.0
5,links9,0.6666666666666666,0.03333333333333333,23,23,1.0
5,links3,0.6666666666666666,0.03333333333333333,9,9,1.0
5,robust,0.3333333333333333,0.03333333333333333,16,16,1.0
5,robust_links12,0.3333333333333333,0.03333333333333333,17,17,1.0
6,baseline,0.3333333333333333,0.044444444444444446,12,12,1.0
6,links12,0.3333333333333333,0.05555555555555555,13,13,1.0
6,links9,0.3333333333333333,0.05555555555555555,13,13,1.0
6,links3,0.3333333333333333,0.06666666666666667,7,7,1.0
6,robust,0.0,0.05555555555555555,16,16,1.0
6,robust_links12,0.3333333333333333,0.05555555555555555,17,17,1.0
7,baseline,0.0,0.06666666666666667,14,14,1.0
7,links12,0.3333333333333333,0.06666666666666667,24,24,1.0
7,links9,0.0,0.03333333333333333,20,20,1.0
7,links3,0.0,0.05555555555555555,8,8,1.0
7,robust,0.3333333333333333,0.06666666666666667,17,17,1.0
7,robust_links12,0.3333333333333333,0.044444444444444446,25,22,0.88
8,baseline,0.3333333333333333,0.03333333333333333,10,10,1.0
8,links12,0.6666666666666666,0.03333333333333333,16,16,1.0
8,links9,0.6666666666666666,0.03333333333333333,13,13,1.0
8,links3,0.3333333333333333,0.022222222222222223,7,7,1.0
8,robust,0.3333333333333333,0.03333333333333333,18,18,1.0
8,robust_links12,0.3333333333333333,0.05555555555555555,24,24,1.0
9,baseline,0.6666666666666666,0.03333333333333333,18,18,1.0
9,links12,0.6666666666666666,0.044444444444444446,29,29,1.0
9,links9,0.6666666666666666,0.044444444444444446,27,27,1.0
9,links3,0.6666666666666666,0.044444444444444446,9,9,1.0
9,robust,0.6666666666666666,0.05555555555555555,17,17,1.0
9,robust_links12,0.6666666666666666,0.05555555555555555,19,19,1.0
10,baseline,0.0,0.022222222222222223,18,18,1.0
10,links12,0.0,0.03333333333333333,19,19,1.0
10,links9,0.0,0.03333333333333333,19,19,1.0
10,links3,0.0,0.044444444444444446,9,9,1.0
10,robust,0.0,0.03333333333333333,16,16,1.0
10,robust_links12,0.0,0.03333333333333333,16,16,1.0
11,baseline,0.3333333333333333,0.03333333333333333,12,12,1.0
11,links12,0.3333333333333333,0.03333333333333333,13,13,1.0
11,links9,0.3333333333333333,0.03333333333333333,13,13,1.0
11,links3,0.3333333333333333,0.044444444444444446,7,7,1.0
11,robust,0.3333333333333333,0.08888888888888889,17,16,0.9411764705882353
11,robust_links12,0.3333333333333333,0.08888888888888889,18,17,0.9444444444444444
12,baseline,0.6666666666666666,0.03333333333333333,3,2,0.6666666666666666
12,links12,0.6666666666666666,0.03333333333333333,3,2,0.6666666666666666
12,links9,0.6666666666666666,0.03333333333333333,3,2,0.6666666666666666
12,links3,0.6666666666666666,0.03333333333333333,3,2,0.6666666666666666
12,robust,1.0,0.03333333333333333,18,13,0.7222222222222222
