trial,arm,p_d,p_fa,n_selected,n_captured,belief_capture_rate,kappa_db
0,baseline,0.3333333333333333,0.05,13,12,0.9230769230769231,34.72062442712779
0,links12_measured,0.3333333333333333,0.06666666666666667,20,19,0.95,34.72062442712779
0,links12_model,0.6666666666666666,0.016666666666666666,11,10,0.9090909090909091,66.48292305348437
0,links12_delta3e3,1.0,0.03333333333333333,14,14,1.0,47.17813554022286
0,robust_model,0.6666666666666666,0.022222222222222223,15,13,0.8666666666666667,66.48292305348437
0,robust_delta3e3,1.0,0.05555555555555555,18,16,0.8888888888888888,47.17813554022286
1,baseline,0.0,0.05,13,12,0.9230769230769231,39.62166741176911
1,links12_measured,0.0,0.05,22,21,0.9545454545454546,39.62166741176911
1,links12_model,0.0,0.03333333333333333,9,8,0.8888888888888888,76.64382819152453
1,links12_delta3e3,0.3333333333333333,0.044444444444444446,16,15,0.9375,47.899502321921005
1,robust_model,0.6666666666666666,0.05555555555555555,18,16,0.8888888888888888,76.64382819152453
1,robust_delta3e3,0.3333333333333333,0.03333333333333333,18,15,0.8333333333333334,47.899502321921005
2,baseline,0.0,0.044444444444444446,17,17,1.0,37.24942989408326
2,links12_measured,0.0,0.044444444444444446,26,26,1.0,37.24942989408326
2,links12_model,0.6666666666666666,0.044444444444444446,32,32,1.0,69.70379534413144
2,links12_delta3e3,0.6666666666666666,0.044444444444444446,29,29,1.0,44.58391517785241
2,robust_model,0.6666666666666666,0.03333333333333333,18,18,1.0,69.70379534413144
2,robust_delta3e3,0.6666666666666666,0.022222222222222223,17,17,1.0,44.58391517785241
3,baseline,0.3333333333333333,0.03333333333333333,17,17,1.0,34.56350999948488
3,links12_measured,0.3333333333333333,0.044444444444444446,19,19,1.0,34.56350999948488
3,links12_model,0.6666666666666666,0.03333333333333333,12,12,1.0,66.1657313584569
3,links12_delta3e3,0.6666666666666666,0.022222222222222223,23,23,1.0,48.632637720249335
3,robust_model,1.0,0.05555555555555555,18,18,1.0,66.1657313584569
3,robust_delta3e3,0.3333333333333333,0.05555555555555555,18,18,1.0,48.632637720249335
4,baseline,0.6666666666666666,0.03333333333333333,18,16,0.8888888888888888,35.267806151578185
4,links12_measured,0.6666666666666666,0.044444444444444446,25,23,0.92,35.267806151578185
4,links12_model,0.6666666666666666,0.06666666666666667,9,8,0.8888888888888888,66.70669667867772
4,links12_delta3e3,0.3333333333333333,0.06666666666666667,14,13,0.9285714285714286,47.48862786172582
4,robust_model,0.6666666666666666,0.03333333333333333,18,16,0.8888888888888888,66.70669667867772
4,robust_delta3e3,0.6666666666666666,0.03333333333333333,18,16,0.8888888888888888,47.48862786172582
5,baseline,0.6666666666666666,0.03333333333333333,18,18,1.0,38.056966887719284
5,links12_measured,0.6666666666666666,0.03333333333333333,26,26,1.0,38.056966887719284
5,links12_model,0.3333333333333333,0.06666666666666667,26,26,1.0,73.46000390841316
5,links12_delta3e3,0.6666666666666666,0.03333333333333333,25,25,1.0,46.5644236751211
5,robust_model,0.6666666666666666,0.03333333333333333,18,18,1.0,73.46000390841316
5,robust_delta3e3,0.6666666666666666,0.05555555555555555,18,18,1.0,46.5644236751211
6,baseline,0.3333333333333333,0.044444444444444446,12,12,1.0,38.91918235917501
6,links12_measured,0.3333333333333333,0.05555555555555555,13,13,1.0,38.91918235917501
6,links12_model,0.6666666666666666,0.05555555555555555,18,18,1.0,70.2128679270656
6,links12_delta3e3,0.3333333333333333,0.022222222222222223,14,14,1.0,45.0432266633365
6,robust_model,1.0,0.044444444444444446,14,14,1.0,70.2128679270656
6,robust_delta3e3,0.0,0.05555555555555555,16,16,1.0,45.0432266633365
7,baseline,0.0,0.06666666666666667,14,14,1.0,35.92005186877079
7,links12_measured,0.3333333333333333,0.06666666666666667,24,24,1.0,35.92005186877079
7,links12_model,0.6666666666666666,0.03333333333333333,14,14,1.0,66.48554622137034
7,links12_delta3e3,0.0,0.011111111111111112,15,15,1.0,47.340753283184824
7,robust_model,0.6666666666666666,0.03333333333333333,18,18,1.0,66.48554622137034
7,robust_delta3e3,0.6666666666666666,0.06666666666666667,18,16,0.8888888888888888,47.340753283184824
8,baseline,0.3333333333333333,0.03333333333333333,10,10,1.0,34.331843211115455
8,links12_measured,0.6666666666666666,0.03333333333333333,16,16,1.0,34.331843211115455
8,links12_model,0.6666666666666666,0.011111111111111112,8,8,1.0,67.96729688698736
8,links12_delta3e3,0.6666666666666666,0.011111111111111112,14,14,1.0,44.970375394009665
8,robust_model,1.0,0.05555555555555555,18,18,1.0,67.96729688698736
8,robust_delta3e3,1.0,0.044444444444444446,18,18,1.0,44.970375394009665
9,baseline,0.6666666666666666,0.03333333333333333,18,18,1.0,34.34953940833386
9,links12_measured,0.6666666666666666,0.044444444444444446,29,29,1.0,34.34953940833386
9,links12_model,0.6666666666666666,0.06666666666666667,26,26,1.0,68.50318928007778
9,links12_delta3e3,0.6666666666666666,0.05555555555555555,30,30,1.0,43.96904359738639
9,robust_model,0.6666666666666666,0.07777777777777778,18,18,1.0,68.50318928007778
9,robust_delta3e3,0.6666666666666666,0.044444444444444446,18,18,1.0,43.96904359738639
10,baseline,0.0,0.022222222222222223,18,18,1.0,42.301292720433985
10,links12_measured,0.0,0.03333333333333333,19,19,1.0,42.301292720433985
10,links12_model,0.6666666666666666,0.05555555555555555,18,18,1.0,74.86468324213573
10,links12_delta3e3,0.6666666666666666,0.05555555555555555,17,17,1.0,44.39341170226139
10,robust_model,0.6666666666666666,0.03333333333333333,18,18,1.0,74.86468324213573
10,robust_delta3e3,0.6666666666666666,0.05555555555555555,16,16,1.0,44.39341170226139
11,baseline,0.3333333333333333,0.03333333333333333,12,12,1.0,37.0927663315276
11,links12_measured,0.3333333333333333,0.03333333333333333,13,13,1.0,37.0927663315276
11,links12_model,0.3333333333333333,0.011111111111111112,15,15,1.0,67.80838970907756
11,links12_delta3e3,0.6666666666666666,0.022222222222222223,17,17,1.0,42.16251646771476
11,robust_model,0.3333333333333333,0.05555555555555555,17,16,0.9411764705882353,67.80838970907756
11,robust_delta3e3,0.3333333333333333,0.06666666666666667,18,17,0.9444444444444444,42.16251646771476
12,baseline,0.6666666666666666,0.03333333333333333,3,2,0.6666666666666666,38.242378809396584
12,links12_measured,0.6666666666666666,0.03333333333333333,3,2,0.6666666666666666,38.242378809396584
12,links12_model,0.6666666666666666,0.1,3,3,1.0,64.85908919336211
12,links12_delta3e3,0.0,0.07777777777777778,3,3,1.0,45.21457214024757
