split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,map_seconds_h0,crossfit_map_h1,map_seconds_h1
train,0,10.0,15.421278315425788,16.703437528584946,14.194888714100689,18.79259993512822,15.216092051266546,6.187539800070226,17.00844139754495,6.153489700052887
calibration,1,10.0,16.458260528503942,14.970125364867442,15.890215358998411,13.810803088344624,16.308988136700517,6.367894999915734,14.962654044135267,6.342605300014839
calibration,2,10.0,11.458172861268801,11.277099213534417,11.405347337870872,11.537263617574162,11.406587713222885,6.655619200086221,11.26995306587672,6.698887400096282
test,3,10.0,12.127311663800675,16.922866750861107,11.771197552878093,16.89508320009916,12.001425830311423,6.993001000024378,16.97442897199732,6.936532699968666
test,4,10.0,15.43929849225592,18.850158955328435,13.789985008687026,19.977235073453542,15.568707468252713,6.375829000025988,19.002675772901064,6.337034399854019
test,5,10.0,9.790781976240007,62.62140985569326,10.417077581347115,59.73182458520328,10.361883584508721,6.596269400091842,62.11675639639192,6.5631242999807
test,6,10.0,13.620104339108568,32.76488216237032,19.194865214880394,37.52570548255005,14.567752744893628,6.383292699931189,33.38284150871267,6.334370699943975
test,7,10.0,12.00225691453586,30.352357022113125,12.617775093347506,30.17131690095129,11.842074735765559,6.61026500002481,30.101487057273417,6.627006000140682
test,8,10.0,14.224484361392458,15.90785902329864,14.874128075716003,15.057808380556132,14.117080087010867,6.223321900004521,16.137961734296624,6.264341800007969
test,9,10.0,13.252648751650613,52.68086186895764,13.58797517613636,150.58195468524224,13.274552932125971,6.2557279001921415,47.758118431898524,6.241880600107834
test,10,10.0,16.0124339372829,76.30046526008668,15.208177291963992,60.837191275767644,15.971575684795356,6.840489299967885,77.22023724206534,6.814411300001666
train,0,50.0,15.032603817359671,26.440021611387095,7.181022272352605,15.493935327814519,7.978783045378647,6.67634869995527,18.288591265372233,6.781119300052524
calibration,1,50.0,17.885091770251886,35.72213035704899,14.27344687535189,22.92396925049774,12.796062080553526,6.432236200198531,24.37388739603626,6.419566000113264
calibration,2,50.0,12.802247512314114,20.72858888076176,13.228708946644424,22.523272487956266,12.74161259657799,6.6765766001772135,21.894784341897523,6.680404100101441
test,3,50.0,19.5441319038535,18.47733843594408,16.74587738203252,15.359815984060173,15.796918714531458,6.63157460000366,15.4504964672339,6.84086070000194
test,4,50.0,16.234605988593252,30.657661049682332,11.170990632993115,26.48635585160593,10.539210469466802,6.543718799948692,21.76381340223617,6.5316977999173105
test,5,50.0,25.86255994549557,72.46967853685817,14.822601662941352,69.01520197692427,12.380579283742563,7.2456254998687655,67.97370157121861,7.224734400166199
test,6,50.0,17.90505181795486,39.18368927156172,18.817908717618586,49.62543315745162,17.83784784859599,6.13066879985854,32.17247533401665,6.129089999943972
test,7,50.0,26.060406041277506,50.298104748640384,8.948217722836157,29.18909021884553,7.477778559701243,6.652625199873,35.043628169147915,6.667144299950451
test,8,50.0,13.826283979440122,22.64127786180964,10.83364928437486,19.20537408511146,11.047812274299396,6.011757000116631,19.912642549117358,5.862227600067854
test,9,50.0,11.040211648483737,22.838969833972794,13.37568156346271,112.55168361536454,8.888138993048234,6.354624500032514,24.00855176145953,6.379996699979529
test,10,50.0,35.17360772864453,96.96378510144642,15.07895411473374,48.596015329699014,14.344124387542369,6.426700900075957,74.27283424641257,6.44617659994401
