split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,crossfit_map_h1
train,0,10.0,15.421278315425788,16.703437528584946,14.194888714100689,18.79259993512822,15.092957102163423,17.07891085043753
calibration,1,10.0,16.458260528503942,14.970125364867442,15.890215358998411,13.810803088344624,15.967006222195899,14.65211467567814
calibration,2,10.0,11.458172861268801,11.277099213534417,11.405347337870872,11.537263617574162,11.34947276094643,11.251121409567663
test,3,10.0,12.127311663800675,16.922866750861107,11.771197552878093,16.89508320009916,12.114208653369904,17.09857056747628
test,4,10.0,15.43929849225592,18.850158955328435,13.789985008687026,19.977235073453542,15.548217383562058,18.98219950032579
test,5,10.0,9.790781976240007,62.62140985569326,10.417077581347115,59.73182458520328,10.507811708760546,62.22929393191522
test,6,10.0,13.620104339108568,32.76488216237032,19.194865214880394,37.52570548255005,14.62594704879352,33.53390848953522
test,7,10.0,12.00225691453586,30.352357022113125,12.617775093347506,30.17131690095129,11.871000136739562,30.158560660277775
test,8,10.0,14.224484361392458,15.90785902329864,14.874128075716003,15.057808380556132,14.080468681547373,16.126117022095755
test,9,10.0,13.252648751650613,52.68086186895764,13.58797517613636,150.58195468524224,13.137803445042058,48.442431223157854
test,10,10.0,16.0124339372829,76.30046526008668,15.208177291963992,60.837191275767644,16.111273661258647,78.0320735227831
train,0,50.0,15.032603817359671,26.440021611387095,7.181022272352605,15.493935327814519,7.882269962172972,18.290108825994665
calibration,1,50.0,17.885091770251886,35.72213035704899,14.27344687535189,22.92396925049774,12.882532379343669,24.24985713862835
calibration,2,50.0,12.802247512314114,20.72858888076176,13.228708946644424,22.523272487956266,12.761020001280777,22.164107784974604
test,3,50.0,19.5441319038535,18.47733843594408,16.74587738203252,15.359815984060173,15.34457014806504,16.48760912940915
test,4,50.0,16.234605988593252,30.657661049682332,11.170990632993115,26.48635585160593,12.604251288680826,29.872175430568806
test,5,50.0,25.86255994549557,72.46967853685817,14.822601662941352,69.01520197692427,12.996100963735529,67.35212570521301
test,6,50.0,17.90505181795486,39.18368927156172,18.817908717618586,49.62543315745162,18.312899824283313,32.77531102322355
test,7,50.0,26.060406041277506,50.298104748640384,8.948217722836157,29.18909021884553,11.84388331764204,27.512516244154597
test,8,50.0,13.826283979440122,22.64127786180964,10.83364928437486,19.20537408511146,12.254619574040854,20.89196106582681
test,9,50.0,11.040211648483737,22.838969833972794,13.37568156346271,112.55168361536454,9.229102797984647,24.51321044022597
test,10,50.0,35.17360772864453,96.96378510144642,15.07895411473374,48.596015329699014,16.72880670239327,70.5380228642049
