direct_gain_boost_db,receiver,target,arm,threshold,empirical_pfa,pfa_ci95_low,pfa_ci95_high,empirical_pd,pd_ci95_low,pd_ci95_high,auc,n_cal_h0,n_test_h0,n_test_h1,median_conflict_index,median_direct_inr_db,median_kappa_accounted_db,median_kappa_structural_db,median_eta_survive_q,median_eta_survive_risk_q,median_identifiable_fraction,median_protect_dim
30.0,0,0,tp_uic_full,1968.3366833434325,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,2.7755575615628914e-17,0.3903342879021653,0.6111111111111112,6,6,6,0.006361974072072679,28.181807063032768,11.609408266440026,11.609514687323715,0.9997828803383455,0.9996402902986201,0.9829801435796333,45.0
30.0,0,1,tp_uic_full,146.5635051941729,0.6666666666666666,0.299993315138392,0.9032285888942195,0.6666666666666666,0.299993315138392,0.9032285888942195,0.6111111111111112,6,6,6,0.3600542673820704,28.046628360795467,12.390212704138325,12.390222407564094,1.0032266749089191,0.7811254464182295,0.998299715090144,45.0
30.0,0,2,tp_uic_full,89.14379724138618,0.6666666666666666,0.299993315138392,0.9032285888942195,0.6666666666666666,0.299993315138392,0.9032285888942195,0.5555555555555556,6,6,6,0.0464076274562235,28.068180651857773,13.211693310373537,13.211726936668976,0.9992845988455566,0.9863520522912841,0.9927088184578776,45.0
30.0,1,0,tp_uic_full,83.86723071156499,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.5555555555555556,6,6,6,0.0024070072558686675,33.797942176323765,12.16782606027737,12.167929271981233,0.9998042311840191,0.9996247794146045,0.9998769806257891,45.0
30.0,1,1,tp_uic_full,135.9771370335222,0.3333333333333333,0.09677141110578041,0.700006684861608,0.3333333333333333,0.09677141110578041,0.700006684861608,0.5277777777777778,6,6,6,0.10977570227910351,33.81151676746308,12.130375436921355,12.13041817013545,1.0000423830031155,0.8130934935735928,0.9972167292924439,45.0
30.0,1,2,tp_uic_full,59.64788936254422,0.6666666666666666,0.299993315138392,0.9032285888942195,0.6666666666666666,0.299993315138392,0.9032285888942195,0.4444444444444444,6,6,6,0.06276272089933543,33.822477138937174,13.602040668346067,13.60211760299619,0.9947639624402237,0.9867564809831331,0.9909216567924377,45.0
30.0,2,0,tp_uic_full,437.429171953529,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,2.7755575615628914e-17,0.3903342879021653,0.5,6,6,6,0.01654493652521588,27.593975787234296,11.743606417726426,11.743624736899545,0.9993890299253019,0.9973935003183934,0.9991996444663087,45.0
30.0,2,1,tp_uic_full,690.6193198076528,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,2.7755575615628914e-17,0.3903342879021653,0.5555555555555556,6,6,6,0.013959288360933363,27.77330998634275,13.088993885780404,13.089048206204858,0.999871900216315,0.9832108947703854,0.9990359893595071,45.0
30.0,2,2,tp_uic_full,181.2132363981481,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.4166666666666667,6,6,6,0.10960445273114838,27.683736463292053,12.990562399241963,12.990600280982775,0.9985800726101359,0.8635093011979011,0.993107317465931,45.0
30.0,3,0,tp_uic_full,1280.3918489560524,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,2.7755575615628914e-17,0.3903342879021653,0.5833333333333334,6,6,6,0.005827778747999829,30.560386972707974,12.124606335875088,12.124627414885515,0.9998938564656283,0.9993010706487263,0.9983725144991924,45.0
