trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,history_json,selected_json,selected_eval_json,fusion_nodes_json
30,constant_serial_baseline,0.0,0.03333333333333333,-1.4999943294057936,-1.4999603239886068,0.03696555317511963,0.036965849486658875,0.0448303215629652,6,3,3,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.03696555317511963,0.048756611868041456,0.04875100294187574],""after"":[0.03696555317511963,0.048756611868041456,0.04875100294187574],""reports_before"":[0,1,1],""reports_after"":[0,1,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","[2,2,2]"
30,constant_joint_baseline,0.0,0.03333333333333333,-1.526449494680005,-1.5251972829650178,0.037366759629216414,0.03825867121026183,0.039533536780124744,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[0,5],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.036965610089111645,""worst_pd_after"":0.037366759629216414,""service_before"":0.11809175207931438,""service_after"":0.11797047269148572}]",0,[],"{""before"":[0.040320539364073094,0.037366759629216414,0.04028317369819621],""after"":[0.040320539364073094,0.037366759629216414,0.04028317369819621],""reports_before"":[2,0,0],""reports_after"":[1,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.526449494680005,""objective_candidate"":-1.5290288778782717,""gain"":-0.0025793831982667825,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,constant_serial_capture,0.0,0.03333333333333333,-1.4999943626679388,-1.4999603239886068,0.036965552923516616,0.036965849486658875,0.0448303215629652,6,3,3,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.036965552923516616,0.04875660094036894,0.04875099671145453],""after"":[0.036965552923516616,0.04875660094036894,0.04875099671145453],""reports_before"":[0,1,1],""reports_after"":[0,1,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","[2,2,2]"
30,constant_joint_capture,0.0,0.03333333333333333,-1.526450634851299,-1.5251972829650178,0.03736643581759519,0.03825867121026183,0.039533536780124744,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,True,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[0,5],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.03696560974145834,""worst_pd_after"":0.03736643581759519,""service_before"":0.11809136472965846,""service_after"":0.11796989275547329}]",0,[],"{""before"":[0.04032053892737626,0.03736643581759519,0.040282918010501836],""after"":[0.04032053892737626,0.03736643581759519,0.040282918010501836],""reports_before"":[2,0,0],""reports_after"":[1,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.526450634851299,""objective_candidate"":-1.5290289277233162,""gain"":-0.0025782928720172738,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,constant_serial_redundancy,0.0,0.03333333333333333,-1.505625756655518,-1.5051279917640294,0.03696555317511963,0.036965849486658875,0.04485925770346417,6,5,5,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.03696555317511963,0.04855568642810862,0.048795842371958414],""after"":[0.03696555317511963,0.04855568642810862,0.048795842371958414],""reports_before"":[0,1,2],""reports_after"":[0,1,2],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","[2,2,2]"
30,constant_joint_redundancy,0.0,0.06666666666666667,-1.5208954971390714,-1.5192667597807228,0.036965610089111645,0.03696601951898085,0.03964473577932016,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,False,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.036965610089111645,0.04084296829200654,0.04028317369819621],""after"":[0.036965610089111645,0.04084296829200654,0.04028317369819621],""reports_before"":[1,0,0],""reports_after"":[0,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.5208954971390714,""objective_candidate"":-1.5347650966559487,""gain"":-0.013869599516877384,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,constant_serial_combined,0.0,0.03333333333333333,-1.5056251986017124,-1.5051279917640294,0.036965552923516616,0.036965849486658875,0.04485925770346417,6,5,5,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.036965552923516616,0.0485559619993146,0.048795859224590225],""after"":[0.036965552923516616,0.0485559619993146,0.048795859224590225],""reports_before"":[0,1,2],""reports_after"":[0,1,2],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","[2,2,2]"
30,constant_joint_combined,0.0,0.06666666666666667,-1.5208962510220885,-1.5192667597807228,0.03696560974145834,0.03696601951898085,0.03964473577932016,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,True,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.03696560974145834,0.040842836977698284,0.040282918010501836],""after"":[0.03696560974145834,0.040842836977698284,0.040282918010501836],""reports_before"":[1,0,0],""reports_after"":[0,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.5208962510220885,""objective_candidate"":-1.5347668426764849,""gain"":-0.013870591654396414,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,tpuic_serial_baseline,0.3333333333333333,0.06666666666666667,-0.6421543293451657,-0.18234604899376,0.0711593376955955,0.15994992449906684,0.4810382350085142,6,9,9,38.99272042144525,0.978056394106341,40.082621444350835,0.9998166402087914,"[[4.637151552104626e-05,4.860285105421998e-05,4.641023030548977e-05],[0.0001118918680342859,0.00011286093922927134,0.00011239163365161862],[4.2237625216230976e-05,4.856750389733397e-05,4.238489437811069e-05],[0.00014090040958318351,0.00014105833443680657,0.00014098584621856854],[0.00020803503982171875,0.0003986804818327475,0.00020858079980211938],[0.00037660608981011055,0.000447474300711964,0.00037682902351257754]]","[[0.9967338344098774,0.7979404519329372,0.990756596244225],[0.994933088284272,0.9771301402309089,0.7601484646618226],[0.990015129642438,0.9311267285273537,0.935603476877361],[0.9981189523288858,0.9956262631356227,0.9799989502582681],[0.7847983755350647,0.7334522172143972,0.9789826479817731],[0.9989406693782491,0.6946211421400785,0.9590317756165829]]","[[5.082299754468979e-05,5.036681855438104e-05,5.1512387827109305e-05],[0.00010139577219210125,0.00010670329915024438,0.00010480856228153602],[2.9556883065167894e-05,2.6697482928475152e-05,2.7661510235681402e-05],[9.268295668078699e-05,9.494145085552849e-05,9.333654048200816e-05],[0.0002873244479086991,0.00035598950341252295,0.00028497583505463425],[0.00018743641952607683,0.00031986768322894065,0.00018915971593972463]]","[[0.9999117587322043,1.0,0.9998642743798897],[0.9998915942082885,0.9997690060376929,0.9999220928780629],[0.9992418159279668,1.0,0.9995487122765168],[0.9999973784465903,0.9999514019620198,0.9999448261969206],[0.9975496144394395,0.995459652851753,0.999677861476063],[0.9992581713905707,0.998696409516392,0.9993458275814778]]",0,0,serial,10.733936100034043,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,2,"[{""round"":0,""remove_target"":2,""remove_link"":[5,2],""add_target"":0,""add_link"":[5,0],""worst_pd_before"":0.05801636009716512,""worst_pd_after"":0.06589505956161414,""service_before"":0.8000960581527818,""service_after"":0.8042003399017965},{""round"":1,""remove_target"":2,""remove_link"":[2,0],""add_target"":0,""add_link"":[4,2],""worst_pd_before"":0.06589505956161414,""worst_pd_after"":0.06979617638432001,""service_before"":0.8042003399017965,""service_after"":0.6918134310702524}]",2,"[{""round"":0,""exchange_kind"":""single"",""remove_target"":0,""add_target"":0,""nominal_worst_before"":0.06979617638432001,""nominal_worst_after"":0.0711593376955955,""nominal_objective_before"":-0.730599857968042,""nominal_objective_after"":-0.7261188002390716,""risk_worst_before"":0.06305669801427556,""risk_worst_after"":0.06412943715216855,""remove_link"":[5,1],""add_link"":[4,0]},{""round"":1,""exchange_kind"":""single"",""remove_target"":1,""add_target"":1,""nominal_worst_before"":0.0711593376955955,""nominal_worst_after"":0.0711593376955955,""nominal_objective_before"":-0.7261188002390716,""nominal_objective_after"":-0.719146384992237,""risk_worst_before"":0.06412943715216855,""risk_worst_after"":0.06412943715216855,""remove_link"":[0,2],""add_link"":[4,2]}]","{""before"":[0.0711593376955955,0.41793469645627024,0.21491684320405702],""after"":[0.0711593376955955,0.5785346480666229,0.21491684320405702],""reports_before"":[2,2,0],""reports_after"":[2,3,0],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[5,2],[5,0],[4,2],[4,0]],""1"":[[5,2],[5,0],[5,1],[4,2]],""2"":[[0,2]]}","{""0"":[[5,2],[5,0],[4,2],[4,0]],""1"":[[5,2],[5,0],[5,1],[4,2]],""2"":[[0,2]]}","[2,0,2]"
30,tpuic_joint_baseline,0.6666666666666666,0.05555555555555555,0.7056032706565027,1.8620669962737137,0.36333646233077754,0.6636601582895061,0.8874444870463041,3,15,15,37.99501563101313,0.9943009374381435,37.857377558502606,0.999902391735372,"[[0.0008260027289308143,0.0009073717328347822,0.0008260878421742809],[9.440294579556415e-05,9.498319424650677e-05,9.44777045134211e-05],[2.778893560818907e-05,3.4600079657701314e-05,2.779887154346054e-05],[0.00010328364761413609,0.00010330594268778515,0.00010328389597631305],[0.00024371112264326541,0.0004078360609019829,0.00024370900058668044],[0.0003676815472117628,0.00046228532204900383,0.0003676694341615667]]","[[0.9959278490460117,0.5656018403134265,0.9984559865077504],[0.9942206890616168,0.966440928136385,0.9756412313840931],[0.9910710504029533,0.8970153337979728,0.9960571632120261],[0.9978562946711973,0.9943811858146702,0.9984262841737152],[0.9261286716728567,0.7947848063516559,0.9977123089144571],[0.9998980023672628,0.6561420406013412,0.9994684936169332]]","[[0.00034993704811909983,0.00039466908251736913,0.00034352198819914237],[0.0001295937676719024,0.00013069905970198258,0.00012904925770587577],[2.3381683427414062e-05,7.732562342289196e-05,2.3985014254537104e-05],[7.491526532204417e-05,7.489082844914198e-05,7.459477182554542e-05],[0.00037709902527207695,0.0008812620879209839,0.00038115669635821107],[0.00020523528330290016,0.00036773981622789155,0.0002085492415265331]]","[[0.9999515013454576,1.0,0.9999875357988665],[0.9999352789964538,0.9997470676785859,0.9998927230199122],[0.9990612145068934,1.0,0.9998068605699775],[0.9999498699471936,0.999975928926451,0.9997282194539685],[0.9991834069618907,0.995718482202945,0.9997229193528154],[0.9998148429453139,0.9999120604508317,0.9999731354266502]]",1,0,fixed_point,5.089559799991548,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[0,5],""worst_pd_before"":0.3625400441216666,""worst_pd_after"":0.36333646233077754,""service_before"":1.6880352146453341,""service_after"":1.688831632854445}]",0,[],"{""before"":[0.36333646233077754,0.9329956463516521,0.5254951705236675],""after"":[0.36333646233077754,0.9329956463516521,0.5254951705236675],""reports_before"":[5,1,5],""reports_after"":[4,1,5],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,4,5],""mask_candidate"":[0,4,5],""objective_before"":0.7056032706565027,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[4,5],[5,4],[5,3],[4,3],[5,0],[0,5]],""1"":[[5,3],[5,0],[4,0]],""2"":[[0,2],[4,0],[0,4],[4,2],[0,3],[0,1]]}","{""0"":[[4,5],[5,4],[5,3],[4,3],[5,0],[0,5]],""1"":[[5,3],[5,0],[4,0]],""2"":[[0,2],[4,0],[0,4],[4,2],[0,3],[0,1]]}","[3,0,0]"
