trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,history_json,selected_json,selected_eval_json,fusion_nodes_json
30,constant_serial_baseline,0.0,0.03333333333333333,-1.4999943294057936,-1.4999603239886068,0.03696555317511963,0.036965849486658875,0.0448303215629652,6,3,3,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.03696555317511963,0.048756611868041456,0.04875100294187574],""after"":[0.03696555317511963,0.048756611868041456,0.04875100294187574],""reports_before"":[0,1,1],""reports_after"":[0,1,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","[2,2,2]"
30,constant_joint_baseline,0.0,0.03333333333333333,-1.526449494680005,-1.5251972829650178,0.037366759629216414,0.03825867121026183,0.039533536780124744,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[0,5],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.036965610089111645,""worst_pd_after"":0.037366759629216414,""service_before"":0.11809175207931438,""service_after"":0.11797047269148572}]",0,[],"{""before"":[0.040320539364073094,0.037366759629216414,0.04028317369819621],""after"":[0.040320539364073094,0.037366759629216414,0.04028317369819621],""reports_before"":[2,0,0],""reports_after"":[1,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.526449494680005,""objective_candidate"":-1.5290288778782717,""gain"":-0.0025793831982667825,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,constant_serial_capture,0.0,0.03333333333333333,-1.4999943626679388,-1.4999603239886068,0.036965552923516616,0.036965849486658875,0.0448303215629652,6,3,3,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.036965552923516616,0.04875660094036894,0.04875099671145453],""after"":[0.036965552923516616,0.04875660094036894,0.04875099671145453],""reports_before"":[0,1,1],""reports_after"":[0,1,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","{""0"":[[0,2]],""1"":[[5,1]],""2"":[[2,1]]}","[2,2,2]"
30,constant_joint_capture,0.0,0.03333333333333333,-1.526450634851299,-1.5251972829650178,0.03736643581759519,0.03825867121026183,0.039533536780124744,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,True,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[0,5],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.03696560974145834,""worst_pd_after"":0.03736643581759519,""service_before"":0.11809136472965846,""service_after"":0.11796989275547329}]",0,[],"{""before"":[0.04032053892737626,0.03736643581759519,0.040282918010501836],""after"":[0.04032053892737626,0.03736643581759519,0.040282918010501836],""reports_before"":[2,0,0],""reports_after"":[1,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.526450634851299,""objective_candidate"":-1.5290289277233162,""gain"":-0.0025782928720172738,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0],[0,2]],""1"":[[2,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,constant_serial_redundancy,0.0,0.03333333333333333,-1.505625756655518,-1.5051279917640294,0.03696555317511963,0.036965849486658875,0.04485925770346417,6,5,5,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.03696555317511963,0.04855568642810862,0.048795842371958414],""after"":[0.03696555317511963,0.04855568642810862,0.048795842371958414],""reports_before"":[0,1,2],""reports_after"":[0,1,2],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","[2,2,2]"
30,constant_joint_redundancy,0.0,0.06666666666666667,-1.5208954971390714,-1.5192667597807228,0.036965610089111645,0.03696601951898085,0.03964473577932016,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,False,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.036965610089111645,0.04084296829200654,0.04028317369819621],""after"":[0.036965610089111645,0.04084296829200654,0.04028317369819621],""reports_before"":[1,0,0],""reports_after"":[0,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.5208954971390714,""objective_candidate"":-1.5347650966559487,""gain"":-0.013869599516877384,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,constant_serial_combined,0.0,0.03333333333333333,-1.5056251986017124,-1.5051279917640294,0.036965552923516616,0.036965849486658875,0.04485925770346417,6,5,5,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.036965552923516616,0.0485559619993146,0.048795859224590225],""after"":[0.036965552923516616,0.0485559619993146,0.048795859224590225],""reports_before"":[0,1,2],""reports_after"":[0,1,2],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","{""0"":[[0,2]],""1"":[[5,1],[0,2]],""2"":[[2,1],[5,1]]}","[2,2,2]"
30,constant_joint_combined,0.0,0.06666666666666667,-1.5208962510220885,-1.5192667597807228,0.03696560974145834,0.03696601951898085,0.03964473577932016,3,5,5,0.0,1.0,0.0,1.0,null,null,null,null,1,0,strict_reject,0.0,True,True,1.0,c2f,max_in_rate,False,predicted,predicted_risk,0,[],0,[],"{""before"":[0.03696560974145834,0.040842836977698284,0.040282918010501836],""after"":[0.03696560974145834,0.040842836977698284,0.040282918010501836],""reports_before"":[1,0,0],""reports_after"":[0,0,0],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,2,5],""mask_candidate"":[0,2],""objective_before"":-1.5208962510220885,""objective_candidate"":-1.5347668426764849,""gain"":-0.013870591654396414,""accepted"":false,""measure_seconds"":0.0,""reason"":""insufficient_gain""}]","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","{""0"":[[2,0]],""1"":[[2,5],[0,5]],""2"":[[2,5],[0,5]]}","[0,5,5]"
30,tpuic_serial_baseline,0.3333333333333333,0.06666666666666667,-0.6407072716230985,-0.20002841360732843,0.07116269077494113,0.16054048530155615,0.4766747193514475,6,9,9,39.011351643986266,0.9782408563409796,40.13435742533531,0.9998572647600683,"[[4.636918494639691e-05,4.8685464358250045e-05,4.8685464358250045e-05],[0.00011189572875791945,0.00011189094747603518,0.00011189774914785074],[4.2230000699150245e-05,4.868709857535535e-05,4.222924320261996e-05],[0.00014091056954802965,0.0001408999506605789,0.00014089913292716357],[0.00040033296883420025,0.00040033296883420025,0.00040033296883420025],[0.0004483619726471292,0.0004483619726471292,0.0004483619726471292]]","[[0.9967325593319044,0.797916241701398,0.9924534152104246],[0.9949330741799867,0.9765033765600003,0.7601100068757286],[0.9900146829353055,0.9312144995857613,0.9355526549056219],[0.9981179509221152,0.9955296539827726,0.9799783361219588],[0.8117373806880892,0.7336575366640068,0.99773658090748],[1.0,0.6945720945310561,0.9648954763209068]]","[[5.079542562131003e-05,5.029443974848454e-05,5.029443974848454e-05],[0.00010142350120449138,0.00010141374230745636,0.0001014287946966193],[2.9369104344583575e-05,2.7240164007833854e-05,2.936086466154057e-05],[9.268974894554032e-05,9.26805414467442e-05,9.26776892649013e-05],[0.00034467217467171044,0.00034467217467171044,0.00034467217467171044],[0.0003226489768153703,0.0003226489768153703,0.0003226489768153703]]","[[0.9999087544767448,0.9994638976628705,0.9998722804708762],[0.9998914906247409,0.9994658792474326,0.9999219578256915],[0.9992249027071938,1.0,0.9995407378672921],[0.9999967689251728,0.9999511778581127,0.9999442801633128],[0.9977564640929801,0.9955052748762809,0.9998422490492604],[1.0,0.9986877318407447,0.9993962917382753]]",0,0,serial,47.186618600040674,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,2,"[{""round"":0,""remove_target"":2,""remove_link"":[5,2],""add_target"":0,""add_link"":[5,0],""worst_pd_before"":0.05801875947430719,""worst_pd_after"":0.06589753229525813,""service_before"":0.7929365015256268,""service_after"":0.7969766443596897},{""round"":1,""remove_target"":2,""remove_link"":[2,0],""add_target"":0,""add_link"":[4,2],""worst_pd_before"":0.06589753229525813,""worst_pd_after"":0.06979936779911204,""service_before"":0.7969766443596897,""service_after"":0.6921320578561964}]",2,"[{""round"":0,""exchange_kind"":""single"",""remove_target"":0,""add_target"":0,""nominal_worst_before"":0.06979936779911204,""nominal_worst_after"":0.07116269077494113,""nominal_objective_before"":-0.7299144068081035,""nominal_objective_after"":-0.7254290228645711,""risk_worst_before"":0.06305936795105467,""risk_worst_after"":0.06413183035957795,""remove_link"":[5,1],""add_link"":[4,0]},{""round"":1,""exchange_kind"":""single"",""remove_target"":1,""add_target"":1,""nominal_worst_before"":0.07116269077494113,""nominal_worst_after"":0.07116269077494113,""nominal_objective_before"":-0.7254290228645711,""nominal_objective_after"":-0.7184692572588288,""risk_worst_before"":0.06413183035957795,""risk_worst_after"":0.06413183035957795,""remove_link"":[0,2],""add_link"":[4,2]}]","{""before"":[0.07116269077494113,0.41751969571734293,0.21561377978441826],""after"":[0.07116269077494113,0.5797648493645263,0.21561377978441826],""reports_before"":[2,2,0],""reports_after"":[2,3,0],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,[],"{""0"":[[5,2],[5,0],[4,2],[4,0]],""1"":[[5,2],[5,0],[5,1],[4,2]],""2"":[[0,2]]}","{""0"":[[5,2],[5,0],[4,2],[4,0]],""1"":[[5,2],[5,0],[5,1],[4,2]],""2"":[[0,2]]}","[2,0,2]"
30,tpuic_joint_baseline,0.6666666666666666,0.044444444444444446,0.5240776974549012,1.285325905381324,0.3271977775581647,0.48591615938993515,0.8274941739488472,3,15,15,37.10282819465844,0.9947794334550464,37.855606572929815,0.9999230713909457,"[[0.0008259777206644541,0.0009079090148309294,0.0008261047851924329],[9.440210098862632e-05,9.440206684777494e-05,9.440206684777494e-05],[3.462864405346327e-05,3.462864405346327e-05,3.462864405346327e-05],[0.00010328219429956025,0.00010328367394569784,0.00010328219429956025],[0.0004079441476671966,0.0004079441476671966,0.0004079441476671966],[0.0003676230069953784,0.0004624227299449594,0.00036762851471968647]]","[[0.9959275628534895,0.5656142275678848,0.9984524762153852],[0.9942206792629686,0.9662872675913239,0.9756218249924897],[0.9951931522649015,0.8976399695952637,0.999120096366495],[0.9978561162048871,0.9943657146451914,0.9984262506503727],[0.9676546936988748,0.7948588050653667,0.9991368894471774],[0.9998969301667326,0.6561697349251441,0.999468491876682]]","[[0.00034442177502951846,0.0003987461853390755,0.00034536135144556306],[0.00012928692218134617,0.00012928771323698156,0.00012928771323698156],[7.591531186857608e-05,7.591531186857608e-05,7.591531186857608e-05],[7.472815650433871e-05,7.472809673745284e-05,7.472815650433871e-05],[0.0008687637078350982,0.0008687637078350982,0.0008687637078350982],[0.00020764497775686483,0.0003708703762071743,0.00020765215751885274]]","[[0.9999507826057361,1.0,0.9999875316413601],[0.9999352147989531,0.9993812382735913,0.9998927226283604],[0.9993416023843611,1.0,1.0],[0.9999493457612498,0.9999759099800068,0.9997282190503689],[0.9992170553922103,0.995697716984467,0.9997568946786136],[0.9998122962227749,0.9999109279829385,0.9999723954029434]]",1,0,fixed_point,28.91008080006577,False,False,1.0,c2f,max_in_rate,False,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":0,""remove_link"":[5,1],""add_target"":0,""add_link"":[0,5],""worst_pd_before"":0.3259943207673333,""worst_pd_after"":0.3271977775581647,""service_before"":1.5838740357586523,""service_after"":1.5850774925494837}]",0,[],"{""before"":[0.3271977775581647,0.933010316559725,0.4578797149913189],""after"":[0.3271977775581647,0.933010316559725,0.4578797149913189],""reports_before"":[5,1,5],""reports_after"":[4,1,5],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,"[{""round"":0,""mask_before"":[0,4,5],""mask_candidate"":[0,4,5],""objective_before"":0.5240776974549012,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[4,5],[5,4],[5,3],[4,3],[5,0],[0,5]],""1"":[[5,3],[5,0],[4,0]],""2"":[[0,2],[4,0],[0,3],[0,1],[4,2],[0,4]]}","{""0"":[[4,5],[5,4],[5,3],[4,3],[5,0],[0,5]],""1"":[[5,3],[5,0],[4,0]],""2"":[[0,2],[4,0],[0,3],[0,1],[4,2],[0,4]]}","[3,0,0]"
