split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,raw_stat_h0,raw_stat_h1,target_direction_inflation_h0,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,glrt_neighbourhood_size,glrt_selected_offset_delay,glrt_selected_offset_doppler,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,1,0,30.0,tp_uic_full,tp_uic_full,0.03716533680734029,32.1591841410702,0,1,8.121984508812893,8.035138288209968,8.121984508812893,8.035138288209968,1.6243969017625788,16153.174105216056,0.9859115054453159,10,0.9985211057347665,0.5557191918721718,9,0.25,0.25,39.0965233340951,39.114947411576765,1.0319046799795836e-06,1.2705368004798635e-10,1.26515821827623e-10,5.378582203633407e-13,0.9950283496851621,0.9965959932551364,0.9930805931173482,0.9783131393861081,0.18125879892163121,2.2927676706634022e-14,3.022845935944932e-05,15,15,23.43896230627552
calibration,1,0,1,0,30.0,tp_uic_full,tp_uic_full,0.16082024679836263,27.002313720225196,0,1,3.2618647068558264,4.974932084361862,3.2618647068558264,4.974932084361862,0.6523729413711653,16558.481163171444,1.0106494850568508,10,0.921008558190304,0.2370034707696843,9,-0.25,0.25,32.922880411613185,32.934283177832334,3.1474043449512687e-07,1.6057003382580034e-10,1.601489966979316e-10,4.210371278687521e-13,0.8710372646771943,0.2896972562270137,0.9245828525289073,0.6778781862649218,0.045442060591627614,1.4518082810000354e-14,1.604337154372447e-05,15,15,24.458188633884916
calibration,2,0,1,0,30.0,tp_uic_full,tp_uic_full,0.009495056029634198,26.388528125180134,0,1,6.309729329707912,8.058615971673595,6.309729329707912,8.058615971673595,1.2619458659415823,16241.9527284444,0.9913301225857177,10,0.9671220171644338,1.2725714280705631,9,0.25,-0.25,33.83855069061311,33.85295566732388,2.732586890672491e-07,1.1290649131225838e-10,1.1253261572269926e-10,3.7387558955911043e-13,0.9912618198388061,0.9967747992286863,0.9920778347728785,0.981821172047409,0.06794204445462265,5.153412935814697e-14,6.897981867557276e-05,15,15,22.933308068791124
calibration,3,0,1,0,30.0,tp_uic_full,tp_uic_full,0.3811454053047992,27.544463728654378,0,1,2.7904142406929497,8.116862205045432,2.7904142406929497,8.116862205045432,0.55808284813859,16237.771003271118,0.991074890336372,10,0.9908570543450836,0.4418850477842259,9,-0.25,-0.25,33.809538197122976,33.82444720080511,3.5658867063757545e-07,1.4832478283530217e-10,1.4781646798824723e-10,5.083148470549354e-13,0.7938302847614401,0.7634762114929456,0.7969186781228528,0.7095991131930943,0.13030666916301387,3.790305636584134e-14,3.877495893287398e-05,15,15,24.112246126963
calibration,4,0,1,0,30.0,tp_uic_full,tp_uic_full,0.9864752491153166,27.896077708586034,0,1,9.982800358052318,6.557321930234347,9.982800358052318,6.557321930234347,1.9965600716104634,16244.268961507127,0.9914714942326127,10,0.9946101002431089,0.6714305394355059,9,0.0,-0.25,25.862171203647243,25.86480138863688,3.8665972600583294e-07,1.0025633364317836e-09,1.0019563453650043e-09,6.069910667792659e-13,0.9382978692645979,0.9397534711509271,0.036012865061832766,0.02310441326321939,0.006099034506062722,1.2009254301352521e-12,0.0006912114604997357,15,15,32.41445834324626
calibration,5,0,1,0,30.0,tp_uic_full,tp_uic_full,0.32841811325081544,32.15545827463501,0,1,5.178852168154954,19.147306351241852,5.178852168154954,19.147306351241852,1.0357704336309908,16665.747663948772,1.0171965126921858,10,0.9996202759792463,4.129189671462285,9,-0.25,0.25,22.216426238945704,22.216706993802624,1.031019775745617e-06,6.189055419441507e-09,6.188655333491181e-09,4.0008595032549047e-13,0.8773526534736025,0.9168973372754723,0.8701347865453375,0.6229834164257033,0.028409672552882848,1.8776807705613095e-13,2.4166908140183847e-05,15,15,40.32184478850727
calibration,6,0,1,0,30.0,tp_uic_full,tp_uic_full,0.0030216110949820006,28.7564634391445,1,1,10.141912934908753,9.158531252660202,10.141912934908753,9.158531252660202,2.0283825869817504,16610.2956998632,1.0138119933998535,10,0.9998918557980497,0.19662682251618024,9,0.25,0.25,34.643868937655064,34.661179260109904,4.713760490220166e-07,1.6180078269911842e-10,1.6115715276208437e-10,6.436299370340529e-13,0.9988071287360787,0.9974908007856119,0.9991113942565153,0.996405552754039,0.2733191339438172,7.576685722204842e-15,9.585901390127202e-06,15,15,24.49455779360452
calibration,7,0,1,0,30.0,tp_uic_full,tp_uic_full,0.3236870713886645,28.054263993625362,0,1,9.424205221033992,8.140627380800682,9.424205221033992,8.140627380800682,1.8848410442067984,16308.66574932516,0.9954019622390845,10,0.8845318722097094,0.81792469450501,9,0.25,0.25,26.774733084028103,26.77956623696239,4.010029498328062e-07,8.427024546682684e-10,8.417651541653449e-10,9.373005029234596e-13,0.9349386694441457,0.951394814596237,0.8407145061581939,0.5566315465574214,0.13079763142249443,7.538535171882628e-14,4.793437682314386e-05,15,15,31.659441451877566
test,8,0,1,0,30.0,tp_uic_full,tp_uic_full,0.07507193143759455,27.683396391183308,0,1,7.396379966424506,7.623711673050487,7.396379966424506,7.623711673050487,1.4792759932849013,16290.065751077618,0.994266708439796,10,0.8450980540755559,0.3816520129807416,9,-0.25,0.25,37.46660167354021,37.51377608041716,3.6818052030015013e-07,6.597822684451795e-11,6.526542930532524e-11,7.127975391927106e-13,0.9864427836976009,0.9646550275139402,0.9900374440625702,0.9623324588136922,0.26353187168961123,2.185359697945387e-14,3.1078838694834085e-05,15,15,20.599578987600893
test,9,0,1,0,30.0,tp_uic_full,tp_uic_full,0.0036769806989092185,31.033149031065356,0,1,3.9977051400156363,9.145384361236525,3.9977051400156363,9.145384361236525,0.7995410280031272,16404.33861224516,1.0012413703762915,10,0.9495149995454281,0.7987485339733826,9,-0.25,0.25,28.14852248669557,28.150427881907717,7.962254796039367e-07,1.2195056659627877e-09,1.2189707453733983e-09,5.349205893894287e-13,0.9995147129014068,0.9992249244434437,0.9992437416031493,0.9982514932952171,0.12018880170832322,3.817313901869174e-14,2.065581492761962e-05,15,15,33.26705097586411
