direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
30.0,0,1,perfect_channel,4,9.727108442777292,0.5,1.0,0.9864752491153166,28.046628360795467
30.0,0,1,perfect_channel,5,9.727108442777292,0.0,1.0,0.32841811325081544,32.52005487756432
30.0,0,1,perfect_channel,6,9.727108442777292,0.5,0.0,0.0030216110949820006,28.45617292198783
30.0,0,1,perfect_channel,7,9.727108442777292,0.0,0.5,0.3236870713886645,27.936224184973888
30.0,0,1,perfect_channel,8,9.727108442777292,0.0,0.0,0.07507193143759455,27.950095826552122
30.0,0,1,perfect_channel,9,9.727108442777292,0.0,0.0,0.0036769806989092185,31.000303089436
30.0,0,1,perfect_channel,10,9.727108442777292,0.0,0.0,0.0018266064644112772,28.498473119710436
30.0,0,1,perfect_channel,11,9.727108442777292,0.0,0.0,0.02366138831307781,26.0186391626175
30.0,0,1,tp_uic_full,4,204.54015434514545,1.0,1.0,0.9864752491153166,28.046628360795467
30.0,0,1,tp_uic_full,5,204.54015434514545,1.0,1.0,0.32841811325081544,32.52005487756432
30.0,0,1,tp_uic_full,6,204.54015434514545,0.0,0.0,0.0030216110949820006,28.45617292198783
30.0,0,1,tp_uic_full,7,204.54015434514545,1.0,1.0,0.3236870713886645,27.936224184973888
30.0,0,1,tp_uic_full,8,204.54015434514545,0.0,0.0,0.07507193143759455,27.950095826552122
30.0,0,1,tp_uic_full,9,204.54015434514545,0.0,0.0,0.0036769806989092185,31.000303089436
30.0,0,1,tp_uic_full,10,204.54015434514545,0.0,0.0,0.0018266064644112772,28.498473119710436
30.0,0,1,tp_uic_full,11,204.54015434514545,0.0,0.0,0.02366138831307781,26.0186391626175
