split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,raw_stat_h0,raw_stat_h1,target_direction_inflation_h0,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,glrt_neighbourhood_size,glrt_selected_offset_delay,glrt_selected_offset_doppler,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,1,1,0,0.0,tp_uic_full,tp_uic_full,0.024893348180992075,-3.8634067871849274,0,1,6.034391066859989,11.7107627767643,6.034391066859989,11.7107627767643,1.2068782133719977,16404.4051633772,1.0012454323350342,10,0.9761549346643119,2.7427397797031894,9,-0.25,0.25,25.488082344341304,29.754460954348218,2.578579284054218e-10,7.287394069404493e-13,2.728565564320726e-13,4.558828505083767e-13,0.9973654488441575,0.9870834059445668,0.9882618990452023,0.9540277827738568,0.06630804205663869,1.1766538647253003e-13,0.0001867574482829771,15,15,1.2072902158781178
calibration,0,1,1,0,0.0,perfect_channel,perfect_channel,0.024893348180992075,-3.8634067871849274,0,1,6.155167816496416,12.237737990571922,6.155167816496416,12.237737990571922,1.2310335632992833,16419.967532679235,1.002195283977004,10,0.9768413488137017,2.779641580838339,9,-0.25,0.25,inf,inf,2.578579284054218e-10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06630804205663869,1.1766538647253003e-13,0.00018746817760420162,0,15,nan
calibration,0,1,1,0,10.0,tp_uic_full,tp_uic_full,0.024893348180992057,6.136593212815072,0,1,5.930581356530249,11.37639039568974,5.930581356530249,11.37639039568974,1.1861162713060498,16405.905926071835,1.0013370316205954,10,0.9758120977136265,2.714431282768671,9,-0.25,0.25,29.422236045583045,30.187617768366536,2.578579284054218e-09,2.9454854700549616e-12,2.469555054426379e-12,4.759304156285829e-13,0.9973366791167679,0.9870622708181322,0.9881042141677799,0.9538844654222621,0.06630804205663869,1.1766538647253003e-13,0.0001860955730047446,15,15,7.116351309580468
calibration,0,1,1,0,10.0,perfect_channel,perfect_channel,0.024893348180992057,6.136593212815072,0,1,6.155167816496409,12.237737990571933,6.155167816496409,12.237737990571933,1.2310335632992817,16419.967532679235,1.002195283977004,10,0.9768413488137017,2.779641580838339,9,-0.25,0.25,inf,inf,2.578579284054218e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06630804205663869,1.1766538647253003e-13,0.00018746817760420162,0,15,nan
calibration,0,1,1,0,20.0,tp_uic_full,tp_uic_full,0.02489334818099211,16.13659321281507,0,1,5.762676673185416,10.566701604876934,5.762676673185416,10.566701604876934,1.1525353346370832,16406.373225580755,1.001365553319138,10,0.9753642160010113,2.6823518584927735,9,-0.25,0.25,30.11056912903787,30.194066877250766,2.5785792840542183e-08,2.5137586403644224e-11,2.4658905800010773e-11,4.78680603633451e-13,0.9973362727121339,0.9870620458548583,0.9881017504052612,0.9538822013467535,0.06630804205663869,1.1766538647253003e-13,0.00017976906433474942,15,15,16.409398878848542
calibration,0,1,1,0,20.0,perfect_channel,perfect_channel,0.02489334818099211,16.13659321281507,0,1,6.155167816496414,12.237737990571919,6.155167816496414,12.237737990571919,1.2310335632992828,16419.967532679235,1.002195283977004,10,0.9768413488137017,2.779641580838339,9,-0.25,0.25,inf,inf,2.5785792840542183e-08,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06630804205663869,1.1766538647253003e-13,0.00018746817760420162,0,15,nan
calibration,0,1,1,0,30.0,tp_uic_full,tp_uic_full,0.024893348180992068,26.13659321281507,0,1,5.669460623148089,9.939843383097802,5.669460623148089,9.939843383097802,1.1338921246296176,16409.81411576515,1.0015755685891816,10,0.9747984045400674,2.654832132179938,9,-0.25,0.25,30.185702521282263,30.194130062196876,2.5785792840542185e-07,2.470644373170961e-10,2.465854704336869e-10,4.789668834091857e-13,0.9973362727365745,0.9870620525885276,0.9881017433183551,0.9538821849053762,0.06630804205663869,1.1766538647253003e-13,0.0001341595018987018,15,15,26.332364055307018
calibration,0,1,1,0,30.0,perfect_channel,perfect_channel,0.024893348180992068,26.13659321281507,0,1,6.155167816496389,12.23773799057197,6.155167816496389,12.23773799057197,1.231033563299278,16419.967532679235,1.002195283977004,10,0.9768413488137017,2.779641580838339,9,-0.25,0.25,inf,inf,2.5785792840542185e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06630804205663869,1.1766538647253003e-13,0.00018746817760420162,0,15,nan
calibration,1,1,1,0,0.0,tp_uic_full,tp_uic_full,0.22444126138317444,-6.307770405416707,0,1,5.267420920355088,13.576457194288754,5.267420920355088,13.576457194288754,1.0534841840710176,16437.925638654753,1.003291359781174,10,0.9893032262159044,0.813392463064244,9,0.25,-0.25,22.436048079381827,30.75103765428645,1.4687373105490137e-10,8.381839095625075e-13,1.2354932073589722e-13,7.146345888266103e-13,0.8216656512376346,0.9430002910739714,0.8648378258014499,0.46998660492720523,0.04887434681302375,3.8831712095432415e-14,5.076693267733601e-05,15,15,1.878954072567946
calibration,1,1,1,0,0.0,perfect_channel,perfect_channel,0.22444126138317444,-6.307770405416707,0,1,8.081229045034716,13.70116064873174,8.081229045034716,13.70116064873174,1.6162458090069431,16463.352742520536,1.004843307038607,10,0.9930517573922966,0.9733968408425043,9,0.25,-0.25,inf,inf,1.4687373105490137e-10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04887434681302375,3.8831712095432415e-14,6.186789945640691e-05,0,15,nan
