direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
0.0,1,1,perfect_channel,4,inf,0.0,0.0,0.9993200023284995,-2.8729186124471835
0.0,1,1,perfect_channel,5,inf,0.0,0.0,0.06577156155417414,3.788874008199283
0.0,1,1,perfect_channel,6,inf,0.0,0.0,0.0018321313063814023,0.6834527997393819
0.0,1,1,perfect_channel,7,inf,0.0,0.0,0.7006663144846728,-2.920770112928021
0.0,1,1,perfect_channel,8,inf,0.0,0.0,0.01494470664044284,-1.3935268638724796
0.0,1,1,perfect_channel,9,inf,0.0,0.0,0.07730354278412062,-3.096850615273778
0.0,1,1,perfect_channel,10,inf,0.0,0.0,0.006467772580033943,-2.1662684617941603
0.0,1,1,perfect_channel,11,inf,0.0,0.0,0.005153901226093309,3.2155573408527633
0.0,1,1,tp_uic_full,4,inf,0.0,0.0,0.9993200023284995,-2.8729186124471835
0.0,1,1,tp_uic_full,5,inf,0.0,0.0,0.06577156155417414,3.788874008199283
0.0,1,1,tp_uic_full,6,inf,0.0,0.0,0.0018321313063814023,0.6834527997393819
0.0,1,1,tp_uic_full,7,inf,0.0,0.0,0.7006663144846728,-2.920770112928021
0.0,1,1,tp_uic_full,8,inf,0.0,0.0,0.01494470664044284,-1.3935268638724796
0.0,1,1,tp_uic_full,9,inf,0.0,0.0,0.07730354278412062,-3.096850615273778
0.0,1,1,tp_uic_full,10,inf,0.0,0.0,0.006467772580033943,-2.1662684617941603
0.0,1,1,tp_uic_full,11,inf,0.0,0.0,0.005153901226093309,3.2155573408527633
10.0,1,1,perfect_channel,4,inf,0.0,0.0,0.9993200023285002,7.127081387552817
10.0,1,1,perfect_channel,5,inf,0.0,0.0,0.06577156155417435,13.788874008199281
10.0,1,1,perfect_channel,6,inf,0.0,0.0,0.0018321313063814034,10.68345279973938
10.0,1,1,perfect_channel,7,inf,0.0,0.0,0.7006663144846714,7.07922988707198
10.0,1,1,perfect_channel,8,inf,0.0,0.0,0.014944706640442824,8.606473136127521
10.0,1,1,perfect_channel,9,inf,0.0,0.0,0.07730354278412087,6.9031493847262215
10.0,1,1,perfect_channel,10,inf,0.0,0.0,0.006467772580033957,7.83373153820584
10.0,1,1,perfect_channel,11,inf,0.0,0.0,0.005153901226093305,13.215557340852763
10.0,1,1,tp_uic_full,4,inf,0.0,0.0,0.9993200023285002,7.127081387552817
10.0,1,1,tp_uic_full,5,inf,0.0,0.0,0.06577156155417435,13.788874008199281
10.0,1,1,tp_uic_full,6,inf,0.0,0.0,0.0018321313063814034,10.68345279973938
10.0,1,1,tp_uic_full,7,inf,0.0,0.0,0.7006663144846714,7.07922988707198
10.0,1,1,tp_uic_full,8,inf,0.0,0.0,0.014944706640442824,8.606473136127521
10.0,1,1,tp_uic_full,9,inf,0.0,0.0,0.07730354278412087,6.9031493847262215
10.0,1,1,tp_uic_full,10,inf,0.0,0.0,0.006467772580033957,7.83373153820584
10.0,1,1,tp_uic_full,11,inf,0.0,0.0,0.005153901226093305,13.215557340852763
20.0,1,1,perfect_channel,4,inf,0.0,0.0,0.9993200023285028,17.127081387552817
20.0,1,1,perfect_channel,5,inf,0.0,0.0,0.06577156155417425,23.78887400819928
20.0,1,1,perfect_channel,6,inf,0.0,0.0,0.0018321313063814058,20.68345279973938
20.0,1,1,perfect_channel,7,inf,0.0,0.0,0.7006663144846723,17.079229887071982
20.0,1,1,perfect_channel,8,inf,0.0,0.0,0.014944706640442817,18.60647313612752
20.0,1,1,perfect_channel,9,inf,0.0,0.0,0.07730354278412047,16.903149384726223
20.0,1,1,perfect_channel,10,inf,0.0,0.0,0.00646777258003393,17.83373153820584
20.0,1,1,perfect_channel,11,inf,0.0,0.0,0.005153901226093311,23.21555734085276
20.0,1,1,tp_uic_full,4,inf,0.0,0.0,0.9993200023285028,17.127081387552817
20.0,1,1,tp_uic_full,5,inf,0.0,0.0,0.06577156155417425,23.78887400819928
20.0,1,1,tp_uic_full,6,inf,0.0,0.0,0.0018321313063814058,20.68345279973938
20.0,1,1,tp_uic_full,7,inf,0.0,0.0,0.7006663144846723,17.079229887071982
20.0,1,1,tp_uic_full,8,inf,0.0,0.0,0.014944706640442817,18.60647313612752
20.0,1,1,tp_uic_full,9,inf,0.0,0.0,0.07730354278412047,16.903149384726223
20.0,1,1,tp_uic_full,10,inf,0.0,0.0,0.00646777258003393,17.83373153820584
20.0,1,1,tp_uic_full,11,inf,0.0,0.0,0.005153901226093311,23.21555734085276
30.0,1,1,perfect_channel,4,inf,0.0,0.0,0.9993200023285013,27.127081387552817
30.0,1,1,perfect_channel,5,inf,0.0,0.0,0.06577156155417425,33.78887400819928
30.0,1,1,perfect_channel,6,inf,0.0,0.0,0.0018321313063814034,30.68345279973938
30.0,1,1,perfect_channel,7,inf,0.0,0.0,0.7006663144846748,27.079229887071982
30.0,1,1,perfect_channel,8,inf,0.0,0.0,0.014944706640442836,28.60647313612752
30.0,1,1,perfect_channel,9,inf,0.0,0.0,0.07730354278412044,26.90314938472622
30.0,1,1,perfect_channel,10,inf,0.0,0.0,0.006467772580033957,27.83373153820584
30.0,1,1,perfect_channel,11,inf,0.0,0.0,0.005153901226093305,33.21555734085276
30.0,1,1,tp_uic_full,4,inf,0.0,0.0,0.9993200023285013,27.127081387552817
30.0,1,1,tp_uic_full,5,inf,0.0,0.0,0.06577156155417425,33.78887400819928
30.0,1,1,tp_uic_full,6,inf,0.0,0.0,0.0018321313063814034,30.68345279973938
30.0,1,1,tp_uic_full,7,inf,0.0,0.0,0.7006663144846748,27.079229887071982
30.0,1,1,tp_uic_full,8,inf,0.0,0.0,0.014944706640442836,28.60647313612752
30.0,1,1,tp_uic_full,9,inf,0.0,0.0,0.07730354278412044,26.90314938472622
30.0,1,1,tp_uic_full,10,inf,0.0,0.0,0.006467772580033957,27.83373153820584
30.0,1,1,tp_uic_full,11,inf,0.0,0.0,0.005153901226093305,33.21555734085276
