split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,raw_stat_h0,raw_stat_h1,target_direction_inflation_h0,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,glrt_neighbourhood_size,glrt_selected_offset_delay,glrt_selected_offset_doppler,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,1,0,0.0,tp_uic_full,tp_uic_full,0.037165336807340375,2.1591841410701993,0,1,7.693437057643406,7.61867712724756,7.693437057643406,7.61867712724756,1.5386874115286813,16162.241487496833,0.9864649345396016,10,0.9986728827127686,0.5703028990781959,9,0.25,0.25,32.023381100556534,38.74142852508874,1.0319046799795838e-09,6.475919954884761e-13,1.37878557015021e-13,5.097134384734551e-13,0.9950406713556897,0.9966346727741466,0.9930937279254368,0.9783613005030972,0.18125879892163121,2.2927676706634022e-14,3.631046874753282e-05,15,15,0.633610528462668
calibration,1,0,1,0,0.0,tp_uic_full,tp_uic_full,0.1608202467983622,-2.997686279774803,0,1,5.21774974735248,5.7228730444411395,5.21774974735248,5.7228730444411395,1.043549949470496,16573.20531311638,1.0115481758493885,10,0.9358075620820887,0.33118997113179177,9,-0.25,0.25,27.550739253539543,32.600041910908025,3.147404344951269e-10,5.531954694409719e-13,1.7296106426909516e-13,3.8023440517187676e-13,0.8717290503194317,0.3016894595754301,0.9247899583823094,0.6787876175803236,0.045442060591627614,1.4518082810000354e-14,2.014591584711666e-05,15,15,0.09796805565148024
calibration,2,0,1,0,0.0,tp_uic_full,tp_uic_full,0.009495056029634186,-3.611471874819867,0,1,6.42086167580372,8.038610210007674,6.42086167580372,8.038610210007674,1.284172335160744,16267.987085219502,0.9929191336193544,10,0.9677397263849806,1.2990936877292978,9,0.25,-0.25,27.673869254473384,33.52225364559887,2.732586890672491e-10,4.668604185681328e-13,1.2143632504548984e-13,3.454240935226429e-13,0.9913393983319283,0.9968010816143905,0.9921396810489,0.9819766744584454,0.06794204445462265,5.153412935814697e-14,8.133420506543434e-05,15,15,0.7767956867866166
calibration,3,0,1,0,0.0,tp_uic_full,tp_uic_full,0.3811454053047999,-2.455536271345619,0,1,3.21065003562307,6.8221304699436915,3.21065003562307,6.8221304699436915,0.642130007124614,16257.224153790114,0.9922622164178536,10,0.9794769474322925,0.7489514569136606,9,0.0,-0.25,27.562336213714428,33.422620495988966,3.565886706375757e-10,6.250775762423397e-13,1.6214572065221473e-13,4.629318555901249e-13,0.795909783823531,0.7636676215633875,0.7989348250688166,0.710833226445254,0.13030666916301387,3.790305636584134e-14,4.8015848854145964e-05,15,15,0.47148249765087724
calibration,4,0,1,0,0.0,tp_uic_full,tp_uic_full,0.9864752491153133,-2.1039222914139675,0,1,11.037918536952764,15.821756283727877,11.037918536952764,15.821756283727877,2.207583707390553,16246.677434577798,0.991618495762805,10,0.998072431008302,2.1614555423219675,9,0.0,0.25,23.85382258124494,25.79403372520451,3.866597260058328e-10,1.59201326016416e-12,1.018416826796672e-12,5.735964333674879e-13,0.9383208669516805,0.9397710351499384,0.0361061764598839,0.02313430222227574,0.006099034506062722,1.2009254301352521e-12,0.0017907958459158538,15,15,4.732244716905513
calibration,5,0,1,0,0.0,tp_uic_full,tp_uic_full,0.32841811325081527,2.1554582746350093,0,1,5.765004546738721,19.137277356415307,5.765004546738721,19.137277356415307,1.1530009093477442,16651.07328305108,1.016300859561223,10,0.9993740456105527,4.255668594710014,9,-0.25,0.25,21.944991731364553,22.21318139123278,1.0310197757456172e-09,6.58821589227378e-12,6.1936813236154676e-12,3.9453456865831225e-13,0.8773832547252614,0.9169149704446632,0.8701596070541617,0.6230144180674593,0.028409672552882848,1.8776807705613095e-13,0.00025974972486303796,15,15,10.625861699450594
calibration,6,0,1,0,0.0,tp_uic_full,tp_uic_full,0.0030216110949819984,-1.2435365608555018,1,1,10.21668504179446,9.47207417475301,10.21668504179446,9.47207417475301,2.043337008358892,16622.985630503586,1.0145865252992912,10,0.9999018623239615,0.19804466836775556,9,0.25,0.25,27.894900520204523,34.315053453704564,4.713760490220166e-10,7.65380617393755e-13,1.7452681635629922e-13,5.908538010374558e-13,0.9988128371794621,0.9974996701312691,0.999115195068228,0.996416802826223,0.2733191339438172,7.576685722204842e-15,1.2042397330579321e-05,15,15,1.4099262187024062
calibration,7,0,1,0,0.0,tp_uic_full,tp_uic_full,0.3236870713886629,-1.9457360063746407,0,1,8.976255639412997,9.295529648446635,8.976255639412997,9.295529648446635,1.7952511278825996,16311.939165255719,0.9956017556918774,10,0.8879300751507764,0.8811966403341018,9,-0.25,0.25,23.625775318523885,26.722691826831444,4.01002949832806e-10,1.7400832859772246e-12,8.528612541572411e-13,8.872220318199836e-13,0.9351817599537774,0.9515516784837661,0.8409275682696101,0.5572003482051353,0.13079763142249443,7.538535171882628e-14,0.0001120106899645614,15,15,5.010049525644776
calibration,8,0,1,0,0.0,tp_uic_full,tp_uic_full,0.07507193143759473,-2.316603608816692,0,1,8.610116141900011,6.487717283834497,8.610116141900011,6.487717283834497,1.7220232283800023,16307.466461597778,0.995328763525255,10,0.8655370767505898,0.4475085455390394,9,-0.25,0.25,26.87388789445082,37.30163981648193,3.6818052030015014e-10,7.562615451267845e-13,6.85325395634873e-14,6.877290055632972e-13,0.9864525127499129,0.9646567754395955,0.9900482341714976,0.9623745593541341,0.26353187168961123,2.185359697945387e-14,3.430480688012089e-05,15,15,1.2579122459677055
calibration,9,0,1,0,0.0,tp_uic_full,tp_uic_full,0.0036769806989092203,1.0331490310653526,0,1,3.9623537321060733,9.146957108605063,3.9623537321060733,9.146957108605063,0.7924707464212146,16409.03363454005,1.0015279317956574,10,0.9500865385745407,0.8042372098307655,9,-0.25,0.25,26.58970879842173,28.12014348730456,7.962254796039365e-10,1.7460842352160988e-12,1.2275006262800324e-12,5.185836089360663e-13,0.9995147257937718,0.9992259827710095,0.999244019895422,0.9982520934712439,0.12018880170832322,3.817313901869174e-14,6.062048539205109e-05,15,15,4.875397034630004
