split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,1,0,30.0,tp_uic_full,tp_uic_full,0.03207358356596703,32.1591841410702,0,1,14.771439205615655,37.4891089619709,10,0.9980720396480451,0.5719477436093036,32.20307530981496,32.206908192832756,1.0319046799795838e-06,6.213439172931726e-10,6.207957896887501e-10,5.481276044225038e-13,0.9943578356123804,0.9962131227729679,0.9926547641130646,0.9760417373076781,0.18125879892163127,2.2927676706634013e-14,1.8253266715511242e-05,15,15,30.33114870121533
calibration,0,0,1,0,30.0,perfect_channel,perfect_channel,0.03207358356596703,32.1591841410702,0,1,3.4955047350947925,6.228632953975809,10,0.9980499359106418,0.5761552877369663,inf,inf,1.0319046799795838e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.18125879892163127,2.2927676706634013e-14,3.652909235031863e-05,0,15,nan
calibration,0,0,1,1,30.0,tp_uic_full,tp_uic_full,0.037035500740867096,32.35061942298008,0,1,147.48844473416725,149.61536873647535,10,0.9980263396247177,0.5658223985253087,27.99288453712018,27.994584628705717,1.0784080232143685e-06,1.7119641131367699e-09,1.7112940778710865e-09,6.700352656834638e-13,0.9801531189300899,0.9895517859424217,0.9820569272467922,0.965952644680616,0.15466894297473346,2.5470613740071273e-14,1.0670582513587028e-05,15,15,34.732521115730044
calibration,0,0,1,1,30.0,perfect_channel,perfect_channel,0.037035500740867096,32.35061942298008,0,1,3.0099394665431136,7.812859939957061,10,0.9980499359106418,0.5761552877369663,inf,inf,1.0784080232143685e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.15466894297473346,2.5470613740071273e-14,4.058057924644175e-05,0,15,nan
calibration,1,0,1,0,30.0,tp_uic_full,tp_uic_full,0.12324760436083304,27.002313720225196,0,1,5.234228365165049,4.402945864533052,10,0.9150404640455757,0.37660235744594206,38.95586973114273,39.0095461125862,3.14740434495127e-07,4.0028154454741815e-11,3.9536473449053206e-11,4.916810056886081e-13,0.9025135754532408,0.39893325932858803,0.9408839607035738,0.7084569001949006,0.04544206059162758,1.4518082810000354e-14,1.9624221114766708e-05,15,15,18.42570074298736
calibration,1,0,1,0,30.0,perfect_channel,perfect_channel,0.12324760436083304,27.002313720225196,0,1,4.616276762262105,4.659342240410164,10,0.9221110620572076,0.40362466703110683,inf,inf,3.14740434495127e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04544206059162758,1.4518082810000354e-14,2.3130664066046744e-05,0,15,nan
calibration,1,0,1,1,30.0,tp_uic_full,tp_uic_full,0.10756979832679972,24.99095955970999,0,1,4.0012594357680555,3.6897759190433286,10,0.9164917956919377,0.380827125493512,34.73676418502106,34.77451338858878,1.9806928049584283e-07,6.654887305187917e-11,6.597293192144865e-11,5.759411304305303e-13,0.8390504851003469,0.27853000100640896,0.9494567944138641,0.7155303400365183,0.04299055552626946,1.8389401792862072e-14,2.2226368171174957e-05,15,15,20.63209409654363
calibration,1,0,1,1,30.0,perfect_channel,perfect_channel,0.10756979832679972,24.99095955970999,0,1,4.346449672085017,3.3381128113963605,10,0.9221110620572076,0.40362466703110683,inf,inf,1.9806928049584283e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04299055552626946,1.8389401792862072e-14,2.929857067306809e-05,0,15,nan
calibration,2,0,1,0,30.0,tp_uic_full,tp_uic_full,0.011701796165200187,26.388528125180134,0,1,11.179703553411418,10.703295698707468,10,0.9631187221167137,1.269360058849771,33.80937243914064,33.82560358850381,2.732586890672491e-07,1.1366761211561988e-10,1.1324358815834034e-10,4.240239572795378e-13,0.9906922502396853,0.9965439142357551,0.9903085250879222,0.9794869744229272,0.06794204445462267,5.153412935814696e-14,6.886940221300236e-05,15,15,22.96247719049349
calibration,2,0,1,0,30.0,perfect_channel,perfect_channel,0.011701796165200187,26.388528125180134,0,1,4.22478731664463,6.8051243450534,10,0.9683205012668905,1.2887954332006752,inf,inf,2.732586890672491e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06794204445462267,5.153412935814696e-14,8.210578832753369e-05,0,15,nan
calibration,2,0,1,1,30.0,tp_uic_full,tp_uic_full,0.007852685642453923,25.68609408888094,0,1,7.409183738432459,3.2650083048124148,10,0.9642749091523877,1.2742719882517095,32.58216719094065,32.59598122851594,2.3245054934980187e-07,1.2826668118204405e-10,1.2785933874188126e-10,4.073424401627916e-13,0.9924811970067743,0.9993156022863384,0.992852356996931,0.9837595128742502,0.0720192963547587,5.0675909907147187e-14,6.653449971419682e-05,15,15,23.487247703631347
calibration,2,0,1,1,30.0,perfect_channel,perfect_channel,0.007852685642453923,25.68609408888094,0,1,5.706017658040014,3.826859722195164,10,0.9683205012668905,1.2887954332006752,inf,inf,2.3245054934980187e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0720192963547587,5.0675909907147187e-14,8.073844622900612e-05,0,15,nan
calibration,3,0,1,0,30.0,tp_uic_full,tp_uic_full,0.36452375549139937,27.544463728654378,0,1,100.83572029351846,75.22539768564238,10,0.9675436045721799,0.7264901387620227,35.79403039508809,35.817336019773194,3.565886706375753e-07,9.392138784075218e-11,9.341872569802098e-11,5.026621427312053e-13,0.812457611621621,0.7496087355460036,0.8219478318620771,0.685024524749193,0.13030666916301367,3.790305636584134e-14,4.267686188633795e-05,15,15,22.127687471515657
calibration,3,0,1,0,30.0,perfect_channel,perfect_channel,0.36452375549139937,27.544463728654378,0,1,2.1730359915229682,5.635350687326353,10,0.9731792701505358,0.8889082043552312,inf,inf,3.565886706375753e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.13030666916301367,3.790305636584134e-14,6.0388336073603725e-05,0,15,nan
calibration,3,0,1,1,30.0,tp_uic_full,tp_uic_full,0.35558477927274135,27.887527257540224,0,1,254.87253102925018,256.635650771735,10,0.9758317377383321,0.7067880554913721,19.98333710451727,19.9839407886619,3.8589921378012834e-07,3.873826656619892e-09,3.873288218923312e-09,5.384376965807159e-13,0.7389930586582024,0.7768083862304594,0.7925679527628638,0.6910501238944937,0.12077302702308207,4.496707722482875e-14,7.38209296479504e-06,15,15,38.28225103844599
calibration,3,0,1,1,30.0,perfect_channel,perfect_channel,0.35558477927274135,27.887527257540224,0,1,4.586134685027787,7.147992868392637,10,0.9731792701505358,0.8889082043552312,inf,inf,3.8589921378012834e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12077302702308207,4.496707722482875e-14,7.164295526700264e-05,0,15,nan
test,4,0,1,0,30.0,tp_uic_full,tp_uic_full,0.8716957304334085,27.896077708586034,0,1,7212.067011895757,7196.056855791356,10,0.9990035592989263,4.895661683188927,25.286954220383077,25.289330577535303,3.8665972600583294e-07,1.1445466981184622e-09,1.1439206004216873e-09,6.260976967750349e-13,0.9514950423184712,0.9526395660990569,0.15320240010619401,0.06002934421409066,0.006099034506062738,1.2009254301352521e-12,0.0006447767378583791,15,15,32.989020375483726
test,4,0,1,0,30.0,perfect_channel,perfect_channel,0.8716957304334085,27.896077708586034,0,1,6.9921002522288065,5.82836471238992,10,0.9998247723301436,31.982873865819542,inf,inf,3.8665972600583294e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.006099034506062738,1.2009254301352521e-12,0.0019133519939490227,0,15,nan
test,4,0,1,1,30.0,tp_uic_full,tp_uic_full,0.9557672918561129,28.197179013004895,0,1,223.2606768451649,312.11115981897365,10,0.9978040040265889,2.114811188045146,37.83783843464165,37.8833899155311,4.144184378305669e-07,6.817972196184201e-11,6.746834821795182e-11,7.11373743890198e-13,0.9475442139580357,0.948168841300801,0.06626212360176095,0.023796251963745234,0.008011299923108513,1.242991012817811e-12,0.0016926268214685018,15,15,20.73824160426955
test,4,0,1,1,30.0,perfect_channel,perfect_channel,0.9557672918561129,28.197179013004895,0,1,6.239937942156338,8.680101678054083,10,0.9998247723301436,31.982873865819542,inf,inf,4.144184378305669e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008011299923108513,1.242991012817811e-12,0.0019803721972710864,0,15,nan
test,5,0,1,0,30.0,tp_uic_full,tp_uic_full,0.2568918490023661,32.15545827463501,0,1,11.111350383415612,34.6200041977263,10,0.9988182478147687,5.023020306312624,33.80977390058224,33.81406277947117,1.0310197757456173e-06,4.288343894628112e-10,4.284111027358877e-10,4.232867269235261e-13,0.90092204848606,0.9262362121112984,0.8997602443144391,0.6400254729425987,0.02840967255288285,1.87768077056131e-13,0.00016011931759468722,15,15,28.728437516400867
test,5,0,1,0,30.0,perfect_channel,perfect_channel,0.2568918490023661,32.15545827463501,0,1,3.215137286843052,16.84257465556198,10,0.9992231615965893,5.587184811213522,inf,inf,1.0310197757456173e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.02840967255288285,1.87768077056131e-13,0.00029915797902194493,0,15,nan
