split,scene_id,scores_json
train,0,"[[9.970563448480071, 6.7833927363611055, 3.8857908211706222, 5.729051635553146, 6.842732564503835, 4.154185009183057], [13.146999765223919, 20.949300470905353, 8.168488178002573, 40.679368366633966, 16.96143613830348, 28.717741616101566]]"
calibration,1,"[[6.5915045585128995, 13.970160536582943, 8.721902821420477, 18.92200602808502, 13.578119834431778, 8.98461339116015], [23.28413023753545, 16.01183779337534, 8.934491278252212, 42.9029277247525, 80.32067990653239, 7.908825597109356]]"
calibration,2,"[[6.59985759241331, 5.767368312028469, 8.804383708638756, 2.478036249334275, 6.216159324050818, 4.009128075233462], [6.014862680556841, 9.847441754948784, 4.304466200872676, 14.351616788501719, 9.96629477633672, 7.383621133545927]]"
test,3,"[[3.491073192000637, 7.769537826974782, 6.56728687800772, 5.748004334267888, 10.081618966635538, 4.550811123273682], [9.682388312650833, 13.419939834642115, 10.998103690327413, 11.397757421897797, 7.706654356729862, 6.968471136526031]]"
test,4,"[[6.515265630462955, 6.451265218090439, 4.546506615557858, 4.069784886809519, 8.322137137335424, 4.311151551067912], [7.145337188189749, 5.6971586172644075, 5.844742101107466, 11.206174455087389, 20.692541671742926, 11.358194694958746]]"
test,5,"[[5.052671108767606, 5.861381713920882, 6.479795576230559, 5.456517553858272, 7.813899311651937, 13.15370850409743], [9.695038131098228, 7.948821316621594, 9.642993366167676, 7.20141125597906, 5.955514050510447, 5.314358193425125]]"
test,6,"[[5.549004529743835, 6.598663027295159, 4.937635298702562, 6.648965643844031, 5.3713141500086365, 5.903933701332723], [24.04534607394169, 24.40149371547009, 18.84494428748711, 22.614456730850733, 108.30538079315495, 25.56503934156684]]"
test,7,"[[8.773775710164049, 4.6030147157784285, 6.607498315415813, 4.173107678510635, 2.9262282578680576, 5.0417788864668465], [10.568505354980545, 9.020827058979195, 3.3648579012477824, 5.380217274538368, 5.972199571714773, 7.447720596774751]]"
test,8,"[[5.4149418156931, 12.661744362510197, 4.2543019473480905, 9.00498836837882, 7.575044057346813, 3.294723299626008], [55.498467991717305, 8.695308514854185, 18.288946763384264, 8.605383079889371, 17.56367257364275, 19.972011737403612]]"
test,9,"[[9.378852367837109, 5.160308005424293, 7.159884928893262, 7.480750205213541, 5.4120870231816856, 10.735581899993452], [6.43672319175338, 8.875662268871384, 6.804861319074055, 5.302880917741538, 6.240348915780262, 10.373753830043842]]"
test,10,"[[3.4491089787679323, 12.615090204849945, 7.683451135948716, 5.203266269620643, 6.680619198115275, 10.927636983545773], [9.038016196322978, 16.63581646097898, 7.976284836822849, 10.151767038631116, 11.768589378507887, 6.37781919451491]]"
