m_rx,trial,receiver,weak_target,arm,realisation,t_h1,t_h0,dT,covariance_protection
4,0,0,2,hard,0,3.098614880962231,5.749443753516164,-2.6508288725539333,False
4,0,0,2,hard,1,3.0931036676695376,8.042278929719895,-4.949175262050358,False
4,0,0,2,hard,2,2.318340949239122,4.437589746508915,-2.119248797269793,False
4,0,0,2,hard,3,4.585119213262146,2.951119805449991,1.6339994078121554,False
4,0,0,2,hard,4,3.072422281761277,5.913951545756128,-2.8415292639948513,False
4,0,0,2,hard,5,8.707707031955094,1.781703926139667,6.926003105815427,False
4,0,0,2,hard,6,1.8396903195540009,3.3637762748798186,-1.5240859553258177,False
4,0,0,2,hard,7,2.4057247673003017,4.760836661196353,-2.3551118938960514,False
4,0,0,2,adaptive,0,3.0999258078713807,5.744450508777292,-2.644524700905911,False
4,0,0,2,adaptive,1,3.091030850776534,8.034223230297735,-4.943192379521202,False
4,0,0,2,adaptive,2,2.3199626319348967,4.437033535159713,-2.1170709032248167,False
4,0,0,2,adaptive,3,4.590388898154437,2.9468719697796653,1.6435169283747717,False
4,0,0,2,adaptive,4,3.08332667577352,5.908604430463012,-2.8252777546894925,False
4,0,0,2,adaptive,5,8.70227765874783,1.7788729121508087,6.923404746597021,False
4,0,0,2,adaptive,6,1.8446767484888007,3.3647431921092785,-1.5200664436204778,False
4,0,0,2,adaptive,7,2.405897599783764,4.763016245384058,-2.3571186456002944,False
4,0,1,2,hard,0,4.421907945963244,5.899238066744857,-1.4773301207816134,False
4,0,1,2,hard,1,4.51539280071678,6.312871547043327,-1.7974787463265471,False
4,0,1,2,hard,2,4.248634472722594,3.513700788166841,0.7349336845557533,False
4,0,1,2,hard,3,3.3591584729761674,3.361105511949727,-0.0019470389735594118,False
4,0,1,2,hard,4,3.0088402445555698,4.6579299923957285,-1.6490897478401587,False
4,0,1,2,hard,5,5.4641752931889105,7.030084731046751,-1.5659094378578402,False
4,0,1,2,hard,6,2.410655225917594,5.504108745503444,-3.09345351958585,False
4,0,1,2,hard,7,3.948328295598989,2.906403158093216,1.041925137505773,False
4,0,1,2,adaptive,0,4.41752888779161,5.8975718171947555,-1.4800429294031456,False
4,0,1,2,adaptive,1,4.511349152301518,6.316595108148175,-1.8052459558466571,False
4,0,1,2,adaptive,2,4.252528645456817,3.5137778735800813,0.7387507718767354,False
4,0,1,2,adaptive,3,3.361155312740818,3.354295112319855,0.006860200420962581,False
4,0,1,2,adaptive,4,3.013400201350124,4.655314427488051,-1.641914226137927,False
4,0,1,2,adaptive,5,5.46379978558322,7.0338251921975505,-1.5700254066143309,False
4,0,1,2,adaptive,6,2.4095008876942705,5.504061317796706,-3.094560430102436,False
4,0,1,2,adaptive,7,3.940552557291093,2.9047039396827614,1.0358486176083317,False
4,0,2,2,hard,0,7.402284006919767,4.148762772052881,3.253521234866886,False
4,0,2,2,hard,1,3.49730467987724,5.318716398578799,-1.8214117187015586,False
4,0,2,2,hard,2,1.0072829110510442,4.362332886184083,-3.3550499751330385,False
4,0,2,2,hard,3,2.748797646146599,2.864175301953745,-0.11537765580714598,False
4,0,2,2,hard,4,3.3264666122864206,4.293597463605915,-0.9671308513194941,False
4,0,2,2,hard,5,7.329770793392187,4.622563979916846,2.7072068134753415,False
4,0,2,2,hard,6,5.198683635490098,2.784031600518947,2.4146520349711507,False
4,0,2,2,hard,7,6.559279168417385,3.860227278605052,2.699051889812333,False
4,0,2,2,adaptive,0,7.397931978312157,4.148902363173004,3.249029615139153,False
4,0,2,2,adaptive,1,3.4926473540563885,5.317569211800891,-1.8249218577445028,False
4,0,2,2,adaptive,2,1.0125903257560553,4.364418055466924,-3.3518277297108687,False
4,0,2,2,adaptive,3,2.7491454012875387,2.8636331229242873,-0.11448772163674859,False
4,0,2,2,adaptive,4,3.3274962929808405,4.289664886260608,-0.9621685932797677,False
4,0,2,2,adaptive,5,7.3289586774255575,4.632888130842026,2.696070546583531,False
4,0,2,2,adaptive,6,5.199810589936175,2.782417512959247,2.4173930769769276,False
4,0,2,2,adaptive,7,6.558397787642513,3.8634156762290206,2.6949821114134926,False
4,1,0,1,hard,0,6.8117013180580885,7.388704126171774,-0.5770028081136855,False
4,1,0,1,hard,1,2.5575865259172286,6.2233105815377625,-3.665724055620534,False
4,1,0,1,hard,2,10.510456401857855,3.1208854730219704,7.389570928835885,False
4,1,0,1,hard,3,6.150607336709118,13.026298100610937,-6.875690763901819,False
4,1,0,1,hard,4,9.525866087844083,2.74454409799118,6.781321989852903,False
4,1,0,1,hard,5,2.6878446938929033,4.909234655539411,-2.2213899616465076,False
