split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,30.0,tp_uic_full,tp_uic_full,0.16626801133348118,27.553070026698197,1,3,45.73985025063103,103.02924583009187,10,0.9868431999691623,34.96433550640928,10.038170162419002,10.0381768046206,3.572960135358066e-07,3.541694968053084e-08,3.541689551305932e-08,5.41674715180474e-14,0.9991168202638566,0.9994065883035617,0.9993641360710853,0.998537163969532,0.9690711778648952,1.4526773135603628e-12,4.0266618015765425e-05,45,5,52.44601714157635
calibration,0,0,0,1,30.0,tp_uic_full,tp_uic_full,0.1364243913780959,27.58944381097544,1,3,156.21420386998716,197.76181243368882,10,0.9869046276489835,35.10079168915431,8.554180050375313,8.554198763545829,3.603010677029836e-07,5.026290020269025e-08,5.0262683627017535e-08,2.1657567271938328e-13,1.0022070917888923,1.000415296411528,0.9988820215485908,0.9985075712986128,0.9667785104031683,1.5564880787546872e-12,3.065251257016231e-05,45,5,53.99361262518902
calibration,1,0,0,0,30.0,tp_uic_full,tp_uic_full,0.059165976449314116,27.02138412435939,1,3,48.40933029611043,111.46194386811607,10,0.983373262622736,104.55060606909724,10.296887678336544,10.296905121380394,3.1612553725437985e-07,2.9523701966866282e-08,2.9523583387834003e-08,1.185790322785434e-13,1.0002073992946108,0.9999654469642075,0.999960363254938,0.9930220249798245,0.9126629601513805,4.16609919734718e-12,0.00013820151487625642,45,5,51.77265097095716
calibration,1,0,0,1,30.0,tp_uic_full,tp_uic_full,0.06911463024990469,29.268456255851852,1,3,43.28714733601754,97.22999127181623,10,0.9838067389400647,104.064912623356,14.08516896095325,14.08520885302944,5.30355153872318e-07,2.0703792076493892e-08,2.070360190289231e-08,1.9017360158217492e-13,1.0001023858684472,1.0004311073852583,0.999965558002398,0.9972073351347412,0.9170258462366938,4.272560057982214e-12,0.00020031446726145457,45,5,50.2422374467228
calibration,2,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0045029875493272885,25.865915348768127,1,3,9.622761876320858,17.812484355810522,10,0.8331937565734491,34.77383537914863,9.84652676891007,9.846540344172599,2.4227728758545877e-07,2.5099208482855746e-08,2.50991300273777e-08,7.845547804702967e-14,0.9999593790424135,0.9994177430247156,1.0000131571716124,0.9985378520286343,0.9867045965142306,2.5098562101110836e-12,9.755383645288686e-05,45,5,50.90316968285641
calibration,2,0,0,1,30.0,tp_uic_full,tp_uic_full,0.0022477373573024807,25.90241974009895,1,3,15.221764321949106,45.33813014570279,10,0.8327279328547568,34.783248532142,10.195010689105732,10.195032498917483,2.4432231908160257e-07,2.335942095680004e-08,2.3359303648541323e-08,1.1730825871665441e-13,1.0000765676295873,1.0002586942269873,1.0000023904483035,0.999365071935763,0.983859908009672,2.4278670196136936e-12,0.00010122337938913673,45,5,50.793022289591285
calibration,3,0,0,0,30.0,tp_uic_full,tp_uic_full,0.00023797534212109672,28.755518575883315,1,3,2.7248709882141458,10.601618082996225,10,0.9999772223602703,14.253236253235013,16.865208042802728,16.865292923007964,4.712735062812524e-07,9.699564186382371e-09,9.699374616174193e-09,1.895702081778949e-13,0.9999989573503358,1.0003868533916571,1.0000001163602426,0.9999975279883158,0.89233223591788,6.408773732047412e-13,6.205704340324539e-05,45,5,46.9778464044097
calibration,3,0,0,1,30.0,tp_uic_full,tp_uic_full,0.00029773396312656744,27.504254681225028,1,3,4.647283343883646,18.515460191898015,10,0.9999801971028413,14.253066831357277,14.224762070573199,14.22483054979972,3.5330243945018756e-07,1.335581605584556e-08,1.3355605464005099e-08,2.1059184046120664e-13,0.9999911669347383,1.0006162503249996,1.0000011215659848,0.9999940871968489,0.8980292690233751,4.641036338213027e-13,3.318915054124802e-05,45,5,48.37226438589433
calibration,4,0,0,0,30.0,tp_uic_full,tp_uic_full,0.004033036077019802,33.754146460800776,1,3,28.110954727138218,58.67492804428831,10,0.8447545491369162,20.298055474917305,14.924972419026625,14.92498887734622,1.4898269087163674e-06,4.793343717554982e-08,4.7933255524074526e-08,1.816514752949829e-13,1.0000199402420082,1.0000466463312652,0.9999622568099485,0.9997952540618661,0.9910967950024329,1.4862724682364356e-12,3.06068506809497e-05,45,5,53.976337154746886
calibration,4,0,0,1,30.0,tp_uic_full,tp_uic_full,0.004552936007078906,32.95847777567039,1,3,8.70223470946094,15.991704955603463,10,0.8447364497014528,20.298713838609988,13.716378262353413,13.716406043313112,1.2404205300104953e-06,5.271462474988035e-08,5.271428754592246e-08,3.3720395789060266e-13,1.000002032810333,1.000000008947351,0.9999608997991791,0.9998227355502104,0.9885625985082953,1.3957417216794459e-12,2.6165821162466944e-05,45,5,54.3895769926867
