split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0017895041784106972,32.352714214268445,1,3,11.056329914831338,32.150463631259186,10,0.9965987383490756,77.53630255411389,15.23078794526038,15.230812022658428,1.0789283118044112e-06,3.23529431717647e-08,3.235276380671083e-08,1.7936505386881727e-13,1.0000269304484897,1.0003078674386747,0.9999998757743472,0.9987510910593081,0.8974667156115315,2.811206411577674e-12,8.524048237108493e-05,45,5,52.228569278570944
calibration,0,0,0,1,30.0,tp_uic_full,tp_uic_full,0.0017500313142839211,32.076434332008084,1,3,1.7519184500492,30.685390036582135,10,0.9965108068575176,77.52290821059212,12.429801193582337,12.429825355882226,1.0124290573745515e-06,5.7860806369490696e-08,5.786048445744147e-08,3.2191204922722677e-13,0.9999711493136512,1.0000257619945672,0.9999990545964927,0.9997360387826807,0.9105809611334427,3.197827441538858e-12,5.467292339903636e-05,45,5,54.75640372789406
calibration,1,0,0,0,30.0,tp_uic_full,tp_uic_full,0.9768964222084677,26.21211133922815,1,3,563.3613570513335,2012.3335202321832,10,0.9956903233431931,388.09807735567017,14.060328462551544,14.060594629593098,2.623809510543726e-07,1.0301476014222623e-08,1.0300844684678227e-08,6.313295443953909e-13,0.9794174626594492,0.9837522584358025,0.975926395492724,0.294154112492885,0.9964197408574498,3.418007013406309e-11,0.003063057506148967,45,5,38.238803319171495
calibration,1,0,0,1,30.0,tp_uic_full,tp_uic_full,0.9751450722537873,26.785800812871017,1,3,1922.3837663357408,2109.05919859127,10,0.997315699338336,525.133568141994,12.328456987834027,12.328706305987758,2.9943409473407655e-07,1.7516831424549294e-08,1.751582585369882e-08,1.0055708504760732e-12,0.9893399907619306,0.9881502590868777,0.9692097896026134,0.22473069340083424,0.9974622265437452,3.8673811124038625e-11,0.002108714818986965,45,5,40.78124355883621
calibration,2,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0009388346971243796,25.844706683225,1,3,4.558390401576024,30.582570739226995,10,0.9938262449852511,14.598502566409744,10.393577242278695,10.393586788482136,2.4109701659390465e-07,2.202085169671221e-08,2.2020803292850778e-08,4.840386143031325e-14,1.0000041763614933,0.9998846773067352,0.9999995004159231,0.9999934377648723,0.9925831852406373,8.329264944653309e-13,3.677637448292725e-05,45,5,50.56023504093503
calibration,2,0,0,1,30.0,tp_uic_full,tp_uic_full,0.0006549727224086382,25.913490331928468,1,3,11.026140477124398,6.335386492781406,10,0.9938251750574777,14.598455754532015,12.253669773092177,12.253742375258794,2.4494591507559085e-07,1.4578177167829745e-08,1.457793346259171e-08,2.437052380353086e-13,1.0000030491624516,0.9999974347641079,1.0000007039500483,0.9999959857826639,0.9966318111424075,3.717443054880103e-13,2.444755595779031e-05,45,5,48.756743933744374
calibration,3,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0057293626245977,27.652479268372776,1,3,2.9908440800574927,41.518362769325456,10,0.9762851070960621,41.32333301498056,14.735495064726177,14.735818231406629,3.655687761668185e-07,1.2286256797785377e-08,1.2285342588356719e-08,9.142094286582627e-13,1.001664811053535,0.8784105252624841,1.0014305919157958,1.000412120294777,0.8858727752951141,1.577328440846517e-12,0.00012234514130479428,45,5,42.22056730233185
calibration,3,0,0,1,30.0,tp_uic_full,tp_uic_full,0.006994585519547687,27.763934636935247,1,3,10.255840102843226,34.90198227920833,10,0.9762302132852732,41.31166783512821,10.834123785777859,10.83417830206874,3.750719891427754e-07,3.095296474916613e-08,3.0952576203994786e-08,3.8854517134685067e-13,1.0013914115327407,0.9450747087614095,1.0013936765920841,1.0007274498938206,0.884565182992556,1.6633446810355075e-12,5.274307717471156e-05,45,5,46.952252591930126
test,4,0,0,0,30.0,tp_uic_full,tp_uic_full,0.010787509841143498,28.47988495920571,1,3,20.547525833243768,80.96650203736627,10,0.9990774233403436,36.358865483031344,11.483395460232895,11.483430303454673,4.4229259050114005e-07,3.143186263954382e-08,3.1431610464346295e-08,2.5217519752150733e-13,1.000100737780027,16.132872507783258,0.9999561424570623,0.9999307075307411,0.30989438038208583,2.10705083848557e-12,6.572971886733824e-05,45,5,41.30970237272318
test,4,0,0,1,30.0,tp_uic_full,tp_uic_full,0.013421309496271166,27.883729166859826,1,3,3.8547491047402094,70.7009137358753,10,0.9990780137724901,36.34818653139001,10.494969939343513,10.495620157364474,3.8556187597011546e-07,3.4403061417044444e-08,3.4397911037068414e-08,5.150379976028172e-12,1.000007385741069,9.918255620159258,1.0000052916870672,0.9998024247517536,0.3229848061706578,2.143680345646677e-12,6.119475654742538e-05,45,5,43.601844683654576
test,5,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0016760206835117666,32.87735718583812,1,3,5.226147878484076,19.061889106336668,10,0.9930072517442412,17.382761499622422,13.739844654691066,13.73987354507058,1.2174661261700143e-06,5.1460312727173734e-08,5.1459970401152636e-08,3.423260211012472e-13,0.9998844823122005,0.9979407523982887,0.9999503662874882,0.9998547537354538,0.9476811771557694,5.600877479586233e-13,1.0751485796653033e-05,45,5,53.933272489235065
test,5,0,0,1,30.0,tp_uic_full,tp_uic_full,0.0020879210288738768,32.69580618961767,1,3,237.19429248854533,367.2820218041307,10,0.9930475746189119,17.385920845406535,10.21475773076148,10.214764310363647,1.167620703355171e-06,1.1112864369254898e-07,1.1112847533173825e-07,1.6836081073513866e-13,0.9999038601293417,0.9987920517752203,0.9999397375994312,0.9998200858942151,0.9495196202921418,7.903150177366134e-13,7.071091691547216e-06,45,5,57.244437354993934
test,6,0,0,0,30.0,tp_uic_full,tp_uic_full,0.01722206857460582,29.009250495088118,1,3,4.919122766630466,38.15311809262077,10,0.9995271069780054,25.849481606312345,14.05391019770062,14.053965811199646,4.996273655638143e-07,1.9645143148494425e-08,1.9644891584590287e-08,2.515639041382319e-13,0.9998713353671917,1.0001082670952886,0.9998726253420467,0.9992808833643877,0.9820692615934178,9.283046208796749e-13,4.578475859706725e-05,44,5,50.08412768658037
test,6,0,0,1,30.0,tp_uic_full,tp_uic_full,0.012580351164804753,27.796548202390383,1,3,6.6334481636624405,22.176440449845632,10,0.9995301501399898,25.84777651024633,13.52704332309603,13.527075058073589,3.778992136676029e-07,1.6775352545361014e-08,1.6775229964137065e-08,1.225812239477824e-13,0.9997895819842179,1.0000030155656268,0.9998693536044716,0.9995155542874936,0.9770561926650769,6.113649724088448e-13,3.5122453387429935e-05,44,5,49.40076916710843
test,7,0,0,0,30.0,tp_uic_full,tp_uic_full,0.01010893223027526,27.55124155610295,1,3,3.647852309605546,45.28230695009017,10,0.9406417596896136,36.88128045429498,13.09568446750626,13.095741736616063,3.571456161042306e-07,1.750962628493905e-08,1.750939539227507e-08,2.3089266397850816e-13,1.0005789815587771,1.016273949191829,1.000288320074372,0.9994206586992477,0.9537311549562689,1.6981168918861745e-12,9.367997440424826e-05,45,5,48.59784518803066
test,7,0,0,1,30.0,tp_uic_full,tp_uic_full,0.00950948527064857,26.921014237504288,1,3,15.31670694425869,32.15841539782714,10,0.9391280776399056,36.81590989349268,12.877659824150447,12.877758789502103,3.0890333120734957e-07,1.5924162814988655e-08,1.5923799945442145e-08,3.628695465110488e-13,1.0005185680140314,1.000064362930475,1.0001667442228857,0.9997208248238038,0.9705724763029991,1.4932212593297993e-12,9.026172170102789e-05,45,5,48.39091274460192
test,8,0,0,0,30.0,tp_uic_full,tp_uic_full,0.4253032959622849,28.202449236817454,1,3,17.72108236230961,96.9996524110751,10,0.9596058829840746,92.77966076745548,14.91403160009921,14.914086485402095,4.1492164561955124e-07,1.3383291323931131e-08,1.3383122189533393e-08,1.6913439773845831e-13,0.9996953059643008,1.0003596335963976,0.9989369550846453,0.9954068436408632,0.9823976394943337,2.946119728143319e-12,0.0002102086427087339,44,5,48.20594291657187
test,8,0,0,1,30.0,tp_uic_full,tp_uic_full,0.309942980325253,28.02100709765336,1,3,1284.9422128009787,1270.4467371968854,10,0.959583982546365,92.54247516319295,12.512714734103694,12.512774072168222,3.9794392371948674e-07,2.2312611533266934e-08,2.2312306676034498e-08,3.0485723243528e-13,0.9993501850789213,1.0003279391717523,0.9997179555983845,0.9902970578311746,0.981186161546207,2.1117215276146964e-12,9.199323264653786e-05,44,5,50.45251555328292
test,9,0,0,0,30.0,tp_uic_full,tp_uic_full,0.004533529130486591,30.971038259433126,1,3,6.298342661727387,13.825504302136805,10,0.950849313317101,22.984569700533445,12.629095348537058,12.629113572793733,7.849192748266308e-07,4.284651061294639e-08,4.28463308169321e-08,1.7979601428700481e-13,0.9998538326679126,0.9999740682426789,0.99994317219846,0.9998299815440234,0.9772720696146157,9.96269783573704e-13,2.291301377800871e-05,45,5,53.4795709517593
test,9,0,0,1,30.0,tp_uic_full,tp_uic_full,0.006005365990473048,31.060692190351705,1,3,10.292157779357314,5.526507695679166,10,0.9510409650419576,22.98367618291203,14.398750505713032,14.398783533792836,8.012912254772408e-07,2.9101497436294555e-08,2.9101276120352263e-08,2.213159422908372e-13,1.0000309875918338,1.000022782885747,0.9999436195916533,0.9998681350148251,0.9752476589817345,9.734354498641733e-13,3.274447894473843e-05,45,5,51.79547512068812
test,10,0,0,0,30.0,tp_uic_full,tp_uic_full,3.511817934842326e-05,28.512429201783416,1,3,6.489539014574052,13.28373584739575,10,0.7504117282140214,12.314523061978885,10.408862617001608,10.408873974221013,4.4561939859393276e-07,4.055812099356908e-08,4.055801493031116e-08,1.0606325792400867e-13,1.0000095502991162,1.0000279667146998,1.0000001033751795,0.9999997370339543,0.976837612753973,8.776616885259801e-13,2.1310028617645743e-05,45,5,53.25590639364633
test,10,0,0,1,30.0,tp_uic_full,tp_uic_full,4.959411319837974e-05,28.521933305106,1,3,6.047644459114711,8.687457163422806,10,0.7504198662825853,12.31449442822367,11.530881939330122,11.530913385726961,4.4659566021756345e-07,3.139252903302477e-08,3.139230172680909e-08,2.2730621567997732e-13,1.000004698003139,0.9999994575314906,1.000001867593082,0.9999997960271333,0.9786642814234428,9.067274199825546e-13,2.831750347490023e-05,45,5,52.143020031553434
test,11,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0079562159310334,26.371041201703953,1,3,12.225646470287787,26.243379306049185,10,0.8859965307194374,42.65424184400883,12.457051151494074,12.45712937940011,2.721606215969743e-07,1.5456820839025607e-08,1.5456542423367886e-08,2.7841565772229365e-13,1.003972645832443,0.8957385825237686,1.0000646747224802,1.0000646747224802,0.9128300153679905,2.647100210123529e-12,0.00016522864571469925,45,5,45.20441504718409
test,11,0,0,1,30.0,tp_uic_full,tp_uic_full,0.009905121893126301,26.11025299697023,1,3,8.965571982037885,39.9061043737053,10,0.8867335862408682,42.71388802758815,14.06687337624102,14.067121004935775,2.5629873796898045e-07,1.0047525800622863e-08,1.0046952920958997e-08,5.728796638658552e-13,0.9996868585262721,0.9419759397630321,0.9999707117198798,0.9999116280888733,0.9108111536662106,2.2675835089683753e-12,0.00021234988175910214,45,5,44.28166580571436
calibration,0,1,0,0,30.0,tp_uic_full,tp_uic_full,0.03318057702307803,26.779232754511014,1,3,80.80452620208366,408.6257061793531,10,0.986676868659049,305.18685574394544,11.925217897489798,11.925227705862568,2.989815874448143e-07,1.919210688742469e-08,1.91920635428431e-08,4.334458159068201e-14,0.9934884270480119,0.997443306746005,0.9999032738192324,0.9931815255077856,0.8989522086672807,1.41978148401695e-11,0.0007116818372002369,45,5,49.918416084040956
calibration,0,1,0,1,30.0,tp_uic_full,tp_uic_full,0.033743908337587995,26.742266089228774,1,3,16.35480344299999,259.7261548893521,10,0.9866657093336251,305.2702663737137,13.84326335671391,13.843340357262901,2.964474895674928e-07,1.2235492108326795e-08,1.2235275174587885e-08,2.1693373891057246e-13,0.9939881490089981,0.9970888529052782,0.9998805926690525,0.9917320840529582,0.9237688194793677,1.4134736929835828e-11,0.0010922490898058856,45,5,47.970476119168055
calibration,1,1,0,0,30.0,tp_uic_full,tp_uic_full,0.07027624058248923,23.598332765093474,1,3,13.761950530918423,455.2325922878865,10,0.9971485542722902,507.316209004438,12.286574014911757,12.286737659539984,1.4373232293782697e-07,8.489791860480306e-09,8.489471966326462e-09,3.1989415384397594e-13,1.0009291310312078,1.0004091309622758,0.999910208464184,0.993383944296399,0.9682884494890229,2.1005124913964024e-11,0.002305978983513378,45,5,46.04325569366325
calibration,1,1,0,1,30.0,tp_uic_full,tp_uic_full,0.09706606354699052,25.618442316508755,1,3,10.088366545691613,592.8500321896743,10,0.9978718023336752,508.7327209539089,15.253122771686503,15.253255794829565,2.2885763183521282e-07,6.8273650164974045e-09,6.827155899485237e-09,2.0911701216723425e-13,1.0006717895725976,0.9991334578389022,0.9998767889318689,0.9920861044405825,0.9626411691446514,1.971269502052436e-11,0.002645993852463218,45,5,45.157573515899436
calibration,2,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0008762193105561894,37.62939984437407,1,3,20.995110659174898,57.999607157601545,10,0.9570308509777907,21.367491289692627,9.56847015455436,9.568471861088597,3.63631211129606e-06,4.01618895066941e-07,4.01618737253225e-07,1.5781371600692605e-13,1.0000163711588912,1.0000185707996783,0.9999985969939991,0.9999962185719669,0.9873983276336851,1.1667200604688947e-12,2.900557282840416e-06,45,5,63.20430425811036
