direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
30.0,0,1,perfect_channel,4,9.727108442777292,0.5,1.0,0.9137315111447597,28.046628360795467
30.0,0,1,perfect_channel,5,9.727108442777292,0.0,1.0,0.3054709601636092,32.52005487756432
30.0,0,1,perfect_channel,6,9.727108442777292,0.5,0.0,0.0019498118138304749,28.45617292198783
30.0,0,1,perfect_channel,7,9.727108442777292,0.0,0.5,0.38846205049322785,27.936224184973888
30.0,0,1,perfect_channel,8,9.727108442777292,0.0,0.0,0.07545811465687491,27.950095826552122
30.0,0,1,perfect_channel,9,9.727108442777292,0.0,0.0,0.002402077381931849,31.000303089436
30.0,0,1,perfect_channel,10,9.727108442777292,0.0,0.0,0.0025072720034490024,28.498473119710436
30.0,0,1,perfect_channel,11,9.727108442777292,0.0,0.0,0.01684408145851626,26.0186391626175
30.0,0,1,tp_uic_full,4,525.2386568300772,0.5,0.5,0.9137315111447597,28.046628360795467
30.0,0,1,tp_uic_full,5,525.2386568300772,0.0,0.0,0.3054709601636092,32.52005487756432
30.0,0,1,tp_uic_full,6,525.2386568300772,0.0,0.0,0.0019498118138304749,28.45617292198783
30.0,0,1,tp_uic_full,7,525.2386568300772,0.5,0.5,0.38846205049322785,27.936224184973888
30.0,0,1,tp_uic_full,8,525.2386568300772,0.0,0.0,0.07545811465687491,27.950095826552122
30.0,0,1,tp_uic_full,9,525.2386568300772,0.0,0.0,0.002402077381931849,31.000303089436
30.0,0,1,tp_uic_full,10,525.2386568300772,0.0,0.0,0.0025072720034490024,28.498473119710436
30.0,0,1,tp_uic_full,11,525.2386568300772,0.0,0.0,0.01684408145851626,26.0186391626175
