direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
40.0,0,0,no_ic,2,1293468.861588269,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,no_ic,3,1293468.861588269,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,no_ic,4,1293468.861588269,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,no_ic,5,1293468.861588269,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,0,perfect_channel,2,6.047275123916654,0.3333333333333333,0.3333333333333333,0.0007266268520227125,35.844706683225
40.0,0,0,perfect_channel,3,6.047275123916654,0.3333333333333333,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,perfect_channel,4,6.047275123916654,0.0,0.6666666666666666,0.013421309496271162,37.97340570756069
40.0,0,0,perfect_channel,5,6.047275123916654,0.0,0.3333333333333333,0.0020879210288738707,42.87735718583812
40.0,0,0,plain_ls,2,1293469.6628942515,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,plain_ls,3,1293469.6628942515,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,plain_ls,4,1293469.6628942515,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,plain_ls,5,1293469.6628942515,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,0,protected_ls,2,1354717.907302768,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,protected_ls,3,1354717.907302768,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,protected_ls,4,1354717.907302768,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,protected_ls,5,1354717.907302768,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,0,tp_uic_full,2,1323949.5553803144,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,tp_uic_full,3,1323949.5553803144,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,tp_uic_full,4,1323949.5553803144,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,tp_uic_full,5,1323949.5553803144,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,1,no_ic,2,41532.23305439636,0.0,0.0,0.007852685642453913,35.772686707340746
40.0,0,1,no_ic,3,41532.23305439636,1.0,1.0,0.3645237554913987,37.558218259357176
40.0,0,1,no_ic,4,41532.23305439636,1.0,1.0,0.9257056839299415,37.98692513146694
40.0,0,1,no_ic,5,41532.23305439636,0.3333333333333333,0.3333333333333333,0.2568918490023661,42.63048404095714
40.0,0,1,perfect_channel,2,4.616276762262066,0.3333333333333333,0.6666666666666666,0.007852685642453913,35.772686707340746
40.0,0,1,perfect_channel,3,4.616276762262066,0.0,0.6666666666666666,0.3645237554913987,37.558218259357176
40.0,0,1,perfect_channel,4,4.616276762262066,0.6666666666666666,1.0,0.9257056839299415,37.98692513146694
40.0,0,1,perfect_channel,5,4.616276762262066,0.3333333333333333,1.0,0.2568918490023661,42.63048404095714
40.0,0,1,plain_ls,2,41532.2437214446,0.0,0.0,0.007852685642453913,35.772686707340746
40.0,0,1,plain_ls,3,41532.2437214446,1.0,1.0,0.3645237554913987,37.558218259357176
40.0,0,1,plain_ls,4,41532.2437214446,1.0,1.0,0.9257056839299415,37.98692513146694
40.0,0,1,plain_ls,5,41532.2437214446,0.3333333333333333,0.3333333333333333,0.2568918490023661,42.63048404095714
40.0,0,1,protected_ls,2,31742.44155432163,0.0,0.0,0.007852685642453913,35.772686707340746
40.0,0,1,protected_ls,3,31742.44155432163,1.0,1.0,0.3645237554913987,37.558218259357176
40.0,0,1,protected_ls,4,31742.44155432163,1.0,1.0,0.9257056839299415,37.98692513146694
40.0,0,1,protected_ls,5,31742.44155432163,0.6666666666666666,0.6666666666666666,0.2568918490023661,42.63048404095714
40.0,0,1,tp_uic_full,2,41530.96036141408,0.0,0.0,0.007852685642453913,35.772686707340746
40.0,0,1,tp_uic_full,3,41530.96036141408,1.0,1.0,0.3645237554913987,37.558218259357176
40.0,0,1,tp_uic_full,4,41530.96036141408,1.0,1.0,0.9257056839299415,37.98692513146694
40.0,0,1,tp_uic_full,5,41530.96036141408,0.3333333333333333,0.3333333333333333,0.2568918490023661,42.63048404095714
40.0,0,2,no_ic,2,18036.47424812861,0.0,0.0,0.038757311970715955,36.08049459029608
40.0,0,2,no_ic,3,18036.47424812861,1.0,1.0,0.9196606754730305,37.82147232849113
40.0,0,2,no_ic,4,18036.47424812861,0.0,0.0,0.027569932085007274,37.969560653962205
40.0,0,2,no_ic,5,18036.47424812861,1.0,1.0,0.047996671644421285,42.75905100071431
40.0,0,2,perfect_channel,2,8.112620789021184,0.3333333333333333,0.0,0.038757311970715955,36.08049459029608
40.0,0,2,perfect_channel,3,8.112620789021184,0.3333333333333333,0.3333333333333333,0.9196606754730305,37.82147232849113
40.0,0,2,perfect_channel,4,8.112620789021184,0.3333333333333333,0.0,0.027569932085007274,37.969560653962205
