direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
40.0,0,0,no_ic,2,1293468.861588269,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,no_ic,3,1293468.861588269,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,no_ic,4,1293468.861588269,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,no_ic,5,1293468.861588269,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,0,perfect_channel,2,6.047275123916654,0.3333333333333333,0.3333333333333333,0.0007266268520227125,35.844706683225
40.0,0,0,perfect_channel,3,6.047275123916654,0.3333333333333333,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,perfect_channel,4,6.047275123916654,0.0,0.6666666666666666,0.013421309496271162,37.97340570756069
40.0,0,0,perfect_channel,5,6.047275123916654,0.0,0.3333333333333333,0.0020879210288738707,42.87735718583812
40.0,0,0,plain_ls,2,1293469.6628942515,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,plain_ls,3,1293469.6628942515,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,plain_ls,4,1293469.6628942515,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,plain_ls,5,1293469.6628942515,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,0,protected_ls,2,1354717.907302768,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,protected_ls,3,1354717.907302768,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,protected_ls,4,1354717.907302768,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,protected_ls,5,1354717.907302768,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,0,0,tp_uic_full,2,1323949.5553803144,0.0,0.0,0.0007266268520227125,35.844706683225
40.0,0,0,tp_uic_full,3,1323949.5553803144,0.0,0.0,0.005815384625467135,37.76393463693525
40.0,0,0,tp_uic_full,4,1323949.5553803144,0.0,0.0,0.013421309496271162,37.97340570756069
40.0,0,0,tp_uic_full,5,1323949.5553803144,0.0,0.0,0.0020879210288738707,42.87735718583812
40.0,2,0,no_ic,2,101607.3068269678,0.0,0.0,0.0007297236952980841,34.89828097874337
40.0,2,0,no_ic,3,101607.3068269678,0.0,0.0,0.0033794010787037234,36.97932066434617
40.0,2,0,no_ic,4,101607.3068269678,0.0,0.0,0.05828599444343249,42.003391323132945
40.0,2,0,no_ic,5,101607.3068269678,0.0,0.0,0.01676492791262679,37.69337706836901
40.0,2,0,perfect_channel,2,8.372300035503589,0.0,0.3333333333333333,0.0007297236952980841,34.89828097874337
40.0,2,0,perfect_channel,3,8.372300035503589,0.3333333333333333,0.0,0.0033794010787037234,36.97932066434617
40.0,2,0,perfect_channel,4,8.372300035503589,0.0,0.3333333333333333,0.05828599444343249,42.003391323132945
40.0,2,0,perfect_channel,5,8.372300035503589,0.0,0.0,0.01676492791262679,37.69337706836901
40.0,2,0,plain_ls,2,101609.22440705818,0.0,0.0,0.0007297236952980841,34.89828097874337
40.0,2,0,plain_ls,3,101609.22440705818,0.0,0.0,0.0033794010787037234,36.97932066434617
40.0,2,0,plain_ls,4,101609.22440705818,0.0,0.0,0.05828599444343249,42.003391323132945
40.0,2,0,plain_ls,5,101609.22440705818,0.0,0.0,0.01676492791262679,37.69337706836901
40.0,2,0,protected_ls,2,93723.62917277133,0.0,0.0,0.0007297236952980841,34.89828097874337
40.0,2,0,protected_ls,3,93723.62917277133,0.0,0.0,0.0033794010787037234,36.97932066434617
40.0,2,0,protected_ls,4,93723.62917277133,0.0,0.0,0.05828599444343249,42.003391323132945
40.0,2,0,protected_ls,5,93723.62917277133,0.0,0.0,0.01676492791262679,37.69337706836901
40.0,2,0,tp_uic_full,2,102145.68560396676,0.0,0.0,0.0007297236952980841,34.89828097874337
40.0,2,0,tp_uic_full,3,102145.68560396676,0.0,0.0,0.0033794010787037234,36.97932066434617
40.0,2,0,tp_uic_full,4,102145.68560396676,0.0,0.0,0.05828599444343249,42.003391323132945
40.0,2,0,tp_uic_full,5,102145.68560396676,0.0,0.0,0.01676492791262679,37.69337706836901
40.0,4,0,no_ic,2,569951.4905532376,0.0,0.0,0.0012112942554992475,46.80013558088732
40.0,4,0,no_ic,3,569951.4905532376,0.0,0.0,0.030224360224073793,40.14587322020002
40.0,4,0,no_ic,4,569951.4905532376,0.0,0.0,0.009230329651200233,39.69466199923439
40.0,4,0,no_ic,5,569951.4905532376,0.0,0.0,0.007398512356661582,47.27329035233869
40.0,4,0,perfect_channel,2,6.9289760560044735,0.0,0.0,0.0012112942554992475,46.80013558088732
40.0,4,0,perfect_channel,3,6.9289760560044735,0.3333333333333333,0.3333333333333333,0.030224360224073793,40.14587322020002
40.0,4,0,perfect_channel,4,6.9289760560044735,0.3333333333333333,1.0,0.009230329651200233,39.69466199923439
40.0,4,0,perfect_channel,5,6.9289760560044735,0.0,0.0,0.007398512356661582,47.27329035233869
