scene,boost_db,pilot_fraction,pilot_rows,sensing_rows,pilot_direct_fraction,oracle_pilot_direct_fraction,self_fit_direct_fraction,posterior_trace,coefficient_error_trace,sensing_target_energy_fraction,output_residual_power,h1_statistic,h0_statistic,oracle_h1_statistic,oracle_h0_statistic
2,10.0,0.125,2048,14336,0.0060307656277934435,0.0008854548278435253,0.000160811462835196,1.4563169657959234,1.0653547227394031e-10,0.8224066403898261,5.977071142491913e-10,5.290198637786187,10.149878178540453,5.287578937407835,10.139147683470092
2,10.0,0.25,4096,12288,0.010532964356511083,0.00014542262593855422,0.00015683316919356863,0.5380595314791331,3.719156810568391e-11,0.5832341468098815,5.393932711012183e-10,5.864045224953148,9.076958087572178,5.849176657327974,9.066982331744999
2,10.0,0.5,8192,8192,0.0013587718968937979,4.683695028394384e-05,0.00014356905228542671,0.1919393859316148,1.2029173517897698e-11,0.3258205057197753,3.23069482192959e-10,6.654365481796068,7.390339197306658,6.654233824835139,7.395276800931101
2,30.0,0.125,2048,14336,0.00019792454820089197,1.2735728611797595e-06,7.61560574304724e-05,0.028748298927414397,2.43215689320768e-10,0.8224066403898261,6.98695353742801e-10,5.28173344094308,10.157566327403009,5.286837768649886,10.1406827810876
2,30.0,0.25,4096,12288,0.00016025523377981486,5.087732724586087e-07,7.661329194301686e-05,0.006869051058760083,4.9436226554689346e-11,0.5832341468098815,5.75349146725039e-10,5.851120158160254,9.099819442041397,5.854364091994156,9.075550846404525
2,30.0,0.5,8192,8192,1.8209903385077822e-05,1.412909074536949e-06,7.077741113538671e-05,0.0020947968563150795,1.3360848211517963e-11,0.3258205057197753,3.250269161744587e-10,6.707661763162971,7.310054735669141,6.6548654064496615,7.414691908505658
2,50.0,0.125,2048,14336,4.6799499177422876e-06,9.682217621514053e-07,7.532535483689831e-05,0.0002913884705236387,2.4710784240895336e-10,0.8224066403898261,9.00429188235553e-10,5.210933539263335,10.248127628094688,5.2754123776021205,10.152936775062653
2,50.0,0.25,4096,12288,1.1285476721666086e-06,5.630762513110862e-07,7.587636856428058e-05,6.89293846062509e-05,4.961297004635035e-11,0.5832341468098815,5.438185518335606e-10,5.876876425916425,9.356756414297806,5.844587333496743,9.108936297200318
2,50.0,0.5,8192,8192,2.0664742576246526e-06,1.3518537520450269e-06,7.005113617351529e-05,2.096516977679149e-05,1.3375189166302927e-11,0.3258205057197753,4.0834506463406257e-10,7.332819265700844,6.751837511634785,6.64307455968482,7.4370634085792116
3,10.0,0.125,2048,14336,0.0010461475750346257,6.096524949306726e-06,0.0007848567118906133,0.2651654043801896,2.937708660811699e-11,0.736878126237174,5.660168450365992e-10,6.291293553154593,9.909109221909375,6.262492237846178,9.866351272204783
