scene,boost_db,n_reference,reference_direct_residual,oracle_reference_direct_residual,self_fit_structural_residual,self_fit_noise_energy,posterior_trace,coefficient_error_trace,oracle_coefficient_relative_error,oracle_coefficient_coherence,dictionary_relative_change,output_residual_power
2,10.0,1,1.3832013438030153e-08,1.3801191155285828e-08,3.7148326861479304e-13,5.434030566345387e-13,0.018682839073950214,5.739198251480123e-13,1.4251132101042527,0.21973266852006332,0.0,1.4487824382495982e-08
2,10.0,2,9.892982204249227e-09,9.87729266697558e-09,3.7099829708812943e-13,5.445983481936647e-13,0.009371873472973916,2.871382596342932e-13,1.3398628502416847,0.5595365610557539,0.0,1.0529050617962183e-08
2,10.0,4,5.1038651202240024e-09,5.112975779801584e-09,3.7103038030172467e-13,5.444053554876059e-13,0.004689423737191971,1.4361397485154443e-13,0.9872094565180113,0.21121091439689782,0.0,5.739175000356919e-09
2,30.0,1,1.3804616203624071e-06,1.3801582533599644e-06,3.7106066023746564e-11,5.455841472130524e-13,0.00018762762539513585,5.746283588774986e-13,1.424322302613864,0.2200470468518692,0.0,1.3813442123262317e-06
2,30.0,2,9.878943021784984e-07,9.877396747112008e-07,3.7088501433864036e-11,5.456121764597689e-13,9.397339890189092e-05,2.873159733403377e-13,1.3401049096887856,0.5597396292691263,0.0,9.885817714903501e-07
2,30.0,4,5.112055045491655e-07,5.112979927096154e-07,3.7088117391220535e-11,5.457166897295539e-13,4.699697817722274e-05,1.4365843657551961e-13,0.987272868161814,0.21099356619514545,0.0,5.118853961532237e-07
2,50.0,1,0.00013801889384546586,0.0001380158650511554,3.7102997904229714e-09,5.456884981134567e-13,1.8765488558738162e-06,5.74635474822264e-13,1.4242337060713073,0.22017881065167744,0.0,0.00013802204423385634
2,50.0,2,9.877552196311376e-05,9.87739779514708e-05,3.7087967003901352e-09,5.456022127119377e-13,9.398549332441584e-07,2.8731775535304627e-13,1.3400815631708358,0.5597125952311072,0.0,9.877672344422731e-05
2,50.0,4,5.112887340353942e-05,5.112979966574485e-05,3.7087153323310802e-09,5.457357107041358e-13,4.7003868194577266e-07,1.436588821760788e-13,0.9872803625763061,0.21097121633305677,0.0,5.112999910845518e-05
3,10.0,1,4.6750302862534896e-08,4.679326512018443e-08,7.2375818398457285e-12,4.810634381135533e-13,0.006323422267374575,5.743933024969281e-13,1.4850920014822022,0.143628313745953,0.0,4.746582378995131e-08
3,10.0,2,1.8824529437498347e-08,1.882356587215633e-08,7.237567527526513e-12,4.813361765668768e-13,0.003163963477054558,2.872571691594385e-13,0.9903826485438629,0.34506005362892866,0.0,1.9495809350699625e-08
3,10.0,4,3.295715102532589e-08,3.297695148889864e-08,7.23768753650928e-12,4.812917065298866e-13,0.0015831684800104821,1.4364372426300708e-13,1.280071533009309,0.39800544958745004,0.0,3.361455016312515e-08
3,30.0,1,4.678934804995755e-06,4.6793686648725755e-06,7.237460469569941e-10,4.817460444400582e-13,6.329073447928376e-05,5.746331221039882e-13,1.485267032196644,0.14398608890679343,0.0,4.680460355883181e-06
3,30.0,2,1.8823673934666387e-06,1.8823605024448533e-06,7.237513055190697e-10,4.817790930818292e-13,3.165465934044393e-05,2.873171670257696e-13,0.9904804856420996,0.3448080610036594,0.0,1.883447994544604e-06
3,30.0,4,3.2974999985052517e-06,3.2976993709924624e-06,7.23763147656885e-10,4.817326966458777e-13,1.5832682160756383e-05,1.4365873504406077e-13,1.2800729835339466,0.39810761740695455,0.0,3.2984429356325727e-06
3,50.0,1,0.000467932565985749,0.00046793690880114183,7.237453772137684e-08,4.817726553606164e-13,6.329126833588611e-07,5.746355224647614e-13,1.4852769363404503,0.14400928210501096,0.0,0.00046794219181567483
3,50.0,2,0.00018823612032153517,0.00018823605416013636,7.237510393188647e-08,4.817818014288863e-13,3.1654886867589283e-07,2.8731776729217864e-13,0.9904889000035058,0.34478829151182344,0.0,0.00018824129413179513
3,50.0,4,0.0003297679462669405,0.0003297699413592909,7.237627583147443e-08,4.817350698741198e-13,1.5832461935536016e-07,1.4365888516144452e-13,1.280074804403701,0.3981171853073428,0.0,0.00032977174457941556
4,10.0,1,1.2581777255687617e-08,1.2566710491783342e-08,6.834896439800925e-12,9.625387223668702e-13,0.049136399028645195,5.727531786097569e-13,1.2702466778458545,0.7255511405696999,0.0,1.3243967960200922e-08
4,10.0,2,1.3367165603559019e-08,1.3382262392296599e-08,6.83476710942674e-12,9.605556667052643e-13,0.024806223505651523,2.868426220953154e-13,1.1610840056116605,0.6260191984638984,0.0,1.4018434713216842e-08
4,10.0,4,7.643065821404038e-09,7.658556067454375e-09,6.834730551278885e-12,9.5968806554018e-13,0.012468101020957502,1.4353947644364818e-13,0.9583285488472468,0.6527383824696058,0.0,8.291571152835347e-09
4,30.0,1,1.2568466874695405e-06,1.256702035045148e-06,6.834673891992657e-10,9.624819377833436e-13,0.00049999704523698,5.746163923060025e-13,1.2737927978221006,0.7266475818558081,0.0,1.2577582628141798e-06
4,30.0,2,1.3380809088797425e-06,1.3382350739036935e-06,6.834671862982602e-10,9.621740389573788e-13,0.00025020664126571603,2.87312980767853e-13,1.1623021979701256,0.6259806917164545,0.0,1.3388877994556994e-06
4,30.0,4,7.656994148893345e-07,7.658558797635772e-07,6.834670615188901e-10,9.619785515078185e-13,0.00012509798521083212,1.4365768858194082e-13,0.9582019876360477,0.6529054346061829,0.0,7.664757298781554e-07
4,50.0,1,0.0001256716747600917,0.00012567023434164535,6.834672704469106e-08,9.622908605304634e-13,5.0022194211475305e-06,5.746353550808333e-13,1.2739200925766314,0.7267092294171666,0.0,0.00012567508018212416
4,50.0,2,0.00013382197132416913,0.0001338235161988365,6.83467137083123e-08,9.621489780843745e-13,2.5026067745289752e-06,2.873177254192874e-13,1.1623684957192477,0.6259914462879845,0.0,0.00013382433442702408
4,50.0,4,7.658402203536873e-05,7.6585588249136e-05,6.834670482848929e-08,9.620196282233574e-13,1.2509895051661816e-06,1.4365887469671002e-13,0.9581928505552705,0.652921076972693,0.0,7.658607643829391e-05
5,10.0,1,1.344547191014798e-08,1.3460551732753947e-08,7.61542924678884e-12,4.1534947887647197e-13,0.012051737472431856,5.741738562609582e-13,1.4435095234683906,0.1081624931424954,0.0,1.412841355950267e-08
5,10.0,2,1.360714157483988e-08,1.3613818458650128e-08,7.608720075029945e-12,4.124156298281776e-13,0.006025673564982865,2.872023544814156e-13,1.3208567385805,0.17310060398544974,0.0,1.425780155759951e-08
5,10.0,4,1.5081041216347704e-08,1.508279966645119e-08,7.61965261995292e-12,4.142944368173594e-13,0.0030128448078088716,1.4363003188237386e-13,1.3977241235919557,0.40371469706763957,0.0,1.5722680703190512e-08
5,30.0,1,1.3459481898842297e-06,1.346104186185839e-06,7.613191952200003e-10,4.153802947658762e-13,0.00012081918236166209,5.746309182445726e-13,1.444849769249202,0.10832913604812047,0.0,1.3470884428135726e-06
5,30.0,2,1.3613258446613328e-06,1.3613964263170139e-06,7.609402330587727e-10,4.13041981630657e-13,6.0327552228726486e-05,2.873166178103255e-13,1.3204930546272895,0.17333576660751554,0.0,1.3621455019054236e-06
5,30.0,4,1.5082694030727844e-06,1.5082887977898903e-06,7.618182506468961e-10,4.1417614372304964e-13,3.0147151597708936e-05,1.436585979506767e-13,1.3976790394321998,0.4043290342181286,0.0,1.5089961226100194e-06
5,50.0,1,0.0001346089071998438,0.00013461047233222432,7.613042271187598e-08,4.1532344166869096e-13,1.2082742979245263e-06,5.746355004232069e-13,1.4449602601544083,0.10829987539029072,0.0,0.00013461462054773366
5,50.0,2,0.00013613894659912255,0.0001361396562080365,7.609527910042693e-08,4.130444740054755e-13,6.032927156880874e-07,2.873177617997349e-13,1.3204541952036923,0.1733474960187462,0.0,0.00013614145621987218
5,50.0,4,0.00015082869704851793,0.00015082889280509996,7.61807405827818e-08,4.1410367493075424e-13,3.0147667379524183e-07,1.4365888379043845e-13,1.397679500673428,0.4043740330080138,0.0,0.00015083027457758353
