split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,raw_stat_h0,raw_stat_h1,target_direction_inflation_h0,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,glrt_neighbourhood_size,glrt_selected_offset_delay,glrt_selected_offset_doppler,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,30.0,tp_uic_full,tp_uic_full,0.058888904101400054,35.57399055792278,0,1,5.072884248508819,8.276602692976109,5.072884248508819,8.276602692976109,1.0145768497017638,16430.476050254376,1.0028366729891587,10,0.9986333029092919,5.014439773710132,9,-0.25,-0.25,29.72747657804852,29.72806334296655,2.2652713056896455e-06,2.4119736889523373e-09,2.4116478349521447e-09,3.258540001925731e-13,0.9819539510478503,0.9862978168114668,0.9915874761985584,0.9708737908208194,0.0815122166048297,2.2088950261909873e-13,7.135848617479474e-05,15,15,36.22933403570961
calibration,0,0,1,0,30.0,tp_uic_full,tp_uic_full,0.031386980515743026,35.760426477169595,0,1,10.014945078081105,15.457291713049905,10.014945078081105,15.457291713049905,2.002989015616221,16244.763977724295,0.9915017076247739,10,0.9998136047461903,1.7089126690303482,9,0.0,-0.25,31.148532671821627,31.149847284292207,2.3646333787445775e-06,1.815141760224163e-09,1.8145923986788778e-09,5.493615452853041e-13,0.9993109103084538,0.9898171675428205,0.9951491542552288,0.9946899647097803,0.1089601293193698,8.627027643668229e-14,3.529185110606987e-05,15,15,34.99464471588487
calibration,0,1,0,0,30.0,tp_uic_full,tp_uic_full,0.007802448727869588,33.56845930568157,0,1,6.753261917153198,10.630221278582091,6.753261917153198,10.630221278582091,1.3506523834306396,16364.655371513472,0.9988192975777266,10,0.9939036742954742,6.8160693183223655,9,0.0,-0.25,25.168384926667162,25.168918849553286,1.427470357528988e-06,4.342387800758574e-09,4.341853979167198e-09,5.33821591376149e-13,0.9969038038016814,0.9978058332681353,0.9960821333843262,0.9942821120306857,0.14869263096332955,2.0202746413361226e-13,4.052317963496232e-05,15,15,38.78307365957384
calibration,0,1,1,0,30.0,tp_uic_full,tp_uic_full,0.001755088379953487,34.09182077311354,0,1,13.152246240478043,8.105312106407847,13.152246240478043,8.105312106407847,2.6304492480956085,16289.906198925544,0.9942569701492642,10,0.9999268405707382,1.4047948760792874,9,0.0,0.25,28.248594061465994,28.249467181846914,1.6102868460002389e-06,2.4101487050261355e-09,2.4096642092463298e-09,4.844957798057559e-13,0.9994857372761965,0.9982969843573624,0.9995877254993163,0.9983739051204286,0.1350166642959686,5.209354407468e-14,1.7139603155300102e-05,15,15,36.2262017063932
calibration,0,2,0,0,30.0,tp_uic_full,tp_uic_full,0.0024346524975023603,28.25397611923502,0,1,9.705308790273584,12.144452814667243,9.705308790273584,12.144452814667243,1.9410617580547167,16537.183245469696,1.009349563322125,10,0.8531020598237047,2.1352022145852247,9,0.0,-0.25,26.245075044801073,26.247227717955703,4.198738041433239e-07,9.968074505944864e-10,9.963134841706494e-10,4.939664238370917e-13,0.9990596951427194,0.9987752777244819,0.9992199371000423,0.9970165992423882,0.30737448316343485,1.22035753069128e-13,7.505312493564871e-05,15,15,32.39212844598565
calibration,0,2,1,0,30.0,tp_uic_full,tp_uic_full,0.0030698318689354382,29.928380343424394,0,1,3.946746803215595,6.143616168525922,3.946746803215595,6.143616168525922,0.789349360643119,16407.49564235434,1.0014340602022913,10,0.99991465768128,2.4978934549174503,9,0.25,-0.25,25.875333708282568,25.8767739690065,6.173894477124801e-07,1.5959740717670157e-09,1.5954448829880252e-09,5.291887789906072e-13,0.9989016740878713,0.9991742790307974,0.9994500712102287,0.9955076849128301,0.25722424917917236,7.877229686902054e-14,3.5386194242153066e-05,15,15,34.43628525835875
test,1,0,0,0,30.0,tp_uic_full,tp_uic_full,0.009179182024153227,33.57348578174103,0,1,4.43596438524253,7.158179581412509,4.43596438524253,7.158179581412509,0.8871928770485059,16276.573920348494,0.9934432324431454,10,0.9969225409192819,0.15346367573439415,9,0.25,-0.25,28.671387369805426,28.672942305688082,1.4291234523059402e-06,1.9405775783772043e-09,1.9398829037460655e-09,6.946746311390189e-13,0.998015909063452,0.9991194010663065,0.9978010080169794,0.9963890367256474,0.2443998196650037,5.216225179968971e-15,2.0270263859846827e-06,14,15,35.285319619475445
test,1,0,1,0,30.0,tp_uic_full,tp_uic_full,0.0007631681016433135,33.98105769744808,1,1,6.125815416074279,5.663710994725858,6.125815416074279,5.663710994725858,1.225163083214856,16126.725921790361,0.9842972364374,10,0.9980078999364125,0.06920434371507422,9,0.0,-0.25,32.34790097250608,32.35053699487473,1.5697371542297078e-06,9.141907874965497e-10,9.136360726035353e-10,5.547148930143759e-13,0.9997390592698212,0.9990391924667884,0.9999371487829729,0.9995760218065787,0.13483057433131593,1.7455725762001286e-15,1.1318361491403661e-06,14,15,32.016393824023574
test,1,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0005067671656380396,33.82290940097043,0,1,6.944999489693535,7.115196074490833,6.944999489693535,7.115196074490833,1.388999897938707,16483.86829870038,1.0060954772155994,10,0.9940110179916372,0.14532022994726027,9,-0.25,0.25,29.856042093511835,29.85838448318551,1.5136034469941755e-06,1.5646164742952692e-09,1.5637728178707798e-09,8.436564244893505e-13,0.9998982503626396,0.9983433897081966,0.9999188254883238,0.9995913252219425,0.22080623662711102,5.8356359043638005e-15,2.661641829097183e-06,15,15,34.35001773786584
test,1,1,1,0,30.0,tp_uic_full,tp_uic_full,0.0029128770000356654,34.29002888200393,1,1,7.071757630737578,9.223377657217391,7.071757630737578,9.223377657217391,1.4143515261475155,16096.004885369483,0.9824221731792897,10,0.9855058359326053,0.061779929804920745,9,-0.25,0.0,34.70615481307867,34.70912049019019,1.6854817568139865e-06,5.703068328374319e-10,5.699175189879927e-10,3.893138494392522e-13,0.9994290339713876,0.9986974050442295,0.9994028321142274,0.9992630152310032,0.1820656481017517,2.2878225878189918e-15,1.90867168967962e-06,15,15,29.967029554572633
