split,scene_id,boost_db,receiver,target,two_cpi_h1,two_cpi_h0,perfect_two_cpi_h1,perfect_two_cpi_h0,crossfit_map_h1,crossfit_map_h0
train,0,10.0,0,0,25.966224041356842,12.145515730478444,25.0010069770401,12.55527089036402,25.613722107792796,12.32613429323741
train,0,10.0,0,1,23.97103322469397,9.52139656823974,24.89014037349726,9.72405767451361,24.367775623167894,9.572180009977956
train,0,10.0,0,2,16.10632967153007,12.787218310251628,23.742880709164474,10.325185780250754,12.020669504900063,9.313307625064283
train,0,10.0,1,0,30.55839145294169,16.988021486773018,34.232812634184356,20.56871353777963,30.887137201214706,17.128170733591567
train,0,10.0,1,1,19.831584926681778,17.48684106663241,21.176960344299225,14.631845284850328,21.43668593226884,16.104704512182494
train,0,10.0,1,2,27.617424262397655,14.350368790886638,39.67835228466434,15.488493622384645,25.010336216936494,15.092956645527664
train,0,10.0,2,0,14.983042110168295,15.527799215383116,18.535302912950687,11.321113291966107,15.095509536632449,14.448691207874699
train,0,10.0,2,1,16.303157360775945,11.53638620084853,15.7069270028183,8.856754617794657,15.736381348823798,11.268479523415383
train,0,10.0,2,2,68.64621132039068,12.618648746547777,67.93891146113614,14.738978038089574,68.74990362807691,12.657962796987448
train,0,10.0,3,0,10.481519796521665,12.24995752263656,13.133924206308688,13.207187469519765,10.316741978053916,12.452378872993865
train,0,10.0,3,1,19.468456905969372,12.748823739228428,17.411627944470514,14.55346125639888,15.199822759743853,14.271355755722235
train,0,10.0,3,2,12.159563347487545,11.504544694249464,15.86150878603757,13.974464784070939,12.588502173943178,12.050004356463376
train,0,30.0,0,0,29.27610285202104,10.40244631183238,24.943519113312384,11.213707176813616,28.935620186228522,10.52800119444199
train,0,30.0,0,1,17.714314642837902,9.907771668729158,18.730746034055283,10.357550772004517,17.661189134149982,10.153919020577868
train,0,30.0,0,2,21.452151473159567,14.132292503729413,41.91029719823176,21.257270687766045,14.133036992138726,9.773894973810261
train,0,30.0,1,0,18.145391902027228,15.709177684451781,41.36013128990169,16.630944763520638,21.500977431209666,15.690305162725394
train,0,30.0,1,1,22.332133740273278,16.940778459775157,27.70064601749535,13.016632608723011,22.108304659208606,17.85988356925251
train,0,30.0,1,2,13.12543526829916,13.13004736894409,20.096298365906687,15.944496440119654,13.958651403575814,13.10903352383958
train,0,30.0,2,0,98.23055485153985,89.23064388393888,23.608409149954348,11.467346024929373,12.818834815529033,10.543345640720528
train,0,30.0,2,1,14.235591966137786,13.299122730366717,13.6309066933328,13.837326931639303,14.330810128842424,13.49695843026699
train,0,30.0,2,2,64.83414328695339,12.521207382098542,71.31120524527722,17.136134792947836,63.76596285722106,11.553992371039136
train,0,30.0,3,0,18.464805871745675,10.735579470043913,19.39453976697565,14.243991958060837,18.206612613708558,11.877726649881591
train,0,30.0,3,1,10.035492669637511,12.18514356329348,7.784676881136058,10.081640468064188,7.130794929336938,10.618568329294629
train,0,30.0,3,2,15.857323148051918,11.360247935794941,15.12694602372331,15.00936189007113,15.9646318549681,11.72783048867043
train,0,50.0,0,0,76.80663828915826,47.74474326227099,45.40745782087133,10.143618036989643,41.024290127661686,10.533174013076263
train,0,50.0,0,1,16.710341183152515,15.53100184342313,14.326297315294987,15.284453024587378,15.483940483059028,14.147128287431963
train,0,50.0,0,2,15.282144347883634,20.181727603761363,25.417782635642965,20.833586334133656,12.63246697744729,13.072946873860776
train,0,50.0,1,0,53.78564082628645,38.4555341336726,35.80539541011864,12.51056683872032,23.220010359152752,10.587462929048524
train,0,50.0,1,1,12.399638156206375,14.934850566945478,27.012729477349374,16.052621310955345,16.94180013878282,15.699169632551403
train,0,50.0,1,2,28.947168007150857,21.223201641500825,30.710988383607088,14.008193353109315,22.564639025379,15.827611039801942
train,0,50.0,2,0,31.501746043441603,12.219335210386795,30.565817392497994,10.573540723357022,24.666405548624546,9.683552207561874
train,0,50.0,2,1,27.706728579654364,27.189344763140976,18.71633327926758,11.312899142277745,20.324390923441605,15.114369984543558
train,0,50.0,2,2,100.88141379609576,49.572245268523346,67.70331276156429,9.435404156749954,60.50242195069461,10.595081738897306
train,0,50.0,3,0,12.990024709504059,8.449344840949653,14.383810773070767,9.529421776143204,13.720266702385876,8.843759070794363
