scene,boost_db,held_index,dimension,exceptional_rank,mean,std,cv,effective_shape,skewness,probability_above_mean,mean_positive_excess,positive_excess_over_mean,q90_over_mean,q95_over_mean,q99_over_mean
2,10.0,0,16384,60,6.254411675672767e-10,4.894702657882224e-12,0.007826000128710294,16327.522788601947,0.01565281151526506,0.49769,1.956581528305355e-12,0.00312832226237313,1.0100805388282172,1.0129422968037234,1.0183590603680974
2,10.0,1,16384,60,6.254409784175752e-10,4.894702272351336e-12,0.00782600187908281,16327.515484937981,0.01565281386043493,0.49908,1.9553017147855947e-12,0.0031262769505968294,1.010031906886414,1.012909292825843,1.0183105282758054
2,30.0,0,16384,60,6.254413603771007e-10,4.8947034762838995e-12,0.007825999024645107,16327.52739546446,0.01565280755783104,0.4972,1.946673438003716e-12,0.0031124795405759508,1.0100522829259757,1.012964703866896,1.018242506526333
2,30.0,1,16384,60,6.254412050222045e-10,4.894703133213879e-12,0.007826000420039652,16327.521572990807,0.015652809582089276,0.49795,1.9480392879731653e-12,0.0031146641320250173,1.0099762587418066,1.0128527433074663,1.0184518051087246
2,50.0,0,16384,60,6.254413804285728e-10,4.89470355997637e-12,0.007825998907559265,16327.527884021216,0.015652807152549842,0.49917,1.9510300221864554e-12,0.0031194450563049505,1.01004456561669,1.012955618483911,1.0184068461502276
2,50.0,1,16384,60,6.254412280692867e-10,4.8947032201519255e-12,0.007826000270659625,16327.522196299158,0.015652809149735034,0.5008,1.9598104806007767e-12,0.0031334846387575653,1.0100469377826369,1.012906691343161,1.0183986112916068
3,10.0,0,16384,60,6.254166871080797e-10,4.894712777631516e-12,0.007826322639814132,16326.177150518319,0.01565301798087662,0.50144,1.9677215329963175e-12,0.0031462568453282584,1.01007254847931,1.0129243112477277,1.0184664798582568
3,10.0,1,16384,60,6.254167076093695e-10,4.894712822445391e-12,0.007826322454920074,16326.177921918472,0.01565301763558324,0.49878,1.9476308140669268e-12,0.0031141330098322256,1.0099949981089913,1.0128727734167542,1.0183237803079264
3,30.0,0,16384,60,6.254165476949274e-10,4.8947122404184284e-12,0.007826323525430647,16326.173455620903,0.01565301977147058,0.50123,1.973344325792794e-12,0.0031552480232028873,1.0101401573068862,1.0129912310024678,1.0183677383470424
3,30.0,1,16384,60,6.254168171781633e-10,4.894713232065003e-12,0.00782632173875593,16326.180909841576,0.015653016277474695,0.49867,1.949513293426947e-12,0.0031171424238686353,1.0100338856946391,1.0129467235242622,1.0184564698336678
3,50.0,0,16384,60,6.254165337702008e-10,4.894712186713395e-12,0.007826323613810757,16326.17308688864,0.015653019950263167,0.49983,1.943335981697253e-12,0.0031072667202803766,1.009960350438513,1.0127598506458766,1.0182496283657683
