split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,0.0,no_ic,0.0017895041784108192,2.3527142142684463,1,3,2.7091981101685754,4.12457465486522,10,0.9988303849532787,0.0,0.0,1.0789283118044116e-09,1.0789283118044116e-09,1.0789283118044116e-09,0.0,1.0,1.0,1.0,1.0,0.8974667156113035,0,5,0.0
calibration,0,0,0,0,0.0,plain_ls,0.0017895041784108192,2.3527142142684463,1,3,2.710543377700897,4.1243983267393505,10,0.9988302969436984,15.207546049124812,15.231162578670164,1.0789283118044116e-09,3.252654874082958e-11,3.235015244538785e-11,1.7639629544173432e-13,0.9999103295516527,0.9985362436621894,0.9999723527010458,0.9987388132727173,0.8974667156113035,0,5,22.303799136336394
calibration,0,0,0,0,0.0,protected_ls,0.0017895041784108192,2.3527142142684463,1,3,2.489742549840221,4.281762795524521,10,0.9984292043967298,13.788495703390778,13.805628002809216,1.0789283118044116e-09,4.509651890690735e-11,4.4918969988789064e-11,1.775489181182798e-13,0.999897257782859,0.9998723761669239,1.0,0.9987242410293219,0.8974667156113035,45,5,5.124382096387694
calibration,0,0,0,0,0.0,tp_uic_full,0.0017895041784108192,2.3527142142684463,1,3,2.7103803425095516,4.124480676743592,10,0.9988312945161364,15.207075257798149,15.231126934191648,1.0789283118044116e-09,3.2530074930478863e-11,3.2350417958557804e-11,1.7965697192105696e-13,0.9999291360792819,0.9991011887165984,1.0000011330212943,0.9987451412156594,0.8974667156113035,45,5,22.291939787054176
calibration,0,0,0,0,0.0,perfect_channel,0.0017895041784108192,2.3527142142684463,1,3,2.7073816417293424,4.144474626632997,10,0.9988430977670611,inf,inf,1.0789283118044116e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8974667156113035,0,5,nan
calibration,0,0,0,1,0.0,no_ic,0.0017500313142839769,2.0764343320080805,1,3,1.1110926739053415,3.46601707205807,10,0.9988464329287197,0.0,0.0,1.0124290573745516e-09,1.0124290573745516e-09,1.0124290573745516e-09,0.0,1.0,1.0,1.0,1.0,0.9105809611332912,0,5,0.0
calibration,0,0,0,1,0.0,plain_ls,0.0017500313142839769,2.0764343320080805,1,3,1.1114778682353186,3.4652675725986937,10,0.9988464699576702,12.406160561749948,12.430032025092126,1.0124290573745516e-09,5.817662796110869e-11,5.785773109616572e-11,3.1889686494297367e-13,0.9998648300622033,0.9993208966569654,0.9999788991217595,0.999700473129269,0.9105809611332912,0,5,24.828915184116486
calibration,0,0,0,1,0.0,protected_ls,0.0017500313142839769,2.0764343320080805,1,3,1.1077558182532925,3.359335082039238,10,0.9986836119110619,11.78632126606444,11.807047769822976,1.0124290573745516e-09,6.710153801067585e-11,6.67820619654065e-11,3.194760452693534e-13,0.9999409157870723,0.9999751333806187,1.0,0.9997552474661224,0.9105809611332912,45,5,6.9742345466223234
calibration,0,0,0,1,0.0,tp_uic_full,0.0017500313142839769,2.0764343320080805,1,3,1.1115224121609668,3.465320719382796,10,0.9988466349498817,12.405831595156528,12.430019010304996,1.0124290573745516e-09,5.818103485384293e-11,5.785790448247703e-11,3.231303713658992e-13,0.9998771970505912,0.9996424717087072,1.000000497049636,0.9997098889366021,0.9105809611332912,45,5,24.816722606244355
calibration,0,0,0,1,0.0,perfect_channel,0.0017500313142839769,2.0764343320080805,1,3,1.1837090542796682,3.475278205872506,10,0.9988430977670611,inf,inf,1.0124290573745516e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9105809611332912,0,5,nan
