direct_gain_boost_db,receiver,target,arm,threshold,empirical_pfa,pfa_ci95_low,pfa_ci95_high,empirical_pd,pd_ci95_low,pd_ci95_high,auc,n_cal_h0,n_test_h0,n_test_h1,median_conflict_index,median_direct_inr_db,median_kappa_accounted_db,median_kappa_structural_db,median_eta_survive_q,median_eta_survive_risk_q,median_identifiable_fraction,median_protect_dim
0.0,0,0,no_ic,126.44655655528689,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.66015625,16,16,16,0.0032545020529896754,-3.0179786742631016,0.0,0.0,1.0,1.0,0.9850701401774484,0.0
0.0,0,0,perfect_channel,9.36245967562312,0.0,0.0,0.1936076805344365,0.0625,0.01111934476464252,0.28328737570298945,0.65234375,16,16,16,0.0032545020529896754,-3.0179786742631016,nan,nan,1.0,1.0,0.9850253219577044,0.0
0.0,0,0,plain_ls,126.86595741962815,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.66015625,16,16,16,0.0032545020529896754,-3.0179786742631016,12.931969802791862,12.995919610798484,0.9997758192264714,0.9993749417550495,0.9850664111855942,0.0
0.0,0,0,protected_ls,140.49821750505345,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.63671875,16,16,16,0.0032545020529896754,-3.0179786742631016,8.131886850310014,8.143232922121216,0.9999960790630315,0.9993832356334251,0.9832095605754628,45.0
0.0,0,0,ridge_ls,126.86551048719875,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.66015625,16,16,16,0.0032545020529896754,-3.0179786742631016,12.93206839645405,12.995888389560733,0.9997758195398601,0.999374942667538,0.9850663845879812,0.0
0.0,0,0,tp_uic_full,129.19924672294297,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.66015625,16,16,16,0.0032545020529896754,-3.0179786742631016,12.7824455604834,12.828401451553383,0.9999948549329231,0.9999790757545535,0.9849272346254672,45.0
0.0,0,0,tp_uic_stage1,140.50367328256308,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.63671875,16,16,16,0.0032545020529896754,-3.0179786742631016,8.131879651731104,8.143161753567746,0.9999960795429808,0.9993833304375677,0.9832096843846612,45.0
20.0,0,0,no_ic,12877.09412194486,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.5625,16,16,16,0.003254502052989672,16.982021325736902,0.0,0.0,1.0,1.0,0.9850697783418201,0.0
20.0,0,0,perfect_channel,9.362459675623118,0.0,0.0,0.1936076805344365,0.0625,0.01111934476464252,0.28328737570298945,0.65234375,16,16,16,0.003254502052989672,16.982021325736902,nan,nan,1.0,1.0,0.9850253219577044,0.0
20.0,0,0,plain_ls,12877.607262061269,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.5625,16,16,16,0.003254502052989672,16.982021325736902,12.99527510979689,12.995919610798483,0.9997758192264714,0.9993749417550495,0.9850664111855941,0.0
20.0,0,0,protected_ls,13565.14862204058,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.51171875,16,16,16,0.003254502052989672,16.982021325736902,8.143119313221113,8.143232922121216,0.9999960790630315,0.9993832356334251,0.9824351392153832,45.0
20.0,0,0,ridge_ls,12877.607184727804,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.5625,16,16,16,0.003254502052989672,16.982021325736902,12.995275119831804,12.99591960767047,0.9997758192265025,0.9993749417551407,0.985066410917392,0.0
20.0,0,0,tp_uic_full,13175.755328238414,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.55859375,16,16,16,0.003254502052989672,16.982021325736902,12.830023533447378,12.830486617834012,0.9999948542694705,0.9999790778439436,0.9849272443994845,45.0
20.0,0,0,tp_uic_stage1,13565.148742595728,0.0,0.0,0.1936076805344365,0.0,0.0,0.1936076805344365,0.51171875,16,16,16,0.003254502052989672,16.982021325736902,8.143119312430194,8.1432329148152,0.9999960790630809,0.9993832356431678,0.982435139519003,45.0
