split,scene_id,boost_db,receiver,target,two_cpi_h1_statistic,two_cpi_h1_raw_statistic,two_cpi_h1_whitened_residual_power,two_cpi_h1_glrt_residual_power,two_cpi_h1_rho_weighted,two_cpi_h1_xi_rel_q,two_cpi_h1_i_res,two_cpi_h1_i_res_structural,two_cpi_h1_i_res_pred,two_cpi_h1_eta_survive_q,two_cpi_h1_eta_survive_risk_q,two_cpi_h1_elapsed_seconds,two_cpi_h1,two_cpi_h0_statistic,two_cpi_h0_raw_statistic,two_cpi_h0_whitened_residual_power,two_cpi_h0_glrt_residual_power,two_cpi_h0_rho_weighted,two_cpi_h0_xi_rel_q,two_cpi_h0_i_res,two_cpi_h0_i_res_structural,two_cpi_h0_i_res_pred,two_cpi_h0_eta_survive_q,two_cpi_h0_eta_survive_risk_q,two_cpi_h0_elapsed_seconds,two_cpi_h0,perfect_two_cpi_h1_statistic,perfect_two_cpi_h1_raw_statistic,perfect_two_cpi_h1_whitened_residual_power,perfect_two_cpi_h1_glrt_residual_power,perfect_two_cpi_h1_rho_weighted,perfect_two_cpi_h1_xi_rel_q,perfect_two_cpi_h1_i_res,perfect_two_cpi_h1_i_res_structural,perfect_two_cpi_h1_i_res_pred,perfect_two_cpi_h1_eta_survive_q,perfect_two_cpi_h1_eta_survive_risk_q,perfect_two_cpi_h1_elapsed_seconds,perfect_two_cpi_h1,perfect_two_cpi_h0_statistic,perfect_two_cpi_h0_raw_statistic,perfect_two_cpi_h0_whitened_residual_power,perfect_two_cpi_h0_glrt_residual_power,perfect_two_cpi_h0_rho_weighted,perfect_two_cpi_h0_xi_rel_q,perfect_two_cpi_h0_i_res,perfect_two_cpi_h0_i_res_structural,perfect_two_cpi_h0_i_res_pred,perfect_two_cpi_h0_eta_survive_q,perfect_two_cpi_h0_eta_survive_risk_q,perfect_two_cpi_h0_elapsed_seconds,perfect_two_cpi_h0,crossfit_map_h1_statistic,crossfit_map_h1_raw_statistic,crossfit_map_h1_whitened_residual_power,crossfit_map_h1_glrt_residual_power,crossfit_map_h1_rho_weighted,crossfit_map_h1_xi_rel_q,crossfit_map_h1_i_res,crossfit_map_h1_i_res_structural,crossfit_map_h1_i_res_pred,crossfit_map_h1_eta_survive_q,crossfit_map_h1_eta_survive_risk_q,crossfit_map_h1_elapsed_seconds,crossfit_map_h1_gn_initial_cost,crossfit_map_h1_gn_final_cost,crossfit_map_h1_gn_nfev,crossfit_map_h1_gn_optimality,crossfit_map_h1_gn_active_bound_count,crossfit_map_h1_heldout_residual_power_raw,crossfit_map_h1_heldout_residual_power_noise_corrected,crossfit_map_h1_oracle_initial_delay_rmse,crossfit_map_h1_oracle_final_delay_rmse,crossfit_map_h1_oracle_initial_doppler_rmse,crossfit_map_h1_oracle_final_doppler_rmse,crossfit_map_h1_oracle_component_direct,crossfit_map_h1_oracle_component_target,crossfit_map_h1_oracle_component_noise,crossfit_map_h1_oracle_component_cross,crossfit_map_h1_oracle_component_total,crossfit_map_h1_oracle_component_closure_error,crossfit_map_h1,crossfit_map_h0_statistic,crossfit_map_h0_raw_statistic,crossfit_map_h0_whitened_residual_power,crossfit_map_h0_glrt_residual_power,crossfit_map_h0_rho_weighted,crossfit_map_h0_xi_rel_q,crossfit_map_h0_i_res,crossfit_map_h0_i_res_structural,crossfit_map_h0_i_res_pred,crossfit_map_h0_eta_survive_q,crossfit_map_h0_eta_survive_risk_q,crossfit_map_h0_elapsed_seconds,crossfit_map_h0_gn_initial_cost,crossfit_map_h0_gn_final_cost,crossfit_map_h0_gn_nfev,crossfit_map_h0_gn_optimality,crossfit_map_h0_gn_active_bound_count,crossfit_map_h0_heldout_residual_power_raw,crossfit_map_h0_heldout_residual_power_noise_corrected,crossfit_map_h0_oracle_initial_delay_rmse,crossfit_map_h0_oracle_final_delay_rmse,crossfit_map_h0_oracle_initial_doppler_rmse,crossfit_map_h0_oracle_final_doppler_rmse,crossfit_map_h0_oracle_component_direct,crossfit_map_h0_oracle_component_target,crossfit_map_h0_oracle_component_noise,crossfit_map_h0_oracle_component_cross,crossfit_map_h0_oracle_component_total,crossfit_map_h0_oracle_component_closure_error,crossfit_map_h0,tested_target_protected,protected_targets,protection_rank,direct_dictionary_condition
train,0,10.0,1,1,25.576858595305197,25.576858595305197,16268.363285416923,6.612299448596949e-10,0.8384237732743993,0.14514670589425913,3.906777197068803e-11,3.8275499611969396e-11,1.0869076228235027e-12,0.8865655675507945,0.660116577988679,7.825346400029957,25.576858595305197,16.538575804702603,16.538575804702603,16386.511078306838,6.668461656372186e-10,0.8437012017330603,0.1231901596631737,3.9493194671786714e-11,3.8275499611969396e-11,1.0869076228235027e-12,0.0,0.660116577988679,7.828792599961162,16.538575804702603,14.344328738882451,14.344328738882451,16270.29017615182,6.25214510734037e-10,0.7371745338466034,0.27738533674481836,0.0,0.0,0.0,1.0,1.0,4.731449699960649,14.344328738882451,18.747872274273888,18.747872274273888,16386.597873998344,6.295293467389985e-10,0.6999509036451642,0.09624293503302125,0.0,0.0,0.0,0.0,1.0,4.874545299913734,18.747872274273888,10.238865838002575,10.238865838002575,16238.164015518127,6.250335899463041e-10,0.8834286609610131,0.2645449280438708,7.62183759235015e-13,5.275548544905721e-14,1.0251603346554517e-12,0.924523645582299,0.651106313748063,8.851813999935985,16611.896179394902,8264.375708737105,4.0,219.07592117749522,0.0,6.215481726650894e-10,0.0,0.113762527619831,0.017083575662714793,0.13822346441430314,0.026995431780140487,4.5691775201132255e-15,4.720682307436798e-14,6.215127523526e-10,-1.6355688105301205e-14,6.215481726650892e-10,1.516959856145399e-14,10.238865838002575,9.424750925535417,9.424750925535417,16355.130608996646,6.300888274012006e-10,0.7445623153170954,0.11790728264753528,1.1842087286510346e-12,5.225230372558422e-14,1.0250657452599701e-12,0.0,0.6519369625432281,8.711826200131327,16731.12236161594,8322.16903799778,4.0,219.0208777114736,0.0,6.257482157412174e-10,1.218646822108112e-12,0.113762527619831,0.016835317745427396,0.13822346441430314,0.026880795183190566,4.361399358762248e-15,3.0892829424388275e-14,6.257113594292176e-10,1.6020832164188504e-15,6.257482157412172e-10,1.3579403913832058e-14,9.424750925535417,1,1,15,14.546796948050842
train,0,30.0,1,1,25.121433440453814,25.121433440453814,16296.131792341535,4.437621444564482e-09,0.8754076832103223,0.12857912134193591,3.833677316100897e-09,3.832881644961107e-09,1.0891726610220922e-12,0.8867164288669149,0.6601851818826108,7.88315279991366,25.121433440453814,14.744435148972144,14.744435148972144,16415.37963480747,4.446072614570534e-09,0.8754076832103223,0.12857912134193591,3.8341060494865025e-09,3.832881644961107e-09,1.0891726610220922e-12,0.0,0.6601851818826108,7.794347200077027,14.744435148972144,14.344328738882414,14.344328738882414,16270.290176151819,6.25214510734037e-10,0.7371745338466034,0.27738533674481836,0.0,0.0,0.0,1.0,1.0,4.731732300017029,14.344328738882414,18.747872274273703,18.747872274273703,16386.597873998344,6.295293467389984e-10,0.6999509036451642,0.09624293503302125,0.0,0.0,0.0,0.0,1.0,4.751209499780089,18.747872274273703,11.658117435211139,11.658117435211139,16221.815984800869,6.286833601532496e-10,0.9009136053535408,0.46614826570588375,5.403516835376592e-12,4.691738530090704e-12,1.0261653655568306e-12,0.9290388202894859,0.6507441259881495,8.735458800103515,858603.5139870996,20564.730525640833,4.0,21949.062044837043,0.0,6.219042318387955e-10,3.245592876002108e-14,0.113762527619831,0.016632153960631838,0.13822346441430314,0.02645531431373022,4.288101943811887e-13,4.7285911051940644e-14,6.215128091520538e-10,-8.467341869118418e-14,6.219042318387957e-10,1.798051714176195e-13,11.658117435211139,8.937058439352912,8.937058439352912,16336.879403615058,6.339642130217827e-10,0.7506118169503972,0.053644946376244645,5.831061960950405e-12,4.6889483751463205e-12,1.0261565091259579e-12,0.0,0.650725247154522,8.884654799941927,859265.4281843787,20618.81698233162,4.0,21948.323386631,0.0,6.261281321943636e-10,1.5346538655095362e-12,0.113762527619831,0.01662081138522818,0.13822346441430314,0.026438043786359437,4.264319357049131e-13,3.093233929008982e-14,6.257110949794219e-10,-4.032706005173119e-14,6.261281321943651e-10,1.6231304590901557e-13,8.937058439352912,1,1,15,14.546796948050869
train,0,50.0,1,1,154.65046608998716,154.65046608998716,16631.530505406023,3.8371663687062305e-07,0.8883432644788635,0.4760398665655564,3.832950545757902e-07,3.8329425887045677e-07,1.0891954038213345e-12,0.8867179652455697,0.6601859274486779,7.685881000012159,154.65046608998716,125.71592357776242,125.71592357776242,16784.971424828866,3.8375353646381544e-07,0.7648012286908215,0.28181760938573386,3.8329548334249584e-07,3.8329425887045677e-07,1.0891954038213345e-12,0.0,0.6601859274486779,7.698896999936551,125.71592357776242,14.344328738882094,14.344328738882094,16270.290176151817,6.25214510734037e-10,0.7371745338466034,0.27738533674481836,0.0,0.0,0.0,1.0,1.0,4.724921999964863,14.344328738882094,18.747872274274528,18.747872274274528,16386.597873998347,6.295293467389986e-10,0.6999509036451642,0.09624293503302125,0.0,0.0,0.0,0.0,1.0,4.819277300033718,18.747872274274528,11.304680256509636,11.304680256509636,16216.764596803969,1.0825733572836408e-09,0.87461884917961,0.4852478842090038,4.693601261674781e-10,4.686482726497155e-10,1.026095132854999e-12,0.9293794646632851,0.6506289149329971,8.410451999865472,85082278.33396558,1249916.622640189,4.0,2195284.134511617,0.0,6.636508895022498e-10,3.8070267583393564e-11,0.113762527619831,0.016620484641226434,0.13822346441430314,0.02644347711780766,4.2858556558548385e-11,4.728702381621555e-14,6.215128140779364e-10,-7.677681581396578e-13,6.636508895021613e-10,2.524697214830952e-12,11.304680256509636,9.64804288270626,9.64804288270626,16332.024642552002,1.0901357319411308e-09,0.7216504898897862,0.04623062413381442,4.697643024670424e-10,4.686216564131064e-10,1.0260942623312004e-12,0.0,0.6506270964464003,8.432293399935588,85088367.12831345,1249934.4409724192,4.0,2195276.486074162,0.0,6.681098720122836e-10,4.252925028778826e-11,0.113762527619831,0.01661946941109988,0.13822346441430314,0.026441695146020364,4.2834444414325e-11,3.0929931647504055e-14,6.257110629956721e-10,-4.665653297494512e-13,6.681098720118951e-10,4.194942241577342e-12,9.64804288270626,1,1,15,14.546796948050869
calibration,1,10.0,1,1,15.603265957508992,15.603265957508992,16546.626316256014,6.744452425152602e-10,0.9964838966956309,0.9872889447656328,3.844148874160055e-11,3.7917522402149204e-11,5.744730803287203e-13,0.9999563995944019,0.9996679252247679,8.005652900086716,15.603265957508992,11.2799156758118,11.2799156758118,16514.343758228486,6.762122546250065e-10,0.9961729071137337,0.9890424682420019,3.843323520638895e-11,3.7917522402149204e-11,5.744730803287203e-13,0.0,0.9996679252247679,7.773387599969283,11.2799156758118,15.352591422401453,15.352591422401453,16760.30406162318,6.429230290691616e-10,0.9965252284853834,0.9876433215681453,0.0,0.0,0.0,1.0,1.0,4.776401300216094,15.352591422401453,10.786970900980641,10.786970900980641,16717.4381645775,6.415963745211309e-10,0.9960974943378125,0.9887367556488933,0.0,0.0,0.0,0.0,1.0,4.815936000086367,10.786970900980641,15.671980318380378,15.671980318380378,16540.12918777969,6.393243781505197e-10,0.9964797854561525,0.9873477657251677,5.265133385346258e-13,3.1897154378505664e-15,5.744675722244711e-13,0.9999422155314596,0.9994321377234948,8.541988499928266,31671.650123899173,8468.082971969889,4.0,432.55479290837366,0.0,6.370649508577625e-10,1.1650247251693948e-11,0.10023947397608596,0.00729469484675173,0.1416011605052816,0.014148737235348968,2.643679468425603e-15,1.0635471926546791e-11,6.260717227672005e-10,3.551124845465911e-13,6.370649508577623e-10,2.326461887224598e-14,15.671980318380378,11.36135937060453,11.36135937060453,16504.128766834794,6.38104920513252e-10,0.9961720576080252,0.989053665666578,5.55677134865121e-13,2.9833397285124924e-15,5.744676175649607e-13,0.0,0.9994303222333115,8.639905400108546,31843.71396565929,8453.94691763512,4.0,440.1974751458292,0.0,6.357923308009627e-10,1.0377567047607778e-11,0.10023947397608596,0.007404217001125738,0.1416011605052816,0.013671692811043298,2.498782951506327e-15,1.064569733320886e-11,6.248928276843144e-10,2.5130700048781437e-13,6.357923308009627e-10,2.5686433907585166e-14,11.36135937060453,1,1,15,22.245884333799992
calibration,1,30.0,1,1,15.168146878935744,15.168146878935744,16507.28168045661,4.411497225842297e-09,0.9965472172724351,0.9875965200970017,3.792239704087281e-09,3.791715263032028e-09,5.747058631230171e-13,0.9999563963659377,0.9996679312764964,8.147733699996024,15.168146878935744,10.94323622285632,10.94323622285632,16483.32960412512,4.44069595766373e-09,0.9968926549242982,0.9906344287998765,3.7922314245502725e-09,3.791715263032028e-09,5.747058631230171e-13,0.0,0.9996679312764964,7.979307200061157,10.94323622285632,15.35259142240143,15.35259142240143,16760.304061623185,6.429230290691616e-10,0.9965252284853834,0.9876433215681453,0.0,0.0,0.0,1.0,1.0,4.742959500057623,15.35259142240143,10.786970900980682,10.786970900980682,16717.438164577507,6.415963745211309e-10,0.9960974943378125,0.9887367556488933,0.0,0.0,0.0,0.0,1.0,4.777294600149617,10.786970900980682,15.425031692538095,15.425031692538095,16463.17985417506,6.394143310034649e-10,0.9965390144190265,0.9874505998150194,7.381883410447719e-13,2.1439112214402e-13,5.747026381506565e-13,0.9999442650164917,0.9994313977764713,8.555637100012973,2359811.3072015718,19023.79010175584,4.0,43982.19197704585,0.0,6.371637721472653e-10,1.1748999058207286e-11,0.10023947397608596,0.006149940312042766,0.1416011605052816,0.01394668435625644,1.8393066862293878e-13,1.064538718542649e-11,6.260713886586239e-10,2.6306563459116153e-13,6.371637721472644e-10,3.034995953176226e-13,15.425031692538095,11.37230880156771,11.37230880156771,16435.373710843087,6.384239926266963e-10,0.9969024542253635,0.9906311479500719,7.67213180587468e-13,2.131265326617385e-13,5.747026389429884e-13,0.0,0.9994312146055739,8.648869999917224,2361734.1189151034,19060.184800006435,4.0,44058.74532819002,0.0,6.360850623832025e-10,1.06702833336322e-11,0.10023947397608596,0.00616592696073987,0.1416011605052816,0.013898129632775105,1.8302186397778533e-13,1.0644273294128683e-11,6.248919302881655e-10,3.658369369318358e-13,6.360850623832039e-10,3.2713923381033303e-13,11.37230880156771,1,1,15,22.2458843338
calibration,1,50.0,1,1,14.486215182726468,14.486215182726468,16682.46249724093,3.796238520454984e-07,0.9966136848255001,0.9882732859410079,3.7917205228530235e-07,3.7917152783949515e-07,5.747081927660894e-13,0.9999563963338174,0.9996679313380714,7.875555699924007,14.486215182726468,10.823540803625201,10.823540803625201,16636.440764257954,3.7992736765107936e-07,0.9974144464265546,0.9908288000264297,3.791720440055064e-07,3.7917152783949515e-07,5.747081927660894e-13,0.0,0.9996679313380714,7.8606368999462575,10.823540803625201,15.35259142240134,15.35259142240134,16760.30406162318,6.429230290691616e-10,0.9965252284853834,0.9876433215681453,0.0,0.0,0.0,1.0,1.0,4.84393690014258,15.35259142240134,10.78697090098044,10.78697090098044,16717.4381645775,6.415963745211307e-10,0.9960974943378125,0.9887367556488933,0.0,0.0,0.0,0.0,1.0,4.790540600195527,10.78697090098044,15.256998960309112,15.256998960309112,16447.65543645201,6.592135235143968e-10,0.99658386687385,0.9889122953298698,2.1945908243452155e-11,2.1422103502034513e-11,5.747049920619447e-13,0.9999444712643529,0.9994313343285297,8.847926600137725,235357350.70650682,1077103.700650212,4.0,4405437.27929735,0.0,6.543920192888161e-10,2.8977238879416663e-11,0.10023947397608596,0.006172095327432566,0.1416011605052816,0.0139555742588078,1.8432644808457918e-11,1.0646148606918645e-11,6.260713514976414e-10,-7.58125624225622e-13,6.543920192887924e-10,1.9122404257661144e-12,15.256998960309112,11.33094372287446,11.33094372287446,16419.99504082532,6.606503351798426e-10,0.9969433123950998,0.9909476774545879,2.196316432044178e-11,2.1408985452596476e-11,5.747049921343757e-13,0.0,0.9994313159939816,8.626616799971089,235376780.99693802,1077647.4509520142,4.0,4406203.171550203,0.0,6.553709712913819e-10,2.9956190286502074e-11,0.10023947397608596,0.006173786908667029,0.1416011605052816,0.013950709351429282,1.842302409538701e-11,1.064395238214764e-11,6.248918415966171e-10,1.4121532170990257e-12,6.553709712912508e-10,2.468074250880196e-12,11.33094372287446,1,1,15,22.245884333799985
test,2,10.0,1,1,11.985540332222257,11.985540332222257,16343.232149093184,6.323712401908233e-10,0.999650312449929,0.9981248852087472,5.958811550392021e-12,5.3225789764438615e-12,5.739851951297093e-13,0.9999695271034472,0.9999280214274001,8.005937800044194,11.985540332222257,18.543242056406182,18.543242056406182,16367.879598857762,6.323596960220404e-10,0.9981529423764277,0.9918207222784431,5.908752362141873e-12,5.3225789764438615e-12,5.739851951297093e-13,0.0,0.9999280214274001,7.84840409993194,18.543242056406182,12.049327283331385,12.049327283331385,16369.365477495408,6.273156474107784e-10,0.9985513567482178,0.993266726875099,0.0,0.0,0.0,1.0,1.0,4.783805199898779,12.049327283331385,18.572452326531135,18.572452326531135,16396.90416420134,6.283422826925494e-10,0.9981924203891523,0.9919897305218808,0.0,0.0,0.0,0.0,1.0,4.774599900003523,18.572452326531135,11.98383737227714,11.98383737227714,16336.607897134189,6.266862438188508e-10,0.9996493122506065,0.9981186060119027,6.315850541219348e-13,1.199886555246492e-15,5.739223133070049e-13,0.9999780264427718,0.9999417736104143,8.61821320001036,11754.319219467134,8210.47886333023,4.0,84.67775357016404,0.0,6.246731481924716e-10,2.000949138473128e-12,0.046511347887988504,0.003044819255404358,0.10783389217121583,0.010040730520623303,1.1654201887748902e-15,3.501585078980845e-14,6.245978532853829e-10,3.91136361100909e-14,6.246731481924714e-10,1.3665980301828322e-14,11.98383737227714,18.56268781937284,18.56268781937284,16361.30416090044,6.277063643754511e-10,0.9981512910084753,0.9918186991656621,5.917111066410247e-13,1.2296900057021086e-15,5.739234660362045e-13,0.0,0.9999416704497195,8.58812789991498,11801.124055648703,8219.555110791953,4.0,84.3608406842647,0.0,6.258776793547211e-10,2.5270216163890874e-12,0.046511347887988504,0.0027309864690487225,0.10783389217121583,0.01075308113426619,1.2000619514233363e-15,3.489906737961464e-14,6.258066571318031e-10,3.492309358698563e-14,6.258776793547211e-10,1.3703562538635854e-14,18.56268781937284,1,1,15,23.255672647912164
test,2,30.0,1,1,12.030771273668256,12.030771273668256,16332.2577385579,1.162682954945574e-09,0.9996327444368798,0.9981065313306865,5.328547791167604e-10,5.322177942567085e-10,5.746344589689059e-13,0.9999695040996258,0.9999280112881448,7.825404000002891,12.030771273668256,18.623405043781673,18.623405043781673,16361.40230395717,1.1532030924788628e-09,0.9981173143766222,0.9916571680511503,5.328052051640485e-10,5.322177942567085e-10,5.746344589689059e-13,0.0,0.9999280112881448,7.855079300003126,18.623405043781673,12.04932728333139,12.04932728333139,16369.36547749541,6.273156474107784e-10,0.9985513567482178,0.993266726875099,0.0,0.0,0.0,1.0,1.0,4.8326636999845505,12.04932728333139,18.572452326531135,18.572452326531135,16396.90416420134,6.283422826925494e-10,0.9981924203891523,0.9919897305218808,0.0,0.0,0.0,0.0,1.0,4.866487800143659,18.572452326531135,12.044314933046092,12.044314933046092,16317.569127784329,6.268493163348334e-10,0.9996300825910293,0.9980930337678954,7.325667456043839e-13,1.0072665017206124e-13,5.746331694188787e-13,0.999978037557281,0.999941693218688,8.608478400157765,368500.37387349806,11459.010661436234,4.0,8482.905632549253,0.0,6.248374288912885e-10,2.0738504979588628e-12,0.046511347887988504,0.0010951004507850225,0.10783389217121583,0.009933341520316337,9.842401654216846e-14,3.503260675160755e-14,6.245969847582408e-10,1.0698750975135709e-13,6.248374288912858e-10,1.309388748266542e-13,12.044314933046092,18.58610528556267,18.58610528556267,16343.348515671496,6.277864905323209e-10,0.9981086801037098,0.9916208523334304,6.933857175210127e-13,1.0118269939614114e-13,5.746331707610392e-13,0.0,0.9999416844340827,8.670033700065687,368850.41735853476,11444.12608492938,4.0,8480.549948620514,0.0,6.259622321480248e-10,2.580265790149543e-12,0.046511347887988504,0.0009928783165316754,0.10783389217121583,0.009959485346467517,9.890050320996143e-14,3.496418721869912e-14,6.258061745508012e-10,2.2192906793944147e-14,6.259622321480238e-10,1.2035005880629245e-13,18.58610528556267,1,1,15,23.255672647912128
test,2,50.0,1,1,12.123924522327494,12.123924522327494,16335.412981508263,5.388640917569058e-08,0.9984324587320512,0.9926872366064436,5.322241603608776e-08,5.322177904368262e-08,5.746409694826786e-13,0.9999695038707064,0.999928011188789,7.822073800023645,12.123924522327494,19.05444339855888,19.05444339855888,16371.291371159186,5.378224623163019e-08,0.9980420580136118,0.99125486853335,5.3222366467019685e-08,5.322177904368262e-08,5.746409694826786e-13,0.0,0.999928011188789,8.171875200001523,19.05444339855888,12.04932728333136,12.04932728333136,16369.365477495412,6.273156474107784e-10,0.9985513567482178,0.993266726875099,0.0,0.0,0.0,1.0,1.0,4.849622800014913,12.04932728333136,18.572452326531025,18.572452326531025,16396.90416420134,6.283422826925495e-10,0.9981924203891523,0.9919897305218808,0.0,0.0,0.0,0.0,1.0,4.815234099980444,18.572452326531025,12.111118796999317,12.111118796999317,16304.481582879354,6.373988188958905e-10,0.9996302188270121,0.998049718307243,1.0640891293595424e-11,1.0008976653120754e-11,5.746402933699267e-13,0.9999780387775159,0.9999416855662997,8.674466399941593,36065305.987393536,335810.52617086144,4.0,848472.4535315791,0.0,6.351881600632844e-10,9.74685255323288e-12,0.046511347887988504,0.0009776580144586747,0.10783389217121583,0.009941928678443044,9.783002116349343e-12,3.5032378159553604e-14,6.245969030300275e-10,7.732225387359602e-13,6.351881600632723e-10,1.983362441367699e-12,12.111118796999317,18.678385284018987,18.678385284018987,16336.979447860173,6.375083411003999e-10,0.9980480549250063,0.9913004118140898,1.0605984960477719e-11,1.0013733935949673e-11,5.746402933926214e-13,0.0,0.9999416847043638,8.600232500117272,36068688.417367116,335556.32631840056,4.0,848449.6955042764,0.0,6.355204066497176e-10,1.0079102400787868e-11,0.046511347887988504,0.0009660419426694221,0.10783389217121583,0.009944009162131211,9.787927563758198e-12,3.496882037376106e-14,6.258061264319191e-10,-1.086161663501467e-13,6.355204066497008e-10,1.448293877932101e-12,18.678385284018987,1,1,15,23.25567264791213
test,3,10.0,1,1,12.852580203907408,12.852580203907408,16373.899525153589,6.518406702101566e-10,0.9885437592527956,0.9546811180951398,2.362865890563808e-11,2.3015472052850184e-11,5.745348883674703e-13,0.9992658129707707,0.9983304171028364,8.049818099942058,12.852580203907408,11.987244180358285,11.987244180358285,16363.42598734697,6.49792902139115e-10,0.9843855426026413,0.9447392431190527,2.35461766857297e-11,2.3015472052850184e-11,5.745348883674703e-13,0.0,0.9983304171028364,7.852897600037977,11.987244180358285,12.77577194776189,12.77577194776189,16397.75797104644,6.28807905207701e-10,0.988564557927661,0.9550419468789318,0.0,0.0,0.0,1.0,1.0,4.797841100022197,12.77577194776189,12.481477896854216,12.481477896854216,16385.01760289819,6.285572746729128e-10,0.9843134419416188,0.9447027351548596,0.0,0.0,0.0,0.0,1.0,4.842028399929404,12.481477896854216,12.876013481622136,12.876013481622136,16360.977444287182,6.282206440609912e-10,0.9884988252522438,0.9545530164496667,5.503113645811893e-13,1.2051517127277516e-15,5.745295753926707e-13,0.9991244650983917,0.9986067551146147,8.601983400061727,23281.359059059774,8269.765017691,4.0,284.35866688823387,0.0,6.261264637142773e-10,1.1205363081871181e-12,0.1254802694248324,0.00828370244510876,0.06706036074656972,0.0017757011425888355,1.1659874041257058e-15,2.0280143312512242e-13,6.258512288580585e-10,7.126743568964545e-14,6.261264637142775e-10,1.9390814838198376e-14,12.876013481622136,12.157995155813559,12.157995155813559,16349.36259603856,6.280442682547706e-10,0.9844103814097752,0.9448012866921514,5.177342741293376e-13,1.1621865002276671e-15,5.74529565479709e-13,0.0,0.9986101819181195,8.677961200010031,23169.29747041022,8264.844242129659,4.0,283.1989880345969,0.0,6.259084942958594e-10,3.806668730788041e-12,0.1254802694248324,0.008453406261562393,0.06706036074656972,0.0016161398489429183,1.1241081518761315e-15,2.0276446604925764e-13,6.256286686728548e-10,7.59370488034381e-14,6.259084942958594e-10,2.5323942635064138e-14,12.157995155813559,1,1,15,16.243519402919162
