trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,belief_pd_json,truth_pd_json,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,soft_mu,control_mu_json,history_json,selected_json,selected_eval_json,fusion_nodes_json
32,constant_serial_baseline,0.06166666666666667,0.055,0.04693352660319696,0.04693352660319696,0.04212902094098252,0.04212902094098252,0.043703792814193114,"[0.043496467635538556,0.04212902094098252,0.045485889866058254]","[0.043496467635538556,0.04212902094098252,0.045485889866058254]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.04180275238253287,""worst_pd_after"":0.0418178516392596,""service_before"":0.12628838801852407,""service_after"":0.12627755943913357}]",0,[],"{""before"":[0.0423353071210249,0.04212440067884907,0.0418178516392596],""after"":[0.043496467635538556,0.04212902094098252,0.045485889866058254],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_baseline,0.04666666666666667,0.04766666666666667,0.04643085731728831,0.04643085731728831,0.041795954003739894,0.041795954003739894,0.04238207969011942,"[0.042015560698691466,0.0433347243679269,0.041795954003739894]","[0.042015560698691466,0.0433347243679269,0.041795954003739894]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""after"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041795954003739894,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,constant_serial_capture,0.06166666666666667,0.055,0.04693352660319696,0.04693352660319696,0.04212902094098252,0.04212902094098252,0.043703792814193114,"[0.043496467635538556,0.04212902094098252,0.045485889866058254]","[0.043496467635538556,0.04212902094098252,0.045485889866058254]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.04180275238253287,""worst_pd_after"":0.0418178516392596,""service_before"":0.12628838801852407,""service_after"":0.12627755943913357}]",0,[],"{""before"":[0.0423353071210249,0.04212440067884907,0.0418178516392596],""after"":[0.043496467635538556,0.04212902094098252,0.045485889866058254],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_capture,0.04666666666666667,0.04766666666666667,0.04643085731728831,0.04643085731728831,0.041795954003739894,0.041795954003739894,0.04238207969011942,"[0.042015560698691466,0.0433347243679269,0.041795954003739894]","[0.042015560698691466,0.0433347243679269,0.041795954003739894]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""after"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041795954003739894,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,constant_serial_redundancy,0.06166666666666667,0.055,0.04693352660319696,0.04693352660319696,0.04212902094098252,0.04212902094098252,0.043703792814193114,"[0.043496467635538556,0.04212902094098252,0.045485889866058254]","[0.043496467635538556,0.04212902094098252,0.045485889866058254]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.04180275238253287,""worst_pd_after"":0.0418178516392596,""service_before"":0.12628838801852407,""service_after"":0.12627755943913357}]",0,[],"{""before"":[0.0423353071210249,0.04212440067884907,0.0418178516392596],""after"":[0.043496467635538556,0.04212902094098252,0.045485889866058254],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_redundancy,0.04666666666666667,0.04766666666666667,0.04643085731728831,0.04643085731728831,0.041795954003739894,0.041795954003739894,0.04238207969011942,"[0.042015560698691466,0.0433347243679269,0.041795954003739894]","[0.042015560698691466,0.0433347243679269,0.041795954003739894]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""after"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041795954003739894,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,constant_serial_combined,0.06166666666666667,0.055,0.04693352660319696,0.04693352660319696,0.04212902094098252,0.04212902094098252,0.043703792814193114,"[0.043496467635538556,0.04212902094098252,0.045485889866058254]","[0.043496467635538556,0.04212902094098252,0.045485889866058254]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.04180275238253287,""worst_pd_after"":0.0418178516392596,""service_before"":0.12628838801852407,""service_after"":0.12627755943913357}]",0,[],"{""before"":[0.0423353071210249,0.04212440067884907,0.0418178516392596],""after"":[0.043496467635538556,0.04212902094098252,0.045485889866058254],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_combined,0.04666666666666667,0.04766666666666667,0.04643085731728831,0.04643085731728831,0.041795954003739894,0.041795954003739894,0.04238207969011942,"[0.042015560698691466,0.0433347243679269,0.041795954003739894]","[0.042015560698691466,0.0433347243679269,0.041795954003739894]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""after"":[0.042015560698691466,0.0433347243679269,0.041795954003739894],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041795954003739894,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,tpuic_serial_baseline,0.9516666666666667,0.04533333333333334,1.0287262767355665,1.0287262767355665,0.9259875038338568,0.9259875038338568,0.9465991690299157,"[0.9259875038338568,0.9814222742387946,0.9323877290170957]","[0.9259875038338568,0.9814222742387946,0.9323877290170957]",6,10,10,120.0,1.0,120.0,1.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]","[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]",0,0,serial,51.43573169992305,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":0,""remove_link"":[0,2],""add_target"":2,""add_link"":[0,2],""worst_pd_before"":0.891602495524747,""worst_pd_after"":0.9259875038338568,""service_before"":2.4000000000000004,""service_after"":2.4000000000000004}]",0,[],"{""before"":[0.9259875038338568,0.9814222742387946,0.9323877290170957],""after"":[0.9259875038338568,0.9814222742387946,0.9323877290170957],""reports_before"":[2,1,6],""reports_after"":[0,0,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[0,5],[2,5]],""1"":[[0,3]],""2"":[[2,5],[2,4],[0,5],[2,1],[0,1],[0,3],[0,2]]}","{""0"":[[0,5],[2,5]],""1"":[[0,3]],""2"":[[2,5],[2,4],[0,5],[2,1],[0,1],[0,3],[0,2]]}","[5,3,2]"
32,tpuic_joint_baseline,0.9666666666666667,0.04,1.0545,1.0545,0.9529584555968542,0.9529584555968542,0.966394089898997,"[0.9648015398613424,0.9814222742387946,0.9529584555968542]","[0.9648015398613424,0.9814222742387946,0.9529584555968542]",2,11,11,120.0,1.0,120.0,1.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]","[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]",1,0,fixed_point,62.630614400142804,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":2,""remove_link"":[2,3],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.9529561196535632,""worst_pd_after"":0.9529584555968542,""service_before"":2.4000000000000004,""service_after"":2.4000000000000004}]",0,[],"{""before"":[0.9648015398613424,0.9814222742387946,0.9529584555968542],""after"":[0.9648015398613424,0.9814222742387946,0.9529584555968542],""reports_before"":[3,1,6],""reports_after"":[1,0,5],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,2],""mask_candidate"":[0,2],""objective_before"":0.9529584555968542,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[0,5],[2,5],[0,2]],""1"":[[0,3]],""2"":[[2,5],[2,4],[0,2],[2,0],[0,5],[2,1],[0,4]]}","{""0"":[[0,5],[2,5],[0,2]],""1"":[[0,3]],""2"":[[2,5],[2,4],[0,2],[2,0],[0,5],[2,1],[0,4]]}","[5,3,4]"
