trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,belief_pd_json,truth_pd_json,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,soft_mu,control_mu_json,history_json,selected_json,selected_eval_json,fusion_nodes_json
32,constant_serial_baseline,0.06166666666666667,0.055,0.04681153703083768,0.04681153703083768,0.042010673564145576,0.042010673564145576,0.04364666625828806,"[0.04346189127316577,0.042010673564145576,0.04546743393755283]","[0.04346189127316577,0.042010673564145576,0.04546743393755283]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.0417570273418076,""worst_pd_after"":0.041772101514869,""service_before"":0.12605738637725317,""service_after"":0.126046649607937}]",0,[],"{""before"":[0.042268532790298984,0.04200601530276899,0.041772101514869],""after"":[0.04346189127316577,0.042010673564145576,0.04546743393755283],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_baseline,0.04666666666666667,0.04766666666666667,0.046286153443613774,0.046286153443613774,0.041670972777191444,0.041670972777191444,0.04221162777464487,"[0.041839350677276656,0.04312455986946651,0.041670972777191444]","[0.041839350677276656,0.04312455986946651,0.041670972777191444]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""after"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041670972777191444,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,constant_serial_capture,0.06166666666666667,0.055,0.04681153703083768,0.04681153703083768,0.042010673564145576,0.042010673564145576,0.04364666625828806,"[0.04346189127316577,0.042010673564145576,0.04546743393755283]","[0.04346189127316577,0.042010673564145576,0.04546743393755283]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.0417570273418076,""worst_pd_after"":0.041772101514869,""service_before"":0.12605738637725317,""service_after"":0.126046649607937}]",0,[],"{""before"":[0.042268532790298984,0.04200601530276899,0.041772101514869],""after"":[0.04346189127316577,0.042010673564145576,0.04546743393755283],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_capture,0.04666666666666667,0.04766666666666667,0.046286153443613774,0.046286153443613774,0.041670972777191444,0.041670972777191444,0.04221162777464487,"[0.041839350677276656,0.04312455986946651,0.041670972777191444]","[0.041839350677276656,0.04312455986946651,0.041670972777191444]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""after"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041670972777191444,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,constant_serial_redundancy,0.06166666666666667,0.055,0.04681153703083768,0.04681153703083768,0.042010673564145576,0.042010673564145576,0.04364666625828806,"[0.04346189127316577,0.042010673564145576,0.04546743393755283]","[0.04346189127316577,0.042010673564145576,0.04546743393755283]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.0417570273418076,""worst_pd_after"":0.041772101514869,""service_before"":0.12605738637725317,""service_after"":0.126046649607937}]",0,[],"{""before"":[0.042268532790298984,0.04200601530276899,0.041772101514869],""after"":[0.04346189127316577,0.042010673564145576,0.04546743393755283],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_redundancy,0.04666666666666667,0.04766666666666667,0.046286153443613774,0.046286153443613774,0.041670972777191444,0.041670972777191444,0.04221162777464487,"[0.041839350677276656,0.04312455986946651,0.041670972777191444]","[0.041839350677276656,0.04312455986946651,0.041670972777191444]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""after"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041670972777191444,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,constant_serial_combined,0.06166666666666667,0.055,0.04681153703083768,0.04681153703083768,0.042010673564145576,0.042010673564145576,0.04364666625828806,"[0.04346189127316577,0.042010673564145576,0.04546743393755283]","[0.04346189127316577,0.042010673564145576,0.04546743393755283]",6,26,26,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[4,1],""add_target"":2,""add_link"":[4,1],""worst_pd_before"":0.0417570273418076,""worst_pd_after"":0.041772101514869,""service_before"":0.12605738637725317,""service_after"":0.126046649607937}]",0,[],"{""before"":[0.042268532790298984,0.04200601530276899,0.041772101514869],""after"":[0.04346189127316577,0.042010673564145576,0.04546743393755283],""reports_before"":[7,5,8],""reports_after"":[8,5,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5],[4,3],[5,4],[5,1]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3],[4,5]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[5,1],[4,1]]}","[5,3,5]"
32,constant_joint_combined,0.04666666666666667,0.04766666666666667,0.046286153443613774,0.046286153443613774,0.041670972777191444,0.041670972777191444,0.04221162777464487,"[0.041839350677276656,0.04312455986946651,0.041670972777191444]","[0.041839350677276656,0.04312455986946651,0.041670972777191444]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""after"":[0.041839350677276656,0.04312455986946651,0.041670972777191444],""reports_before"":[9,9,9],""reports_after"":[9,9,9],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.041670972777191444,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[5,4],[4,3],[5,1],[4,1]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3],[4,5],[5,4],[4,1],[5,1]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3],[4,3],[5,4],[5,1],[4,1]]}","[4,4,4]"
32,tpuic_serial_baseline,0.49,0.04566666666666667,0.34647916871793644,0.34647916871793644,0.29536908472973245,0.29536908472973245,0.5138965887401571,"[0.4294097463699619,0.816910935120777,0.29536908472973245]","[0.4294097463699619,0.816910935120777,0.29536908472973245]",6,18,18,120.0,1.0,120.0,1.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]","[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]",0,0,serial,51.57656230009161,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,4,"[{""round"":0,""remove_target"":1,""remove_link"":[0,4],""add_target"":2,""add_link"":[0,2],""worst_pd_before"":0.21763769964412827,""worst_pd_after"":0.2441119082102207,""service_before"":1.4788097783149414,""service_after"":1.505283986881034},{""round"":1,""remove_target"":1,""remove_link"":[0,3],""add_target"":2,""add_link"":[2,0],""worst_pd_before"":0.2441119082102207,""worst_pd_after"":0.26943537169667503,""service_before"":1.505283986881034,""service_after"":1.5306074503674882},{""round"":2,""remove_target"":0,""remove_link"":[2,3],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.26943537169667503,""worst_pd_after"":0.28251704465313565,""service_before"":1.5306074503674882,""service_after"":1.5320551207407593},{""round"":3,""remove_target"":0,""remove_link"":[0,1],""add_target"":2,""add_link"":[2,3],""worst_pd_before"":0.28251704465313565,""worst_pd_after"":0.29536908472973245,""service_before"":1.5320551207407593,""service_after"":1.5247788310996944}]",0,[],"{""before"":[0.4294097463699619,0.816910935120777,0.29536908472973245],""after"":[0.4294097463699619,0.816910935120777,0.29536908472973245],""reports_before"":[5,2,9],""reports_after"":[5,1,9],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[0,5],[2,5],[0,2],[2,0],[2,4],[0,4]],""1"":[[0,5],[0,1]],""2"":[[2,5],[2,4],[0,5],[2,1],[0,1],[0,3],[0,2],[2,0],[0,4],[2,3]]}","{""0"":[[0,5],[2,5],[0,2],[2,0],[2,4],[0,4]],""1"":[[0,5],[0,1]],""2"":[[2,5],[2,4],[0,5],[2,1],[0,1],[0,3],[0,2],[2,0],[0,4],[2,3]]}","[2,1,2]"
32,tpuic_joint_baseline,0.5583333333333333,0.04633333333333333,0.3534900587604338,0.3534900587604338,0.29536908472973245,0.29536908472973245,0.5813039417153026,"[0.48620974030701364,0.9623330001091617,0.29536908472973245]","[0.48620974030701364,0.9623330001091617,0.29536908472973245]",2,24,24,120.0,1.0,120.0,1.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]","[0.0,0.0,0.0,0.0,0.0,0.0]","[[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0],[1.0,1.0,1.0]]",1,0,fixed_point,62.891568100079894,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.48620974030701364,0.9623330001091617,0.29536908472973245],""after"":[0.48620974030701364,0.9623330001091617,0.29536908472973245],""reports_before"":[9,4,9],""reports_after"":[8,3,8],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,2],""mask_candidate"":[0,2],""objective_before"":0.29536908472973245,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[0,5],[2,5],[0,2],[2,0],[2,4],[0,4],[0,1],[2,1],[2,3],[0,3]],""1"":[[0,4],[0,5],[0,3],[0,1]],""2"":[[2,5],[2,4],[0,2],[2,0],[0,5],[2,1],[0,4],[2,3],[0,1],[0,3]]}","{""0"":[[0,5],[2,5],[0,2],[2,0],[2,4],[0,4],[0,1],[2,1],[2,3],[0,3]],""1"":[[0,4],[0,5],[0,3],[0,1]],""2"":[[2,5],[2,4],[0,2],[2,0],[0,5],[2,1],[0,4],[2,3],[0,1],[0,3]]}","[1,1,1]"
