trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,belief_pd_json,truth_pd_json,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,soft_mu,control_mu_json,history_json,selected_json,selected_eval_json,fusion_nodes_json
32,constant_serial_baseline,0.045,0.04766666666666667,0.04787841572262453,0.047745979636336436,0.04307638694681951,0.042984627544452175,0.043846298060074784,"[0.043447571495167016,0.04307638694681951,0.04572716262883139]","[0.04306454917251716,0.042984627544452175,0.04548971746325502]",6,23,23,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,7,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[5,4],""worst_pd_before"":0.039402112893252475,""worst_pd_after"":0.040766274191444594,""service_before"":0.12395234748599154,""service_after"":0.12531650878418368},{""round"":1,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[5,1],""worst_pd_before"":0.040766274191444594,""worst_pd_after"":0.04135223455542548,""service_before"":0.12531650878418368,""service_after"":0.12611764787039775},{""round"":2,""remove_target"":0,""remove_link"":[5,0],""add_target"":2,""add_link"":[5,4],""worst_pd_before"":0.04135223455542548,""worst_pd_after"":0.04136578660288256,""service_before"":0.12611764787039775,""service_after"":0.12683436839489465},{""round"":3,""remove_target"":1,""remove_link"":[5,1],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.04136578660288256,""worst_pd_after"":0.04137925640099129,""service_before"":0.12683436839489465,""service_after"":0.12682206739869875},{""round"":4,""remove_target"":0,""remove_link"":[5,3],""add_target"":0,""add_link"":[0,3],""worst_pd_before"":0.04137925640099129,""worst_pd_after"":0.04137925640099129,""service_before"":0.12682206739869875,""service_after"":0.12743018139702927},{""round"":5,""remove_target"":1,""remove_link"":[5,4],""add_target"":0,""add_link"":[0,4],""worst_pd_before"":0.04137925640099129,""worst_pd_after"":0.04137925640099129,""service_before"":0.12743018139702927,""service_after"":0.12771296401758264},{""round"":6,""remove_target"":1,""remove_link"":[0,1],""add_target"":0,""add_link"":[0,1],""worst_pd_before"":0.04137925640099129,""worst_pd_after"":0.04137925640099129,""service_before"":0.12771296401758264,""service_after"":0.127882663699004}]",0,[],"{""before"":[0.043446085220960017,0.043057322077052686,0.04137925640099129],""after"":[0.043447571495167016,0.04307638694681951,0.04572716262883139],""reports_before"":[6,5,8],""reports_after"":[5,5,9],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","[5,3,5]"
32,constant_joint_baseline,0.051666666666666666,0.041666666666666664,0.04934794344406181,0.04928240383375598,0.04422823703545189,0.04436496349684441,0.04504938840347123,"[0.047899554740216364,0.04422823703545189,0.046407108612077606]","[0.044551203553065355,0.04436496349684441,0.04623199816050393]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04088842618432642,0.04422823703545189,0.04210491307894045],""after"":[0.047899554740216364,0.04422823703545189,0.046407108612077606],""reports_before"":[9,9,9],""reports_after"":[8,8,8],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,5],""mask_candidate"":[0,5],""objective_before"":0.04422823703545189,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","[4,2,4]"
32,constant_serial_capture,0.045,0.04766666666666667,0.04787796812556758,0.047745979636336436,0.04307594918926688,0.042984627544452175,0.043846298060074784,"[0.04344749682109794,0.04307594918926688,0.04572692541908999]","[0.04306454917251716,0.042984627544452175,0.04548971746325502]",6,23,23,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,7,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[5,4],""worst_pd_before"":0.0394009649542204,""worst_pd_after"":0.04076420007319438,""service_before"":0.12395090112434415,""service_after"":0.12531413624331814},{""round"":1,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[5,1],""worst_pd_before"":0.04076420007319438,""worst_pd_after"":0.041352358949206754,""service_before"":0.12531413624331814,""service_after"":0.12611774277099777},{""round"":2,""remove_target"":0,""remove_link"":[5,0],""add_target"":2,""add_link"":[5,4],""worst_pd_before"":0.041352358949206754,""worst_pd_after"":0.041365903260154976,""service_before"":0.12611774277099777,""service_after"":0.12683277921533642},{""round"":3,""remove_target"":1,""remove_link"":[5,1],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.041365903260154976,""worst_pd_after"":0.041379372960811144,""service_before"":0.12683277921533642,""service_after"":0.1268204721508949},{""round"":4,""remove_target"":0,""remove_link"":[5,3],""add_target"":0,""add_link"":[0,3],""worst_pd_before"":0.041379372960811144,""worst_pd_after"":0.041379372960811144,""service_before"":0.1268204721508949,""service_after"":0.12742988270953076},{""round"":5,""remove_target"":1,""remove_link"":[5,4],""add_target"":0,""add_link"":[0,4],""worst_pd_before"":0.041379372960811144,""worst_pd_after"":0.041379372960811144,""service_before"":0.12742988270953076,""service_after"":0.127712709256997},{""round"":6,""remove_target"":1,""remove_link"":[0,1],""add_target"":0,""add_link"":[0,1],""worst_pd_before"":0.041379372960811144,""worst_pd_after"":0.041379372960811144,""service_before"":0.127712709256997,""service_after"":0.1278822680032837}]",0,[],"{""before"":[0.0434460081648143,0.04305688687765824,0.041379372960811144],""after"":[0.04344749682109794,0.04307594918926688,0.04572692541908999],""reports_before"":[6,5,8],""reports_after"":[5,5,9],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","[5,3,5]"
32,constant_joint_capture,0.051666666666666666,0.041666666666666664,0.04934696274422851,0.04928240383375598,0.04422727393306147,0.04436496349684441,0.04504938840347123,"[0.0478995091377027,0.04422727393306147,0.046406937197900115]","[0.044551203553065355,0.04436496349684441,0.04623199816050393]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04088506821778674,0.04422727393306147,0.042104853711909196],""after"":[0.0478995091377027,0.04422727393306147,0.046406937197900115],""reports_before"":[9,9,9],""reports_after"":[8,8,8],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,5],""mask_candidate"":[0,5],""objective_before"":0.04422727393306147,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","[4,2,4]"
32,constant_serial_redundancy,0.045,0.04766666666666667,0.04787841572262453,0.047745979636336436,0.04307638694681951,0.042984627544452175,0.043846298060074784,"[0.043447571495167016,0.04307638694681951,0.04572716262883139]","[0.04306454917251716,0.042984627544452175,0.04548971746325502]",6,23,23,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,7,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[5,4],""worst_pd_before"":0.039402112893252475,""worst_pd_after"":0.040766274191444594,""service_before"":0.12395234748599154,""service_after"":0.12531650878418368},{""round"":1,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[5,1],""worst_pd_before"":0.040766274191444594,""worst_pd_after"":0.04135223455542548,""service_before"":0.12531650878418368,""service_after"":0.12611764787039775},{""round"":2,""remove_target"":0,""remove_link"":[5,0],""add_target"":2,""add_link"":[5,4],""worst_pd_before"":0.04135223455542548,""worst_pd_after"":0.04136578660288256,""service_before"":0.12611764787039775,""service_after"":0.12683436839489465},{""round"":3,""remove_target"":1,""remove_link"":[5,1],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.04136578660288256,""worst_pd_after"":0.04137925640099129,""service_before"":0.12683436839489465,""service_after"":0.12682206739869875},{""round"":4,""remove_target"":0,""remove_link"":[5,3],""add_target"":0,""add_link"":[0,3],""worst_pd_before"":0.04137925640099129,""worst_pd_after"":0.04137925640099129,""service_before"":0.12682206739869875,""service_after"":0.12743018139702927},{""round"":5,""remove_target"":1,""remove_link"":[5,4],""add_target"":0,""add_link"":[0,4],""worst_pd_before"":0.04137925640099129,""worst_pd_after"":0.04137925640099129,""service_before"":0.12743018139702927,""service_after"":0.12771296401758264},{""round"":6,""remove_target"":1,""remove_link"":[0,1],""add_target"":0,""add_link"":[0,1],""worst_pd_before"":0.04137925640099129,""worst_pd_after"":0.04137925640099129,""service_before"":0.12771296401758264,""service_after"":0.127882663699004}]",0,[],"{""before"":[0.043446085220960017,0.043057322077052686,0.04137925640099129],""after"":[0.043447571495167016,0.04307638694681951,0.04572716262883139],""reports_before"":[6,5,8],""reports_after"":[5,5,9],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","[5,3,5]"
32,constant_joint_redundancy,0.051666666666666666,0.041666666666666664,0.04934794344406181,0.04928240383375598,0.04422823703545189,0.04436496349684441,0.04504938840347123,"[0.047899554740216364,0.04422823703545189,0.046407108612077606]","[0.044551203553065355,0.04436496349684441,0.04623199816050393]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04088842618432642,0.04422823703545189,0.04210491307894045],""after"":[0.047899554740216364,0.04422823703545189,0.046407108612077606],""reports_before"":[9,9,9],""reports_after"":[8,8,8],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,5],""mask_candidate"":[0,5],""objective_before"":0.04422823703545189,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","[4,2,4]"
32,constant_serial_combined,0.045,0.04766666666666667,0.04787796812556758,0.047745979636336436,0.04307594918926688,0.042984627544452175,0.043846298060074784,"[0.04344749682109794,0.04307594918926688,0.04572692541908999]","[0.04306454917251716,0.042984627544452175,0.04548971746325502]",6,23,23,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,7,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[5,4],""worst_pd_before"":0.0394009649542204,""worst_pd_after"":0.04076420007319438,""service_before"":0.12395090112434415,""service_after"":0.12531413624331814},{""round"":1,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[5,1],""worst_pd_before"":0.04076420007319438,""worst_pd_after"":0.041352358949206754,""service_before"":0.12531413624331814,""service_after"":0.12611774277099777},{""round"":2,""remove_target"":0,""remove_link"":[5,0],""add_target"":2,""add_link"":[5,4],""worst_pd_before"":0.041352358949206754,""worst_pd_after"":0.041365903260154976,""service_before"":0.12611774277099777,""service_after"":0.12683277921533642},{""round"":3,""remove_target"":1,""remove_link"":[5,1],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.041365903260154976,""worst_pd_after"":0.041379372960811144,""service_before"":0.12683277921533642,""service_after"":0.1268204721508949},{""round"":4,""remove_target"":0,""remove_link"":[5,3],""add_target"":0,""add_link"":[0,3],""worst_pd_before"":0.041379372960811144,""worst_pd_after"":0.041379372960811144,""service_before"":0.1268204721508949,""service_after"":0.12742988270953076},{""round"":5,""remove_target"":1,""remove_link"":[5,4],""add_target"":0,""add_link"":[0,4],""worst_pd_before"":0.041379372960811144,""worst_pd_after"":0.041379372960811144,""service_before"":0.12742988270953076,""service_after"":0.127712709256997},{""round"":6,""remove_target"":1,""remove_link"":[0,1],""add_target"":0,""add_link"":[0,1],""worst_pd_before"":0.041379372960811144,""worst_pd_after"":0.041379372960811144,""service_before"":0.127712709256997,""service_after"":0.1278822680032837}]",0,[],"{""before"":[0.0434460081648143,0.04305688687765824,0.041379372960811144],""after"":[0.04344749682109794,0.04307594918926688,0.04572692541908999],""reports_before"":[6,5,8],""reports_after"":[5,5,9],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","{""0"":[[0,5],[5,4],[5,1],[0,3],[0,4],[0,1]],""1"":[[0,2],[5,0],[5,2],[0,3],[0,5],[5,3],[0,4]],""2"":[[5,2],[0,2],[5,0],[5,3],[0,3],[0,5],[5,1],[0,1],[5,4],[0,4]]}","[5,3,5]"
32,constant_joint_combined,0.051666666666666666,0.041666666666666664,0.04934696274422851,0.04928240383375598,0.04422727393306147,0.04436496349684441,0.04504938840347123,"[0.0478995091377027,0.04422727393306147,0.046406937197900115]","[0.044551203553065355,0.04436496349684441,0.04623199816050393]",2,30,30,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04088506821778674,0.04422727393306147,0.042104853711909196],""after"":[0.0478995091377027,0.04422727393306147,0.046406937197900115],""reports_before"":[9,9,9],""reports_after"":[8,8,8],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,5],""mask_candidate"":[0,5],""objective_before"":0.04422727393306147,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","{""0"":[[5,2],[0,2],[5,0],[0,5],[5,3],[5,4],[0,3],[5,1],[0,4],[0,1]],""1"":[[5,0],[0,2],[0,5],[0,3],[5,2],[5,3],[0,4],[0,1],[5,4],[5,1]],""2"":[[5,2],[0,2],[5,0],[0,5],[5,3],[0,3],[5,4],[0,4],[5,1],[0,1]]}","[4,2,4]"
32,tpuic_serial_baseline,0.595,0.04133333333333333,0.17918486660617716,0.4290366653904223,0.1230738046750684,0.3694269433317817,0.6003717346383625,"[0.8139235397753755,0.47971826533354994,0.1230738046750684]","[0.3694269433317817,0.928434488885444,0.5032537716978615]",6,18,18,35.70846341239843,0.9920056491482989,36.56901508423421,0.9999338385865705,"[[0.000783085582651099,0.0003678918242456323,0.00036463074405847744],[8.522210548087788e-05,8.382697060385282e-05,8.40307760205786e-05],[0.0008864446005217816,0.00079254400518738,0.0007979132799959835],[0.00025701103120709856,0.0002938182710731862,0.00031756922413172535],[7.522896818418204e-05,8.677382608455518e-05,8.872769868737283e-05],[0.00011933395073640503,0.0002807731364177695,0.00012025938644228632]]","[[0.9929763430182431,0.9054967628608476,0.9991935686839468],[0.9987913499781758,0.9996152122952999,0.9993250680570973],[0.9532323101497582,0.9813622951245069,0.998533989387849],[0.8919565171802549,0.8483154632100343,0.9991474653507997],[0.9353525752816504,0.9804292552333049,0.9994885954245408],[0.9910349552783546,0.9682252108981544,0.9995991323910053]]","[[0.000672005633806709,0.0002878522607131756,0.0002883018420116329],[0.00013106224035637953,0.00013028058653146644,0.00013048576833497256],[0.0004370117438825493,0.00033791659920971,0.00034308601594077896],[0.00021233568489380572,0.00022865146895343909,0.0002448468616642038],[5.5319073564765414e-05,6.719133357217368e-05,6.872080773556422e-05],[8.063975578343296e-05,0.00023937502266889481,8.161616839803666e-05]]","[[0.9999944777087507,0.9841490709272714,0.9999799763951411],[0.9999985125647312,0.9999931053544197,0.9992443539156687],[0.9999943338524548,0.9941899231164929,0.9998446056448453],[0.9999611201576326,0.9993554085584299,0.9997883732728813],[0.9999926337034393,0.9991580928326912,0.9999523890196351],[0.9999990006614475,0.9995540056271346,0.9999152881535058]]",0,0,serial,33.666181000182405,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,2,"[{""round"":0,""remove_target"":0,""remove_link"":[2,5],""add_target"":2,""add_link"":[2,3],""worst_pd_before"":0.11868179195727954,""worst_pd_after"":0.12101855551201245,""service_before"":1.4080066566418483,""service_after"":1.4103434201965812},{""round"":1,""remove_target"":1,""remove_link"":[2,1],""add_target"":2,""add_link"":[5,4],""worst_pd_before"":0.12101855551201245,""worst_pd_after"":0.1230738046750684,""service_before"":1.4103434201965812,""service_after"":1.4027920700086183}]",0,[],"{""before"":[0.8139235397753755,0.47971826533354994,0.1230738046750684],""after"":[0.8139235397753755,0.47971826533354994,0.1230738046750684],""reports_before"":[0,6,9],""reports_after"":[0,6,9],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,null,[],"{""0"":[[5,2]],""1"":[[5,0],[5,4],[2,0],[5,1],[5,2],[5,3],[2,4]],""2"":[[5,2],[2,5],[2,0],[2,4],[5,0],[2,1],[5,1],[5,3],[2,3],[5,4]]}","{""0"":[[5,2]],""1"":[[5,0],[5,4],[2,0],[5,1],[5,2],[5,3],[2,4]],""2"":[[5,2],[2,5],[2,0],[2,4],[5,0],[2,1],[5,1],[5,3],[2,3],[5,4]]}","[2,2,2]"
32,tpuic_joint_baseline,0.835,0.046,0.40644604738632045,0.7405411902086206,0.303421286549481,0.6378181721613987,0.8562359427603502,"[0.992903451632833,0.9352476083683945,0.303421286549481]","[0.6378181721613987,0.9986594756474323,0.9322301804722195]",2,21,21,33.57479845267816,0.9995301190270007,37.86850102040634,0.9999911873894095,"[[0.0007168436409856051,0.0003990770071651025,0.0003990536733865875],[9.31473487259416e-05,9.312628600507664e-05,9.319312144428292e-05],[0.0007297014317747377,0.0007296948405304046,0.0007296950217549146],[0.0004390576153035633,0.00043905486646870264,0.00044137850857926825],[9.133181112961082e-05,9.132788857938373e-05,0.0001098897000231039],[0.000515581613673799,0.0005155816151687786,0.0005155816447350264]]","[[0.9943675041462265,0.9924164128352254,0.9984601284312097],[0.9998763748591576,0.999936160986498,0.9997443226872473],[0.9996015975378092,0.9999004078037659,0.9999512470429939],[0.8125878861571149,0.9971795411341918,0.9993501390409496],[0.996534418637583,0.9992993482563443,0.9994663412968785],[0.999593896757123,0.9999648970235814,0.999979332869711]]","[[0.0005054869831943669,0.00018669701821427348,0.00018667534896097708],[4.403122392414908e-05,4.397330710576652e-05,4.398466185302587e-05],[0.00014295943532105452,0.00014285753732522292,0.00014287351350926125],[0.00046111457802318324,0.0004610923781084252,0.00046274921916871826],[0.00011923138614542623,0.00011923278057023559,0.0001376347374399421],[0.0005340641250016017,0.0005340641079109167,0.0005340639906802818]]","[[0.9999953150124627,0.9705967678367086,0.9999845099865523],[0.999998705851119,0.9999984825415459,0.9993239721717587],[0.999999986148413,0.9999904351946597,0.9999853761017066],[0.9999919395841593,0.9997783795110227,0.9999957599552084],[0.9999969912689659,0.9996579705164663,0.9999647100497883],[0.9999998180024948,0.999999974929067,0.9999650319562915]]",1,0,fixed_point,56.900716400006786,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.992903451632833,0.9352476083683945,0.303421286549481],""after"":[0.992903451632833,0.9352476083683945,0.303421286549481],""reports_before"":[0,9,9],""reports_after"":[0,8,8],""candidate_evaluations"":13}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,null,"[{""round"":0,""mask_before"":[2,5],""mask_candidate"":[2,5],""objective_before"":0.303421286549481,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[2,5]],""1"":[[5,0],[5,4],[2,0],[5,2],[2,5],[5,1],[5,3],[2,4],[2,1],[2,3]],""2"":[[5,2],[2,5],[2,0],[2,4],[5,0],[2,1],[2,3],[5,1],[5,3],[5,4]]}","{""0"":[[2,5]],""1"":[[5,0],[5,4],[2,0],[5,2],[2,5],[5,1],[5,3],[2,4],[2,1],[2,3]],""2"":[[5,2],[2,5],[2,0],[2,4],[5,0],[2,1],[2,3],[5,1],[5,3],[5,4]]}","[5,0,0]"
