trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,belief_pd_json,truth_pd_json,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,soft_mu,control_mu_json,history_json,selected_json,selected_eval_json,fusion_nodes_json
32,constant_serial_baseline,0.055,0.05333333333333334,0.046704487857907886,0.046704487857907886,0.041949334111842915,0.041949334111842915,0.04338125072594562,"[0.04303566183783366,0.041949334111842915,0.045158756228160304]","[0.04303566183783366,0.041949334111842915,0.045158756228160304]",6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04212122934578456,0.041944685895423425,0.04165693217465967],""after"":[0.04303566183783366,0.041949334111842915,0.045158756228160304],""reports_before"":[4,4,4],""reports_after"":[5,4,6],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","[5,3,5]"
32,constant_joint_baseline,0.043333333333333335,0.04633333333333333,0.04619183995525977,0.04619183995525977,0.04158996271565248,0.04158996271565248,0.04208252791836591,"[0.04172556699125373,0.04293205404819151,0.04158996271565248]","[0.04172556699125373,0.04293205404819151,0.04158996271565248]",2,18,18,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""after"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""reports_before"":[6,6,6],""reports_after"":[6,6,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.04158996271565248,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","[4,4,4]"
32,constant_serial_capture,0.055,0.05333333333333334,0.046704487857907886,0.046704487857907886,0.041949334111842915,0.041949334111842915,0.04338125072594562,"[0.04303566183783366,0.041949334111842915,0.045158756228160304]","[0.04303566183783366,0.041949334111842915,0.045158756228160304]",6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04212122934578456,0.041944685895423425,0.04165693217465967],""after"":[0.04303566183783366,0.041949334111842915,0.045158756228160304],""reports_before"":[4,4,4],""reports_after"":[5,4,6],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","[5,3,5]"
32,constant_joint_capture,0.043333333333333335,0.04633333333333333,0.04619183995525977,0.04619183995525977,0.04158996271565248,0.04158996271565248,0.04208252791836591,"[0.04172556699125373,0.04293205404819151,0.04158996271565248]","[0.04172556699125373,0.04293205404819151,0.04158996271565248]",2,18,18,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""after"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""reports_before"":[6,6,6],""reports_after"":[6,6,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.04158996271565248,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","[4,4,4]"
32,constant_serial_redundancy,0.055,0.05333333333333334,0.046704487857907886,0.046704487857907886,0.041949334111842915,0.041949334111842915,0.04338125072594562,"[0.04303566183783366,0.041949334111842915,0.045158756228160304]","[0.04303566183783366,0.041949334111842915,0.045158756228160304]",6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04212122934578456,0.041944685895423425,0.04165693217465967],""after"":[0.04303566183783366,0.041949334111842915,0.045158756228160304],""reports_before"":[4,4,4],""reports_after"":[5,4,6],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","[5,3,5]"
32,constant_joint_redundancy,0.043333333333333335,0.04633333333333333,0.04619183995525977,0.04619183995525977,0.04158996271565248,0.04158996271565248,0.04208252791836591,"[0.04172556699125373,0.04293205404819151,0.04158996271565248]","[0.04172556699125373,0.04293205404819151,0.04158996271565248]",2,18,18,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""after"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""reports_before"":[6,6,6],""reports_after"":[6,6,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.04158996271565248,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","[4,4,4]"
32,constant_serial_combined,0.055,0.05333333333333334,0.046704487857907886,0.046704487857907886,0.041949334111842915,0.041949334111842915,0.04338125072594562,"[0.04303566183783366,0.041949334111842915,0.045158756228160304]","[0.04303566183783366,0.041949334111842915,0.045158756228160304]",6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04212122934578456,0.041944685895423425,0.04165693217465967],""after"":[0.04303566183783366,0.041949334111842915,0.045158756228160304],""reports_before"":[4,4,4],""reports_after"":[5,4,6],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,5]],""1"":[[4,0],[5,0],[4,2],[5,2],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[5,3],[4,3]]}","[5,3,5]"
32,constant_joint_combined,0.043333333333333335,0.04633333333333333,0.04619183995525977,0.04619183995525977,0.04158996271565248,0.04158996271565248,0.04208252791836591,"[0.04172556699125373,0.04293205404819151,0.04158996271565248]","[0.04172556699125373,0.04293205404819151,0.04158996271565248]",2,18,18,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""after"":[0.04172556699125373,0.04293205404819151,0.04158996271565248],""reports_before"":[6,6,6],""reports_after"":[6,6,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[4,5],""mask_candidate"":[4,5],""objective_before"":0.04158996271565248,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","{""0"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]],""1"":[[4,2],[5,2],[5,0],[4,0],[5,3],[4,3]],""2"":[[5,2],[4,2],[5,0],[4,0],[4,5],[5,3]]}","[4,4,4]"
32,tpuic_serial_baseline,0.11,0.04566666666666667,0.07756901909687389,0.09155189148618868,0.06790100708151704,0.07917722464532484,0.13366755544446643,"[0.08047802436625148,0.1620209578731699,0.06790100708151704]","[0.10173791582203442,0.22008752586604,0.07917722464532484]",6,14,14,37.181916927744176,0.9926107326679667,37.07652835259604,0.9999338383176056,"[[0.0003631093995014033,0.0005450897852544009,0.00036406796438412343],[8.382902367990302e-05,8.416568516786516e-05,0.00013617090972845204],[0.0007921994168447294,0.0038991616859636946,0.0008240406638046422],[0.00025453768507640467,0.0005990464960397924,0.00033365294941650655],[7.358292055884443e-05,0.00011386765914109988,8.450249736855469e-05],[0.00011933667568999935,0.00014383498235381783,0.00011958655361230311]]","[[0.9927746988800923,0.7946053095416761,0.9904947515673045],[0.9937851265150593,0.8220878894978418,0.9939317973015653],[0.9917636466940565,0.610761513780834,0.971873684512256],[0.9924467664558412,0.983250248054425,0.9979011444069653],[0.9974906107013949,0.8750744261022352,0.9950219041013934],[0.9983957038534763,0.9954572437338076,0.9988145162769334]]","[[0.00028808805439927207,0.00047826667626981004,0.00028984249021007984],[0.0001302889571886019,0.00013056723033184198,0.0001844232798521233],[0.0003371613565399941,0.0036581409333720145,0.00036743549888616555],[0.00020839082215709498,0.00036033992590319016,0.0002611526163584075],[5.476447850422171e-05,7.091413520065206e-05,6.592353436489081e-05],[8.063045771052636e-05,0.00010671071126254941,8.094791639721989e-05]]","[[0.9999944692178926,0.9842276785384165,0.9999799771384547],[0.9999985125580596,0.999993105363624,0.9992444658303796],[0.9999943313230676,0.9943121681569045,0.9998446206450068],[0.9999611202530545,0.9993560576245847,0.9997883896278967],[0.9999926337009366,0.9991580787042428,0.9999523883539897],[0.9999990006615214,0.999553911722712,0.9999152882812216]]",0,0,serial,33.42840179987252,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,3,"[{""round"":0,""remove_target"":0,""remove_link"":[0,1],""add_target"":2,""add_link"":[2,0],""worst_pd_before"":0.05950227121050871,""worst_pd_after"":0.06341408236926627,""service_before"":0.3100598301454532,""service_after"":0.31171821038309044},{""round"":1,""remove_target"":1,""remove_link"":[2,0],""add_target"":2,""add_link"":[0,2],""worst_pd_before"":0.06341408236926627,""worst_pd_after"":0.06647515618012784,""service_before"":0.31171821038309044,""service_after"":0.312456590794875},{""round"":2,""remove_target"":0,""remove_link"":[2,4],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.06647515618012784,""worst_pd_after"":0.06790100708151704,""service_before"":0.312456590794875,""service_after"":0.31039998932093843}]",0,[],"{""before"":[0.08047802436625148,0.1620209578731699,0.06790100708151704],""after"":[0.08047802436625148,0.1620209578731699,0.06790100708151704],""reports_before"":[3,4,5],""reports_after"":[3,3,5],""candidate_evaluations"":9}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,null,[],"{""0"":[[0,5],[2,5],[2,0],[0,2]],""1"":[[0,5],[0,1],[0,4],[0,3]],""2"":[[2,5],[2,4],[0,5],[2,0],[0,2],[0,4]]}","{""0"":[[0,5],[2,5],[2,0],[0,2]],""1"":[[0,5],[0,1],[0,4],[0,3]],""2"":[[2,5],[2,4],[0,5],[2,0],[0,2],[0,4]]}","[2,1,2]"
32,tpuic_joint_baseline,0.37,0.04833333333333333,0.13057859675123704,0.1772199244696101,0.10878150163601681,0.14503572827497163,0.38931881322764705,"[0.1643744435335748,0.535965076186273,0.10878150163601681]","[0.24394432311731956,0.77897638829065,0.14503572827497163]",2,18,18,31.95697872937386,0.9948648916116298,33.69840268710871,0.9999745346019187,"[[0.0018846169495199529,0.0018984023114907488,0.0018936598487477691],[0.0002529496059700789,0.0002529567132714888,0.0002529496746269451],[0.0010933493601250242,0.0031077533577243306,0.0012032480132843505],[0.0008751284151998359,0.0008774395280948876,0.0008747593745511716],[0.00046393401419018976,0.00046421123664768237,0.000463925681462905],[0.0002711352417066824,0.0002711046494899194,0.000271081729837102]]","[[0.9987342527714484,0.9552874051349641,0.9688319447163883],[0.9997486523893745,0.9997571319000061,0.9872174582543082],[0.992302077695538,0.4380331936975582,0.8906622108334671],[0.9869298064580517,0.9794528143909879,0.9997844858385271],[0.9951360705625364,0.9945937126607232,0.9999360285961817],[0.999460789402138,0.9998528668430254,0.9997651058698854]]","[[0.006982265587919719,0.006958299710590969,0.006960734954131518],[6.999065047859442e-05,7.000133993349177e-05,6.99928207389845e-05],[0.0006548781888034902,0.002707713611688668,0.0007738573783695335],[0.0006183185895582601,0.0006226400112272602,0.0006181878049910281],[0.00029433768645170243,0.00029457713168688603,0.0002943219440194657],[6.558346122228196e-05,6.555325114413645e-05,6.551173171616989e-05]]","[[0.9999977585104611,0.9977208844778753,0.9999878371757625],[0.9999999573677362,0.999989204264355,0.999985444976008],[0.9999728875960154,0.9713551120209233,0.9999573327145344],[0.9998751789761313,0.9998239987894133,0.999901176058754],[0.9999902095085491,0.999974357961626,0.9999851417334733],[0.999999692740049,0.9998547031271011,0.9999747112422112]]",1,0,fixed_point,57.20547619997524,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.1643744435335748,0.535965076186273,0.10878150163601681],""after"":[0.1643744435335748,0.535965076186273,0.10878150163601681],""reports_before"":[5,5,5],""reports_after"":[4,4,4],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,null,"[{""round"":0,""mask_before"":[0,2],""mask_candidate"":[0,2],""objective_before"":0.10878150163601681,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[2,0],[0,5],[0,2],[2,5],[2,4],[0,4]],""1"":[[0,4],[0,5],[0,3],[0,1],[2,0],[2,4]],""2"":[[2,0],[0,2],[2,5],[2,4],[0,5],[2,1]]}","{""0"":[[2,0],[0,5],[0,2],[2,5],[2,4],[0,4]],""1"":[[0,4],[0,5],[0,3],[0,1],[2,0],[2,4]],""2"":[[2,0],[0,2],[2,5],[2,4],[0,5],[2,1]]}","[4,4,5]"
