trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,soft_mu,control_mu_json,history_json,selected_json,selected_eval_json,fusion_nodes_json
32,constant_serial_baseline,0.04833333333333333,0.05266666666666667,0.048668107918709506,0.0478565391248024,0.04378100595683552,0.0431038572141064,0.043323090400164445,6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,6,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[4,0],""worst_pd_before"":0.041139926856120806,""worst_pd_after"":0.04167598447835746,""service_before"":0.1275895140798893,""service_after"":0.12812557170212596},{""round"":1,""remove_target"":0,""remove_link"":[4,2],""add_target"":0,""add_link"":[5,3],""worst_pd_before"":0.04167598447835746,""worst_pd_after"":0.04256452448115028,""service_before"":0.12812557170212596,""service_after"":0.12901411170491878},{""round"":2,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[4,5],""worst_pd_before"":0.04256452448115028,""worst_pd_after"":0.04268214147888592,""service_before"":0.12901411170491878,""service_after"":0.1302961585919021},{""round"":3,""remove_target"":2,""remove_link"":[2,3],""add_target"":2,""add_link"":[5,1],""worst_pd_before"":0.04268214147888592,""worst_pd_after"":0.043767445744882595,""service_before"":0.1302961585919021,""service_after"":0.1314498691733885},{""round"":4,""remove_target"":2,""remove_link"":[0,5],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.043767445744882595,""worst_pd_after"":0.043767445744882595,""service_before"":0.1314498691733885,""service_after"":0.13760978995495476},{""round"":5,""remove_target"":0,""remove_link"":[5,0],""add_target"":0,""add_link"":[2,3],""worst_pd_before"":0.043767445744882595,""worst_pd_after"":0.043767445744882595,""service_before"":0.13760978995495476,""service_after"":0.1376319548538401}]",0,[],"{""before"":[0.04386873626701898,0.043767445744882595,0.049995772841938554],""after"":[0.04387144233454606,0.04378100595683552,0.049995772841938554],""reports_before"":[6,3,6],""reports_after"":[4,6,3],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","[5,3,1]"
32,constant_joint_baseline,0.043333333333333335,0.054,0.05454024872064785,0.05445269271977336,0.04913188111738068,0.049042250650399834,0.04915571282004319,4,16,16,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04913188111738068,0.049159902138274925,0.04923773894396827],""after"":[0.04913188111738068,0.049159902138274925,0.04923773894396827],""reports_before"":[5,4,6],""reports_after"":[5,4,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,2,4,5],""mask_candidate"":[0,2,4,5],""objective_before"":0.04913188111738068,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","[4,4,4]"
32,constant_serial_capture,0.04833333333333333,0.05266666666666667,0.0486676506940167,0.0478565391248024,0.04378058876739303,0.0431038572141064,0.043323090400164445,6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,6,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[4,0],""worst_pd_before"":0.04113982419610219,""worst_pd_after"":0.041675339661373975,""service_before"":0.1275897128637217,""service_after"":0.1281252283289935},{""round"":1,""remove_target"":0,""remove_link"":[4,2],""add_target"":0,""add_link"":[5,3],""worst_pd_before"":0.041675339661373975,""worst_pd_after"":0.04256341664698839,""service_before"":0.1281252283289935,""service_after"":0.12901330531460792},{""round"":2,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[4,5],""worst_pd_before"":0.04256341664698839,""worst_pd_after"":0.04268285783260591,""service_before"":0.12901330531460792,""service_after"":0.13029662628591013},{""round"":3,""remove_target"":2,""remove_link"":[2,3],""add_target"":2,""add_link"":[5,1],""worst_pd_before"":0.04268285783260591,""worst_pd_after"":0.043767030835013605,""service_before"":0.13029662628591013,""service_after"":0.13144977015168663},{""round"":4,""remove_target"":2,""remove_link"":[0,5],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.043767030835013605,""worst_pd_after"":0.043767030835013605,""service_before"":0.13144977015168663,""service_after"":0.1376095389159494},{""round"":5,""remove_target"":0,""remove_link"":[5,0],""add_target"":0,""add_link"":[2,3],""worst_pd_before"":0.043767030835013605,""worst_pd_after"":0.043767030835013605,""service_before"":0.1376095389159494,""service_after"":0.13763113759023843}]",0,[],"{""before"":[0.04386833629257962,0.043767030835013605,0.04999577046264521],""after"":[0.043871042219972144,0.04378058876739303,0.04999577046264521],""reports_before"":[6,3,6],""reports_after"":[4,6,3],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","[5,3,1]"
32,constant_joint_capture,0.043333333333333335,0.054,0.05454013809107851,0.05445269271977336,0.04913178213826721,0.049042250650399834,0.04915571282004319,4,16,16,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04913178213826721,0.049159786286408325,0.0492377324170466],""after"":[0.04913178213826721,0.049159786286408325,0.0492377324170466],""reports_before"":[5,4,6],""reports_after"":[5,4,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,2,4,5],""mask_candidate"":[0,2,4,5],""objective_before"":0.04913178213826721,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","[4,4,4]"
32,constant_serial_redundancy,0.04833333333333333,0.05266666666666667,0.048668107918709506,0.0478565391248024,0.04378100595683552,0.0431038572141064,0.043323090400164445,6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,6,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[4,0],""worst_pd_before"":0.041139926856120806,""worst_pd_after"":0.04167598447835746,""service_before"":0.1275895140798893,""service_after"":0.12812557170212596},{""round"":1,""remove_target"":0,""remove_link"":[4,2],""add_target"":0,""add_link"":[5,3],""worst_pd_before"":0.04167598447835746,""worst_pd_after"":0.04256452448115028,""service_before"":0.12812557170212596,""service_after"":0.12901411170491878},{""round"":2,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[4,5],""worst_pd_before"":0.04256452448115028,""worst_pd_after"":0.04268214147888592,""service_before"":0.12901411170491878,""service_after"":0.1302961585919021},{""round"":3,""remove_target"":2,""remove_link"":[2,3],""add_target"":2,""add_link"":[5,1],""worst_pd_before"":0.04268214147888592,""worst_pd_after"":0.043767445744882595,""service_before"":0.1302961585919021,""service_after"":0.1314498691733885},{""round"":4,""remove_target"":2,""remove_link"":[0,5],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.043767445744882595,""worst_pd_after"":0.043767445744882595,""service_before"":0.1314498691733885,""service_after"":0.13760978995495476},{""round"":5,""remove_target"":0,""remove_link"":[5,0],""add_target"":0,""add_link"":[2,3],""worst_pd_before"":0.043767445744882595,""worst_pd_after"":0.043767445744882595,""service_before"":0.13760978995495476,""service_after"":0.1376319548538401}]",0,[],"{""before"":[0.04386873626701898,0.043767445744882595,0.049995772841938554],""after"":[0.04387144233454606,0.04378100595683552,0.049995772841938554],""reports_before"":[6,3,6],""reports_after"":[4,6,3],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","[5,3,1]"
32,constant_joint_redundancy,0.043333333333333335,0.054,0.05454024872064785,0.05445269271977336,0.04913188111738068,0.049042250650399834,0.04915571282004319,4,16,16,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04913188111738068,0.049159902138274925,0.04923773894396827],""after"":[0.04913188111738068,0.049159902138274925,0.04923773894396827],""reports_before"":[5,4,6],""reports_after"":[5,4,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,2,4,5],""mask_candidate"":[0,2,4,5],""objective_before"":0.04913188111738068,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","[4,4,4]"
32,constant_serial_combined,0.04833333333333333,0.05266666666666667,0.0486676506940167,0.0478565391248024,0.04378058876739303,0.0431038572141064,0.043323090400164445,6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,6,"[{""round"":0,""remove_target"":0,""remove_link"":[5,2],""add_target"":0,""add_link"":[4,0],""worst_pd_before"":0.04113982419610219,""worst_pd_after"":0.041675339661373975,""service_before"":0.1275897128637217,""service_after"":0.1281252283289935},{""round"":1,""remove_target"":0,""remove_link"":[4,2],""add_target"":0,""add_link"":[5,3],""worst_pd_before"":0.041675339661373975,""worst_pd_after"":0.04256341664698839,""service_before"":0.1281252283289935,""service_after"":0.12901330531460792},{""round"":2,""remove_target"":0,""remove_link"":[0,2],""add_target"":0,""add_link"":[4,5],""worst_pd_before"":0.04256341664698839,""worst_pd_after"":0.04268285783260591,""service_before"":0.12901330531460792,""service_after"":0.13029662628591013},{""round"":3,""remove_target"":2,""remove_link"":[2,3],""add_target"":2,""add_link"":[5,1],""worst_pd_before"":0.04268285783260591,""worst_pd_after"":0.043767030835013605,""service_before"":0.13029662628591013,""service_after"":0.13144977015168663},{""round"":4,""remove_target"":2,""remove_link"":[0,5],""add_target"":2,""add_link"":[0,4],""worst_pd_before"":0.043767030835013605,""worst_pd_after"":0.043767030835013605,""service_before"":0.13144977015168663,""service_after"":0.1376095389159494},{""round"":5,""remove_target"":0,""remove_link"":[5,0],""add_target"":0,""add_link"":[2,3],""worst_pd_before"":0.043767030835013605,""worst_pd_after"":0.043767030835013605,""service_before"":0.1376095389159494,""service_after"":0.13763113759023843}]",0,[],"{""before"":[0.04386833629257962,0.043767030835013605,0.04999577046264521],""after"":[0.043871042219972144,0.04378058876739303,0.04999577046264521],""reports_before"":[6,3,6],""reports_after"":[4,6,3],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,[],"{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","{""0"":[[2,0],[2,5],[4,0],[5,3],[4,5],[2,3]],""1"":[[0,2],[5,0],[4,0],[5,2],[4,2],[2,0]],""2"":[[2,4],[4,5],[2,1],[0,1],[5,1],[0,4]]}","[5,3,1]"
32,constant_joint_combined,0.043333333333333335,0.054,0.05454013809107851,0.05445269271977336,0.04913178213826721,0.049042250650399834,0.04915571282004319,4,16,16,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,True,1.0,c2f,max_in_rate,True,predicted,predicted_risk,0,[],0,[],"{""before"":[0.04913178213826721,0.049159786286408325,0.0492377324170466],""after"":[0.04913178213826721,0.049159786286408325,0.0492377324170466],""reports_before"":[5,4,6],""reports_after"":[5,4,6],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,nan,null,"[{""round"":0,""mask_before"":[0,2,4,5],""mask_candidate"":[0,2,4,5],""objective_before"":0.04913178213826721,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","{""0"":[[5,2],[4,2],[0,2],[2,1],[0,3],[0,4]],""1"":[[0,2],[5,2],[4,2],[2,1]],""2"":[[5,2],[0,2],[4,2],[4,1],[0,1],[5,1]]}","[4,4,4]"
32,tpuic_serial_baseline,0.15666666666666668,0.04733333333333333,0.06714831959921981,0.10655291797643984,0.053621607101977026,0.09202283742178777,0.17557154601232047,6,18,18,35.7084634123984,0.9920056491482988,36.56901508423361,0.9999338385865706,"[[0.0007830855826511417,0.0003678918242456345,0.00036463074405848617],[8.522210548087781e-05,8.382697060385278e-05,8.403077602058183e-05],[0.0008864446005218042,0.0007925440051873804,0.0007979132799960189],[0.0002570110312070987,0.00029381827107328003,0.00031756922413172264],[7.522896818418158e-05,8.677382608455519e-05,8.87276986873721e-05],[0.00011933395073640507,0.0002807731364177727,0.00012025938644228642]]","[[0.992976343018243,0.9054967628608471,0.9991935686839472],[0.9987913499781761,0.9996152122953009,0.9993250680570971],[0.9532323101497581,0.9813622951245066,0.9985339893878489],[0.8919565171802556,0.8483154632100345,0.9991474653508005],[0.9353525752816502,0.9804292552333046,0.9994885954245402],[0.9910349552783546,0.9682252108981546,0.999599132391006]]","[[0.0006720056338066196,0.00028785226071317605,0.0002883018420116352],[0.00013106224035638024,0.00013028058653146687,0.0001304857683349768],[0.0004370117438825709,0.00033791659920970996,0.00034308601594081213],[0.00021233568489380667,0.00022865146895350118,0.0002448468616642063],[5.5319073564765346e-05,6.719133357217737e-05,6.8720807735562e-05],[8.063975578343301e-05,0.0002393750226688923,8.161616839803694e-05]]","[[0.9999944777087509,0.9841490709272718,0.9999799763951415],[0.9999985125647313,0.9999931053544197,0.9992443539156687],[0.9999943338524551,0.9941899231164929,0.9998446056448451],[0.9999611201576332,0.9993554085584297,0.9997883732728816],[0.9999926337034394,0.999158092832691,0.9999523890196352],[0.9999990006614473,0.999554005627135,0.999915288153506]]",0,0,serial,33.97797430003993,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[0,5],""add_target"":1,""add_link"":[0,2],""worst_pd_before"":0.05361670037832165,""worst_pd_after"":0.05361670037832165,""service_before"":0.46321878347606255,""service_after"":0.4635076933412351}]",0,[],"{""before"":[0.30513763110053954,0.10475336186237386,0.05361670037832165],""after"":[0.30513763110053954,0.10475336186237386,0.053621607101977026],""reports_before"":[4,5,3],""reports_after"":[4,5,6],""candidate_evaluations"":6}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,null,[],"{""0"":[[2,5],[5,2],[4,5],[5,4],[2,4],[4,2]],""1"":[[5,0],[4,0],[0,4],[0,1],[0,3],[0,2]],""2"":[[5,2],[2,5],[2,0],[0,2],[4,2],[2,4]]}","{""0"":[[2,5],[5,2],[4,5],[5,4],[2,4],[4,2]],""1"":[[5,0],[4,0],[0,4],[0,1],[0,3],[0,2]],""2"":[[5,2],[2,5],[2,0],[0,2],[4,2],[2,4]]}","[2,2,3]"
32,tpuic_joint_baseline,0.13833333333333334,0.04133333333333333,0.07226125904510572,0.07213164446369272,0.05261142816301557,0.058457324288528414,0.149290649208792,4,15,15,36.61670616632175,0.9941027844811907,35.94505792735495,0.9999542798474431,"[[0.0005441559020966532,0.0003320737309795833,0.0003320807106663333],[8.174034654182723e-05,8.033325154445109e-05,8.039016405251847e-05],[0.001022999066154784,0.00096870963955539,0.0009708536795650071],[0.000266895313702418,0.0003168866277120726,0.00033700146079647733],[0.00011999280943443732,0.00013918877322655087,0.00013649013329066685],[0.0001233114614835074,0.00017795812384233667,0.0001234622802348554]]","[[0.9953936318539106,0.9805226574705537,0.998864945855725],[0.998658760330181,0.9997628112043463,0.999269166963773],[0.9909992767671828,0.976146266240286,0.9985584401152776],[0.8747753701622303,0.9081452957444135,0.9990250003966606],[0.9137967157287464,0.9928119371084707,0.9994725709584852],[0.9877428141939966,0.9920634944336744,0.9996285194835284]]","[[0.000696257494458618,0.0005086289466740215,0.0005082896893575808],[0.00015522015193652155,0.00015441295979073987,0.00015447023360170767],[0.0010185818707731551,0.0009774003367735511,0.0009791082707337362],[0.00017289660207837036,0.0002322657343861199,0.00018308604317307417],[0.0002786142149499537,0.0002963827238548936,0.00029337105073458516],[0.00011788631139366155,0.0001672538142568841,0.00011799819879690953]]","[[0.9999892160413522,0.9529689927408632,0.999968792334726],[0.9999988234191103,0.9999666844937585,0.9996297193632846],[0.9999958115981309,0.9915127572004689,0.9999418752011278],[0.9999332958479294,0.999736322144854,0.9997800423001628],[0.9999946001194424,0.999371493904717,0.9999872685111663],[0.9999996721874495,0.9995869662128627,0.9999813917651086]]",1,0,fixed_point,42.32559939986095,False,False,1.0,c2f,max_in_rate,True,predicted,predicted_risk,1,"[{""round"":0,""remove_target"":1,""remove_link"":[5,4],""add_target"":1,""add_link"":[2,0],""worst_pd_before"":0.05261142816301557,""worst_pd_after"":0.05261142816301557,""service_before"":0.6182267427425957,""service_after"":0.6186037876029465}]",0,[],"{""before"":[0.4105489451322549,0.155443414307676,0.05261142816301557],""after"":[0.4105489451322549,0.155443414307676,0.05261142816301557],""reports_before"":[4,5,3],""reports_after"":[3,3,3],""candidate_evaluations"":14}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,null,"[{""round"":0,""mask_before"":[0,2,4,5],""mask_candidate"":[0,2,4,5],""objective_before"":0.05261142816301557,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[2,5],[4,5],[5,4],[2,4],[0,5],[5,1]],""1"":[[5,0],[4,0],[0,4],[0,5],[0,1],[2,0]],""2"":[[5,2],[0,2],[4,2]]}","{""0"":[[2,5],[4,5],[5,4],[2,4],[0,5],[5,1]],""1"":[[5,0],[4,0],[0,4],[0,5],[0,1],[2,0]],""2"":[[5,2],[0,2],[4,2]]}","[5,0,4]"
