scene,realisation,receiver,target,basis,rank,whitened_coverage,raw_coverage
0,0,0,1,direct,15,3.9533692451493676e-05,5.53953831506752e-05
0,0,0,1,direct_tested_target,30,0.0023048116293053517,0.006549324021892718
0,0,0,1,direct_all_targets,60,0.014441625373948606,0.03482847116036806
0,1,0,1,direct,15,2.2832896390500127e-05,3.723433041821707e-05
0,1,0,1,direct_tested_target,30,0.011240282676416741,0.00864402500315973
0,1,0,1,direct_all_targets,60,0.07152139023118709,0.030182629700181665
1,0,0,1,direct,15,0.0008776578712664812,0.15701926531537838
1,0,0,1,direct_tested_target,30,0.0030440484704321777,0.1729711856233649
1,0,0,1,direct_all_targets,60,0.0369923523968264,0.3433990001350505
1,1,0,1,direct,15,0.0003339385815652615,0.004453218880355345
1,1,0,1,direct_tested_target,30,0.002446498071489272,0.007499540649098128
1,1,0,1,direct_all_targets,60,0.01686641167970554,0.02589578372739952
2,0,0,1,direct,15,1.6714747589921507e-05,9.777116018878817e-05
2,0,0,1,direct_tested_target,30,0.00029352143290279004,0.0026079230524551325
2,0,0,1,direct_all_targets,60,0.0033787707250490847,0.029893222921351905
2,1,0,1,direct,15,1.5149354694641873e-05,3.4067199490341114e-05
2,1,0,1,direct_tested_target,30,0.00015666551672341482,0.0007941388635070696
2,1,0,1,direct_all_targets,60,0.001254667931120663,0.009990070619733744
3,0,0,1,direct,15,0.0002352879870963459,0.2137000574763837
3,0,0,1,direct_tested_target,30,0.007716622478156627,0.338871318709764
3,0,0,1,direct_all_targets,60,0.0806208355057804,0.7468067149317447
3,1,0,1,direct,15,0.0006075865855142925,0.15478684358198433
3,1,0,1,direct_tested_target,30,0.01239660829087902,0.1656653552715302
3,1,0,1,direct_all_targets,60,0.08417933280044329,0.3552366066824325
4,0,0,1,direct,15,0.005404943240086485,0.6162726286967992
4,0,0,1,direct_tested_target,30,0.46223688305254046,0.8922875445715661
4,0,0,1,direct_all_targets,60,0.46536913850464157,0.8946033820581538
4,1,0,1,direct,15,0.00021548096381184055,0.2676449782939096
4,1,0,1,direct_tested_target,30,0.023500778354400884,0.4059667614960756
4,1,0,1,direct_all_targets,60,0.031014464378499917,0.4221967522856325
5,0,0,1,direct,15,0.0001278378870316047,0.0021275874863214916
5,0,0,1,direct_tested_target,30,0.003514090760175895,0.006642081432743833
5,0,0,1,direct_all_targets,60,0.013283092634914853,0.045918376038334346
5,1,0,1,direct,15,3.576577995298059e-05,0.0013447807410284568
5,1,0,1,direct_tested_target,30,0.0010552397101677587,0.012602657226365506
5,1,0,1,direct_all_targets,60,0.006913269999326684,0.026851062920311017
