split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,self_fit_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,self_fit_state_error_m,nominal_h0,self_fit_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s
train,0,150.0,4.57284853378179,20.863206420048527,148.5420028741852,135.80810159610144,150.3768411566066,116.98159167567613,87.39792349365501,142.00149569999277,-309.375,56.25,9.375,75.0,342.89223784457295,74.43389734184491,47.63413289446522,76.47810448264207,208.66306759320892,61.43424539565873,102.57927526275505,67.43505663323958,59.52007905431741,61.774541985307195,1081.7425236001145
calibration,8,150.0,0.5424921441191919,-128.46370772737498,-77.44078897412908,76.63618993120059,101.48658087315393,80.92348348900222,84.52490013764496,96.91775569371111,-121.875,-159.375,18.75,-159.375,82.19869832271506,168.47875438545043,49.019629360258804,41.832131205928626,125.33872635408275,61.70806024890477,92.01243400181738,70.83356353397423,75.34928937955173,70.80615219977948,1095.3223127000965
calibration,16,150.0,1.6677036316322438,14.513354931367132,-149.29622409369958,130.58965013325366,334.61722702783504,300.8976977661552,331.5486982901888,333.6761833807267,9.375,-140.625,18.75,-140.625,10.079326301090813,9.65086984269953,136.68970783766824,183.60817486253444,9.865098071895172,87.39008572557717,112.68853077392345,68.34855141833597,77.31645228462227,79.39474385444535,1139.0740503000561
test,24,150.0,6.116945750915842,-147.93209963656508,24.821238831238475,123.01806886831952,1633.624825209296,3745.565690060069,1633.624825209296,4894.1715078681555,-150.0,84.375,-150.0,84.375,59.589652468016475,59.589652468016475,506.30299458576496,495.8437097048643,59.589652468016475,78.15399112167944,106.31587154872878,98.10724200237995,92.20859724814659,83.48128356100426,1188.5335578999948
test,32,150.0,4.931531313773223,-32.60888223914969,146.41263879567663,110.89473089576315,199.99635906984656,158.89785248943397,199.41422682175286,198.7661422846379,-37.5,140.625,-28.125,131.25,7.5775850889136525,15.811730303250181,100.46509604010714,83.99468085334101,11.694657696081917,67.14500233376938,114.50451321355885,68.14927621173294,73.70896162961968,90.54613994654432,1181.8161414000206
test,40,150.0,0.39338677685279766,-138.54242167910496,-57.49780339533916,98.40089237181836,131.6835472304666,91.61768100559706,129.88757683398376,127.24196432719685,-140.625,93.75,-140.625,28.125,151.26214055201595,85.64812662130775,50.273865201185174,67.9393791504356,118.45513358666184,78.94067636034825,94.65822714661527,83.62225957150369,90.55366895882355,76.98845581283952,451.895865800092
calibration,1,150.0,1.8865781288799797,46.58395665918742,-142.58308098079152,197.41902683844557,3114.2219514501526,3094.4281885279192,3114.2219514501526,3136.7925350488194,46.875,-140.625,46.875,-140.625,1.9795927241654616,1.9795927241654616,1451.6360420897977,1593.6818288336863,1.9795927241654616,73.7132283104517,118.0675669200896,71.67393841756834,84.3348437504379,71.00057436088346,1070.6524949001614
calibration,9,150.0,4.294526694678744,60.87113993560598,137.09377930066657,470.6078932809311,3653.156253422332,3628.5847906802924,3629.0962850056935,3706.202038940274,56.25,131.25,65.625,140.625,7.450147033404878,5.921883580351879,1801.8650122210843,1811.8439667125733,6.686015306878378,88.74564366310416,109.9765041277004,89.10316732589322,81.61497559969845,69.66213543034875,1096.994957699906
calibration,17,150.0,5.535737476868377,-110.01392127228158,101.96537219221159,102.72798460243311,525.3373114139785,516.6615601846167,525.3373114139785,525.7674310093223,-112.5,103.125,-112.5,103.125,2.7432324168779796,2.7432324168779796,275.9403527024061,246.75310862786668,2.7432324168779796,68.25482372478307,100.55371261380773,72.00508970700764,77.91811912916786,74.35951117366804,1138.470480900025
test,25,150.0,3.7919270696265617,119.38220549982964,90.81788926195348,158.4206719080337,1001.4565969770972,933.6084057774367,1001.4565969770972,1006.7152965523046,121.875,93.75,121.875,93.75,3.8485448938848696,3.8485448938848696,496.1308222092465,491.7028391455914,3.8485448938848696,90.23957629359683,112.35211640918061,91.58596401700959,74.88947752168642,71.41728193180867,1188.0187828000635
test,33,150.0,6.076428749521875,-146.80528452095962,30.79299330562236,94.563491207444,560.0901124814226,516.8090617586115,560.0901124814226,548.4487088645884,-150.0,28.125,-150.0,28.125,4.16225843393535,4.16225843393535,243.64702321280188,256.9864517940926,4.16225843393535,83.21944100351172,99.47493949941563,70.08845790360218,79.02681698459843,70.68776449146678,1190.5258345999755
calibration,2,150.0,5.688063360052344,-124.21202103744207,84.09146109917494,137.4011978554905,483.00169980773796,467.6872509966639,478.6266320566789,480.4382163003177,-121.875,84.375,-121.875,75.0,2.3541583714202194,9.387030001403955,238.43391022945846,216.46746635185383,5.870594186412087,87.74230935421272,105.97673269908353,85.11566021459,65.44985419552788,72.56092372571509,1078.1959307000507
calibration,10,150.0,2.4824879909892297,118.58112918472148,-91.86139450975259,106.98982648951043,702.0560314828189,697.4438015192015,702.0560314828189,703.1568057731392,121.875,-93.75,121.875,-93.75,3.7968955273402356,3.7968955273402356,334.5950438980242,358.5435840628355,3.7968955273402356,81.06306805743371,105.28970617096446,85.74470098814649,81.4100899799248,70.0246083771918,1094.5432349001057
calibration,18,150.0,0.1563077761814619,-148.1713186991558,-23.35080972799875,117.23974914314007,621.4659546643533,607.1470401019196,614.5221246762409,617.3373469036876,-140.625,-18.75,-150.0,-18.75,8.838233763737882,4.950911578013206,310.3502771767703,298.2407163766929,6.894572670875544,78.40047274965417,116.23693220549059,86.4289109102609,84.35614536472815,79.02181484642122,1133.3484554998577
test,26,150.0,4.873334736021526,-24.037771648765897,148.06142486874083,87.69336427050247,145.5949427376899,101.92013538936894,121.48695856658732,142.34058704132366,-121.875,187.5,0.0,140.625,105.48708195715483,25.16177419552605,48.69892577215866,83.9246372531765,65.32442807634044,74.06144358835012,98.55600934662948,65.67255664439,70.06496590626068,87.1885304454519,1186.6994143000338
test,34,150.0,0.08761366888716729,-149.42465655356256,-13.125243382500415,73.76954339746212,116.74647018024655,83.67900856815257,90.49645017597767,86.1755976866992,-440.625,-253.125,-440.625,140.625,377.3559635142688,329.2973995699043,46.80489368946275,43.41083309639592,353.3266815420866,88.02110531198042,104.68713876708415,72.13065241743942,77.47623157960206,79.59106363602663,1184.144090599846
calibration,3,150.0,2.8758163257793203,144.73333239446396,-39.398762594701026,121.82442619957165,630.6519141299025,617.8358352852433,625.4353456339007,633.1974591889104,150.0,-37.5,140.625,-37.5,5.598489712256201,4.525891564591194,322.43776822093304,301.793010641396,5.062190638423697,73.00086130821063,111.93594939103238,90.89120815454649,101.5077279777144,53.85333902083207,1077.834210000001
calibration,11,150.0,3.925659368165558,106.2071445952808,105.92470173154662,132.79477899248135,655.5227964974956,627.1432127097612,648.550387044103,654.3196977106502,112.5,112.5,103.125,103.125,9.101350254980288,4.163885816379185,335.67969473277026,311.407344784334,6.632618035679736,82.5123735564337,101.1130393309299,91.26642326618557,81.51365725898148,75.893190966404,1093.4837041001301
calibration,19,150.0,0.026899452053499504,-149.94573473316746,-4.034431227641122,99.72879765573015,12961.123347919303,12974.440236089413,12961.123347919303,13554.201767176255,-168.75,9.375,-168.75,9.375,23.095740691180303,23.095740691180303,5644.250974965873,7080.2413506138255,23.095740691180303,77.3824957932965,113.09712197143064,83.7791460206496,91.83773673746657,96.15321141505025,1132.527418400161
