split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,self_fit_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,self_fit_state_error_m,nominal_h0,self_fit_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s
calibration,3,0.0,2.8758163257793203,0.0,0.0,633.1974591889104,633.1974591889104,614.363004993507,633.1974591889104,633.1974591889104,0.0,0.0,0.0,0.0,0.0,0.0,326.07819956143896,303.57879593526184,0.0,53.85333902083207,124.19752111412599,140.44191817162408,100.4830289448411,53.85333902083207,1019.5520832999609
calibration,11,0.0,3.925659368165558,0.0,0.0,654.3196977106459,654.3196977106459,647.3957598773666,654.3196977106459,654.3196977106459,0.0,0.0,0.0,0.0,0.0,0.0,335.8332290379078,313.89886962604305,0.0,75.89319096639392,102.80748300704643,82.90890054957984,88.6696295466445,75.89319096639392,1029.8832432001363
calibration,19,0.0,0.026899452053499504,0.0,0.0,13554.201767176255,13554.201767176255,13554.201767176255,13554.201767176255,13554.201767176255,0.0,0.0,0.0,0.0,0.0,0.0,6083.541801473039,7470.65996570321,0.0,96.15321141505025,112.68482089588619,94.47411645061864,91.66228268426134,96.15321141505025,1026.6156031000428
test,27,0.0,3.253052296094374,0.0,0.0,6077.168465418757,6077.168465418757,6077.168465418757,6077.168465418757,6077.168465418757,0.0,0.0,0.0,0.0,0.0,0.0,3170.756542628914,2906.4119227898486,0.0,77.03492137217258,118.26518506037479,124.27682701612166,81.93196981195922,77.03492137217258,1025.4884335999377
test,35,0.0,4.019981545621667,0.0,0.0,240.1205488977438,244.0603425364251,210.39223732443776,240.09284033232206,240.1205488977438,0.0,18.75,-9.375,0.0,18.75,9.375,143.20864497350232,96.37204814207796,14.0625,94.60048006299235,116.2435109439204,77.50880747334158,75.35920913018009,94.60048006299235,1024.5855972999707
calibration,3,250.0,2.8758163257793203,241.22222065743992,-65.66460432450171,94.3794172653499,632.2010029634091,595.4574663864463,632.2010029634091,633.1974591889104,243.75,-65.625,243.75,-65.625,2.528089576576097,2.528089576576097,323.6221615944761,299.71385365560604,2.528089576576097,83.97779760934387,107.48512944607006,105.2974274464805,75.58136753018192,53.85333902083207,1023.8467890999746
calibration,11,250.0,3.925659368165558,177.01190765880133,176.5411695525777,69.14786470531725,649.8457695105011,643.8392157825222,650.5971605931861,654.3196977106502,178.125,178.125,178.125,168.75,1.9358443755160195,7.870279382401182,336.2294230587773,306.65549694617465,4.903061878958601,89.81091259657484,99.49865927372903,88.25089325275002,91.83327243160578,75.893190966404,1019.5060750998091
calibration,19,250.0,0.026899452053499504,-249.90955788861248,-6.724052046068536,81.13649394308952,8718.504205639843,11105.437380354886,8890.986529606065,13554.201767176255,-271.875,9.375,-431.25,56.25,27.233437607667888,191.96376526900707,5534.079022518649,2232.2562137706545,109.59860143833748,86.71712393241751,114.2559877656735,97.69479508777893,86.91251310673078,96.15321141505025,1017.5791962000076
test,27,250.0,3.253052296094374,248.44870052502932,27.80725098646571,106.57098107867203,5850.5020364627635,5476.430068416397,5850.5020364627635,6077.168465418784,243.75,28.125,243.75,28.125,4.709432137690579,4.709432137690579,3030.955224786898,2743.770126215087,4.709432137690579,71.98836171474812,111.45801950399974,80.30849187571758,86.61264047448749,77.03492137217229,1017.3829739999492
test,35,250.0,4.019981545621667,159.59801507350127,192.4278399416219,89.68464035337908,242.2472439698505,198.75995583625803,239.2602235004956,240.1205488977438,159.375,206.25,150.0,187.5,13.82395907120792,10.789138049047374,141.54286626330585,95.07181088298903,12.306548560127647,80.62954860893117,117.48739895742922,76.42451045276934,79.80707700154709,94.60048006299235,1018.4742046999745
