split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,wls_map_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,state_gate_accepted_a,state_gate_accepted_b,raw_delta_a_x,raw_delta_a_y,raw_delta_b_x,raw_delta_b_y,wls_state_error_a_m,wls_state_error_b_m,nominal_h0,wls_map_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s,minimum_uav_separation_m
train,8,0.0,0.5424921441191919,0.0,0.0,96.91775569371248,99.49630589989094,86.56136068454168,96.91775569371248,96.91775569371248,0.0,0.0,0.0,0.0,0.0,0.0,50.49301112600091,42.05728801588887,False,False,18.75,-121.875,140.625,-84.375,21.187032020989804,3.6093631328252753,70.80615219977958,65.69867743144161,74.0171106691123,70.80615219977958,70.80615219977958,530.4230762999505,112.37699855179721
train,9,0.0,4.294526694678744,0.0,0.0,3706.202038940276,3706.8729199519066,3704.9198164968684,3706.202038940276,3706.202038940276,0.0,0.0,0.0,0.0,0.0,0.0,1838.0743589378653,1868.1276800024125,False,False,0.0,0.0,0.0,0.0,2.9608029199197774,1.41070274385617,69.66213543036864,69.35525744860688,92.25880864845576,69.66213543036864,69.66213543036864,526.1607516000513,70.67850737418478
train,10,0.0,2.4824879909892297,0.0,0.0,703.1568057730375,694.8257341674819,693.2143365852862,703.1568057730375,703.1568057730375,0.0,0.0,0.0,0.0,0.0,0.0,337.28855639500694,357.55589800550916,False,False,0.0,0.0,0.0,0.0,6.358469748908064,7.955772452769135,70.02460837720389,68.49753197248965,91.49727228379882,70.02460837720389,70.02460837720389,529.8747465999331,76.75046244986429
train,11,0.0,3.925659368165558,0.0,0.0,654.3196977106318,650.673106633174,647.3957598773507,654.3196977106318,654.3196977106318,0.0,0.0,0.0,0.0,0.0,0.0,335.8332290378916,313.8988696260458,False,False,0.0,0.0,0.0,0.0,1.044196548636358,3.96955290829641,75.89319096637607,76.35623612989427,82.90890054958412,75.89319096637607,75.89319096637607,527.2275439000223,95.56139436068753
train,12,0.0,0.14767599154953198,0.0,0.0,425.23254595241576,422.8207266512035,420.15136276752867,425.23254595241576,425.23254595241576,0.0,0.0,0.0,0.0,0.0,0.0,204.6703550528033,215.3076705093082,False,False,0.0,0.0,0.0,0.0,2.0069213522939617,6.971308397501589,99.81908777361804,97.67125710595971,78.47451545816372,99.81908777361804,99.81908777361804,524.389214000199,86.4291022921228
train,13,0.0,1.6724835679360497,0.0,0.0,1412.0826988190456,1406.1627342307852,1410.0577104511963,1412.0826988190456,1412.0826988190456,0.0,0.0,0.0,0.0,0.0,0.0,849.2070302589356,562.8756685601097,False,False,0.0,0.0,0.0,0.0,1.2264644070804518,1.8823603186926465,74.64945930430406,74.01806775322964,76.86531454148532,74.64945930430406,74.64945930430406,523.8462688000873,137.43591396018456
train,14,0.0,2.143024080563261,0.0,0.0,156.43357874355885,156.32566238634766,119.28651407671325,156.43357874355885,156.43357874355885,0.0,0.0,0.0,0.0,0.0,0.0,85.64074660840441,60.075670379575165,False,False,0.0,0.0,-28.125,-9.375,8.570617474448152,5.552266409615991,68.1839453494287,66.9215197664561,90.09163672867868,68.1839453494287,68.1839453494287,525.4187390001025,105.99054795031059
train,15,0.0,3.1054299523081235,0.0,0.0,565.2212826082678,565.6984877986326,556.2045488638223,565.2212826082678,565.2212826082678,0.0,0.0,0.0,0.0,0.0,0.0,238.83176922870712,314.3853100037928,False,False,0.0,9.375,0.0,-9.375,10.331712136707205,8.840865544209807,81.25168258918174,81.34992890540317,85.32336457010447,81.25168258918174,81.25168258918174,523.5318366000429,60.40751659342287
train,8,50.0,0.5424921441191919,-42.82123590912498,-25.813596324709692,96.07022250502928,95.68686097705718,79.95736341106412,96.07022250502928,96.91775569371248,0.0,0.0,0.0,0.0,50.00000000000001,50.00000000000001,50.40302106301509,43.46350420177977,False,False,-28.125,-150.0,18.75,-65.625,95.4916146043706,40.74385863293382,63.10185514236018,65.00354057384426,75.25884357448,63.10185514236018,70.80615219977958,527.4246310000308,112.37699855179721
train,9,50.0,4.294526694678744,20.290379978535327,45.69792643355552,2641.195440962263,3064.1402884805193,3602.5444923188907,3512.8059054354917,3706.202038940276,18.75,28.125,18.75,28.125,17.6403093486885,17.6403093486885,1709.3094885338605,1737.1881411553695,True,True,18.75,28.125,18.75,28.125,37.88480188502266,31.3301360154316,76.18036867313799,69.39578576917656,94.38355357741412,76.18036867313799,69.66213543036864,528.98152999999,70.67850737418478
